,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.3,blockiness,cubcol.0,blur,noise,cubcol.0.5,color_fulness,fft,cubrow.0.3,staticness,movement,uhdhdsim,cubcol.1.0,cubrow.1.0,cubcol.0.6,cubrow.0.5,temporal,tone,contrast,cubrow.0.6,cubrow.0,saturation
0,400,71.3719,14.7766,93,0.0,0,116,121,39,131,32,1.02369,74.82203,0.0,0.0,0.42857,3.25,0.0,0.0,0.0,132.0,59.13174,0.00877,2.96,1.584,0.0,0.0,0.3002344154739114,2.917148697635084,0.10442136174175487,41016.21970571842,2.847712919158033,0.2962336074695397,146.82143087097896,76954.4572439538,0.25508440178342134,491.74014975551654,0.0,81.81334572277243,0.14500995427592092,0.35048605090255025,0.29060839574931724,0.2620676962745196,0.0,0.9004129411764707,93.62296492060428,0.2637370500424694,0.42248853935201264,39.060618836202735
1,401,71.0574,15.072,93,17.3669,0,116,121,39,131,32,1.02777,74.5316,0.0,0.0,0.60714,3.267,12.95734,0.0,0.0,132.0,59.14268,0.00897,2.94,1.573,-1.0,0.0,0.2349036508759508,3.2463410331238314,0.09788836049139577,40453.88494671212,2.8586418309878217,0.2717699715427079,146.68645322531515,76233.04794607955,0.2397395466900165,487.8052946770101,5.2945119598765435,81.83559619269647,0.14148054887510855,0.342289027590084,0.2630734849002365,0.24797498292521217,6.439365353121173,0.8998921568627452,93.76931257720094,0.2527259021177449,0.33478528717026884,39.196046617296005
2,402,70.6616,15.256,93,17.2199,0,116,121,39,131,32,1.02241,74.14106,0.0,0.0,0.28571,3.277,13.19662,0.0,0.0,131.0,59.13361,0.00918,2.96,1.608,-1.0,0.0,0.21975406609513726,3.3421806457052394,0.0967503098635455,39620.90937053838,2.849336334093867,0.2635907776829549,146.6531263298772,76249.14968333174,0.2373742656090436,485.11208724070667,5.106674382716049,81.88042821561275,0.1420243824745759,0.3403598955503025,0.2552485356959476,0.24300315695703345,6.464831433254153,0.8993380392156863,93.70248514534708,0.25161848667505526,0.30657882693179117,39.13341701177903
3,403,69.8563,15.3454,92,18.507,0,116,121,39,131,31,1.02569,73.40772,0.0,0.0,0.32143,3.281,13.34665,0.0,0.0,131.0,59.1437,0.00917,2.92,1.638,-1.0,0.0,0.20941107780391977,2.99356086373924,0.0959074956180065,37987.05364882175,2.8614536681384473,0.26150875719327105,146.67797311175713,76065.15159468696,0.23665693019872983,482.9262161526366,4.702980324074074,81.92682930627791,0.14172267920767262,0.34113826626534755,0.24888822556673001,0.24096468560934076,6.480456197842109,0.8989792156862746,93.78909079765488,0.2504986607158038,0.28951824475455396,39.22657022358459
4,404,69.4743,15.4679,92,18.2916,0,116,121,38,131,31,1.02546,73.06279,0.0,0.0,0.42857,3.293,13.41888,0.0,0.0,132.0,59.12686,0.00871,2.96,1.61,-1.0,0.0,0.20126639367899002,3.2920420765731344,0.09478075404314816,37349.83362946565,2.8548007900087597,0.2602907372095756,146.56680853579076,75696.38548418134,0.23518483764771342,480.78459090764864,4.297935956790123,81.9513744295846,0.14175942240864106,0.3421103151987266,0.24299629372156642,0.23952892596510159,6.492675172062568,0.8990588235294119,93.76899996628954,0.25012596251948155,0.280103643245388,39.248064205970294
5,405,69.0161,15.352,91,18.5124,0,116,121,38,131,31,1.028,72.63961,0.0,0.0,0.92857,3.296,13.52023,0.0,0.0,132.0,59.06981,0.0088,2.97,1.548,-1.0,0.0,0.1946331924260821,3.133995125975507,0.09412481737445202,36631.77754039978,2.858641830987819,0.2593722259820799,146.42710484133593,75835.53754949229,0.23442991352770537,478.7182747030376,4.019917052469136,81.9800415519185,0.14106277623872002,0.34307327189403386,0.23835404342206196,0.23852514338073325,6.492573895286139,0.8978098039215687,93.69083176184313,0.249618484793662,0.2746828739903908,39.06326124403211
6,406,69.2278,15.26,92,18.4217,0,116,121,38,131,31,1.02215,72.7933,0.0,0.0,0.46429,3.287,13.40754,0.0,0.0,130.0,59.05841,0.00853,2.93,1.56,-1.0,0.0,0.19410429059832088,2.9762085626061547,0.09378997869064686,36988.442040884605,2.8485829046001014,0.2588469504140423,146.56212984431133,75991.08122539577,0.23312819452798497,476.9425707700513,3.849103009259259,81.92900836026683,0.14109833330467048,0.34437153298596496,0.23479488028468776,0.23745054845417374,6.495516232589155,0.8964196078431373,90.97763073384263,0.2497813758512324,0.2787462694887431,39.27552211431809
7,407,69.4983,15.1851,92,18.4886,0,116,121,38,131,31,1.02891,73.0084,0.0,0.0,0.32143,3.261,13.32237,0.0,0.0,130.0,58.96432,0.00916,2.95,1.575,-1.0,0.0,0.1930903993918835,2.437741457891674,0.09350481144788624,37519.32756012609,2.8592360420952248,0.2580932560720381,146.39638692489208,76108.17765004774,0.23173098344338078,475.2838263064103,3.5403645833333335,81.87726635906236,0.14120153827011273,0.34518880311798605,0.2302917391200532,0.23637948972044223,6.49072804391953,0.8935529411764707,92.01565452583374,0.24978037687520815,0.27649388442883915,39.09341750910253
8,408,69.3129,14.7424,92,18.3514,0,116,121,38,131,31,1.02698,72.79861,0.0,0.0,0.60714,3.281,13.24726,0.0,0.0,130.0,58.9588,0.00897,2.96,1.516,0.125,0.0,0.18991826998249184,2.8628820077945245,0.09320730662339978,37055.164484011744,2.8570184160519947,0.2573023351616989,146.33476586277686,76007.13477878932,0.23015131532518007,473.82440917773044,3.165750385802469,81.92358597152739,0.14186791448073363,0.34469198558023223,0.2272389901018742,0.23596210830483239,6.48094621218988,0.8928053333333333,92.05426795682993,0.24979227845985255,0.2735369299448402,39.10802148889612
9,409,68.8102,14.0489,91,19.0032,0,116,121,38,131,31,1.02632,72.34337,0.0,0.0,0.78571,3.282,12.84945,0.0,0.0,129.0,58.97132,0.00878,2.96,1.678,-1.0,0.0,0.18575645798048732,2.3979516621282198,0.09311885477318319,36237.69222725106,2.8608594570310544,0.2571548015467197,146.0888835399938,75842.48987943877,0.23012774531458915,472.419123521425,2.8951581790123457,81.96060273808524,0.1416439070573369,0.34515239346485316,0.22441887515424766,0.23618858791670377,6.482434085915624,0.8925796078431373,93.33413899359327,0.24994873632925382,0.2707493350757466,39.016828937295045
10,410,68.528,13.7847,91,17.2555,0,116,121,38,131,31,1.03013,72.05192,0.0,0.0,0.35714,3.298,12.23331,0.0,0.0,129.0,59.0568,0.00901,2.95,1.614,-1.0,0.0,0.18113143183748978,2.5447145840197556,0.09299647274870945,36144.48050848925,2.8570184160519942,0.2563656345877353,145.9225067198161,75885.77377910637,0.22991559771301703,471.20805391062635,4.128616898148148,81.95989978195084,0.14158431397299104,0.3420696873546018,0.22254706612716948,0.23624158258070957,6.460429232294364,0.8932176470588236,91.44811591602046,0.24989419546242803,0.26890823015785464,39.45341114938995
11,411,67.6944,14.0453,90,18.0166,0,116,121,38,131,31,1.0274,71.33585,0.0,0.0,0.35714,3.327,11.99757,0.0,0.0,129.0,59.06537,0.00926,2.95,1.585,-1.0,0.0,0.17849162793659196,2.815735303092558,0.09291296703923106,34979.46975882582,2.8491771157075036,0.2561125433089785,145.4200291760872,75698.21952866326,0.2298213973497323,469.98050284943207,4.3957851080246915,82.05411758306958,0.14125310255558127,0.3405234464997176,0.22080693859073813,0.23624686676543225,6.432761813052546,0.8932176470588236,93.55752301491893,0.2503197558228553,0.26563891693863245,39.51344393506462
12,412,67.2581,13.9526,90,18.5047,0,116,121,38,131,31,1.03189,70.9922,0.0,0.0,0.42857,3.345,12.21689,0.0,0.0,129.0,58.99035,0.00866,2.95,1.69,-1.0,0.0,0.17737565008732328,2.6078107587367683,0.09281967077552651,34444.0563753436,2.8525831639655315,0.2558451907637586,145.61326028569454,75626.60936272593,0.22939128779204895,468.79911791435944,4.160976080246914,82.10749958673395,0.1411874952425568,0.3386263320330518,0.2193265613387088,0.23667398962518288,6.433721572833951,0.8922949019607844,93.40846024354853,0.2506783201849213,0.2647097223942848,39.51773730619454
13,413,67.679,14.1475,90,18.89,0,116,121,38,131,31,1.02783,71.39232,0.0,0.0,0.42857,3.32,12.14671,0.0,0.0,130.0,59.11593,0.00826,2.96,1.594,-1.0,0.0,0.17641758280014885,3.0828531950412086,0.09276985193963379,35090.10576963604,2.870324172311376,0.2559931663242308,145.33785345030992,75866.96246865629,0.22969765137396633,467.6341262804093,3.76147762345679,82.03256654810609,0.14091579064674994,0.33697600105366277,0.21847515142124457,0.2368156622110581,6.435371516753479,0.8932254901960786,91.69500871558543,0.2510383798070465,0.26384789093700256,39.63847784348476
14,414,67.9756,14.4751,91,18.7469,0,116,121,38,131,31,1.0266,71.66499,0.0,0.0,0.28571,3.315,12.31468,0.0,0.0,130.0,59.11725,0.00881,2.95,1.628,-1.0,0.0,0.1742184770653746,2.5194798073278863,0.09267426918032677,35716.62166868407,2.8548007900087575,0.25699051142193124,145.61798393505467,75764.605399697,0.23074135567255957,466.64076622048134,3.407648533950617,81.97711513829383,0.14073861965791373,0.335321904079676,0.21589987829002144,0.23677853252688266,6.445627635237698,0.8940062745098041,93.65122791888871,0.25143557105856934,0.26277522741492504,39.69104587884597
15,415,68.2576,14.5963,91,19.5182,0,116,121,38,131,32,1.02829,72.00199,0.0,0.0,0.17857,3.314,12.60311,0.0,0.0,129.0,58.99726,0.00907,2.94,1.589,-1.0,0.0,0.17411851408728288,2.6357263546659384,0.09269306257454031,36068.19075460427,2.8685415389891777,0.25715273805213035,145.59407738465396,75783.94281353832,0.23185357724696232,465.99919538969084,4.109905478395062,81.97022067573076,0.14072240926501314,0.3342084701206527,0.21479333742045056,0.23647857973765468,6.470261125459761,0.8934207843137256,91.86170322640167,0.25181280905503495,0.26068753109725923,39.67085209599247
16,416,68.5635,15.1077,92,19.3338,0,116,121,38,131,32,1.02643,72.30511,0.0,0.0,0.17857,3.31,12.6913,0.0,0.0,130.0,59.00901,0.00924,2.97,1.635,0.125,0.0,0.17484279167045622,2.952048713134617,0.09262116172423013,36679.259800677326,2.8608594570310526,0.25668298597167427,145.62856895094896,75961.24170498896,0.2330466985936229,465.53525590624344,4.559365354938271,81.90807466296307,0.14105732237237514,0.33161332884887645,0.21428478445465154,0.23617385036259014,6.4870569438852534,0.893726274509804,93.62329356589402,0.2519985311111957,0.2596641954835783,39.62270967459973
17,417,68.3386,15.567,91,20.2334,0,116,121,38,131,32,1.02285,72.08898,0.0,0.0,0.35714,3.329,13.13633,0.0,0.0,130.0,59.05303,0.00901,2.95,1.696,-1.0,0.0,0.17410532980093527,2.868697544441551,0.09253328055794595,36288.48064548302,2.860859457031046,0.2568081679130796,145.7499692673008,75735.51600604519,0.2339180650193512,465.1464993544484,4.927613811728395,81.95933910806218,0.14107603119268314,0.3294904114303577,0.21416135017457352,0.2360715544294649,6.5047896052556515,0.8958392156862746,92.31921776541458,0.25221485558746515,0.25968694946808185,39.70696814266252
18,418,68.3585,15.3902,91,20.2161,0,116,121,38,131,32,1.02498,71.99029,0.0,0.0,0.28571,3.328,13.51655,0.0,0.0,130.0,59.06688,0.00916,2.96,1.593,-1.0,0.0,0.1730342094945178,2.9397240136898883,0.09251031884752672,36062.27767757742,2.8499305452012607,0.2574213276251412,146.11730392445588,75427.42763518069,0.23384748781154163,464.81032653411694,4.735869984567901,81.99480096259953,0.14098174610317568,0.32729274614766285,0.21432544165612744,0.23587138078799974,6.53187909231292,0.896569411764706,90.81261758457663,0.2522186127649325,0.25828037592644343,39.662031574013795
19,419,68.7309,15.5666,91,20.8593,0,117,121,38,131,32,1.02413,72.31594,0.0,0.0,0.39286,3.318,13.39308,0.0,0.0,130.0,59.10287,0.00894,2.94,1.765,-1.0,0.0,0.1708025871576492,2.849683816684576,0.09243851767410897,36935.28935470959,2.850959749029703,0.25788110958681554,146.3535478436406,75726.99331065104,0.2342127197185329,464.5849175040645,4.731867283950617,81.97270363368344,0.14110656444726405,0.3260675586478578,0.21420209518282401,0.23574076158766158,6.530393265426799,0.8985729411764706,92.29518106918567,0.25212920656769644,0.25739258816861327,39.3667246500651
20,420,68.9334,15.1751,91,19.9509,0,117,121,38,131,32,1.03081,72.47946,0.0,0.0,0.14286,3.313,13.5573,0.0,0.0,130.0,59.22422,0.00924,2.96,1.563,-1.0,0.0,0.16958854250351643,3.2251303776531706,0.09224132040793025,37325.26272824767,2.8372190000492736,0.25837231738982913,146.45333748259918,75752.74499141303,0.23451732301904393,464.4192647697391,5.207224151234568,81.90785487235019,0.14118883350725075,0.3249556156818672,0.2142857685282389,0.23563307086676935,6.533394709592185,0.9021050980392158,91.60891820405168,0.2520026768500799,0.2571977583039313,39.12327142409337
21,421,68.8378,14.8888,91,20.0135,0,117,121,38,131,31,1.02934,72.37233,0.0,0.0,0.60714,3.308,13.2247,0.0,0.0,130.0,59.24277,0.00924,2.94,1.674,-1.0,0.0,0.16750767078607737,3.1265923172796137,0.09220255059806512,36446.66453132047,2.836189796220839,0.25914649487576175,146.55944026010252,75537.00661987488,0.2345412304742982,464.26974061893196,5.186101466049383,81.92660952452727,0.1410090543704222,0.32392457920468243,0.214096684923725,0.2357735735612864,6.512551970816226,0.9028980392156863,93.20775646100407,0.2520201619395154,0.2564462054276238,39.03220263822579
22,422,68.4696,14.8717,91,18.4551,0,117,121,38,131,31,1.02976,72.03144,0.0,0.0,0.67857,3.311,12.964,0.0,0.0,130.0,59.28898,0.00897,2.96,1.6,-1.0,0.0,0.16645835571459738,3.6209076274708547,0.09223441988954911,36039.36588468245,2.8380307075171807,0.2591982157854889,146.31983194018576,75500.39251865419,0.23424195006339113,464.0692572072547,4.9156057098765435,81.95708475612713,0.14083402728054076,0.32283278104166896,0.21369278433642694,0.2356458409214659,6.506600535893795,0.9034286274509805,93.14154139053798,0.25187260357313246,0.2563543312728441,39.17511024004147
