,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.1.0,saturation,color_fulness,blockiness,cubrow.0,cubcol.0.6,tone,cubrow.0.5,cubrow.0.3,cubrow.0.6,temporal,cubcol.0,cubcol.0.3,cubrow.1.0,noise,staticness,uhdhdsim,cubcol.0.5,movement,blur,fft,contrast
0,0,73.284,13.9343,76,0.0,0,115,121,21,131,23,1.02243,71.42198,0.0,0.0,0.64286,3.253,0.0,0.0,0.0,125.0,59.07727,0.00112,0.62,2.042,0.0,0.031275,0.13480486179005263,40.11394623179495,145.93686415150592,2.9764426646173985,0.3819524997519681,0.263748611756797,0.905137254901961,0.24168117223553232,0.21501454364378042,0.24243297062744285,0.0,0.08801705322650617,0.21527428042725036,0.2949185713393878,1.0320005703745887,482.4368871161195,82.1678526787923,0.3537337345071704,0.0,42204.85814013479,77752.90113010487,96.34585337916965
1,1,73.6654,13.8369,77,18.9498,0,115,121,21,131,24,1.02964,71.81848,0.0,0.0,0.39286,3.236,11.99384,0.0,0.0,125.0,59.07636,0.0012,0.61,2.107,-1.0,0.032807,0.1358158387730248,40.036674216941556,146.40180355421424,2.9904950168408275,0.32579529108319044,0.23612837769283315,0.9039992156862746,0.23458855180122387,0.20819099089953025,0.23711242835994314,4.938141741516812,0.08572824527982002,0.17350363068104227,0.2904880676404426,1.0325947814819791,479.21336914278487,82.10562795503981,0.323395099744893,5.024450231481482,42097.64952153095,77433.87125136964,98.19812759372086
2,2,73.7659,13.7442,77,18.313,0,115,121,21,131,24,1.02345,71.94698,0.0,0.0,0.42857,3.236,11.90101,0.0,0.0,125.0,59.06433,0.0011,0.61,2.17,-1.0,0.030023,0.1343847511052447,40.04430945125627,146.1691620612957,2.303243431539456,0.30342070670034876,0.23284785320957122,0.903636862745098,0.23213148796225447,0.2048720088268839,0.2370971969882312,4.912712366743437,0.08543315128027207,0.16523833155639436,0.2917583371860295,1.0358416113536484,476.9255668142153,82.10077686830022,0.3090126175099261,4.449990354938271,41977.806090011065,77524.81520674391,98.3484208664593
3,3,74.3681,13.3893,78,17.5032,0,115,121,21,131,24,1.01699,72.53688,0.0,0.0,0.25,3.206,11.82108,0.0,0.0,125.0,59.0719,0.0011,0.62,1.983,-1.0,0.029573,0.1344429413964068,40.18478770314911,146.17600488372094,2.5426963752083536,0.2897079759707381,0.23222547461550103,0.9035650980392157,0.23179794445361285,0.20469612499881154,0.23658748103596,4.891357012592714,0.08525374713033983,0.16234432776969532,0.28980873632696585,1.0344356927783396,475.1963205780678,82.01669800928045,0.30105590516834535,3.890817901234568,42902.600945536375,77719.45292784346,98.37752393516361
4,4,75.0938,13.0157,78,17.4539,0,115,121,22,131,24,1.02421,73.26146,0.0,0.0,0.46429,3.213,11.5212,0.0,0.0,125.0,59.07672,0.00112,0.61,2.079,-1.0,0.024041,0.1337448727442378,40.22870457025222,146.31858707526726,2.7185515296997087,0.2791113654102326,0.2289350216185417,0.9031650980392157,0.23179040495948477,0.2044818364480693,0.23682873729726564,4.811697881553207,0.08508520449682218,0.15913143666194834,0.29114912272663546,1.0396826523327172,473.7956962300368,81.93401328579708,0.30462125429389136,3.207127700617284,43960.52014888719,77796.24826045889,96.10690725390825
5,5,75.5651,12.1665,79,17.3352,0,115,121,22,131,25,1.02107,73.74231,0.0,0.0,0.53571,3.209,11.20594,0.0,0.0,125.0,59.09174,0.00117,0.62,2.294,-1.0,0.029202,0.1332838680905369,40.27184870213638,146.24067908508027,2.4504334088121036,0.2716819266456729,0.22683268416387306,0.9037035294117647,0.23260160536643176,0.20379351606007642,0.23626602880741118,4.743676685103903,0.0852790415565575,0.1576657888711621,0.29514299532498767,1.0457413193550067,472.63882477950324,81.90040719759429,0.3096171877258099,2.6479070216049383,45169.58807066595,77880.2057570966,95.89581673336667
6,6,76.0803,11.7071,80,15.1913,0,115,121,22,131,25,1.01904,74.23785,0.0,0.0,0.53571,3.182,10.47337,0.0,0.0,125.0,59.10057,0.00125,0.62,2.19,-1.0,0.028026,0.1331705505336347,40.41838827250916,146.28742183316308,3.1802740120172697,0.2716176460547162,0.22588946511715566,0.903021568627451,0.23350098703700042,0.20418611489272612,0.23610346001588578,4.622383640872461,0.0851372347624875,0.15757887682665458,0.2979560513093777,1.0491473676130323,471.7252310927499,81.80402268218309,0.3129916876036078,2.1028645833333335,46079.26276903999,78036.83047437422,98.42941381452981
7,7,75.78,12.55,79,13.8506,0,115,121,22,131,25,1.02797,73.94921,0.0,0.0,0.67857,3.19,10.07789,0.0,0.0,125.0,59.07021,0.00126,0.62,2.099,-1.0,0.031848,0.13290883358177114,40.38158445005064,146.12591977769222,2.671111823771251,0.2694831775854979,0.22455533621317333,0.9024937254901961,0.23396073979614837,0.20334638801819635,0.23578839493132894,4.524234298492323,0.08519686177268311,0.1566850507716523,0.300270322956715,1.0457413193550045,470.99457362065493,81.85868329186432,0.3181606629143008,1.8453896604938271,45551.34532209675,77961.63404360054,95.74243486659515
8,8,74.8778,13.052,78,16.5778,0,115,121,22,131,24,1.02203,73.09964,0.0,0.0,1.28571,3.197,10.80688,0.0,0.0,125.0,59.00861,0.0011,0.61,2.026,0.15625,0.03491,0.13290321585835968,40.34516322759934,146.15073426831407,2.967071557072208,0.26825972211729876,0.22360142833776628,0.9020560784313726,0.2340947746780679,0.2029375768054889,0.23557159656621782,4.6699894131386595,0.08499206586501765,0.15718369998095133,0.2996684896504775,1.045741319355004,470.3156347658933,81.95830983313627,0.3175004778012505,1.8208429783950617,43630.12467971912,77567.61603328944,98.06861507557471
9,9,74.4801,13.2965,78,16.2465,0,115,121,22,131,24,1.03061,72.72166,0.0,0.0,1.21429,3.189,11.23066,0.0,0.0,125.0,58.98636,0.00119,0.62,1.978,-1.0,0.025625,0.13275794820242998,40.47802640184944,146.33531433264392,2.479406128485496,0.2649504047113034,0.2225178149265225,0.9012498039215686,0.23420027629939563,0.20311817908566512,0.23555341708979702,4.7471012482418855,0.08498632978085381,0.15633720609508817,0.29721597247528614,1.045741319355007,469.65191969497425,81.93264158469198,0.3168500964509291,1.8020833333333333,42520.9259337789,77335.15476133885,96.42472753703939
