,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,saturation,cubcol.0,cubrow.0.3,color_fulness,cubcol.0.3,temporal,blur,cubcol.0.6,noise,fft,cubrow.0,cubrow.1.0,staticness,uhdhdsim,tone,blockiness,cubcol.1.0,movement,contrast,cubrow.0.6,cubrow.0.5,cubcol.0.5
0,100,71.9493,16.4062,73,0.0,0,115,121,20,131,22,1.03128,69.92097,0.0,0.0,0.60714,3.267,0.0,0.0,0.0,125.0,57.39173,0.00122,0.61,2.076,0.0,0.026137,40.716326301480514,0.08755852103769143,0.23397896608288118,147.9754976228386,0.2505145106678323,0.0,40667.96439780145,0.265638414962507,1.0451471082476065,77014.46038018109,0.32332780242858994,0.31244776456133844,499.39873859105256,82.58540406233493,0.8883898039215686,2.73440380560002,0.13607163719126797,0.0,96.220616703204,0.2481828400389308,0.23852056427330912,0.2971520303265888
1,101,71.7731,15.5402,73,21.7749,0,115,121,20,131,22,1.02402,69.70444,0.0,0.0,0.78571,3.285,14.09533,0.0,0.0,125.0,57.51172,0.00123,0.61,1.984,-1.0,0.025094,40.93006746268566,0.08572105230551344,0.22240878850941434,147.7948473029167,0.1882734823906883,5.21297564714594,40743.66775600601,0.2304196923931632,1.0374650262894838,77816.61338950589,0.252961371204717,0.3051675383738209,495.07615043841514,82.62493060106553,0.8883156862745099,2.164086364235984,0.1355953151523488,6.493344907407407,97.96495478340458,0.2417999902287541,0.23262390891354742,0.2753472653242424
2,102,71.7909,14.945,73,21.3992,0,115,121,21,131,22,1.01986,69.70397,0.0,0.0,0.92857,3.272,13.3508,0.0,0.0,125.0,57.60181,0.00127,0.61,1.876,-1.0,0.021693,40.960205078125,0.08566754166657227,0.21847327855242554,147.7945370410285,0.17378639956215994,5.141000457694837,41025.28769083675,0.22077330071882756,1.037465026289477,78062.87724561158,0.23868609837426905,0.301146830862955,491.8823700357289,82.60931480185246,0.8896549019607843,2.4112556070202475,0.13457040076556498,5.55907600308642,98.16791474013371,0.24058179199188645,0.22982643959673868,0.2737882523407032
3,103,72.1437,14.7085,73,22.2356,0,115,121,21,131,22,1.01924,70.04132,0.0,0.0,0.92857,3.271,12.84534,0.0,0.0,125.0,57.64644,0.00117,0.62,1.947,-1.0,0.024659,41.17859903971354,0.08516584957717258,0.21684745778392997,147.93199713919472,0.16613760985433274,5.084522050978117,41870.09878416896,0.2185298568592498,1.0374650262894825,78075.30121390667,0.2329407350785373,0.29915499269712403,489.6066273055683,82.59717372159317,0.890604705882353,2.245255831746121,0.13418419266476453,4.803867669753086,98.1032759655263,0.2395470638625005,0.2281213194169929,0.270629535331389
4,104,72.0379,14.4907,73,20.928,0,115,121,21,131,22,1.01456,69.95996,0.0,0.0,1.10714,3.294,12.64558,0.0,0.0,125.0,57.65366,0.00129,0.62,2.136,-1.0,0.029239,41.241707695855034,0.08503451748950001,0.21638479569912158,148.15540845410078,0.16184391744313253,5.055593854784721,42139.82042463699,0.21747081645501126,1.0396826523327092,78017.40538543618,0.23042791684233543,0.30013847319875,487.8312890139755,82.6753688812809,0.8904654901960785,2.787386489595969,0.1336923877855201,4.063898533950617,98.1192747367709,0.2387514245807138,0.22781110129255888,0.27116711538343863
5,105,71.5812,14.0585,73,20.1979,0,115,121,21,131,23,1.02739,69.52414,0.0,0.0,0.35714,3.316,12.45809,0.0,0.0,125.0,57.63933,0.00121,0.62,1.99,-1.0,0.026016,41.168149218147185,0.08506331115525059,0.2160380540367777,148.20010923120083,0.15924569610952005,5.004826197659187,41983.181548905544,0.21701765559381625,1.0368708151820873,78153.58625733182,0.2281296711076985,0.30236882491210876,486.26508312842503,82.68799844862971,0.8900698039215686,2.5676082430358607,0.1338196663361835,3.5983796296296298,98.15931771914273,0.2383528217191587,0.22737649271975927,0.2696818995755245
6,106,71.4107,13.95,73,19.2795,0,115,121,21,131,22,1.0284,69.35815,0.0,0.0,0.75,3.332,12.08592,0.0,0.0,125.0,57.62908,0.00129,0.62,1.959,-1.0,0.022454,41.2311171543451,0.08469054123175655,0.21466086662355277,148.2394855843741,0.1558164051018091,4.957767614137656,41800.584135810495,0.21637126324367348,1.0374650262894776,78095.82181292388,0.2259751107015803,0.30371978146941503,484.92876748378296,82.7797720422327,0.8901976470588235,2.4377651125069453,0.13384255803613535,3.1879822530864197,97.62108890760905,0.23762301474437564,0.2264593368901175,0.26977788909965766
7,107,71.5712,13.9113,73,19.743,0,115,121,21,131,23,1.02923,69.4932,0.0,0.0,0.75,3.34,11.99269,0.0,0.0,125.0,57.612,0.0012,0.62,1.957,-1.0,0.027125,41.09888392318914,0.08482540984565567,0.21271659614200084,148.15673641160143,0.15140922511580374,4.947233789784135,42555.208788179785,0.21406046569887408,1.0324355630956248,78350.7611162956,0.2266651175264109,0.3031103206671537,483.66740777312765,82.74639233907155,0.8917619607843137,1.8174384676779651,0.13390508888587552,2.830246913580247,97.71778645964913,0.23745151984524596,0.22561663000073695,0.2699776747340168
8,108,71.721,13.8243,73,18.2946,0,115,121,21,131,23,1.03809,69.65692,0.0,0.0,0.5,3.355,11.96384,0.0,0.0,125.0,57.58815,0.00114,0.62,1.944,0.16229,0.030192,41.10970523033613,0.08470850638560753,0.2117622271019232,148.4807462986115,0.14776523505804948,4.924132406583086,42917.83723490224,0.21474039786201354,1.037030033568446,78181.6486263809,0.22852012185187962,0.3027957996028042,482.6408434753591,82.72276927888284,0.8913549019607844,2.4011085851555314,0.1338524121504726,2.5676601080246915,98.13782811630566,0.23765923340818,0.22488203533141543,0.27045153822214263
9,109,71.8245,13.7301,73,18.8538,0,115,121,21,131,23,1.02975,69.80151,0.0,0.0,0.64286,3.369,11.89026,0.0,0.0,125.0,57.57361,0.00123,0.62,1.876,-1.0,0.029412,40.95548521442178,0.08472311203514189,0.21202789256356286,148.36822272078473,0.14317104805248712,4.904618759121355,43104.72891781854,0.21611285003761374,1.0413060672685461,78021.93752099336,0.2320326424600422,0.3025594426644687,481.6964550201454,82.75194389945719,0.8908993921568626,3.2463196943165196,0.1338069728843092,2.5246913580246915,95.99284288922044,0.2379724555607084,0.2245669082618913,0.2670079785936729
