,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0,cubrow.1.0,staticness,cubcol.0.6,temporal,blockiness,cubrow.0.6,blur,cubcol.0.3,saturation,cubrow.0,noise,cubcol.1.0,cubrow.0.3,uhdhdsim,tone,fft,contrast,cubcol.0.5,cubrow.0.5,movement,color_fulness
0,300,73.4873,14.394,75,0.0,0,115,121,21,131,24,1.01304,71.46965,0.0,0.0,1.14286,3.275,0.0,0.0,0.0,125.0,58.9363,0.00106,0.6,1.542,0.0,0.022087,0.08635229762572721,0.30937898942894604,487.7704697468843,0.2836677719853157,0.0,4.194618913093416,0.24106872315576872,39923.49520978965,0.3434448950856844,39.90174074526187,0.2615502835892489,1.0209124401584349,0.13468498455235806,0.23994350922106253,82.40874899236508,0.9015545098039217,76851.181959473,96.38302731639894,0.3529580104830641,0.24118188809529376,0.0,145.27777010201805
1,301,72.5954,14.6746,75,20.8718,0,115,121,21,131,24,1.01531,70.71784,0.0,0.0,0.89286,3.293,12.3871,0.0,0.0,125.0,58.8844,0.00117,0.59,1.589,-1.0,0.034159,0.08530039395742568,0.2973346696843009,483.0848621409957,0.23800431994619975,4.989602856994201,3.8804259475860006,0.23729204991822625,38498.726059368564,0.2531257166433254,39.970375343605326,0.22844749065680758,1.0291887332239609,0.1336877930468069,0.2253018590225405,82.54719718688035,0.9001811764705883,76542.45988783182,96.3730856404176,0.31327532523427754,0.23496018890713152,6.056327160493828,145.16842162001848
2,302,73.0702,14.3386,75,21.7444,0,115,121,21,131,24,1.01756,71.1854,0.0,0.0,0.92857,3.291,12.62504,0.0,0.0,125.0,58.88095,0.00123,0.6,1.801,-1.0,0.029104,0.08463714101124066,0.28985161608186905,479.0638559260991,0.2263232182833722,4.992465886856919,3.4384357004450856,0.23443745980972075,39309.807334440644,0.23056062232135982,40.22878915292246,0.23215510675625967,1.0302179370523885,0.13321008658104677,0.21988883473150075,82.43440599457406,0.8992890196078431,76598.80667633678,96.14401028327809,0.30525114383783913,0.23365095252244825,5.671826774691358,145.2366126984383
3,303,73.2469,14.7455,75,20.5501,0,115,121,21,131,24,1.01858,71.32454,0.0,0.0,0.42857,3.277,12.33837,0.0,0.0,125.0,58.96504,0.001,0.59,1.717,-1.0,0.025692,0.08466529443477433,0.28558218936620544,475.6648363217514,0.22236769737111853,4.958077238173217,3.5845148126653594,0.23455441319222084,39833.5442636984,0.2278356082900746,40.289989518530575,0.2296425171684562,1.0314063592671936,0.1331613154331568,0.21651630147813727,82.40386524698137,0.9000270588235294,76796.85108550021,95.89863931634326,0.3008562133118919,0.23362435103525114,4.8385898919753085,145.14007903412875
4,304,73.285,14.9313,75,21.3274,0,115,121,21,131,24,1.01801,71.34041,0.0,0.0,0.71429,3.273,12.68714,0.0,0.0,125.0,58.9217,0.00122,0.59,1.762,-1.0,0.024545,0.08460007433042115,0.28092607769150507,473.1164287549691,0.21729876116514818,4.9819782921234514,3.840047537588401,0.2344083713672512,40268.82233103541,0.21649608414414748,40.44101423098717,0.22982381789209555,1.0336239853104179,0.13331840053856767,0.21361137085791118,82.4711405166871,0.8996960784313726,76770.96259741599,97.89869354439332,0.29716196871629336,0.23329797322228107,4.190441743827161,145.36048191574514
5,305,73.9132,15.1292,76,21.4205,0,115,121,22,131,24,1.01024,71.91479,0.0,0.0,1.03571,3.264,12.8469,0.0,0.0,125.0,58.79856,0.00116,0.6,1.719,-1.0,0.02649,0.08451957369981618,0.28023485213101823,471.3596279576853,0.21498719458962137,5.047984273200485,3.853396968201823,0.23412636066056167,41116.611744635506,0.21286834643217953,40.38646462522907,0.23117727073032787,1.03421819641781,0.13350517411860316,0.2119357288609863,82.32997346785763,0.8992890196078431,77021.1133547114,97.99408703173417,0.2946955410820745,0.2327100537640346,4.268566743827161,145.551973485337
6,306,73.6028,15.794,76,21.153,0,115,121,22,131,24,1.01771,71.66328,0.0,0.0,1.42857,3.277,13.01059,0.0,0.0,125.0,58.74185,0.00126,0.59,1.645,-1.0,0.02798,0.08461679133788734,0.27491673322088384,469.9661604052269,0.21610821485703613,5.111429388238333,3.7570456995984958,0.23368010737885275,40559.19451835037,0.2078654596698191,40.52819843056761,0.23627040919729134,1.0336239853104143,0.13335200721555218,0.21151899080233608,82.34862947823731,0.8986780392156863,76728.40255182175,98.23152671786879,0.2905732521791702,0.23306942692548407,4.60570987654321,145.64014484979393
7,307,73.2511,15.845,75,21.736,0,115,121,22,131,24,1.01854,71.34077,0.0,0.0,0.85714,3.29,13.58324,0.0,0.0,125.0,58.63427,0.00117,0.6,1.886,-1.0,0.026853,0.08464795855469433,0.27221234912391634,468.39496501661256,0.2158812300500597,5.173168636311012,3.2384210660078345,0.23392262565534058,39967.500771223866,0.20613569475701396,40.423311209972994,0.23409173661295626,1.0314063592672016,0.13345610809384154,0.2116185989881401,82.40265659606965,0.8987078431372548,76546.22861363586,96.20315000182153,0.2862145302148232,0.2333578069278439,4.930748456790123,145.78691628116025
8,308,73.9667,15.7747,76,22.4215,0,115,121,22,131,24,1.01865,71.92902,0.0,0.0,0.75,3.294,13.62496,0.0,0.0,125.0,58.56908,0.00132,0.6,1.887,0.16461,0.034714,0.08460400506168043,0.26900011428970716,466.88830018167647,0.21472627586489393,5.201736717589157,3.4039154079459797,0.23372907775471843,40630.79225886384,0.2033191824278245,40.33587759512442,0.23706253827010595,1.0297829443313595,0.13328933504202073,0.21209496191905716,82.32059727606043,0.8995341176470588,76418.24365119677,98.15151750054423,0.28340558525054377,0.23357870002486542,4.925684799382716,146.0689062654863
9,309,73.709,15.7964,75,23.8612,0,115,121,22,131,24,1.02165,71.70504,0.0,0.0,1.75,3.283,13.56543,0.0,0.0,125.0,58.55375,0.00128,0.59,1.755,-1.0,0.037742,0.08454753515704552,0.26801512537617683,465.59571965365734,0.21278211015474308,5.143616662813355,2.5651504391810147,0.2335165269439852,40397.132353367866,0.20114921972987077,40.32071619857977,0.23935000419946556,1.0275653182881284,0.13326718990158223,0.21172535635665013,82.39848917835106,0.9005933333333334,76485.8265065451,98.11900037914137,0.28058828602559,0.23373154604575264,4.232880015432099,146.4250379772846
10,310,73.8458,15.0684,75,22.4486,0,115,121,22,131,24,1.0161,71.82841,0.0,0.0,2.46429,3.283,13.59144,0.0,0.0,125.0,58.69168,0.00113,0.59,1.759,-1.0,0.030315,0.08449224214370174,0.2664792175535906,464.45976858808154,0.21204023052618692,5.135674060111051,3.0149161276695016,0.23374805364458834,40421.77842881604,0.19594706237499432,40.22324908221209,0.23954181833369387,1.0170713991793798,0.13320865666725357,0.21196809469319042,82.40070690754007,0.9041603921568627,76541.98011861129,98.45081889183957,0.27826242959605146,0.2340761190895024,5.5390625,146.78215771228892
11,311,74.3424,14.8745,76,21.3757,0,115,121,22,131,24,1.02759,72.28709,0.0,0.0,0.96429,3.275,12.97049,0.0,0.0,125.0,58.7535,0.00115,0.6,1.922,-1.0,0.028455,0.0845011306746836,0.2650888476288679,463.3162363551335,0.21200802013065848,5.060261374422189,2.766612383525902,0.2338538354533996,40515.14313286212,0.19447904821620166,40.259527135778356,0.24535444738409248,1.0186948141152044,0.13323211088788028,0.21199528547053972,82.26480136668809,0.9048317647058823,76112.20588950044,96.3012691090376,0.27637989311383754,0.23432617293146624,5.518663194444445,146.61853320820677
12,312,74.0456,14.9099,76,20.9246,0,115,121,21,131,24,1.02832,72.03213,0.0,0.0,0.82143,3.272,12.80698,0.0,0.0,125.0,58.80588,0.00147,0.6,1.852,-1.0,0.032748,0.0844945843575577,0.2643198680021173,462.15150605810624,0.2109237860415748,5.058636786156845,2.6330309473609916,0.233960329425114,40076.20500254249,0.1925668336103099,40.298718676155,0.24829598919823284,1.024753481137494,0.13308323796366786,0.21207841577516354,82.26307987248254,0.9048317647058823,76456.12208546553,97.80717937458637,0.27452002258735564,0.23447906144279623,4.606770833333333,146.57828007921069
13,313,73.5542,15.4767,75,21.0864,0,115,121,21,131,24,1.02086,71.59399,0.0,0.0,1.07143,3.27,12.83608,0.0,0.0,125.0,58.78869,0.00129,0.6,1.886,-1.0,0.032633,0.08453679755147446,0.26367556430658384,460.9442227073145,0.20890393829557896,5.0646460833749956,2.7892446518305367,0.23406742820470264,39313.22087415625,0.19021702519726905,40.32820204746576,0.24753128453128673,1.0263768960733328,0.13287979199556227,0.21251992022805943,82.35433617871925,0.9033576470588236,76559.39221858402,98.37067600883952,0.2730116138439473,0.23458578171422578,4.168258101851852,146.44981737766335
14,314,73.6401,15.434,75,22.127,0,115,121,21,131,24,1.03733,71.71138,0.0,0.0,1.35714,3.26,13.31377,0.0,0.0,125.0,58.60783,0.0013,0.59,1.99,-1.0,0.030071,0.08469387587124626,0.26244536637143573,459.78362388301105,0.20705282752508175,5.106743523127848,2.204463922805515,0.23401746332979662,38935.97367166486,0.18854487828866084,40.1104736328125,0.24934527927896344,1.0261593997128107,0.13276292842485882,0.21280518255497108,82.23195850837928,0.9009556862745098,76379.97125963974,98.01103347891005,0.27206023495462084,0.23470318337037896,3.720148533950617,146.4968590731841
