,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,fft,movement,saturation,noise,cubrow.0.6,temporal,cubrow.0.5,cubcol.0.6,tone,color_fulness,cubrow.0,cubcol.0.5,cubcol.0.3,cubcol.1.0,uhdhdsim,cubrow.0.3,cubrow.1.0,cubcol.0,contrast,blur,blockiness,staticness
0,0,70.4415,13.206,67,0.0,0,115,121,17,131,20,1.0345,67.01105,0.0,0.0,0.35714,3.471,0.0,0.0,0.0,125.0,58.93628,0.00045,0.43,2.141,0.0,0.286934,78821.19072056688,0.0,39.8434171323423,0.6690320977063063,0.22839411284936428,0.0,0.2252927022902007,0.24222750675311513,0.8998530784313721,145.76341759250172,0.37088051433376074,0.3231272873797609,0.18605133576094846,0.12761304253075637,82.6835239675677,0.19769173889251865,0.28316828221881235,0.08336910714080528,95.5922752643319,41773.32220230353,3.1110407803967233,478.9170501729373
1,1,70.798,13.0897,68,18.5432,0,115,121,17,131,21,1.04148,67.38693,0.0,0.0,0.21429,3.442,11.35756,0.0,0.0,125.0,58.93389,0.00052,0.43,2.209,-1.0,0.314961,78514.50116947928,4.683063271604938,39.758187753182874,0.669032097706308,0.22685742588165628,4.520737752872523,0.22131585308915075,0.21539981477324202,0.8986062745098039,146.21078331171088,0.3165022319473866,0.2908099939929456,0.15509186981279408,0.12842048036841502,82.61466584076277,0.19201352243254405,0.27991399941367084,0.0821695535298751,96.74969741225937,41613.096212681405,2.644497021161505,476.16296287749174
2,2,70.9015,12.9887,68,18.2081,0,115,121,18,131,21,1.03386,67.5108,0.0,0.0,0.35714,3.437,11.25092,0.0,0.0,125.0,58.92086,0.00052,0.44,2.553,-1.0,0.272969,78587.63509323302,4.1547067901234565,39.75910685974874,0.6690320977063108,0.22732801134507977,4.497762968485446,0.2194986774338429,0.2138132642826666,0.8982666666666667,145.9893565861127,0.2947360071166691,0.27562998150937335,0.14808627653208878,0.12743267173906517,82.61394649887022,0.18935944611896874,0.28121357488729165,0.08204871862313105,98.1773555914993,41471.47274162285,2.414815930820592,474.1464618241269
3,3,71.4963,12.6317,69,17.7659,0,115,121,18,131,21,1.02826,68.0904,0.0,0.0,0.10714,3.409,11.1623,0.0,0.0,125.0,58.92857,0.00046,0.44,2.261,-1.0,0.266662,78765.47198907277,3.6676311728395063,39.896205760814524,0.671249723749543,0.22734451251091908,4.470132325986701,0.21949022903433993,0.21362942770615137,0.8980299411764705,145.94199401262642,0.28104377377359013,0.2685769781727045,0.14550125013318083,0.12727109096032171,82.52275753824776,0.1896750079881936,0.27943612753772695,0.08203188248227394,98.07962881158245,42363.996524886614,2.8325712411133868,472.540698226907
4,4,72.2278,12.259,70,17.1147,0,115,121,18,131,21,1.03494,68.80284,0.0,0.0,0.14286,3.421,10.8609,0.0,0.0,125.0,58.93197,0.00058,0.43,2.469,-1.0,0.270621,78867.06019338031,3.025607638888889,39.948845380618245,0.672873138685377,0.22752859969318648,4.375845560558092,0.21954567896762953,0.21065057643676208,0.8976933333333333,146.1064603059886,0.27051607092260155,0.27212346118213326,0.14321504301633173,0.12674303175302984,82.4298475465788,0.18972380055945987,0.2810638205475244,0.08186680071782768,98.15611241528691,43425.60668098417,3.227140956055855,471.2669782195548
5,5,72.6685,11.4236,70,16.7776,0,115,121,18,131,21,1.03088,69.2276,0.0,0.0,0.39286,3.423,10.54723,0.0,0.0,125.0,58.94576,0.00056,0.44,2.288,-1.0,0.284043,79039.0430537324,2.497685185185185,39.97772310986931,0.6773083907718339,0.22718649518972883,4.281377866733699,0.22061986188872956,0.20868421301386772,0.8976174313725381,146.0579217801735,0.26375177027929364,0.27809307329465616,0.14172570328156142,0.12645659228488723,82.40442599753021,0.1888101594893013,0.28482042758588555,0.08191822547044511,98.03474284952014,44612.344196229395,2.9056869064075914,470.1638776529247
6,6,73.1628,10.9611,71,14.9206,0,115,121,18,131,22,1.0306,69.69361,0.0,0.0,0.10714,3.389,9.82473,0.0,0.0,125.0,58.95318,0.00047,0.43,2.413,-1.0,0.286032,79105.73937921372,1.9690393518518519,40.12330175329138,0.6789318057076678,0.226831345362871,4.130477583543874,0.22167764487614597,0.20816997983769267,0.8974560784313725,146.08865838678176,0.2640916131057366,0.2822938749639847,0.14162219463858372,0.12631480692174857,82.29304655126406,0.1888607627129007,0.28720426052561804,0.08175110747105634,95.53970108836869,45528.11813401192,3.013683939166941,469.2960543351962
7,7,72.8637,11.7851,70,13.2522,0,115,121,18,131,22,1.03963,69.41447,0.0,0.0,0.42857,3.398,9.42761,0.0,0.0,125.0,58.92435,0.00059,0.44,2.285,-1.0,0.305076,79077.36178430612,1.746190200617284,40.099538355697824,0.6795260168150632,0.2263822290280413,4.026234578252393,0.22213293453564886,0.2070144151623956,0.8969509803921569,145.8796184006401,0.262243052036713,0.28749335516488544,0.14125110853790573,0.12642999172945496,82.35888319218392,0.1881610974907039,0.28940682972014464,0.0818242942679722,97.81596211818481,45007.867993558306,2.4195394745841976,468.5875940162182
8,8,71.957,12.2725,69,16.2325,0,115,121,18,131,21,1.03419,68.57862,0.0,0.0,0.71429,3.388,10.14134,0.0,0.0,125.0,58.8639,0.00052,0.43,2.161,0.16937,0.315751,78715.91423821525,1.7291184413580247,40.04704925160349,0.6750907647286076,0.22608226449603147,4.188610426445356,0.22233627328851843,0.20638725081700798,0.895947843137255,145.9328349060258,0.26064983550142845,0.2868297875761659,0.141747686887738,0.1265055797368112,82.4680911108692,0.18779767959947868,0.2886509884046912,0.0816590369419243,95.36119747428563,43052.23713568521,2.7195292515824057,467.92197504932545
9,9,71.5349,12.5217,69,15.7747,0,115,121,18,131,21,1.04474,68.18506,0.0,0.0,0.75,3.38,10.55177,0.0,0.0,125.0,58.84014,0.00057,0.43,2.322,-1.0,0.308465,78389.4596229128,1.7099247685185186,40.195850701979644,0.6750907647286067,0.22604038274236452,4.2899836573223205,0.22257248404122912,0.2052550628203269,0.895947843137255,146.11232770666692,0.2577232374895537,0.2859640069519007,0.14129051461844366,0.12659947842917213,82.44457899524674,0.18814824487096718,0.28629513212541335,0.081738270279206,97.97300849774503,41918.35505369083,2.4576123465499378,467.2776674025153
