,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.5,staticness,cubrow.1.0,cubcol.0.3,noise,blockiness,cubcol.0.6,cubrow.0.6,uhdhdsim,color_fulness,cubcol.0,fft,temporal,saturation,blur,tone,cubrow.0.3,cubcol.0.5,cubrow.0,movement,contrast,cubcol.1.0
0,100,69.1412,15.8643,64,0.0,0,115,121,17,131,19,1.04583,65.5722,0.0,0.0,0.57143,3.473,0.0,0.0,0.0,125.0,57.25164,0.00049,0.44,2.249,0.0,0.271455,0.22265079438181917,496.2988211554975,0.30088827473704516,0.22937877917046492,0.6690320977063057,2.054669092467427,0.24777769521646642,0.23615308093668083,83.1749528305214,147.80352622936027,0.08335354891085547,78218.43948353623,0.0,40.452676090193386,40242.9634034893,0.8852345098039216,0.21380959446079337,0.26410395414303284,0.3088286550312853,0.0,98.2224751249268,0.12856660443336176
1,101,68.94,14.9705,64,21.2872,0,115,121,17,131,19,1.03594,65.3539,0.0,0.0,0.82143,3.501,13.62094,0.0,0.0,125.0,57.37277,0.0005,0.45,2.191,-1.0,0.274648,0.21897903745747205,492.33059234488593,0.2940072888700717,0.17235618368626082,0.6629734306840137,2.2237721474668697,0.21246472373056302,0.23209395329718316,83.2218769586443,147.65234284732307,0.08232692367500573,79053.54408253968,4.832298856276204,40.65001047393422,40305.45665932241,0.8853552941176471,0.20530264484961996,0.24202104518761464,0.24398992089368618,6.258921682098766,97.17512885442429,0.1284526933987138
2,102,68.9887,14.3702,64,21.1347,0,115,121,17,131,20,1.02992,65.37749,0.0,0.0,0.60714,3.476,12.8537,0.0,0.0,125.0,57.46308,0.00059,0.45,2.071,-1.0,0.292864,0.21691625210673754,489.3730773321384,0.2901693772611232,0.15856990043187005,0.656914763661726,2.2514231040791843,0.20288942720295775,0.2313733407357415,83.20597938341515,147.66258307321493,0.08216310343000202,79198.29782189745,4.750630592888968,40.703192251699946,40580.84736703919,0.8865674509803921,0.2017443244719496,0.24032451460504026,0.22986500178944103,5.370997299382716,97.85499415324861,0.1279643331152502
3,103,69.3612,14.1251,64,22.0846,0,115,121,17,131,20,1.02685,65.73057,0.0,0.0,0.60714,3.479,12.34292,0.0,0.0,125.0,57.50567,0.00044,0.44,2.17,-1.0,0.278697,0.21520065464343552,487.2181189929579,0.288275846678114,0.15179850438239623,0.6585381785975649,2.1408493820336085,0.2016959737367818,0.23049171785066466,83.1862802684057,147.7531563137281,0.08188328572997992,79216.03138062062,4.688903870708469,40.93511020990066,41464.47273110023,0.8873729411764706,0.20061275868578812,0.23754488961511694,0.22493763045512843,4.663628472222222,95.33030105062963,0.12747847054540748
4,104,69.2388,13.8937,64,20.8347,0,115,121,17,131,20,1.02192,65.63306,0.0,0.0,0.60714,3.513,12.13534,0.0,0.0,125.0,57.51334,0.00062,0.44,2.047,-1.0,0.266747,0.21508102641090482,485.5469016506811,0.2889448258497792,0.14799800685426223,0.6601615935334079,2.343450241819971,0.20079502471954397,0.23005018402332705,83.27826520652908,148.03237885246807,0.08178993418427906,79092.20444970655,4.656496233857161,40.978329882209685,41738.67314959302,0.8870490196078431,0.19999978083016015,0.2382148145178201,0.22193418676933435,3.9348476080246915,95.2890288361331,0.1272475370382135
5,105,68.7992,13.4389,64,19.7778,0,115,121,17,131,20,1.0396,65.2119,0.0,0.0,0.39286,3.525,11.936,0.0,0.0,125.0,57.50028,0.00057,0.44,2.21,-1.0,0.268875,0.21478605207215207,484.0637720593203,0.2912741747312517,0.14589567663623754,0.662973430684019,1.8944482916280736,0.20024273321371078,0.2296689603624856,83.28268590378528,148.0575924782606,0.08177752015145649,79317.02503839546,4.5959088492615,40.89804529260706,41691.23826268673,0.8860600000000001,0.19987344443367663,0.23736423322210362,0.21993629012060242,3.482445987654321,97.61904984255237,0.12762793822730933
6,106,68.6353,13.3189,64,18.8048,0,115,121,17,131,20,1.04093,65.06173,0.0,0.0,0.67857,3.549,11.54387,0.0,0.0,125.0,57.48901,0.00063,0.44,2.165,-1.0,0.260903,0.2141196200734277,482.79283822774795,0.2921805921190325,0.14309406940435196,0.660161593533391,2.086702534298941,0.19953949736199744,0.22885045993819916,83.3938483210851,148.0783678668866,0.08150504184815417,79190.05480350048,4.551214144211541,40.953379124770926,41443.67049965915,0.8857168627450981,0.19915175020921527,0.23804175552186216,0.21851468926029757,3.0862750771604937,97.814243702226,0.12793478696412633
7,107,68.8296,13.2808,64,19.6495,0,115,121,17,131,20,1.04299,65.22997,0.0,0.0,0.32143,3.546,11.44171,0.0,0.0,125.0,57.47291,0.00049,0.44,2.087,-1.0,0.28837,0.2133429394938403,481.5655342501051,0.29140180609446614,0.13942992030116613,0.654697137618497,2.1735287986617373,0.19711531542450506,0.22856934429781378,83.34932310177004,148.02372257394762,0.08168083860648612,79441.30788909373,4.537689567115658,40.837827329282405,42318.50700393423,0.8863137254901962,0.19761037556812056,0.2383947496899295,0.21934409819609796,2.748456790123457,97.90579150783478,0.12815059741897417
8,108,68.9847,13.1887,64,18.0708,0,115,121,17,131,20,1.05448,65.39633,0.0,0.0,0.28571,3.561,11.41368,0.0,0.0,125.0,57.44693,0.00056,0.43,2.411,0.17503,0.26721,0.21261504240436213,480.57642217732,0.29133593609641356,0.13618803721861747,0.65691476366173,2.487301492880986,0.19745567813470902,0.2285656925931085,83.32343979785774,148.3100959121851,0.08164551753822018,79366.13974124687,4.504230443182061,40.84174601236979,42702.201030909724,0.8821356862745098,0.19699568651901767,0.23877270535091108,0.22167453309423213,2.487461419753086,95.52298871505964,0.12814208577319727
9,109,69.1187,13.0821,64,18.6606,0,115,121,18,131,20,1.04367,65.55581,0.0,0.0,0.35714,3.586,11.33477,0.0,0.0,125.0,57.43229,0.00049,0.44,2.023,-1.0,0.286913,0.21236692166253635,479.66856210954154,0.2910479892169361,0.13159577499777203,0.6668144716630757,3.117987535264136,0.19894137397145756,0.22885366343226973,83.35819399781971,148.1941417333978,0.08168298746003456,79149.14710548136,4.484456232864282,40.69008645893615,42865.41032168267,0.8819588235294117,0.19725960063245326,0.2341633961093047,0.22529732351798615,2.4463734567901234,95.75598585206933,0.12802929694036866
10,110,69.2642,12.8199,65,18.1448,0,115,121,18,131,20,1.05001,65.73832,0.0,0.0,0.67857,3.575,11.24932,0.0,0.0,125.0,57.43808,0.0006,0.44,2.289,-1.0,0.275108,0.21233866578648386,478.86699009593093,0.29133027916803544,0.13146135788579677,0.6690320977063084,2.430133642825122,0.19966281116529824,0.22937435987818805,83.30578848243219,148.26560398863717,0.08162354904265803,79058.15474056665,4.443472025419908,40.65621232397763,43051.87399422604,0.8811074509803918,0.19723479832737953,0.2338619910191151,0.2283525265266313,3.7529417438271606,95.97948549160299,0.12808556197763502
11,111,69.5091,12.6585,65,16.3164,0,115,121,18,131,21,1.04441,65.99448,0.0,0.0,0.39286,3.592,11.02378,0.0,0.0,125.0,57.45557,0.00061,0.43,2.085,-1.0,0.261579,0.21234251262733428,478.1473688697928,0.2920844316412625,0.13353119121252022,0.6700613015347474,2.1218317383430523,0.19995414686413998,0.2296251281744882,83.28561706608068,148.51403986496177,0.08156187271073803,79017.37946132656,4.393219667957195,40.55580497082369,43228.07921951303,0.8853674509803922,0.19716702558662705,0.23487644739298602,0.22998120049301535,3.908661265432099,97.93996114528328,0.12818568330675592
12,112,69.4715,12.4335,66,16.2325,0,115,121,18,131,21,1.04191,65.98551,0.0,0.0,0.53571,3.576,10.88677,0.0,0.0,125.0,57.44179,0.00048,0.44,2.248,-1.0,0.262788,0.2127928427863811,477.46994003943564,0.2932344047770536,0.13487695157418683,0.6706555126421448,2.4060835241401546,0.20117785814824088,0.22993380720022225,83.27973199252963,148.40450709982912,0.08148926582081278,79077.66397454498,4.334263425528313,40.49613877284674,43080.22802065973,0.8854419607843138,0.19715232776276306,0.23593616069047116,0.23217609336358108,3.365644290123457,98.00411042477397,0.12828997798737807
13,113,69.6022,12.0505,66,16.0628,0,115,121,18,131,21,1.03687,66.13687,0.0,0.0,0.78571,3.593,10.69173,0.0,0.0,125.0,57.43409,0.00051,0.43,2.206,-1.0,0.273733,0.21293946045455553,476.81540816265056,0.2939607769066892,0.13415182852376156,0.6706555126421433,2.4780570132895634,0.20293206849147113,0.23018438291546522,83.28262196762707,148.4574736761278,0.08145029553871269,79147.16141053471,4.283211980224788,40.281986001097124,43284.08945750876,0.8853823529411765,0.19767405171073346,0.2366365583844418,0.2327710172160571,2.7566550925925926,98.04572687324193,0.12797004140321835
14,114,70.2722,11.7208,66,15.7757,0,115,121,18,131,21,1.03768,66.76881,0.0,0.0,0.5,3.603,10.36753,0.0,0.0,125.0,57.44267,0.00062,0.43,2.02,-1.0,0.287278,0.21318988822729582,476.26789716384934,0.294740541249037,0.1362737717582928,0.6712497237495466,2.551087539260757,0.20276284803293573,0.23048524917418664,83.2134879603752,148.48443177046477,0.08147166985181141,79309.13162012478,4.2099836331460985,40.28208113305362,44446.755824965214,0.8853823529411765,0.19845032614486183,0.23761180942459714,0.2317691924222383,2.4347029320987654,96.01339108174379,0.12798518546432905
15,115,70.6515,10.9624,67,15.2669,0,115,121,18,131,21,1.03483,67.10878,0.0,0.0,0.17857,3.599,10.07869,0.0,0.0,125.0,57.44134,0.00063,0.43,2.168,-1.0,0.263549,0.21312269222432417,475.7759500973302,0.2963380406164817,0.13689835299739303,0.6728731386853788,2.6786481304666796,0.202838470172957,0.23062777575756577,83.19833351560192,148.4527005194908,0.08143727327205656,79206.9150238845,4.134562779182341,40.37822035801263,45560.77453573293,0.8849745098039216,0.1983903867894,0.23891020105997096,0.23166090224906463,2.9869791666666665,98.25652288687898,0.12818303079807988
16,116,70.8088,10.3755,67,14.4323,0,115,121,18,131,21,1.03714,67.26679,0.0,0.0,0.35714,3.592,9.42544,0.0,0.0,125.0,57.43523,0.00066,0.44,2.202,0.17052,0.265001,0.21307502299165124,475.35093755151604,0.29824058036654505,0.13624730901164028,0.6728731386853809,2.570408668261533,0.20281534809088003,0.2305861389177805,83.16721632048123,148.4394045361582,0.08143556480808681,79451.89733218943,4.017931871488086,40.431102234640235,46217.271321165324,0.8849588235294118,0.19817886080156993,0.24126642970081139,0.2333367853473755,2.925636574074074,98.02865710398004,0.1282688920540763
17,117,70.6984,11.1457,67,12.3484,0,115,121,18,131,21,1.03573,67.14829,0.0,0.0,0.46429,3.607,8.92834,0.0,0.0,125.0,57.38655,0.00063,0.43,2.022,-1.0,0.269203,0.2130728855102659,474.97742798656327,0.30041692771424955,0.1374689199837967,0.6728731386853769,2.8565556734720357,0.20338637052553196,0.23051755128736923,83.21413528920233,148.51526932276957,0.08139582014759739,79432.19607509159,3.891006016801833,40.170248714494114,46192.04812488541,0.8838343921568543,0.19812981278878675,0.24432813423314842,0.23482633266282574,2.556954089506173,97.9062280742155,0.12819775809070594
18,118,70.2267,11.6902,67,14.2375,0,115,121,18,131,21,1.03376,66.72825,0.0,0.0,0.35714,3.608,9.58956,0.0,0.0,125.0,57.35001,0.0006,0.44,1.958,-1.0,0.254967,0.21320148047959675,474.65153623268355,0.3014316071110926,0.13734812292195978,0.6728731386853802,2.8410202327365237,0.20389917598687296,0.23038652766777537,83.26470675141579,148.42796071924002,0.08136367037347275,79095.70854785878,4.0383549058912855,40.250706802179785,45016.83906955966,0.8826178431372425,0.19806614442245957,0.2443602402553353,0.23499189012138302,2.4421778549382718,94.80682486244082,0.1282271528852025
19,119,69.874,11.9311,66,15.3293,0,115,121,18,130,21,1.04115,66.38622,0.0,0.0,0.25,3.602,10.0504,0.0,0.0,125.0,57.31851,0.00052,0.44,2.013,-1.0,0.294419,0.21317213397597018,474.34613285143854,0.30129223686219514,0.1376873842656461,0.6728731386853769,2.447076956227086,0.20375602585121647,0.2302765490499704,83.27601735288326,148.65931405161874,0.08136437358929997,79250.79395620446,4.142824009403603,40.22986913610388,44393.30504789041,0.8821611764705882,0.1979211044915202,0.24317155381651462,0.23429392086716894,2.5105131172839505,97.5171074982515,0.12826708809263884
20,120,69.1895,12.1924,65,15.2572,0,115,121,18,131,21,1.03739,65.73316,0.0,0.0,0.46429,3.601,10.25123,0.0,0.0,125.0,57.29283,0.00059,0.44,1.816,-1.0,0.281542,0.21319435144353105,474.06363905724976,0.3013151736839912,0.13752721872085708,0.6728731386853722,2.0993704518165806,0.204833368943789,0.2303017929665493,83.31998081158623,148.63239051750895,0.08141375044294706,78921.5182623241,4.229375888062041,40.31809168686101,43245.466118323224,0.882323137254902,0.1980581332866851,0.2423279540611883,0.23407469080840745,3.1163194444444446,97.35512222550894,0.12819489620505825
21,121,68.7989,12.3146,65,15.2758,0,115,121,18,131,21,1.04081,65.35063,0.0,0.0,0.46429,3.622,10.47528,0.0,0.0,125.0,57.28383,0.00049,0.43,1.988,-1.0,0.303884,0.21355019401771946,473.71253659085545,0.3014794627140805,0.1368232995007352,0.6690320977063102,2.1641836418107085,0.20459797801507792,0.23033237558425745,83.40377966871142,148.5621334215474,0.08139052617422744,78992.7050530971,4.285881705023452,40.23642118477527,42813.63935118503,0.8827309803921568,0.19828920892462404,0.2419878264151157,0.23308140421426565,3.263358410493827,97.54692040722115,0.12825089355572347
22,122,68.7184,12.3478,65,16.4144,0,115,121,17,131,21,1.05096,65.22407,0.0,0.0,0.89286,3.617,10.58554,0.0,0.0,125.0,57.283,0.00057,0.44,1.881,-1.0,0.308638,0.2135724453811274,473.34505913130215,0.30144432753181827,0.13687478677271578,0.6706555126421424,2.3425112363514393,0.20341403519952767,0.23038390585278673,83.3572763319172,148.4352487273352,0.08135667275055936,79003.87084472888,4.320225623805593,40.12696800702884,42941.733963035294,0.8840211764705883,0.19818328561559195,0.24151047947455065,0.2325549353227754,3.290653935185185,97.5222399294577,0.1283034848719555
23,123,68.5557,12.5007,64,15.8479,0,115,121,17,131,20,1.04317,65.02646,0.0,0.0,0.5,3.605,10.61011,0.0,0.0,125.0,57.28218,0.00052,0.43,2.18,-1.0,0.275644,0.21377198735372988,472.9712045364969,0.3011043069719387,0.13936583800723862,0.6668144716630793,2.459125924186497,0.20264929660340772,0.2304418541885599,83.41946324266551,148.34014325937702,0.08139855966047792,79321.68625078588,4.354512343033095,40.23804897732205,43040.74299330319,0.8843039215686275,0.19816154069799893,0.2404616850174841,0.23286742954939085,3.287471064814815,97.63386439285563,0.128296274242788
24,124,68.6013,12.6332,64,16.6568,0,115,121,17,131,20,1.04345,65.01418,0.0,0.0,0.28571,3.622,10.74379,0.0,0.0,125.0,57.25758,0.0006,0.43,1.975,0.17361,0.300598,0.21398380670311923,472.5898125618999,0.30072488773868633,0.1407666647218377,0.6607558046407931,2.354030190009133,0.20218078279933083,0.23041095378717097,83.3841470112246,148.45847591889452,0.0813936215747853,79250.52566155547,4.377884961498087,40.195856165002894,43413.36128137719,0.8845945098039216,0.19822143985869387,0.23881686947998432,0.23345125704275257,3.324315200617284,97.61413862372298,0.12828915591645623
25,125,68.378,12.6878,64,17.6034,0,115,121,17,131,20,1.03732,64.7608,0.0,0.0,0.28571,3.606,10.85869,0.0,0.0,125.0,57.26266,0.00058,0.43,2.039,-1.0,0.286548,0.2141628162071212,472.15770549981033,0.3001985553337824,0.1404972265398608,0.6546971376184932,2.2776441013900937,0.2008951936875018,0.23035380248507664,83.4409959163935,148.52490669139078,0.08138621867997733,79336.60233020615,4.411573284573725,40.18297209563079,43194.386627007516,0.8850164705882353,0.198653987422524,0.23831947118721183,0.2338395739381453,3.597463348765432,97.7281401776786,0.1282332942241653
26,126,68.2263,12.7828,63,17.0931,0,115,121,17,130,20,1.03287,64.58515,0.0,0.0,0.57143,3.603,10.9051,0.0,0.0,125.0,57.26559,0.00053,0.43,2.237,-1.0,0.290311,0.2144153480583389,471.70210433939604,0.2997343861029877,0.1403283435984697,0.6546971376184928,2.4996310546007297,0.19950133578223056,0.2302642123595406,83.46487608579008,148.43699060195112,0.08140168039602091,79399.69638617107,4.426661980674859,40.26416618441358,42963.77962179834,0.8841639215686274,0.19903309641867437,0.23817303176234766,0.23437558999800326,3.7487943672839505,97.6501360731446,0.1282269863244126
27,127,67.9824,12.9573,63,17.2135,0,115,121,17,130,20,1.0384,64.35717,0.0,0.0,0.21429,3.598,10.98939,0.0,0.0,125.0,57.27377,0.0005,0.43,2.121,-1.0,0.287929,0.21483051915540324,471.19388231705216,0.2997897144588717,0.14136613303530876,0.6524795115752678,2.2821764851182977,0.19849275169046388,0.2302069741616162,83.479409055811,148.29700960794668,0.08141540180080438,79038.87502617265,4.462542200322647,40.116396680290315,42162.36073078128,0.882323137254902,0.19921904775213475,0.23804127043111775,0.23499948818602845,3.889805169753086,98.02706245196201,0.12816119033808873
28,128,68.0798,13.5205,63,16.6258,0,115,121,17,130,20,1.02729,64.42262,0.0,0.0,0.39286,3.595,11.13693,0.0,0.0,125.0,57.28584,0.00051,0.43,1.939,-1.0,0.281306,0.21513190016077524,470.66727215406456,0.2998128247608028,0.14285221988737032,0.6546971376184935,2.3752487933662922,0.1976867321550831,0.2301500896439988,83.46595837839135,148.2594905909089,0.08140162131155644,79460.13551212515,4.494619321867897,40.18778520748939,42414.14888498747,0.8817435294117647,0.1995743589360514,0.23767383107027965,0.23580386588300783,4.1040219907407405,95.5111495296309,0.12820673384790732
29,129,68.0131,13.8613,63,18.4037,0,115,121,17,130,20,1.04149,64.36939,0.0,0.0,1.0,3.589,11.62124,0.0,0.0,125.0,57.29325,0.0006,0.43,1.81,-1.0,0.292227,0.21551308184348458,470.10909871708645,0.29953448335061245,0.14277049852955037,0.6486384705962002,2.393031427718005,0.19625995778377509,0.23011406236587903,83.49634963689446,148.42573558761654,0.08137919695854846,79415.92694551978,4.536283797545346,40.05542858736015,41960.80794420586,0.8817435294117647,0.1998069670688664,0.23759259855268533,0.23526238913243386,4.416184413580247,97.62790900779775,0.1281254487078197
30,130,67.8036,14.1302,63,20.1654,0,115,121,16,130,20,1.03176,64.16408,0.0,0.0,0.17857,3.578,11.91289,0.0,0.0,125.0,57.28615,0.0005,0.43,1.74,-1.0,0.292113,0.21581882740722935,469.4986610549627,0.2990394047085624,0.14380688546803475,0.6480442594888055,2.59476943650426,0.19476876319136263,0.23018237839552724,83.4991533340511,148.46178103392316,0.08138210661520345,79299.751555262,4.562357973154426,39.98493053294994,41461.26203942912,0.882146274509804,0.19993464072661896,0.23771940574186884,0.23665892473394498,4.6029128086419755,95.9146086229307,0.12806065791646845
31,131,66.6726,14.9275,62,23.4857,0,116,121,16,130,19,1.03619,63.12263,0.0,0.0,0.5,3.608,12.14213,0.0,0.0,125.0,57.21104,0.00052,0.42,1.927,-1.0,0.311733,0.21606909542773844,468.85924581453435,0.2984924500500615,0.14358960937612122,0.64198559246651,2.413590054754558,0.19325296900095423,0.2301575385275352,83.67297022695666,148.51422140356527,0.08134180173251389,78699.56542200437,4.599912494694626,39.71454799322434,39102.03555752721,0.8814686274509804,0.2003339249337486,0.2370143274220634,0.2361633805144018,4.415943287037037,96.25894968448871,0.1280640026131163
32,132,66.0154,15.613,61,22.55,0,116,121,16,130,19,1.03148,62.52176,0.0,0.0,0.21429,3.621,12.82205,0.0,0.0,125.0,57.17105,0.00052,0.43,1.926,0.17335,0.29304,0.21621948449973205,468.2118537964187,0.29803299347122586,0.1423298831052076,0.6403621775306741,1.8621467859879233,0.19201097390440772,0.23010423799089336,83.76361948160658,148.37255141741832,0.08135211357148614,78311.38121864197,4.677319397243164,39.56153021918403,37733.903801075685,0.8803219607843138,0.20042635010581628,0.236222335455821,0.2356500871643412,4.502845293209877,96.85640277275814,0.12808549539270841
33,133,66.3644,16.8674,61,22.076,0,116,121,16,130,19,1.04302,62.84145,0.0,0.0,0.5,3.614,13.41807,0.0,0.0,125.0,57.16121,0.00046,0.42,1.903,-1.0,0.291426,0.2163807381033838,467.53692704166576,0.29772840772970804,0.1414726891414603,0.6419855924665064,2.2244452881450267,0.1908768679952237,0.23016316428709935,83.70187446787367,148.51256943016153,0.08131201600925102,78366.131918328,4.7232294847582095,39.29547891499084,38026.25775911769,0.8803509803921569,0.20026852463364467,0.23543038788945883,0.23597592098433487,3.921730324074074,96.45831047190242,0.1281670414897913
34,134,67.2116,16.8289,62,22.7454,0,116,121,16,130,19,1.032,63.61398,0.0,0.0,0.35714,3.611,14.49829,0.0,0.0,125.0,57.2356,0.0006,0.42,2.058,-1.0,0.28293,0.2166703880862131,466.8487191514007,0.29773656073692967,0.1411721052196724,0.6425798035739093,2.942687129248688,0.19001613632385417,0.2301580890015095,83.61098438011894,148.71676910297074,0.0813012191110445,77986.39149911208,4.717019856966739,39.09017077787423,39240.4311316157,0.881161568627451,0.2002238593921905,0.23463755095291516,0.23630510549573047,5.323447145061729,96.22299144142279,0.12816091856928558
35,135,67.0443,15.0178,62,21.1193,0,116,121,16,130,19,1.03213,63.44637,0.0,0.0,0.53571,3.6,14.46025,0.0,0.0,125.0,57.22349,0.00042,0.43,1.789,-1.0,0.263741,0.2169628792476439,466.1728821878229,0.29789430577539805,0.14048704662684766,0.6397679664232766,2.4249556136779273,0.18921665044873476,0.23010423815698336,83.63519408747885,148.99894160612217,0.08130159090949005,77822.8444024189,4.647853167054657,39.04266319745852,38367.58191695603,0.8811027450980392,0.20031752177196208,0.23414452566250266,0.23626406067249836,5.652536651234568,98.24592782221696,0.12820955609401116
36,136,66.3793,14.0158,61,20.324,0,117,121,16,130,19,1.03015,62.84542,0.0,0.0,0.46429,3.564,12.90323,0.0,0.0,125.0,57.20099,0.0005,0.42,1.841,-1.0,0.288312,0.2170945472401009,465.51003664633635,0.29724721270503424,0.13994502658526758,0.6320858844651562,1.9949230154568918,0.188197470392876,0.2301160157777437,83.63931958608535,148.92375081041158,0.08129025786214852,77735.68188500968,4.566520210744034,38.95640224880642,36671.34184387646,0.8815447058823529,0.20045484180598286,0.23377288556009004,0.236174536757071,5.77367862654321,98.20955386191204,0.12827917057545313
