,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blockiness,color_fulness,blur,cubcol.0.5,saturation,cubcol.1.0,cubcol.0.3,cubrow.0,cubcol.0.6,cubcol.0,cubrow.1.0,cubrow.0.6,noise,tone,temporal,cubrow.0.3,staticness,uhdhdsim,fft,cubrow.0.5,contrast,movement
0,400,69.5571,13.4209,65,0.0,0,115,121,16,130,18,1.03673,65.91545,0.0,0.0,0.25,3.534,0.0,0.0,0.0,125.0,58.23586,0.00046,0.42,2.184,0.0,0.276295,2.4834401425426185,149.97262985524281,40123.16824748749,0.23749317101827339,39.42244767554012,0.12558453266742733,0.27230423197171555,0.3975449463496594,0.257969565756362,0.08398247639200548,0.331064017023127,0.23394677504270153,0.6546971376184921,0.8948623529411764,0.0,0.21473980148425162,483.90923992561613,83.25500807842816,78361.82509544853,0.23076994955771676,96.01791570780284,0.0
1,401,69.2713,13.7653,65,17.4808,0,115,121,16,130,18,1.04683,65.6517,0.0,0.0,0.42857,3.556,11.54723,0.0,0.0,125.0,58.25018,0.00049,0.43,2.193,-1.0,0.284856,2.152111558972877,149.8055241304765,39617.537443402274,0.2123420199389864,39.57586198971595,0.12536339884836975,0.20820917847638545,0.31664383673622876,0.22993338238465796,0.08317465440647209,0.32390061139091575,0.22882095899960073,0.6546971376184936,0.8940168627450981,4.467885485025834,0.20463159452702817,481.476304720245,83.28059114311233,77782.75687683903,0.22273670816089544,95.83628769562995,4.800009645061729
2,402,68.8711,13.9893,64,17.1967,0,115,121,15,130,18,1.03389,65.29659,0.0,0.0,0.39286,3.555,11.82955,0.0,0.0,125.0,58.24505,0.00045,0.43,2.122,-1.0,0.292219,2.394233223228843,149.78095618434517,38773.342288143096,0.20597593229865047,39.51649324393567,0.126030674171801,0.1950292549419791,0.2911672081240356,0.22087044057192423,0.08265331986021343,0.32287835950149796,0.2292987185071793,0.6546971376184957,0.8928823529411765,4.502133839074342,0.20340642464517328,479.44595554449677,83.356652242571,77747.47258233797,0.2191699030411419,95.78092311332317,4.758342978395062
3,403,68.0532,14.1049,64,19.3306,0,115,121,15,130,18,1.03832,64.56183,0.0,0.0,0.17857,3.571,12.01861,0.0,0.0,125.0,58.26108,0.00037,0.42,2.038,-1.0,0.286205,2.0347035484929363,149.7313621734077,37203.52477476853,0.20379898154694046,39.637027128243155,0.127191282484193,0.1855304898733665,0.2732125531357319,0.21398268779441157,0.0825495766926077,0.3234109288007186,0.22868172937719156,0.6546971376184952,0.8925725490196079,4.536500009553285,0.20302778227764184,477.63538968346006,83.43693822204168,77554.80216216334,0.21794564122357232,96.15187374907026,4.433786651234568
4,404,67.6443,14.2325,64,19.0851,0,115,121,15,130,18,1.03926,64.19267,0.0,0.0,0.64286,3.554,12.11842,0.0,0.0,125.0,58.24537,0.00058,0.43,2.022,-1.0,0.267471,2.338049137152957,149.65623234971952,36542.52478646903,0.20231366117860616,39.66858192726418,0.12720441895304657,0.17705922638895905,0.26472859005312316,0.20829094038113732,0.08230359939677011,0.3238704508847766,0.22784993575044338,0.6502618855320342,0.8922613137254901,4.547498768429554,0.20219249962696093,475.7907894428372,83.50136887185015,77388.67111559807,0.21704291960198602,98.34421914092853,4.079089506172839
5,405,67.1607,14.1032,63,19.3324,0,115,121,15,130,18,1.03666,63.73599,0.0,0.0,0.78571,3.564,12.22826,0.0,0.0,125.0,58.19146,0.00048,0.43,2.053,-1.0,0.306079,2.1188562175489785,149.58781609319794,35834.19163191498,0.2014286367759838,39.48348339693046,0.12755300600437464,0.17197158317049918,0.2594297687313648,0.20351994352549413,0.08213967995133156,0.32430253389864366,0.22761734580122805,0.652479511575265,0.8908624901960782,4.55345589457587,0.201702750251318,473.9341293216541,83.55218757878107,77418.71738976036,0.2163727223496375,96.21422383215877,3.8359375
6,406,67.3663,14.0171,63,19.2797,0,115,121,15,130,18,1.03105,63.90522,0.0,0.0,0.28571,3.531,12.11767,0.0,0.0,125.0,58.18018,0.00046,0.43,2.056,-1.0,0.287176,2.009404398310931,149.62402998618649,36200.3172915461,0.19999596018524757,39.71601905351804,0.1276707718574991,0.17245042165395216,0.2626958726557246,0.19981071711223927,0.0819987180263656,0.32569981416725563,0.2274333336239118,0.6524795115752615,0.8895490196078432,4.583499348143747,0.20092090743953203,472.31061608198615,83.48638066565755,77512.03527772459,0.21590344148848034,97.77208073710624,3.6666666666666665
7,407,67.639,13.949,64,19.1697,0,116,121,15,130,18,1.0406,64.11813,0.0,0.0,0.21429,3.498,12.05015,0.0,0.0,125.0,58.09559,0.00043,0.43,2.171,-1.0,0.309279,2.403165392805648,149.49172588019928,36776.555077521945,0.19899174618047585,39.529177065248845,0.127987616320018,0.17172131441218236,0.2606687157988701,0.19550606464273987,0.08203263021538852,0.3265769115480098,0.2275760672409863,0.6524795115752603,0.8850768627450981,4.572192179455549,0.19990150961387484,470.78932154348945,83.42559305695347,77680.08150977068,0.21519089560688898,97.8153334195327,3.3949170524691357
8,408,67.4368,13.4629,63,19.177,0,116,121,15,130,18,1.03672,63.90142,0.0,0.0,0.35714,3.518,11.98572,0.0,0.0,125.0,58.0907,0.00039,0.43,2.096,0.1695,0.30852,2.069799638232939,149.38714382224913,36311.41503876833,0.19755929573757253,39.508245397497106,0.12825911603142576,0.16822444985243357,0.25777162454046637,0.1926230400413801,0.0820004423497021,0.3261451271883361,0.227555409956675,0.6458266334455693,0.8842435294117648,4.544247465140312,0.1988675783366879,469.43218275762194,83.49915870179258,77564.64221950418,0.2147562757763519,97.81550183846302,3.0403163580246915
9,409,66.8912,12.7196,63,19.1756,0,115,121,15,130,18,1.03615,63.36658,0.0,0.0,0.64286,3.533,11.56525,0.0,0.0,125.0,58.09592,0.00056,0.44,2.173,-1.0,0.281667,2.1641880868820635,149.2143378469332,35477.78108887475,0.19653545798497374,39.416248274438175,0.12795941138354366,0.16398509711196324,0.2555654546896669,0.18988473544188825,0.08194438638419116,0.3264658491277412,0.22798295057619342,0.6458266334455727,0.8842286274509804,4.520253294558284,0.1990768842321549,468.11651738290834,83.56399891672669,77336.24687426008,0.21492110784734977,94.91279212694188,2.7664930555555554
