,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.1.0,staticness,cubrow.0,color_fulness,cubcol.0,fft,temporal,cubcol.0.3,blockiness,cubrow.0.3,uhdhdsim,cubcol.0.5,saturation,blur,noise,tone,cubcol.0.6,movement,cubrow.0.5,contrast,cubrow.0.6,cubcol.1.0
0,0,66.5644,12.4735,60,0.0,0,115,121,15,131,18,1.03697,62.66375,0.0,0.0,0.21429,3.736,0.0,0.0,0.0,125.0,58.77553,0.00028,0.4,2.431,0.0,0.399895,0.27131438188935403,476.2709671465848,0.3575574485478693,145.58936068356698,0.0789980729333068,79732.51883376214,0.0,0.1593742610012083,3.0049881486952676,0.17975785882939976,83.2645463980977,0.2927912958486633,39.674051920572914,40046.70824841574,0.5521347909605422,0.895521568627451,0.22492941421456886,0.0,0.20940440484528228,96.00844162492092,0.21877279545106518,0.1231932844881308
1,1,66.8575,12.3336,61,17.6039,0,115,121,16,131,19,1.04476,62.98173,0.0,0.0,0.0,3.703,10.72479,0.0,0.0,125.0,58.77128,0.00032,0.4,2.456,-1.0,0.435216,0.2689489471842529,473.7911370733317,0.3038954507609452,146.02208196103945,0.07839340867852579,79412.79749066349,4.340509753060056,0.13707304515718866,2.5251562910802927,0.17670056012021587,83.19732274166279,0.2622930866279249,39.5938673608097,39809.47620961199,0.5559758319395943,0.8953823529411765,0.19974599696949275,4.380835262345679,0.2067011428460643,95.90416409956474,0.21809135274342203,0.12340745052850628
2,2,66.9386,12.2141,61,17.2853,0,115,121,16,131,19,1.03557,63.08457,0.0,0.0,0.17857,3.671,10.59747,0.0,0.0,125.0,58.75668,0.00033,0.4,2.766,-1.0,0.396089,0.27004298176068353,471.9430566345856,0.2826259569558181,145.8085031776529,0.07827030253033021,79494.19685800355,4.317143270259455,0.1320632797315215,2.269604838020954,0.17489573856403617,83.20235050662858,0.24672311099325697,39.58169932424286,39649.411160513766,0.5565700430469956,0.8952160784313725,0.19863473022258585,3.903838734567901,0.20517595573291333,98.27883687849105,0.21844984854613175,0.12246761450484327
3,3,67.5253,11.8431,61,17.0573,0,115,121,16,131,19,1.03077,63.64866,0.0,0.0,0.03571,3.657,10.49313,0.0,0.0,125.0,58.76312,0.00029,0.4,2.495,-1.0,0.389652,0.2692731197489324,470.44579805745667,0.26946246100209775,145.7512498727939,0.07828798947508155,79626.83226439603,4.285994524919978,0.12985822454016693,2.6707589364231588,0.17508265144773563,83.10657233003218,0.24083786731491585,39.72220715181327,40489.44878059555,0.5592226618112658,0.8951258823529412,0.19879574105965614,3.4643132716049383,0.2055275460135895,98.15926379973394,0.21873940317176846,0.12219418067334972
4,4,68.2283,11.4626,62,16.3499,0,115,121,16,131,19,1.0369,64.31911,0.0,0.0,0.03571,3.664,10.18062,0.0,0.0,125.0,58.76444,0.0003,0.4,2.615,-1.0,0.390295,0.2710515722373935,469.23620974445964,0.25928015720914777,145.92101409681894,0.07816183173741148,79806.46795381205,4.184473716054361,0.12814496760039515,2.898293175027194,0.17509988272124127,83.00645326426044,0.2447165915626444,39.77013331283757,41500.06406245619,0.5620344989618915,0.8947521568627451,0.1956383278335086,2.8548418209876543,0.20566829333175962,98.10984794236299,0.21900614688073897,0.12163023633257523
5,5,68.6451,10.6329,63,15.9532,0,115,121,16,131,19,1.03266,64.70286,0.0,0.0,0.17857,3.669,9.85904,0.0,0.0,125.0,58.77692,0.00039,0.4,2.543,-1.0,0.412324,0.2744505861315842,468.1846249652956,0.2532086565061812,145.82690915588248,0.07823618297429095,79896.65112003249,4.074986449553324,0.12668604658623633,2.694906813308427,0.1740419271472988,82.98312221168203,0.25119209372758117,39.797590467664925,42632.54677789296,0.5620344989618935,0.8945766862745097,0.19384214683801315,2.341338734567901,0.20659283086274052,97.93199374748703,0.21871311459049703,0.12130247391819549
6,6,69.0906,10.1716,63,14.064,0,115,121,16,131,19,1.03453,65.11851,0.0,0.0,0.25,3.653,9.14254,0.0,0.0,125.0,58.78305,0.00023,0.4,2.575,-1.0,0.409376,0.276744717527591,467.3597525111132,0.2541282571268515,145.87714603936703,0.07810566098141725,79997.30590225461,3.9053119038177764,0.12649438178930095,2.768755249582625,0.17406266183967892,82.86436599505873,0.255877350626557,39.9492647147473,43494.64470749099,0.5620344989618937,0.8943450980392157,0.19359116726083514,1.846113040123457,0.20767902802796157,98.184894365303,0.2182009723699176,0.12108207504391531
7,7,68.7951,10.9799,63,12.4362,0,115,121,16,131,19,1.04315,64.84357,0.0,0.0,0.14286,3.662,8.74622,0.0,0.0,125.0,58.75443,0.00033,0.4,2.45,-1.0,0.425581,0.278715154550049,466.66436724600277,0.2521593055468205,145.66369942226464,0.0780970534690209,79966.45030937936,3.795864121177196,0.12657111857944137,2.725743769581854,0.17355673988315706,82.93390755717196,0.2611577267967246,39.924338069962864,43043.166674316344,0.5620344989618946,0.8940772549019608,0.1925401655391165,1.629002700617284,0.20813620682501813,98.08050994908464,0.2176230945404943,0.12135236542641988
8,8,67.9193,11.4581,62,15.3946,0,115,121,16,131,19,1.03997,64.04798,0.0,0.0,0.14286,3.657,9.4447,0.0,0.0,125.0,58.6956,0.00032,0.4,2.203,0.1821,0.439242,0.27784266081784026,466.014056562654,0.2506446928643749,145.725282736446,0.07799179896488771,79609.17571429237,3.973518327298434,0.12713335103976778,2.7597836872800228,0.17341056248019798,83.04839626263382,0.2605164332881639,39.87173179343895,41123.304685390896,0.5620344989618934,0.8931317647058824,0.19209205079774525,1.6264467592592593,0.20837515625159672,98.2129391732662,0.21738526542678044,0.12168367175693236
9,9,67.4896,11.7231,61,14.8799,0,115,121,16,131,19,1.05061,63.65904,0.0,0.0,0.75,3.624,9.84768,0.0,0.0,125.0,58.67361,0.00026,0.4,2.543,-1.0,0.441701,0.27570124245651567,465.37803599274343,0.24806026066219528,145.91505951135983,0.07810431507526806,79273.76175460574,4.085660928791257,0.12678459071889733,2.1361477666482047,0.1739056619311035,83.02638951532191,0.25970523988451133,40.02415183738426,40027.2608924361,0.5614402878544973,0.8931458823529412,0.1908287525070652,1.6119309413580247,0.2087697104165156,98.00466540944846,0.21731707257546964,0.12194991838382135
10,10,67.0753,11.8962,61,15.3447,0,115,121,16,131,19,1.04496,63.27449,0.0,0.0,0.60714,3.599,10.07224,0.0,0.0,125.0,58.63783,0.00035,0.4,2.101,-1.0,0.434538,0.2741655200441292,464.61654287613015,0.24355269254664355,145.80134852077316,0.07809032768826801,79466.703965044,4.168515311352157,0.12859627659462225,2.327359671627399,0.17424220237061458,83.02215849458868,0.2607011241385273,40.11682486828463,39185.42357474061,0.5620344989618938,0.8932062745098039,0.19138805797226674,2.7428626543209877,0.20915772755288545,98.1205635364556,0.21708795952169643,0.12180874865822022
11,11,66.6512,11.968,60,15.9187,0,115,121,16,131,19,1.04622,62.86758,0.0,0.0,0.71429,3.626,10.21811,0.0,0.0,125.0,58.56975,0.0003,0.4,1.935,-1.0,0.433075,0.27289019751469606,463.7124726813082,0.23955727051596212,146.21691537974382,0.07807014796046856,79315.44287992276,4.225094433040165,0.13192076895933896,2.4548861969243805,0.1746301357580378,83.09754659491391,0.25893392280984595,40.148348396207076,38480.38954865659,0.5598168729186607,0.8930713725490196,0.18854366394558536,2.947771990740741,0.20959815398426543,98.17409248777801,0.21713032294138118,0.12156653893831113
12,12,66.6421,12.0508,60,16.3464,0,115,121,16,131,19,1.04391,62.83975,0.0,0.0,0.71429,3.59,10.2918,0.0,0.0,125.0,58.52021,0.00036,0.4,1.975,-1.0,0.419264,0.2716335188549597,462.780396079296,0.23380300463189035,146.00181587796578,0.07810879421462505,79403.07085468395,4.275718054964016,0.13400361501702113,2.058933831235669,0.17496247426556308,83.0461572753475,0.2574191590364657,40.3025488205898,38538.44857403116,0.5620344989618883,0.8929690196078431,0.18724394305191686,2.6671971450617282,0.209979919768869,98.08014081782088,0.21737597223256344,0.12152157216826377
13,13,66.635,12.1769,60,16.1776,0,114,121,16,131,19,1.04814,62.79848,0.0,0.0,1.10714,3.57,10.34805,0.0,0.0,125.0,58.45145,0.00035,0.4,2.221,-1.0,0.427218,0.2701471450716308,461.7200478643014,0.22906338152465,145.89557882749696,0.0781025440586573,79510.80018728954,4.303227080945786,0.1350894207220394,2.524061284934712,0.17553326207963246,83.05615520353467,0.2539400412663197,40.18436365951727,38690.97004087035,0.5620344989618902,0.8927658823529412,0.186175905416081,2.3828125,0.21003868381467544,98.11460272556715,0.21763268129230423,0.12151704434733063
14,14,66.935,12.2897,60,17.3795,0,114,121,16,131,18,1.05385,63.0424,0.0,0.0,0.25,3.556,10.45549,0.0,0.0,125.0,58.40461,0.00039,0.4,1.936,-1.0,0.423245,0.26855067639051716,460.6031666491781,0.22566208209310762,145.80120147359978,0.07803614762209407,79699.40582681377,4.309616774888363,0.1360469735816487,1.7862535919589049,0.1761009371262722,82.99863301651234,0.25360584803653724,40.26329436125579,39256.19222333624,0.559816872918667,0.8928823529411765,0.18468840033188005,3.340663580246914,0.21014349312482694,95.65535683307058,0.21783035129879313,0.12134105262061472
