,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.6,cubcol.0,cubrow.0.6,staticness,color_fulness,cubcol.0.3,saturation,cubrow.0,cubrow.0.5,cubrow.1.0,fft,tone,blur,movement,cubrow.0.3,cubcol.0.5,cubcol.1.0,uhdhdsim,blockiness,temporal,contrast,noise
0,200,61.0807,12.7977,54,0.0,0,116,121,14,130,18,1.05078,57.15104,0.0,0.0,0.14286,4.305,0.0,0.0,0.0,125.0,58.11695,0.0003,0.4,2.125,0.0,0.350543,0.23236156697555918,0.07979338330926233,0.22399787198336232,501.24112726702384,149.3879801842867,0.18268179608279142,39.752080281575516,0.34637411704486637,0.21990813104474627,0.2777855664477362,78061.0868929331,0.8963996078431373,35375.9978746927,0.0,0.20157460666867086,0.2453052490565776,0.12519533276596603,84.83055509484238,2.579983033453078,0.0,95.79740882244468,0.5162177815478138
1,201,61.4911,12.6469,54,18.9823,0,116,121,14,130,18,1.04981,57.50163,0.0,0.0,0.21429,4.264,10.99313,0.0,0.0,125.0,58.11639,0.00029,0.4,2.317,-1.0,0.381603,0.21237882933123997,0.07874273083624693,0.21996846992390598,496.59786824614906,149.12381074642195,0.15775351748775385,39.6428951687283,0.29915863779768515,0.21543848573266616,0.2618941925053392,78337.15922052079,0.8972941176470589,35793.20629857683,5.990017361111111,0.19493797027890344,0.2207987544761097,0.12460724224033184,84.70319109634316,2.5453837596090474,4.4680777538333425,98.34047903827938,0.5145943666119841
2,202,60.2437,13.2511,53,19.1891,0,115,121,14,130,17,1.03221,56.41606,0.0,0.0,0.17857,4.333,10.87156,0.0,0.0,125.0,58.16074,0.0002,0.39,2.419,-1.0,0.369348,0.19919488968968624,0.07884646476126976,0.21990436826601734,492.64310491776024,148.9262419135925,0.1491146504595975,39.75841983748071,0.28356086493744087,0.21413830767222658,0.25982435983602414,77557.07019807854,0.8966609607843137,33091.80735382426,5.444396219135802,0.19343683355497657,0.20380381797459052,0.12373450910390198,84.96377058777831,2.586268880046399,4.483440664733642,98.35171868349875,0.5168119926552047
3,203,60.5174,13.8184,53,18.8247,0,115,121,13,130,17,1.03378,56.65948,0.0,0.0,0.25,4.336,11.39401,0.0,0.0,125.0,58.1948,0.00021,0.4,2.305,-1.0,0.378306,0.19242371157633273,0.07846377988048088,0.2195447489772035,488.84575814196035,148.81395682360304,0.1448925334042365,39.68648670337818,0.27877428608294363,0.21337390604637738,0.25535084318366424,77638.12719532706,0.8961552941176472,33577.95275389562,5.2290219907407405,0.19377670689529805,0.1946413209409859,0.1231056817817433,84.99250161352892,2.5493043098676136,4.516476768848633,96.24608367899549,0.5145943666119827
4,204,61.2318,13.5442,53,19.9562,0,115,121,13,131,17,1.03071,57.29516,0.0,0.0,0.07143,4.308,11.88458,0.0,0.0,125.0,58.09752,0.00026,0.39,2.152,-1.0,0.376643,0.1888581271160921,0.07819424955434341,0.21972462798332326,485.5005121417604,148.52594722920983,0.14440122141565745,39.42277206609279,0.2700045186687817,0.21351421189641798,0.24726386177726312,78165.24427340478,0.8949149019607844,35087.220885145165,4.965615354938271,0.19444837083322689,0.19772755060853442,0.12289934159490973,84.7815996143371,2.1551896627017255,4.547402670264058,96.35150225062999,0.5162177815478097
5,205,60.6078,14.3788,53,20.4078,0,115,121,13,130,17,1.0299,56.72829,0.0,0.0,0.57143,4.334,11.63553,0.0,0.0,125.0,58.15876,0.0003,0.4,2.215,-1.0,0.370224,0.18741906918571843,0.07819425326795569,0.22006363747894045,482.4069952750382,148.57041232795365,0.14266279873095036,39.6780499116874,0.2648248355411023,0.21319325177419596,0.24639634124010903,78108.98640975202,0.8952090196078433,33813.39655143818,4.448254243827161,0.19521755475626065,0.19668327330567295,0.12293906112473266,84.99080043102899,2.2644158495046396,4.49624705973446,95.87510862561687,0.5168119926552088
6,206,61.09,13.9939,53,20.4895,0,115,121,13,131,17,1.04041,57.1445,0.0,0.0,0.17857,4.305,12.36022,0.0,0.0,125.0,58.24422,0.00023,0.39,2.096,-1.0,0.384378,0.18606820610250285,0.07821939970429165,0.22068095820141614,479.6187241318507,148.3203563784735,0.1412629084413206,39.79752717194734,0.26230436035881355,0.21314117603811158,0.24614316695488292,78267.81560846811,0.8972941176470589,34863.30585950849,4.166087962962963,0.19607560695521994,0.1929244520025562,0.12294732709378835,84.94614350515226,2.142302894019994,4.464244847696549,95.51666618159038,0.5168119926552088
7,207,62.4933,14.7481,54,20.2157,0,115,121,14,131,18,1.03409,58.36143,0.0,0.0,0.21429,4.276,12.02167,0.0,0.0,125.0,58.13317,0.00024,0.4,2.098,-1.0,0.376186,0.18298281776411085,0.07812225545705917,0.22105340609372406,477.2935917312003,148.1871288520112,0.14232973842851562,39.92121284390674,0.2667447084970187,0.21331999559355405,0.24567620872544385,79069.16448066829,0.8959101960784315,38150.27315010386,3.5855999228395063,0.19636606623629962,0.1916959747933003,0.12312404264579513,84.73361692406412,2.2670063759265027,4.382803446355165,97.18437069014959,0.5168119926552107
8,208,62.9468,17.2742,54,20.6829,0,115,121,14,131,18,1.04067,58.79628,0.0,0.0,0.21429,4.287,12.66851,0.0,0.0,125.0,58.11946,0.00025,0.4,1.955,0.18904,0.361073,0.18110879123974516,0.07815510018072806,0.22140726714978706,475.2988240502689,148.0926817869803,0.14137796272980604,39.901293719256365,0.2669695267748642,0.21308915382944224,0.24877332373667407,78990.80962993621,0.8954717647058825,39020.91855732449,3.4809992283950617,0.19595363656561762,0.18946403567378595,0.12339238487304921,84.74023494439462,2.0505461777297533,4.408827282328175,95.65676804365015,0.5184354075910461
9,209,64.03,17.7856,55,21.9339,0,115,121,14,131,18,1.0299,59.79901,0.0,0.0,0.46429,4.325,14.84154,0.0,0.0,125.0,58.16131,0.00022,0.4,2.327,-1.0,0.368666,0.18098684677774265,0.07814492606697879,0.22164854520087332,473.36114462294813,148.0788999108967,0.14142121073954247,39.76896968888648,0.2616046907968637,0.21310871131041073,0.24760371408450296,79227.92057152117,0.8957402156862745,41476.728294866465,3.7115162037037037,0.19583513941339642,0.19027012591392334,0.12344093623585405,84.6742769451844,2.71697703009724,4.5015101989779005,94.93752414013291,0.5250882857207292
