,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blockiness,cubrow.0.3,cubcol.0.6,cubcol.0.3,saturation,movement,contrast,cubrow.0.5,fft,temporal,color_fulness,cubcol.0.5,staticness,cubrow.0.6,tone,cubrow.0,cubcol.0,blur,cubrow.1.0,noise,cubcol.1.0,uhdhdsim
0,400,65.8944,12.8166,58,0.0,0,115,121,14,130,17,1.04054,61.85454,0.0,0.0,0.10714,3.818,0.0,0.0,0.0,125.0,58.08788,0.0003,0.4,2.495,0.0,0.374396,1.7254442758058652,0.19616034490620382,0.24820477637467095,0.25019467917218163,39.253030470859855,0.0,98.32366698332287,0.21363441986864365,79438.06892002425,0.0,149.8953468711324,0.2089373699880983,481.7745916760272,0.22277487524367318,0.8857517647058823,0.3821313161048339,0.07953656680228385,38558.61684644848,0.32605781634034164,0.5438584978950076,0.12029420310350976,83.76737801517248
1,401,65.6226,13.1831,58,16.6579,0,115,121,14,130,17,1.0515,61.60744,0.0,0.0,0.0,3.847,11.02635,0.0,0.0,125.0,58.10141,0.00021,0.4,2.514,-1.0,0.382709,1.847919688915927,0.188804441166876,0.22056172952967448,0.19101430522460974,39.40442177101418,4.525077160493828,98.29130184324464,0.2068788006116424,78732.57105702492,4.280105337200343,149.75442567009742,0.18338751688304897,479.56015709498797,0.21927141938702985,0.8861588235294118,0.30298446586072136,0.07917165843812236,38062.57892880507,0.31853522246188276,0.5438584978950233,0.11944801918835966,83.79288759845757
2,402,65.232,13.4249,58,16.3223,0,115,121,14,130,17,1.0355,61.2559,0.0,0.0,0.28571,3.842,11.32817,0.0,0.0,125.0,58.09768,0.00018,0.4,2.437,-1.0,0.38972,1.7453160585670644,0.187670894999691,0.2120042364214427,0.17912932673312215,39.34815470377604,4.571373456790123,98.35717458246292,0.20371529334480132,78716.75404199102,4.3179361834696515,149.70950882953494,0.17660308869017904,477.64115399044374,0.2200219125363469,0.8851372549019607,0.2788673112553726,0.07860158059672799,37262.439278081954,0.31763160241972976,0.54548191283084,0.12038280268340334,83.8793774929542
3,403,64.394,13.5497,57,18.6263,0,115,121,14,130,17,1.03795,60.50509,0.0,0.0,0.10714,3.879,11.5303,0.0,0.0,125.0,58.11402,0.00026,0.4,2.285,-1.0,0.387862,2.021595806753834,0.18690885463587392,0.20517480952298364,0.1705454852840433,39.467550018687305,4.288676697530864,95.6329121956947,0.2027469882994046,78547.7226153981,4.354206298921763,149.6690639974279,0.17447718416918473,475.9126120227082,0.21980477190681225,0.8845576470588236,0.2612982454657305,0.07863346388525236,35672.87890399496,0.3178946324642543,0.5416408718517839,0.12202084846689176,83.97532713763465
4,404,63.9701,13.6826,57,18.4917,0,115,121,14,130,17,1.04103,60.12415,0.0,0.0,0.53571,3.861,11.63773,0.0,0.0,125.0,58.09761,0.00032,0.4,2.427,-1.0,0.373657,1.9010715522746888,0.1860044433152774,0.19919777712122028,0.16250336665974519,39.49505671748408,3.950810185185185,95.78500529364335,0.2020988203121224,78298.71445647687,4.367241688001679,149.60038996578598,0.1726045456080198,474.1291458986834,0.2191809959655993,0.8831764705882352,0.25369685285072563,0.07839649731206065,35051.79271990736,0.3184041671027263,0.5416408718517808,0.1221858782992278,84.05439001567049
5,405,63.47,13.5528,56,18.4975,0,115,121,14,130,17,1.03752,59.66182,0.0,0.0,0.71429,3.86,11.75285,0.0,0.0,125.0,58.04452,0.00028,0.4,2.159,-1.0,0.404763,1.9357525667332347,0.18571538292070172,0.19449537143217463,0.1577157528259143,39.31118228111738,3.7160011574074074,95.71206656572198,0.20148345606301732,78354.80869785261,4.3751115506061,149.51062957623117,0.17153558957660067,472.31445490559867,0.21897923336323277,0.8813733333333332,0.24849805526603164,0.07828444835606542,34347.52830631891,0.3184362096721273,0.5381552144005758,0.12248372624512492,84.1157308618123
6,406,63.7187,13.478,56,18.2301,0,115,121,14,130,17,1.03331,59.8621,0.0,0.0,0.10714,3.807,11.64104,0.0,0.0,125.0,58.03414,0.0002,0.4,2.393,-1.0,0.389029,1.759621266909175,0.18516016003705035,0.19089187348279593,0.158847047350459,39.54781011887539,3.5790895061728394,95.99069466075362,0.20117578829986543,78488.84138328866,4.409586466268458,149.55755620139615,0.16983759663337564,470.7287499039391,0.21876616237627422,0.8800349019607843,0.25127265381551933,0.07821615266183263,34701.00281538256,0.31972035248885555,0.5394232458085555,0.12272134817813424,84.0356945433708
7,407,64.0143,13.4265,57,18.2566,0,116,121,14,130,17,1.04326,60.0954,0.0,0.0,0.07143,3.799,11.58183,0.0,0.0,125.0,57.95074,0.00025,0.4,2.429,-1.0,0.411146,1.6142850669670799,0.18437580446678473,0.18692913276935771,0.15857310186760115,39.364679030430175,3.303047839506173,98.12827986732442,0.20063793544910646,78640.76331333778,4.39792739455739,149.43664606542566,0.16849468035016546,469.2304413272451,0.21890308546816437,0.8762525490196078,0.24945014246493255,0.07823564483129315,35329.321233979135,0.32031572186777113,0.5394232458085562,0.12299090469353376,83.9651825177942
8,408,63.7911,12.9216,56,18.1233,0,116,121,14,130,17,1.0403,59.86915,0.0,0.0,0.35714,3.815,11.53444,0.0,0.0,125.0,57.94679,0.00019,0.4,2.216,0.17824,0.420702,1.4531589530265807,0.18360492490710503,0.1840661654300202,0.1552708102030083,39.345006495346254,2.954571759259259,96.77815738389934,0.20034618221411998,78587.16642951597,4.36612846114238,149.35043157917193,0.16688707361616567,467.896318445456,0.21891739301963697,0.8756003921568627,0.24668244530796124,0.07822992203837327,34834.23273923558,0.3199616813949719,0.5372056197653244,0.12326873409252975,84.0549342275215
9,409,63.2475,12.1509,56,18.2431,0,115,121,13,130,17,1.0373,59.33593,0.0,0.0,0.35714,3.83,11.09562,0.0,0.0,125.0,57.95312,0.00028,0.4,2.384,-1.0,0.388583,1.8735433729999993,0.18368718008851687,0.18141753732234994,0.15135877557375485,39.259481736171395,2.691261574074074,97.97448559519445,0.20062063313280437,78272.26593353337,4.3389027822014015,149.14249796694517,0.16548951989496347,466.58662592665746,0.21928197235356864,0.8756047058823528,0.24459490458320574,0.07818018620510592,34025.3448303038,0.3203342747686784,0.537205619765321,0.12299966133380072,84.13198270848277
