,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,staticness,saturation,fft,color_fulness,cubcol.0.3,cubrow.1.0,cubcol.1.0,cubcol.0.6,movement,cubcol.0,cubrow.0.5,blockiness,cubrow.0.6,contrast,tone,cubrow.0,cubrow.0.3,noise,uhdhdsim,temporal,cubcol.0.5,blur
0,0,47.5897,3.48688,30,0.0,0,116,133,8,125,7,0.99076,46.14603,0.0,0.0,2.5,5.242,0.0,0.0,0.0,128.0,55.0039,4e-05,0.73,1.025,0.0,0.0,613.4841661000835,33.53401673870322,66061.23885097701,162.89599655808308,0.053665850697138195,0.19493740095280943,0.034397452611835244,0.1312579357998696,0.0,0.031216771041149477,0.25413813673189206,2.4475471757919394,0.15420930024050045,90.4151011932162,0.7753694117647059,0.10955880730379305,0.21975690132311634,0.545481912830839,92.1825105212321,0.0,0.13401031539296449,20714.420731092872
1,1,46.5988,3.50224,30,6.4844,0,116,133,8,125,7,0.98752,45.32671,0.0,0.0,3.25,5.542,2.94345,0.0,0.0,128.0,55.02532,7e-05,0.73,1.005,-1.0,0.0,613.5564080864301,33.549436404381275,65623.2579598567,162.92504848522492,0.04722954234528767,0.18263843209859737,0.028509291063361992,0.1270601034523482,0.15518904320987653,0.024919277682054368,0.24793473344609354,2.270841411408095,0.14582695373798796,86.69207261680482,0.7748039215686274,0.10719569793110131,0.21341319608324538,0.5454819128308442,92.45890501613262,3.360755500395144,0.13427765208850997,18797.86613040111
2,2,45.5924,3.62335,30,5.82383,0,116,133,8,125,7,0.98793,44.48737,0.0,0.0,2.32143,5.767,2.95348,0.0,0.0,128.0,54.96676,3e-05,0.73,1.028,-1.0,0.0,613.3681344443482,33.50131677698206,65416.414906891834,162.95014101840235,0.04693272120132612,0.18022882365563828,0.02785608316524304,0.1256953742255602,0.13411458333333334,0.02322704957596767,0.24409696118478527,2.262437056475456,0.14311815025158814,89.03619055394827,0.7744686274509804,0.10396528809439648,0.20924526838341223,0.5454819128308428,92.64536815575295,3.4055153387148653,0.13766142750476618,17332.96442511561
3,3,46.4408,3.5879,30,5.87492,0,116,133,8,125,7,0.98696,45.1945,0.0,0.0,2.71429,5.557,3.06035,0.0,0.0,128.0,55.01959,2e-05,0.73,1.041,-1.0,0.0,613.4330613870926,33.55796926992911,65884.01409544825,162.9193118232684,0.046103800212125595,0.18182831174031955,0.02735770876625182,0.12544094517357374,0.16285686728395063,0.022483673444865706,0.24348069104513154,2.5438731991523915,0.14128558885646916,88.96772276069055,0.7737850980392157,0.10358529014283109,0.2081335745181367,0.5454819128308426,92.51387599076764,3.434081703879474,0.14340512062309743,18827.51869405446
4,4,47.9987,3.51967,31,7.10155,0,116,133,8,125,7,0.98835,46.53263,0.0,0.0,3.5,5.25,3.03126,0.0,0.0,128.0,55.02948,2e-05,0.72,1.027,-1.0,0.0,613.41163157097,33.57500749752845,66258.79412636858,162.95035996459313,0.045668001524662466,0.18393078755438438,0.02682196643677384,0.12572642980892113,0.18542631172839505,0.022031453476755024,0.24448245229044885,2.5974515923681527,0.14210171248974218,91.82192153821927,0.7747960784313725,0.1045504292024377,0.2086292514689189,0.5454819128308456,92.17179337294844,3.429207684302336,0.1444978756474015,21074.08592903378
5,5,47.0667,3.59238,30,6.38094,0,116,133,8,125,7,0.98782,45.77627,0.0,0.0,2.5,5.463,2.97331,0.0,0.0,128.0,55.02567,2e-05,0.73,1.06,-1.0,0.0,613.425845525829,33.51331263412664,65792.78722179405,162.94597853990783,0.04508070886400836,0.18448020796609907,0.026453401467398593,0.12582699762704966,0.14168595679012347,0.021828595099979087,0.244192126263648,2.6691743744475214,0.14147673505990255,90.35205860388211,0.7736501960784313,0.10515484211384249,0.20926438617413157,0.5454819128308444,92.37013163397754,3.4241067883605365,0.1445359692311179,19360.700549767924
6,6,46.525,3.68348,30,5.06599,0,116,133,8,125,7,0.99661,45.34561,0.0,0.0,3.03571,5.591,3.03488,0.0,0.0,128.0,54.99735,2e-05,0.72,1.027,-1.0,0.0,613.4263526341867,33.62530536416136,65721.046091291,162.92989331742547,0.04459184236593425,0.18466492016341715,0.02655101338117928,0.12556566920973666,0.18643904320987653,0.021149562098503282,0.24349885630099655,3.0010530851991173,0.14105706181052338,92.79513199381722,0.7736501960784313,0.10502503906933801,0.20854982429332355,0.5454819128308462,92.39534155907305,3.400972995497145,0.14408338012839292,18540.084475279833
7,7,47.1933,3.73905,30,5.82492,0,116,133,8,125,7,0.99042,45.88958,0.0,0.0,2.64286,5.405,3.11672,0.0,0.0,128.0,55.02388,3e-05,0.73,1.005,-1.0,0.0,613.425603424099,33.469921159155575,66042.13357080714,162.94060429618773,0.04411178931944134,0.1846116728916712,0.026337901224230874,0.12545940600594116,0.22641782407407407,0.020965073579356952,0.24379461963287402,2.824193955999156,0.14048255054480932,86.73556017715428,0.7731294117647058,0.10480530112041578,0.20890220327273323,0.5454819128308445,92.41026480405978,3.4120920330760525,0.14431542825875604,19894.50591211954
8,8,48.4044,3.90851,31,6.45272,0,116,133,8,125,7,0.9883,46.9086,0.0,0.0,3.35714,5.223,3.16256,0.0,0.0,128.0,55.04818,4e-05,0.72,1.02,0.125,0.0,613.4246056244601,33.58304059063947,66247.15316170205,162.92692779422438,0.04368092074682869,0.18385864530100887,0.026212211264330668,0.12573419672823685,0.21711033950617284,0.02085825814945936,0.2447994855962001,2.682293461782254,0.14024710796327358,91.71230851868282,0.7739776470588235,0.10547746450910611,0.20980041248290218,0.5454819128308425,92.15179007555163,3.4311593457632537,0.145203145408264,21681.250163521872
9,9,47.4949,3.93759,31,6.57979,0,116,133,8,125,7,0.99311,46.1563,0.0,0.0,3.46429,5.426,3.31338,0.0,0.0,128.0,55.05301,3e-05,0.73,1.016,-1.0,0.0,613.402712264435,33.47220489125193,65765.89143996543,162.94094112116684,0.04354379177658655,0.18245852631204357,0.02615699535133308,0.1264257341684782,0.28366126543209874,0.020821379459624503,0.24461561487193395,2.701591407647975,0.13979619521261502,89.45229732435673,0.7731145098039216,0.10586945635158121,0.20957210055075995,0.5454819128308441,92.32169509160478,3.4765470750917813,0.146305275798158,19804.377430319248
10,10,46.4026,4.1926,30,6.05381,0,116,133,8,125,7,0.99515,45.21901,0.0,0.0,2.85714,5.651,3.33573,0.0,0.0,128.0,55.032,3e-05,0.72,1.064,-1.0,0.0,613.350473836677,33.52688391414689,65563.02417761786,162.94194145432436,0.043319421390767866,0.180828595771926,0.026113818592157355,0.12703472025273332,0.6086998456790124,0.02069242283982016,0.2439895721225263,2.5800409169237772,0.13904769220071614,93.27587405171259,0.7729219607843137,0.10539959000884967,0.20920597888313253,0.5454819128308451,92.54404069878146,3.5102783474599404,0.14663531760715093,18193.171105632176
11,11,47.3392,4.37274,30,6.91533,0,116,133,8,125,7,0.99548,45.93344,0.0,0.0,3.03571,5.429,3.55876,0.0,0.0,128.0,55.07522,5e-05,0.73,1.037,-1.0,0.0,613.31433573617,33.4852786593967,66103.03490546417,162.92964266690393,0.043128220396006736,0.18026107505504838,0.026032588604048872,0.12857166900046924,0.7107445987654321,0.02035046639163411,0.24425790157046168,2.777550746350421,0.13905111622966068,90.49157072078387,0.7725490196078431,0.10506345337801921,0.20934999903085308,0.5454819128308427,92.43581348177915,3.5395158456423808,0.1464701052578431,20244.32524647579
12,12,49.0413,4.22662,31,7.6957,0,116,133,8,125,7,0.99628,47.35379,0.0,0.0,2.92857,5.123,3.71567,0.0,0.0,128.0,55.11032,5e-05,0.72,1.032,-1.0,0.0,613.2064977006627,33.56559885284047,66469.0235074524,162.94375293991305,0.042952091752055575,0.1795386091247208,0.025771189519340175,0.13072367585249614,0.7529899691358025,0.02052052298234346,0.24515952913939923,2.83187392067376,0.13915826188044805,90.1104753287666,0.7731145098039216,0.10524333923724297,0.2103504002949813,0.545481912830844,92.06878530275004,3.6234223676054915,0.14589965528364607,22826.030395696147
13,13,48.0734,4.41452,31,7.7229,0,116,133,8,125,7,0.98935,46.61281,0.0,0.0,3.03571,5.295,3.58901,0.0,0.0,128.0,55.14285,5e-05,0.73,1.052,-1.0,0.0,613.1239972433674,33.52049330723138,65848.0054450521,162.9496092887946,0.04280957041253993,0.17792051484537533,0.025682146701742407,0.13286007231126162,0.6272183641975309,0.0203795806477638,0.24525889847875312,2.4727537102166726,0.13914996723616976,91.041681158568,0.7725490196078431,0.10577527747868502,0.21097466098500972,0.5454819128308454,92.23847761672735,3.5757252845321306,0.1462229015421705,20639.987727973064
14,14,47.2213,4.65378,31,6.06895,0,116,133,8,125,7,0.98803,45.90816,0.0,0.0,3.17857,5.473,3.74837,0.0,0.0,128.0,55.1347,6e-05,0.72,1.014,-1.0,0.0,612.9796630120943,33.518961211781445,65586.15322863244,162.9407105079664,0.04291224552351946,0.17652520444818823,0.025582094594416963,0.13438609902130694,0.6275559413580247,0.020264911482495783,0.24493698815812895,2.55548939113359,0.13895375093109288,93.1572049453134,0.7725490196078431,0.10579007121939224,0.21096356250544632,0.545481912830845,92.3354649591256,3.588783784544833,0.14708005430091492,19248.497960955177
15,15,47.8946,4.4618,31,6.59758,0,116,133,8,125,7,0.99231,46.45023,0.0,0.0,3.17857,5.3,3.96068,0.0,0.0,128.0,55.1987,5e-05,0.73,1.026,-1.0,0.0,612.8682796492606,33.50568851423852,65817.44845338157,162.95066209989346,0.04282067262516029,0.1755126834541527,0.0256519732919972,0.13545896189545975,1.045331790123457,0.020110415534574988,0.24496669075413874,2.7538750815811732,0.13892225086418888,87.83005727910793,0.7725490196078431,0.1055391431911561,0.21123083256334282,0.5454819128308454,92.2626002200133,3.580368695379844,0.14840622202560994,20612.708841288473
16,16,48.8772,4.50657,31,6.70719,0,116,133,8,125,7,0.98924,47.27189,0.0,0.0,3.14286,5.166,3.791,0.0,0.0,129.0,55.24152,5e-05,0.72,1.027,0.125,0.0,612.7439483892103,33.502816094292534,66049.81970904958,162.95216900880783,0.04282201879420752,0.1745542536375945,0.02543978463369683,0.1366843332644246,1.009355709876543,0.02007758667466598,0.24548321442618468,2.4608725745888096,0.1393430848723717,88.13801199939024,0.7731145098039216,0.1056259120800713,0.21189164914059325,0.5454819128308447,92.10097963020925,3.492325069962721,0.14929751799966934,21996.02608528213
17,17,48.2289,4.45001,31,6.39992,0,116,133,8,125,7,0.98596,46.78706,0.0,0.0,2.53571,5.25,3.83542,0.0,0.0,129.0,55.28711,7e-05,0.72,1.045,-1.0,0.0,612.6635082039907,33.44444934232735,65514.532960920216,162.95897227542454,0.04288467398363645,0.17345169509919997,0.025464526834817567,0.1378273586228069,0.9263117283950617,0.020059168264597412,0.2456248666642394,2.6139104488816924,0.13928628791603984,88.13535278103042,0.7728545098039216,0.10589554743650846,0.21211666475522303,0.5454819128308451,92.1837398721687,3.4944444904463285,0.14982040472022382,20466.89560313535
18,18,47.5909,4.10432,31,5.92179,0,116,133,8,125,7,0.98335,46.28027,0.0,0.0,2.96429,5.42,3.77838,0.0,0.0,129.0,55.29923,7e-05,0.73,1.028,-1.0,0.0,612.5626117821878,33.47407569414303,65416.95734970924,162.93944549711063,0.042916331632852904,0.17150182671421393,0.02541908239766547,0.13848193208185966,0.8442322530864198,0.020075362070513057,0.24556135240492735,2.3000359281707103,0.13899645033146413,91.69027901321716,0.7725490196078431,0.10587050439917237,0.21211701152125123,0.5454819128308461,92.28080510205318,3.4536794694314086,0.1502131255052828,19381.61741508005
19,19,48.1977,4.00965,31,6.38562,0,116,133,8,125,7,0.98838,46.72534,0.0,0.0,3.42857,5.216,3.48367,0.0,0.0,129.0,55.37112,6e-05,0.72,1.05,-1.0,0.0,612.5097885205679,33.41634359477479,65774.4551293297,162.9103402353361,0.043011175704017086,0.16907288514441868,0.025361103739756,0.1391592434093645,0.7126253858024691,0.020050709038942818,0.2458456115369717,2.633256680639308,0.1390716896659462,88.12018606617522,0.7727863137254902,0.10587405804896934,0.21239394670922832,0.5454819128308409,92.26749627537879,3.337221666350631,0.15005408720357596,20775.775020370373
20,20,49.1653,3.77606,31,6.23559,0,116,133,8,125,7,0.98975,47.53527,0.0,0.0,3.14286,5.096,3.39742,0.0,0.0,129.0,55.40979,3e-05,0.73,1.019,-1.0,0.0,612.4511615703425,33.53878708827643,66043.14177324134,162.9318632058968,0.042964017412231825,0.16716620697815934,0.025363390580684406,0.13983463656537565,1.0067033179012346,0.020108649839728106,0.24639319581498756,2.4756377647867365,0.1394862896934224,90.51695732498281,0.7731145098039216,0.1058570700346124,0.21280133127641063,0.5454819128308428,92.08069763210405,3.3483569614907824,0.1500670039195477,22406.54550846842
21,21,48.8551,3.35122,31,5.77677,0,116,133,8,125,7,0.9939,47.32424,0.0,0.0,3.21429,5.122,3.1973,0.0,0.0,128.0,55.39266,3e-05,0.72,1.033,-1.0,0.0,612.4265748911394,33.46355296947338,65893.95988983917,162.94953004603548,0.04298726560172302,0.1653677358849992,0.025298821884847368,0.14042037872575153,0.8349729938271605,0.020088509675711897,0.24656047414528326,2.9264301894722027,0.13956376003295332,91.27738846266733,0.7725490196078431,0.10605060684837092,0.21314557116367439,0.5454819128308397,92.1122956418169,3.3891416354216535,0.1503635503344321,21478.655142200107
22,22,48.3828,3.24477,31,5.16479,0,116,133,8,125,7,0.99631,46.94977,0.0,0.0,3.14286,5.223,2.82311,0.0,0.0,128.0,55.37615,7e-05,0.73,1.033,-1.0,0.0,612.3850948960429,33.46281998245804,65834.58467785694,162.93788030157953,0.04292077439064495,0.16385481822817036,0.02531523378484528,0.14087334680688307,0.7108410493827161,0.020042026946589388,0.24669567720374821,2.36236698094239,0.13961433096446849,89.61900461324623,0.7725411764705883,0.10601190006872839,0.21335032461566839,0.5454819128308444,92.12068106999322,3.314133822364624,0.15098001255707433,20634.145434780636
23,23,48.774,3.22082,31,5.91961,0,116,133,8,125,7,0.99522,47.19289,0.0,0.0,3.35714,5.153,2.73117,0.0,0.0,128.0,55.38859,5e-05,0.72,1.019,-1.0,0.0,612.3722898156776,33.52245490933642,66165.85150640145,162.94203777479697,0.04290112630200922,0.16246908953271,0.025267764673292926,0.14140243475428035,0.6361400462962963,0.019963526681163513,0.2470558063484723,2.6902497034211637,0.13979416403161188,91.1454147686127,0.7720054901960784,0.1061171625419229,0.21366799300748707,0.539423245808559,92.20727304570075,3.271595216762868,0.15138775950815253,21791.765220588444
24,24,49.7257,3.36663,31,6.16721,0,116,133,8,125,7,0.99233,47.95681,0.0,0.0,3.75,5.002,2.70894,0.0,0.0,128.0,55.36355,7e-05,0.73,1.03,0.125,0.0,612.3499174680353,33.495739595389665,66420.08088667186,162.93424681791288,0.04276418276872705,0.16126072359973587,0.025241040124788203,0.14180532018467498,0.6188753858024691,0.019917206176183488,0.24764857170668977,2.795570731010537,0.14026526730404046,90.79988924014583,0.7720054901960784,0.10624834528089287,0.214107019174536,0.5416408718517824,92.0295153399683,3.2815620319987806,0.15168833312421282,23369.592029552074
25,25,48.9734,3.48949,31,6.42805,0,116,133,8,125,7,0.99011,47.38481,0.0,0.0,3.46429,5.164,2.83893,0.0,0.0,128.0,55.35435,8e-05,0.74,1.05,-1.0,0.0,612.3599489669347,33.53764870726032,66000.71878751172,162.9106610345791,0.04269076187303252,0.1602928879221489,0.025217129279846585,0.1422847174093453,0.8149594907407407,0.019891972573420312,0.24785846440260378,2.6524335727880253,0.14083656316757165,88.71193519198742,0.7712848039215684,0.10641274505524283,0.21435645507663434,0.5454819128308374,92.14468420814397,3.3355826467596628,0.15194601608682923,21730.19782879803
26,26,48.1769,3.47916,31,5.65044,0,116,133,8,125,7,0.99153,46.70573,0.0,0.0,2.42857,5.269,2.94289,0.0,0.0,128.0,55.31334,5e-05,0.72,1.034,-1.0,0.0,612.3503915255146,33.54112639250579,65824.77638209985,162.90750996943447,0.042732838122851974,0.16008386759141363,0.025272662369367344,0.1425685355663932,0.8843557098765432,0.019851573522333802,0.24790167789891873,2.6858373884211537,0.14137962930709205,88.8564758180205,0.7714399999999999,0.1062999484336424,0.21443293789376164,0.5438584978950038,92.24062134216467,3.3545957186670927,0.15239356049112707,20567.71704022611
27,27,48.6647,3.2504,31,6.84115,0,117,133,8,125,7,0.99645,46.98685,0.0,0.0,3.35714,5.152,2.93978,0.0,0.0,128.0,55.33857,5e-05,0.73,1.051,-1.0,0.0,612.3612520579171,33.52962296097367,66209.46858289659,162.89130667594634,0.0427224954997814,0.16064574955699576,0.02521354387498285,0.1429047646540831,0.9938753858024691,0.01975973971841434,0.24817704772608482,2.675254869681229,0.1421079235982296,89.16789870658172,0.7714925490196078,0.10630230594015413,0.21463867545731832,0.5372056197653269,92.25800374315023,3.31383649953932,0.152528533378346,22100.138915656902
28,28,49.7686,3.3678,31,6.0174,0,116,133,8,125,7,0.99659,47.95922,0.0,0.0,3.32143,4.966,2.73835,0.0,0.0,128.0,55.36528,8e-05,0.73,1.031,-1.0,0.0,612.3533023963345,33.513724433051216,66435.13365340995,162.88425599430798,0.04270459570792292,0.1609547342636465,0.025102334919759342,0.14326067328273662,1.0529031635802468,0.019820669838497354,0.24862608375114265,2.7423690748841163,0.14298125619254215,88.82121525026706,0.7733936078431322,0.10645970563229457,0.2149740625701679,0.5394232458085576,92.02687998354244,3.2081841696125024,0.15279679622770934,23821.30845095345
29,29,49.1721,3.09938,31,6.03271,0,117,133,8,125,7,0.99613,47.5236,0.0,0.0,3.25,5.097,2.84642,0.0,0.0,128.0,55.36949,8e-05,0.72,1.065,-1.0,0.0,612.3761642679217,33.57014616036121,66085.06341137218,162.88766856918429,0.04274540354899093,0.1610332316097594,0.025082791793982605,0.14359769309985826,1.0145640432098766,0.019789406493571346,0.248862209351859,2.8261559486878167,0.14363772019557347,89.86876790565798,0.7731294117647058,0.10662973336116752,0.21525288161883221,0.5394232458085536,92.13492191144854,3.287034974895023,0.15339961322135315,22310.006774206424
30,30,48.5656,3.11185,31,4.97198,0,116,133,8,125,7,0.99364,47.03461,0.0,0.0,3.10714,5.193,2.60644,0.0,0.0,128.0,55.36696,5e-05,0.73,1.027,-1.0,0.0,612.3916613441199,33.59899864667727,66002.23673133217,162.8626619118284,0.042812495545222096,0.16154007025496042,0.02502992754564176,0.14387572202296112,1.150511188271605,0.019850497086485386,0.24898094655579672,2.7693108883475075,0.144229751679334,87.40045247450679,0.7731294117647058,0.10677345079951694,0.21531416042705573,0.5416408718517773,92.20860943559802,3.116327343175794,0.1539651807676896,21345.213227215885
31,31,48.9069,3.11319,31,5.72315,0,117,133,8,125,7,0.99709,47.25075,0.0,0.0,3.35714,5.115,2.6193,0.0,0.0,128.0,55.39275,6e-05,0.73,1.042,-1.0,0.0,612.419968337353,33.61279692473235,66123.58393498832,162.87040792269943,0.04290299804380601,0.16195765418918318,0.025052489069914818,0.144138376278607,1.0940875771604939,0.019878485717059562,0.24921604741139874,2.917942076942625,0.14484001904644994,87.22882977047414,0.7736572549019607,0.10680658368077893,0.2155192986393895,0.537205619765325,92.21660273547734,3.1112037281600964,0.15436341657035074,22386.198389043057
32,32,49.7789,3.17692,31,5.33374,0,117,133,8,125,7,0.99044,47.94137,0.0,0.0,3.78571,4.984,2.61884,0.0,0.0,128.0,55.41548,7e-05,0.73,1.059,0.125,0.0,612.4382708218703,33.68775299449026,66476.74813611104,162.87181330069757,0.04292751340806396,0.16218803794183873,0.025027185619767998,0.14442312950072106,0.9679783950617284,0.01985478554478606,0.24959504250373857,2.814203148472093,0.1455341988273918,91.36421881534461,0.773389411764706,0.1069325558681657,0.2158282260379505,0.5372056197653317,92.04884914845978,3.1459919937914655,0.154614285248086,23792.653236881368
33,33,49.2209,3.32047,31,6.21231,0,117,133,8,125,7,0.99224,47.52862,0.0,0.0,3.25,5.093,2.67527,0.0,0.0,128.0,55.42056,4e-05,0.72,1.034,-1.0,0.0,612.4824946035745,33.61234726140528,66004.40335270557,162.84140778513864,0.04295751254494001,0.16145327064693696,0.02501790709373732,0.1447563675629024,0.7903163580246914,0.01983970497488703,0.24980891884562373,2.6832615695196647,0.14603985713248357,87.34053383874448,0.7731145098039216,0.10704034986357103,0.21601214128525037,0.5372056197653268,92.13796944323525,3.2146765696615365,0.15488748067328012,22249.074374889926
34,34,48.3253,3.5865,31,5.77255,0,117,133,8,125,7,0.99011,46.7209,0.0,0.0,3.60714,5.241,2.79487,0.0,0.0,128.0,55.38269,5e-05,0.73,1.052,-1.0,0.0,612.5046826633992,33.63498395754967,65820.88952752612,162.88128657221398,0.04304139487019623,0.16026531569809718,0.025031141939988275,0.1449682276224983,0.6910204475308642,0.019824495258639642,0.24985929231008064,2.4991762671518587,0.14650604448760898,93.28513950638965,0.7716701960784315,0.10704734676155886,0.21603963133562878,0.5416408718517743,92.24740985647966,3.269251898103147,0.15512672980538678,21029.635241684507
