,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,staticness,cubcol.0.5,noise,cubcol.1.0,cubcol.0.3,cubrow.0,temporal,cubcol.0,cubrow.1.0,movement,blur,cubcol.0.6,blockiness,tone,contrast,cubrow.0.6,fft,saturation,cubrow.0.5,uhdhdsim,cubrow.0.3,color_fulness
0,100,48.5263,3.77969,31,0.0,0,116,133,8,125,7,0.99137,47.14248,0.0,0.0,3.07143,5.155,0.0,0.0,0.0,128.0,55.14323,5e-05,0.72,1.038,0.0,0.0,615.5747156984191,0.15905692721098524,0.5454819128308447,0.038904373054768154,0.048685139100144055,0.11133753247628762,0.0,0.029388940819364374,0.13434520478052456,0.0,21094.813679828832,0.15924530444879767,2.6491851376198126,0.7711196078431373,89.64044296111682,0.16530974150025096,65863.68921001334,33.55769913284867,0.25371300912050254,92.09862704414425,0.22557948348041618,162.98036631954824
1,101,48.5444,3.76368,31,4.86558,0,116,133,8,125,7,0.99036,47.15581,0.0,0.0,2.39286,5.132,3.20028,0.0,0.0,128.0,55.14676,5e-05,0.73,1.029,-1.0,0.0,615.6007799884292,0.163183533946966,0.5454819128308458,0.030212296110668824,0.043909208739070275,0.10902487118991712,3.397833733499053,0.02420676333930219,0.1271053251725094,0.19034529320987653,21141.190354383365,0.15672947095369885,2.2784137934524087,0.7714478431372549,91.33735055374811,0.16428052120599587,65909.62508132514,33.52114095805604,0.2525116572765334,92.12790287805241,0.22105383096990047,162.95955087245247
2,102,48.5392,3.58916,31,4.77761,0,116,133,8,125,7,0.9926,47.16645,0.0,0.0,2.57143,5.155,3.18458,0.0,0.0,128.0,55.12105,4e-05,0.72,1.041,-1.0,0.0,615.3780989928857,0.1669737354047194,0.5454819128308444,0.02892727956223156,0.043447608608762685,0.10855287632299349,3.388334948275896,0.022845253178058425,0.1263668053553956,0.19593942901234568,21152.129719819994,0.1562349145022971,2.25832779455176,0.772221568627451,91.37462798776167,0.16350800735336224,65904.61718562453,33.51244815779321,0.2528460266416327,92.14382650076266,0.2194588913189881,162.92473688366692
3,103,48.6898,3.22522,31,4.71808,0,116,133,8,125,7,0.98701,47.30606,0.0,0.0,3.35714,5.178,3.03287,0.0,0.0,128.0,55.14558,6e-05,0.73,1.025,-1.0,0.0,615.3710635488573,0.16868391983730208,0.5454819128308438,0.028036067031022214,0.0430728452275079,0.10888295912471806,3.3447296985985644,0.021823757046583236,0.12848566447784607,0.17824074074074073,21386.233576946262,0.15592324489017398,2.2900328643778924,0.7726007843137257,90.86770705069584,0.16365823532910562,65903.44772662666,33.577579827956214,0.252762545694466,92.08426029025482,0.21893307627170727,162.9459364127537
4,104,48.7243,3.11994,31,4.36013,0,116,133,8,125,7,0.99029,47.34922,0.0,0.0,3.21429,5.148,2.71645,0.0,0.0,128.0,55.12607,5e-05,0.73,1.017,-1.0,0.0,615.2063125271286,0.171404170149615,0.5454819128308448,0.026748530897840756,0.042869608855586716,0.108915254109576,3.2122793944766093,0.02148193147838748,0.13074166383661134,0.11603009259259259,21460.14477961301,0.15575224946588634,2.509136402420308,0.773121568627451,89.90708999507945,0.1628461111380232,65973.77280582157,33.53743056309076,0.25261313750437625,92.09927797896155,0.21895179637481124,162.88371107854834
5,105,48.7195,3.18849,31,4.24428,0,116,133,8,125,7,0.99018,47.34119,0.0,0.0,3.07143,5.164,2.62179,0.0,0.0,128.0,55.13525,4e-05,0.72,1.005,-1.0,0.0,615.1870192988288,0.17352154885044677,0.5454819128308412,0.02661841781229742,0.04318218006697863,0.10863008435935531,3.1761113925167828,0.021192712617030065,0.13088137736437855,0.09833140432098765,21499.571262714,0.15506991704198947,2.7536024650082522,0.7736799999999999,90.886487232856,0.1618787366015388,65949.2912780106,33.54933920024354,0.25292358213589516,92.1046057784988,0.21936682893583326,162.9693414070033
6,106,48.6234,3.32738,31,4.42426,0,116,133,8,125,7,0.99007,47.23404,0.0,0.0,3.5,5.203,2.68422,0.0,0.0,128.0,55.11656,2e-05,0.72,1.03,-1.0,0.0,615.0620485102276,0.17698467759958372,0.5454819128308435,0.026121227254387872,0.04283614355629287,0.10860658133204801,3.2087152550456954,0.020992016768509446,0.13135937849551446,0.09177276234567901,21438.832305705033,0.15509759636268633,2.7088319554122995,0.7731294117647058,91.22157588524651,0.16086747454588257,65949.02549736033,33.57982456536941,0.25330562904689846,92.11775839379074,0.2201305046067796,162.9350816412323
7,107,48.5925,3.22698,31,4.54651,0,116,133,8,125,7,0.98409,47.19627,0.0,0.0,2.82143,5.211,2.80314,0.0,0.0,128.0,55.13166,3e-05,0.73,1.043,-1.0,0.0,615.0699574063069,0.17976820282437286,0.5454819128308429,0.02601900651894608,0.042943436968163815,0.10839066641513122,3.260511772367478,0.021080838571097174,0.1310926610845456,0.10416666666666667,21358.552499263118,0.15477584454317125,2.566955557080958,0.7736203921568627,88.47675981004106,0.1596829002951407,65952.46759454318,33.58855466489439,0.253161495366919,92.09397477258449,0.2207111164414898,162.9527054836906
8,108,48.5882,3.05293,31,4.5079,0,116,133,8,125,7,0.99209,47.18089,0.0,0.0,2.75,5.231,2.71502,0.0,0.0,128.0,55.11045,6e-05,0.73,1.023,0.125,0.0,614.9687622332775,0.18183965315180647,0.5454819128308427,0.025661860870815907,0.04280901532863933,0.10825704757180964,3.233017243244021,0.02082288341746934,0.13087811449103123,0.10059799382716049,21397.758555162407,0.15466643985653508,2.3586341593716633,0.7734647058823529,91.24356014044284,0.15889202094286997,65960.206138184,33.54737948193962,0.2530979324527701,92.10457703373737,0.22073922838936835,162.9430233918928
9,109,48.6467,3.09053,31,4.40071,0,116,133,8,125,7,0.99589,47.22762,0.0,0.0,2.5,5.176,2.56074,0.0,0.0,128.0,55.12987,6e-05,0.73,1.032,-1.0,0.0,614.9492918855327,0.1832596843243478,0.5454819128308391,0.025602704534240354,0.04264902466672743,0.10824013931141004,3.1687129414396176,0.020784672919670115,0.13110413364772677,0.08410493827160494,21454.859847594398,0.15461023903926926,2.2963787926486234,0.7739441764705881,91.45838351814666,0.15836371389240578,65971.03716853037,33.56236926420235,0.25291994549434066,92.09110331589231,0.22098521952249087,162.94662805262737
