,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0,saturation,noise,color_fulness,cubcol.0.6,staticness,tone,blur,cubrow.1.0,uhdhdsim,fft,cubrow.0.5,cubrow.0.3,contrast,blockiness,temporal,cubrow.0.6,cubcol.0.5,cubcol.1.0,cubcol.0.3,cubrow.0,movement
0,300,47.5802,3.72101,31,0.0,0,116,133,8,125,7,0.99947,46.53987,0.0,0.0,2.5,5.467,0.0,0.0,0.0,129.0,53.97521,6e-05,0.73,1.014,0.0,0.0,0.02976977915317141,33.559790717230904,0.545481912830849,162.9279720739978,0.1278346809779684,615.7923571038133,0.76754,19552.50884637822,0.18114796457560664,92.19202058992983,65545.74087852314,0.24720618280186296,0.22436399953001443,90.3834965241992,2.426653689613092,0.0,0.1421075318455162,0.16897558020586503,0.038514356761018796,0.05567535041815286,0.1097735535983653,0.0
1,301,46.7652,3.69792,31,5.94414,0,116,133,8,125,7,0.99675,45.86892,0.0,0.0,2.92857,5.605,3.15267,0.0,0.0,129.0,54.01588,2e-05,0.73,1.021,-1.0,0.0,0.023673337202247933,33.612390965591246,0.5454819128308523,162.94449844017362,0.12674244857977168,615.7999760928105,0.7674886274509805,18164.772907133953,0.17574052539433593,92.32998391867531,65200.91654324858,0.24354109348720906,0.21605851673887388,90.06531579770142,2.515390998515807,3.3622076953126725,0.13711685270519883,0.15968523200630733,0.030092060501873255,0.05288981409775214,0.10708886027378409,0.24802276234567902
2,302,46.096,3.7477,31,5.22048,0,116,133,8,125,7,0.9935,45.30037,0.0,0.0,2.21429,5.743,3.1279,0.0,0.0,129.0,54.00127,4e-05,0.72,1.033,-1.0,0.0,0.022544226665703555,33.56844282738957,0.54548191283085,162.92750296471374,0.1308291341871863,615.5904176551846,0.7669607843137255,17189.120103899808,0.17465651865707266,92.40911888040807,65101.29133895672,0.24085916754477857,0.21364453207611506,90.39833204573395,2.2906709250271096,3.348030052740491,0.13613599195446352,0.15343628962249012,0.028337054703380906,0.05179055625056203,0.10351075613356957,0.24594907407407407
3,303,46.7064,3.74097,31,5.52917,0,116,133,8,125,7,0.99901,45.7961,0.0,0.0,2.67857,5.558,3.17264,0.0,0.0,129.0,54.07389,2e-05,0.72,1.048,-1.0,0.0,0.021656157645598365,33.60792484989873,0.5476995388740752,162.91611748446377,0.1347869498433989,615.7389157239844,0.7669607843137255,18340.6544115213,0.17504416357457359,92.39017599531604,65418.21993605572,0.24075082058609756,0.21305151761917238,87.49168379483464,2.194378966471422,3.3891422757426897,0.13613160040939953,0.14953079500236632,0.027386739587758988,0.051089463241658556,0.10287805661164144,0.2462866512345679
4,304,47.6909,3.63812,31,6.05125,0,116,133,8,125,7,0.98524,46.62419,0.0,0.0,2.60714,5.365,3.16587,0.0,0.0,129.0,54.10886,5e-05,0.73,1.029,-1.0,0.0,0.02148666165607103,33.64302062988281,0.5499171649173064,162.93405606062072,0.13861956249240892,615.6717607115622,0.7675262745098039,19745.261268209873,0.17636591332012713,92.14800925178045,65659.6850672982,0.24178249993507905,0.21331272984581723,89.3077250980614,2.2839291938738637,3.4154448187879107,0.13736252271506727,0.1499792736324294,0.027172239209226796,0.04950407388767825,0.10376033321440775,0.23929398148148148
5,305,46.9653,3.57326,31,6.06217,0,116,133,8,125,7,0.98518,46.01262,0.0,0.0,2.57143,5.548,3.08032,0.0,0.0,129.0,54.13132,6e-05,0.72,1.019,-1.0,0.0,0.02107716068155038,33.57839645574122,0.5454819128308582,162.96166582398575,0.14060375932745156,615.7093183826531,0.7669529411764706,18418.21968009735,0.17679752799791007,92.23185634375774,65279.94168688018,0.2415888651840846,0.21296161765191765,88.53176490322589,2.550044680781232,3.3940069314029873,0.13706837369093006,0.15338122939894364,0.026586757063307563,0.049458948092609485,0.10402755964254023,0.2170138888888889
6,306,46.0703,3.60754,31,5.60449,0,116,133,8,125,7,0.98585,45.28057,0.0,0.0,2.35714,5.758,3.0195,0.0,0.0,129.0,54.13926,5e-05,0.73,1.047,-1.0,0.0,0.020871585272794094,33.65042622884115,0.5476995388740766,162.9265870822462,0.14160976571768435,615.6405633524424,0.7669529411764706,17048.689873312913,0.17762497755093026,92.38776525230551,65119.18044293084,0.24025206402151825,0.2120637163820645,90.64851126780287,2.527778305622892,3.3891181806158768,0.136653237004911,0.15629770589132644,0.026157501384349937,0.048997605473397654,0.10332617325552028,0.19338348765432098
7,307,46.8941,3.49159,31,6.09883,0,116,133,8,125,7,0.98954,45.92254,0.0,0.0,2.46429,5.559,3.04947,0.0,0.0,129.0,54.18949,5e-05,0.73,1.015,-1.0,0.0,0.020828066829592966,33.60055655020255,0.5454819128308516,162.95293192961066,0.14270387879271593,615.6460565672156,0.7669529411764706,18742.224406150825,0.17964674287200996,92.36374433056747,65527.18624811764,0.2407507806225041,0.21185398371460537,88.46820846820769,2.7688421800481287,3.4082927483698544,0.13678208436381098,0.15715610341115618,0.026174396479613317,0.04872532786233121,0.10298712073196636,0.19116512345679013
8,308,48.4655,3.42367,31,6.92072,0,116,133,8,125,7,0.98956,47.24216,0.0,0.0,2.82143,5.255,2.94772,0.0,0.0,129.0,54.22486,5e-05,0.72,1.025,0.125,0.0,0.020695679409668044,33.652401205934126,0.5454819128308538,162.94530867275958,0.1442764314829466,615.5988014733994,0.7674886274509805,21094.71791146907,0.18128838424760252,92.04286251191904,65920.07597103502,0.24163247709524394,0.2126218022646622,89.40602573704146,2.635457083401235,3.3816451213650214,0.13764953435553026,0.15733730675162363,0.026279343776871043,0.04904954878730314,0.10363240097152093,0.1588059413580247
9,309,47.4473,3.36488,31,6.63339,0,116,133,8,125,7,0.98975,46.42429,0.0,0.0,2.53571,5.442,2.89169,0.0,0.0,129.0,54.23093,5e-05,0.72,1.057,-1.0,0.0,0.020703194853199818,33.53848775227865,0.5454819128308516,162.96335157787658,0.14517967006449958,615.5797458682283,0.7669529411764706,19121.54252235946,0.18182541956170198,92.15175003041122,65429.14983869148,0.24196599023595594,0.21323818643440512,88.57082697220386,2.6478939735165947,3.364742691062366,0.13770077706539485,0.15845759017666056,0.026115827859434514,0.049329939685783024,0.10399609007327788,0.13999807098765432
