,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,contrast,cubrow.0,color_fulness,tone,cubrow.1.0,blockiness,cubrow.0.3,movement,cubrow.0.6,staticness,uhdhdsim,cubcol.1.0,cubrow.0.5,noise,cubcol.0.6,cubcol.0.3,saturation,cubcol.0,fft,blur,temporal,cubcol.0.5
0,500,48.7327,4.07143,25,0.0,0,116,132,6,125,5,0.99633,44.76705,0.0,0.0,2.85714,5.145,0.0,0.0,0.0,128.0,54.33513,0.00013,0.0,1.1,0.0,8.471825,89.39730832710978,0.10415448631058785,161.82240887088153,0.7607843137254902,0.15586837977041687,2.469802382492798,0.21393857969960808,0.0,0.14711516822748072,618.2157018481413,92.9082782792173,0.010053202099608286,0.24883545253505826,0.22227149055435955,0.15570742158538511,0.06633581787519988,34.21354336208767,0.009097727609819172,65065.88802564292,19975.957506855804,0.0,0.1421528690588361
1,501,48.6976,4.02047,25,4.11266,0,116,132,6,125,5,0.99129,44.71163,0.0,0.0,3.07143,5.139,3.47044,0.0,0.0,128.0,54.34691,0.00015,0.0,1.026,-1.0,8.399156,89.81554764161444,0.10270071567203518,161.8750037397067,0.7602635294117647,0.15020725200273666,2.341225994455083,0.21330891367247853,0.5032310956790124,0.1416784482472479,618.7544674777686,92.90268078762966,0.008371134171198254,0.24615395101887516,0.2222714905543587,0.1537773187211585,0.06155555074170504,34.18430695710359,0.007271984686358639,64997.119597373756,20027.94358782432,2.3934977880755675,0.13936204042752062
2,502,48.6245,4.16055,25,4.55629,0,116,132,6,125,5,0.9811,44.62651,0.0,0.0,3.21429,5.165,3.42241,0.0,0.0,128.0,54.32124,0.00016,0.0,0.941,-1.0,8.335983,87.52090444797065,0.10232071021583614,161.84523391750986,0.7601342352941176,0.14686016811637342,2.229681913906616,0.21294764552441373,0.49710648148148145,0.14026419945167823,618.5379129477034,92.93830152597965,0.00731642959170287,0.2453837611717731,0.22005386451113085,0.15323924326374463,0.05998825749972901,34.19651700243538,0.00679628495230347,65033.72235198625,19979.05163611057,2.5348430019423067,0.1430209963584314
3,503,48.676,4.4641,25,4.39376,0,116,132,6,125,5,0.98531,44.66673,0.0,0.0,3.32143,5.176,3.54586,0.0,0.0,128.0,54.34328,0.00012,0.0,0.972,-1.0,8.309023,87.5998179406534,0.10221998005724006,161.75669508903374,0.7595861568627451,0.14679286641287662,2.168436157636967,0.21287783722239503,0.5505401234567902,0.13952747724865103,618.854774498044,92.9027670858716,0.007051633585198293,0.2448964174679621,0.22227149055435422,0.153222977404826,0.05851912671334615,34.275339573989676,0.006700914138026246,65057.36449348531,20013.012052837737,2.6341482454802474,0.14637829547694622
4,504,48.6746,4.39661,25,4.31089,0,116,132,6,125,5,0.98821,44.66255,0.0,0.0,3.0,5.147,3.80531,0.0,0.0,128.0,54.33123,0.00012,0.0,0.968,-1.0,8.340643,91.94559168864069,0.10245528267756286,161.7415954790802,0.7588192156862745,0.14633851447863228,2.104265991056464,0.21294611348100173,0.8064236111111112,0.1394915006322282,618.7977733102185,92.8871179962942,0.006875821481707455,0.24470395064225273,0.22005386451113118,0.15310306101574217,0.05828623152958364,34.25945781189718,0.00661971532885501,65024.69151372336,20011.415128276392,2.669062779832124,0.1453837349331152
5,505,48.7276,4.24533,25,4.54515,0,116,132,6,125,5,0.99281,44.72956,0.0,0.0,3.57143,5.174,3.75007,0.0,0.0,128.0,54.3642,0.00012,0.0,0.969,-1.0,8.29958,87.39578635938297,0.10233401647114802,161.49303148104835,0.7549956862745097,0.1463901994106127,2.5222216412367886,0.21299716392027934,0.7240547839506173,0.13963749319484842,619.022421160993,92.88661538939806,0.006815084957248293,0.24460154824701444,0.22227149055435338,0.15301070148815418,0.058956587401413595,34.24101558732397,0.00649446380158051,64928.50279811256,19986.467117799963,2.638054113823075,0.14166407575019976
6,506,48.7265,4.31418,25,4.55003,0,116,132,6,125,5,0.98313,44.73926,0.0,0.0,3.5,5.173,3.61489,0.0,0.0,128.0,54.35251,0.00015,0.0,1.123,-1.0,8.320359,89.41922821235335,0.10228579334748118,162.01279753534646,0.754093725490196,0.14609531604321532,2.5385179092469503,0.21283089095233487,0.6710551697530864,0.13920339659909559,618.9892796313018,92.8806198816737,0.006656333463896171,0.24455775387572723,0.2200538645111312,0.15285814203424591,0.05949713328269426,34.21028495129244,0.006422903637719243,64976.09992576338,19970.254131685102,2.633701254526927,0.1387422664694817
7,507,48.8269,4.2655,25,4.55507,0,116,132,6,125,5,0.97746,44.84761,0.0,0.0,3.60714,5.168,3.67773,0.0,0.0,128.0,54.41733,0.00016,0.0,0.986,-1.0,8.400225,88.89263226298715,0.10212319755863848,161.48810571142002,0.7535592156862745,0.14591378871119973,2.38972718649313,0.21260502741001516,0.7099729938271605,0.13869617553624433,619.1413778455502,92.83806027995314,0.00656078860054612,0.2444362011468013,0.22005386451113093,0.15250696204137465,0.05954306355734104,34.27099628213011,0.0063346909996888105,64942.603557258066,19948.420528506445,2.6214641579231484,0.137524845519224
8,508,48.851,4.29496,25,4.33728,0,116,132,6,125,5,0.97626,44.87916,0.0,0.0,2.92857,5.187,3.63293,0.0,0.0,128.0,54.40022,0.00012,0.0,0.982,0.48328,8.348264,87.79141999280837,0.10210237176798023,161.8299444834729,0.7535066666666667,0.14586271500074016,2.385120623870837,0.2123988888583107,0.7583429783950617,0.1386233276838293,619.1967540906289,92.84781218725271,0.006506530879236566,0.24463260364316225,0.22005386451113998,0.15222450227897408,0.060241538381248995,34.25709891613619,0.006312473078191216,64936.74010517802,19973.269103270708,2.604133981276361,0.13819162992269285
9,509,48.9425,4.27326,25,4.1866,0,116,132,6,125,5,0.98071,44.96318,0.0,0.0,3.42857,5.216,3.66295,0.0,0.0,128.0,54.43371,0.00011,0.0,1.051,-1.0,8.400169,87.04222881549784,0.10209544222035855,162.02928039474543,0.7535066666666667,0.1457697083805898,2.375267428491586,0.21209977497379123,0.7144579475308642,0.13868752339511464,619.3867444761153,92.8856658222434,0.006454006243699254,0.24476150803103994,0.21621282353207164,0.1521592905231256,0.061282038629943976,34.210061720859855,0.006301159394395852,64938.24683091958,20046.32750044205,2.5616538237045225,0.1403644346749077
