,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.6,tone,movement,cubrow.0,cubcol.0.6,temporal,cubcol.0,noise,saturation,cubrow.0.3,uhdhdsim,cubcol.0.3,cubrow.0.5,contrast,color_fulness,cubcol.0.5,fft,staticness,cubcol.1.0,cubrow.1.0,blockiness,blur
0,0,47.6757,2.53113,22,0.0,0,115,133,6,125,5,0.98653,42.81332,0.0,0.0,3.10714,4.948,0.0,0.0,0.0,127.0,54.89011,0.00021,0.0,1.05,0.0,9.513401,0.1246834907022936,0.7725639215686275,0.0,0.10157917022327272,0.12498028935310072,0.0,0.0081437011761121,0.19360157037872008,33.745437810450426,0.21560259477397492,92.75256962774517,0.018044764738505043,0.2568701675616945,89.88312744109807,162.17537782598527,0.12373375770672264,66308.32502934137,607.5343215832983,0.00952129697359252,0.18045059527215432,2.0401617499203213,21648.9253128134
1,1,46.7952,2.5098,22,4.89632,0,115,133,6,125,5,0.98124,42.06045,0.0,0.0,2.96429,5.145,2.12521,0.0,0.0,127.0,54.91757,0.00019,0.0,1.001,-1.0,9.478215,0.1218725924968604,0.7708894117647059,0.15928819444444445,0.10107878892592093,0.12332530801996938,2.0155545474496233,0.007452527188444882,0.1913839443354973,33.79446561836902,0.2099029453874959,93.12548582915377,0.01560168218422391,0.25082759181430997,89.78025545283423,161.65340813108256,0.12302468471155117,65696.37405014577,607.982228551605,0.006967116637484688,0.17259686043282996,2.1560402248932924,19914.968069444396
2,2,45.8373,2.66731,22,4.51906,0,115,133,6,125,5,0.98199,41.24082,0.0,0.0,3.39286,5.316,2.10406,0.0,0.0,127.0,54.85932,0.00018,0.0,1.036,-1.0,9.453449,0.11975298108890295,0.7708745098039217,0.14149305555555555,0.09918487442841564,0.12171313074682154,2.050384158964187,0.006814179672236608,0.1936015703787215,33.730793705692996,0.2057563648780195,93.39657442339286,0.015350392447202476,0.24675320141950402,92.84733813722181,161.75365485525762,0.1254294635888105,65492.21258874401,607.5451258779589,0.006985264239018871,0.17122777752344673,1.91858083056039,18535.199109467045
3,3,46.6319,2.66245,22,4.46544,0,115,133,6,125,5,0.98099,41.92113,0.0,0.0,3.14286,5.168,2.2453,0.0,0.0,127.0,54.90835,0.00015,0.0,1.005,-1.0,9.475916,0.11828718881025066,0.7708745098039217,0.16869212962962962,0.09913661869965183,0.12178452679435868,2.0746006017768828,0.006979068708156533,0.19360157037872253,33.80895506305459,0.204889667159677,93.13761489492475,0.01511438708471869,0.24708583329724693,88.31496255840275,161.41390253307333,0.13116839373704306,66046.98904425223,607.7613954962695,0.006522279561462591,0.171406380498456,2.167105758133919,19948.83110820322
4,4,48.0762,2.57656,22,5.71422,0,115,133,6,125,5,0.98315,43.17886,0.0,0.0,2.53571,4.949,2.24157,0.0,0.0,127.0,54.91398,0.0002,0.0,1.031,-1.0,9.547505,0.11893611920279258,0.7708745098039217,0.18523341049382716,0.10044875001241607,0.12251697739702078,2.1014316505648916,0.006548361039619708,0.19360157037872247,33.816948973102335,0.20536542063398147,92.6597496092515,0.015194189561645135,0.24745952484312347,90.06673843538621,161.50313540798746,0.13298095992638784,66489.19875058667,607.6306307694058,0.006417629316717438,0.17154411267462513,2.191961245450853,22030.978491283553
5,5,47.217,2.66054,22,4.99847,0,115,133,6,125,5,0.98535,42.45776,0.0,0.0,2.75,5.045,2.1705,0.0,0.0,127.0,54.91402,0.00013,0.0,1.008,-1.0,9.441101,0.11849082902529828,0.7708745098039217,0.14293981481481483,0.10057080398214965,0.1228188749752811,2.1061639463560384,0.006444591000816462,0.19360157037872294,33.7745171064212,0.20595203063387796,92.99013762586264,0.015144024806498698,0.24727924326320527,90.32810998573375,161.3920409567377,0.13271844142994813,65878.96791375653,607.7266070626728,0.006231678373295555,0.1713131711270704,2.0791931988172307,20476.10428716272
6,6,46.6825,2.76405,22,3.96373,0,115,133,6,125,5,0.9955,41.99979,0.0,0.0,3.85714,5.14,2.23981,0.0,0.0,127.0,54.88146,0.00021,0.0,0.952,-1.0,9.475832,0.11815667459018236,0.7708596078431373,0.18764467592592593,0.10044662166182278,0.12237573406965276,2.0550694260623446,0.0064262441963840915,0.1936015703787227,33.86822660469714,0.2054895627637543,93.08230247721573,0.015039577660897566,0.2464623537351686,90.07320125791365,161.46536369438365,0.13297640340556446,65827.60139987398,607.6737447321769,0.0061412061828064754,0.17112804464395434,2.5035989516495296,19671.73512260482
7,7,47.3333,2.81977,22,4.54257,0,115,133,6,125,5,0.98787,42.5514,0.0,0.0,3.28571,5.069,2.33273,0.0,0.0,127.0,54.91438,0.00024,0.0,0.957,-1.0,9.4163,0.11759192155805609,0.7705690196078432,0.22395833333333334,0.10032847846992914,0.1223906639420886,2.067182068722277,0.006321210141773152,0.19360157037872325,33.71702481493538,0.2059204095057052,92.97088799956377,0.01495210288692893,0.24685781147538158,87.8151459595642,161.61453849476825,0.13333444855145188,66203.84376465186,607.7470623553788,0.006153643150769116,0.17094530456583484,2.4703339516580782,20905.615484806996
8,8,48.4854,3.00601,23,5.21484,0,115,133,6,125,5,0.98085,43.55513,0.0,0.0,3.21429,4.876,2.37863,0.0,0.0,127.0,54.92979,0.0002,0.0,1.022,0.50167,9.432437,0.11748744818192298,0.7708745098039217,0.2273341049382716,0.10083524306761606,0.12274516061111648,2.074203529152767,0.006192952637464113,0.19360157037872314,33.81076426564911,0.20689360576985993,92.65715732163176,0.014697119781527242,0.24767047897175032,90.92443363571797,161.71838885329112,0.1344925614662656,66375.38935716607,607.7022625403428,0.006164468091463367,0.17021139235161586,2.0395504580540016,22557.99276788974
9,9,47.6884,2.99726,22,5.09365,0,115,133,6,125,5,0.98867,42.87158,0.0,0.0,3.60714,4.99,2.5458,0.0,0.0,127.0,54.93969,0.00022,0.0,0.961,-1.0,9.537614,0.11708782475271676,0.7705690196078432,0.2724729938271605,0.10095323175566769,0.12348291907748297,2.1123148523583852,0.006107795825280806,0.1936015703787215,33.720089194215376,0.20696491050931845,92.93261030639181,0.014652484003890149,0.24729541842733638,90.22418826212484,161.48830006638198,0.13578043943297988,65987.61133043717,607.7360908218227,0.006102308651232737,0.16893931329560413,1.9437918381483903,20938.39771808406
10,10,46.6656,3.20872,22,4.95651,0,115,133,6,125,5,0.99632,41.98744,0.0,0.0,3.46429,5.184,2.53322,0.0,0.0,127.0,54.91943,0.0002,0.0,0.968,-1.0,9.559743,0.11671247363252213,0.7703090196078433,0.5787519290123457,0.10069568820991277,0.12425806637378833,2.1431361149976937,0.006108728971866277,0.191383944335495,33.763804494598766,0.2067417389672384,93.26299944968731,0.014601648189091227,0.2467891177826121,90.243756106534,161.62793965167188,0.1363428787479989,65700.789046573,607.6510061180518,0.006060586525006982,0.16801829083168285,1.9306185977544887,19400.94645087342
11,11,47.5701,3.42866,22,5.53252,0,115,133,6,125,5,0.99832,42.74127,0.0,0.0,3.32143,5.016,2.72063,0.0,0.0,127.0,54.959,0.00023,0.0,1.009,-1.0,9.496884,0.11670388590451349,0.7697882352941178,0.6770833333333334,0.10046413208602203,0.1260474744658981,2.14891230022867,0.005995548294835752,0.19138394433549955,33.724358641071085,0.20702750602293327,92.99896683645571,0.014557203030459225,0.2470390219707378,91.31099359450619,161.52391626345857,0.13640642413595505,66319.45709758134,607.6638672654104,0.005959432701063064,0.1675404527692179,2.021045405126269,21287.88979460926
12,12,49.1421,3.29542,23,6.24406,0,115,133,6,125,5,0.99963,44.106,0.0,0.0,3.07143,4.859,2.90945,0.0,0.0,127.0,54.99498,0.00017,0.0,0.971,-1.0,9.479114,0.11656860802819162,0.7703090196078433,0.7096836419753086,0.10077200944144833,0.1281007996891539,2.2242075911290775,0.006066561766796766,0.1936015703787232,33.79835378387828,0.20823594698622386,92.5200072692518,0.014416644010917015,0.24785346755664822,91.8313788699384,161.63456343007732,0.1361665224057301,66741.55085578459,607.5365626780928,0.005978564575995809,0.16671154115680578,2.403268901537396,23632.318551540273
13,13,48.2536,3.60285,23,5.95112,0,115,133,6,125,5,0.98651,43.36568,0.0,0.0,3.10714,4.951,2.797,0.0,0.0,127.0,55.03022,0.00021,0.0,0.97,-1.0,9.539859,0.11664402462212364,0.76973568627451,0.5842496141975309,0.10120651958907124,0.1302858650927501,2.1530420984685317,0.00601527777988722,0.19138394433549513,33.78421623324171,0.20912669360384673,92.8746414702942,0.014435644083987807,0.24774295799298798,89.93671897860894,160.9952634041659,0.1365855161763841,65917.65963603028,607.4854241336704,0.005998932013280447,0.16536234620902593,2.0898487892563113,21740.32868684121
14,14,47.429,3.93327,22,4.92255,0,115,133,6,125,5,0.98994,42.66155,0.0,0.0,3.32143,5.05,3.06065,0.0,0.0,127.0,55.02485,0.00024,0.0,0.967,-1.0,9.569658,0.11630909656123865,0.76973568627451,0.5766782407407407,0.10113900236731233,0.13185776636216115,2.152322495166463,0.006037120730630258,0.1913839443354993,33.78169307002315,0.20899972572082162,92.991961285411,0.014441162565270572,0.24762507089914046,88.4068505544502,160.9928190706126,0.1373851725284174,65534.31121726618,607.3185631710667,0.005932118029565752,0.1642882548208335,1.9696925732984,20391.555037204696
15,15,48.0971,3.7569,22,5.22157,0,115,133,6,125,5,0.99199,43.21676,0.0,0.0,3.46429,4.924,3.34805,0.0,0.0,127.0,55.08107,0.00029,0.0,1.042,-1.0,9.552269,0.11619839909988629,0.76973568627451,0.9588638117283951,0.10095375067813107,0.13294743736620013,2.155646982835792,0.006036110188606021,0.19138394433549336,33.75552613058208,0.20928985711957493,92.84524911829918,0.014462807666743002,0.24759527188428904,88.93505847732666,161.1703202250837,0.139256606263992,65956.77740881505,607.2368483034082,0.005987604502087308,0.1635586486526068,2.361649080650115,21659.7653602939
16,16,48.9876,3.80261,23,5.3631,0,115,133,6,125,5,0.98123,43.99872,0.0,0.0,3.03571,4.874,3.1937,0.0,0.0,127.0,55.12591,0.00024,0.0,0.953,0.50219,9.508964,0.11648804450749056,0.7703090196078433,0.9490258487654321,0.10109485284393523,0.13432421905056025,2.085275329444167,0.0060287502680411035,0.19360157037872325,33.76227729703174,0.20993978361943372,92.60385452606448,0.014446571916414951,0.24796006246250402,90.58388545977732,161.14095691444052,0.13998259322736942,66097.22050086578,607.0952118705881,0.005972872517771873,0.16272152118170907,2.1314511372618434,22897.198355783814
17,17,48.3636,3.77592,23,5.10719,0,115,133,6,125,5,0.97015,43.48375,0.0,0.0,2.96429,4.918,3.23945,0.0,0.0,127.0,55.17128,0.00024,0.0,1.018,-1.0,9.539354,0.11629027295621112,0.7705690196078432,0.8748553240740741,0.10128420823048147,0.1353878979166484,2.0859782593195715,0.006018899815885517,0.19197815544288863,33.67691360285253,0.2102062336274873,92.79220636986665,0.014505624680981152,0.2480534386790934,91.2229924515446,161.6075298424274,0.14050369794338272,65697.41896221037,607.0532996226818,0.005963104764685209,0.16179815420489252,2.2749832118246487,21502.859864968912
18,18,47.7183,3.43012,23,4.75428,0,115,133,6,125,5,0.97843,42.94209,0.0,0.0,3.25,4.997,3.20784,0.0,0.0,127.0,55.18459,0.00023,0.0,0.937,-1.0,9.513654,0.11601205844712441,0.7697882352941178,0.8009741512345679,0.10118719468951841,0.13615141911535103,2.023559237622839,0.006022135605557553,0.1936015703787213,33.716457225658274,0.21030504162001823,92.9581098914964,0.014569533079293812,0.24805056721767924,87.1493470738697,161.40780885735794,0.14102172670670657,65535.67981122832,606.9495082656184,0.0059143261685007855,0.15996490204704794,1.991344261381848,20499.45366461954
19,19,48.3279,3.27221,23,5.13083,0,116,133,6,125,5,0.98738,43.43369,0.0,0.0,3.25,4.921,2.91543,0.0,0.0,127.0,55.25254,0.00019,0.0,0.998,-1.0,9.49613,0.11620170134754347,0.7703090196078433,0.6674382716049383,0.10122481072482008,0.13690148391959292,1.9491507611156231,0.005982616748121249,0.19138394433549508,33.641625675154316,0.21065288627699788,92.79666838589239,0.014567723151704747,0.24834570944389786,89.21096237614272,161.75618789844978,0.14084311263554095,65909.09373286446,606.9249578349109,0.005881000013987178,0.15726588773529715,2.003053419730295,21743.574439966986
