,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,movement,cubrow.0.6,cubcol.0,noise,blockiness,cubcol.0.3,contrast,tone,temporal,cubcol.0.6,cubcol.0.5,cubcol.1.0,staticness,uhdhdsim,color_fulness,fft,saturation,cubrow.0.3,cubrow.0.5,cubrow.0,blur,cubrow.1.0
0,100,48.4276,2.8131,23,0.0,0,115,133,6,125,5,0.98676,43.55262,0.0,0.0,3.75,4.84,0.0,0.0,0.0,127.0,55.02654,0.00025,0.0,0.992,0.0,9.466533,0.0,0.13774674865916367,0.00962139358845623,0.19360157037872208,2.0132421234180127,0.016686199133208093,91.34012351303514,0.7686274509803922,0.0,0.15388763977403103,0.15153484869704337,0.008166225456998525,609.5248548480554,92.66936518038017,161.4502299572842,66019.03177153874,33.81343040937259,0.22366724041908256,0.25469551666721046,0.10412813973533494,21859.55236447611,0.11301726185460347
1,101,48.4705,2.80807,23,3.7515,0,115,133,6,125,5,0.99003,43.59226,0.0,0.0,3.42857,4.854,2.37472,0.0,0.0,127.0,55.02965,0.00023,0.0,0.941,-1.0,9.532987,0.1869212962962963,0.13850933440232913,0.007632684475130873,0.19360157037872353,2.2260405796662774,0.015394789683061233,93.29676207785933,0.7686274509803922,2.1113510691477524,0.15309518306658515,0.15555906509986986,0.006839008585622662,609.9195304167123,92.6780192254155,161.70345599396515,66033.45181675519,33.76638096938899,0.22000048377727574,0.25536944123001876,0.10324096630727676,21939.282873828088,0.10707931224778247
2,102,48.463,2.66868,23,3.66147,0,115,133,6,125,5,0.98971,43.58679,0.0,0.0,3.75,4.863,2.36903,0.0,0.0,127.0,55.00524,0.00022,0.0,0.981,-1.0,9.476303,0.19753086419753085,0.13853894981479964,0.00692494886451135,0.19360157037872328,2.3799008187293937,0.015350193462518423,89.41438201525891,0.7686274509803922,2.1074521318807515,0.15307869393069432,0.15932607594578202,0.006792534794137892,609.5207083123621,92.71952957723101,162.0966586679333,66056.4946014682,33.73895696946133,0.21788843236611444,0.2559412229020992,0.10271380003849788,21931.514779905887,0.10659843379263297
3,103,48.6153,2.25274,23,3.6732,0,115,133,6,125,5,0.98694,43.714,0.0,0.0,3.10714,4.838,2.24498,0.0,0.0,127.0,55.02805,0.00022,0.0,1.028,-1.0,9.609093,0.18267746913580246,0.13887171757649314,0.006862142108434879,0.19360157037872297,2.188461476293157,0.015227924688476219,90.58007716018356,0.7691772549019608,2.0898624541247908,0.15274190516685454,0.1613127840360235,0.006516333538947677,609.6534636712361,92.63866045558706,161.77261193732954,66102.28851299344,33.807452354902104,0.21782073742844524,0.25629543439401714,0.10274509285044449,22172.445729119983,0.10863259670172515
4,104,48.6351,2.11789,23,3.26043,0,115,133,6,125,5,0.98598,43.74679,0.0,0.0,2.75,4.89,1.88386,0.0,0.0,127.0,55.01025,0.00029,0.0,0.927,-1.0,9.513178,0.11588541666666667,0.13836218941050807,0.006648288496599566,0.19360157037872375,2.346959812081087,0.015263070269670869,89.46415116715795,0.7691929411764706,1.9293598082129018,0.152840986251254,0.16532074042152659,0.006266145348768807,609.3975931645186,92.6593731208686,162.19438801624798,66139.00173319677,33.754386054144966,0.2180954423499049,0.2561922780752381,0.10294645924832484,22270.47621874516,0.11110893083065941
5,105,48.6532,2.16099,23,3.07982,0,115,133,6,125,5,0.988,43.75537,0.0,0.0,3.0,4.877,1.76262,0.0,0.0,127.0,55.02044,0.00025,0.0,0.935,-1.0,9.569794,0.10083912037037036,0.13673577959273614,0.006606416079386838,0.1936015703787236,2.3395533380420526,0.015361410689538129,90.35797727865359,0.7691929411764706,1.8720489036025272,0.15278696683464246,0.16901570887415435,0.006037077027838957,609.4601917864308,92.65659842819804,161.75570351836754,66052.60648146311,33.78355765637056,0.21928358429978598,0.2563329918145175,0.10272272838401816,22274.78021598057,0.11173195185808561
6,106,48.5629,2.35757,23,3.2,0,115,133,6,125,5,0.98348,43.66677,0.0,0.0,3.14286,4.891,1.80458,0.0,0.0,127.0,54.99754,0.00022,0.0,0.965,-1.0,9.562185,0.09519675925925926,0.1358733409588587,0.006554326824336655,0.1936015703787235,2.326320890644298,0.015125442859416012,91.23151608202943,0.7691929411764706,1.8563372906274533,0.15326528755644636,0.17225775101762586,0.006108229361282491,609.2808863815601,92.67994671913596,161.78918282899787,66042.87731677167,33.80707465277778,0.22020014372281935,0.2561514507861127,0.10278664651729526,22201.597761765093,0.11179797228571413
7,107,48.5582,2.24191,23,3.41901,0,115,133,6,125,5,0.98192,43.66702,0.0,0.0,3.96429,4.88,1.9737,0.0,0.0,127.0,55.01401,0.00027,0.0,0.996,-1.0,9.513323,0.10869984567901235,0.13462779691134058,0.006464547412751233,0.19360157037872458,2.325963856100082,0.015119956563458888,88.2798737128997,0.7691929411764706,1.8963274352731248,0.15348049811432304,0.1749764529343244,0.006067049365052749,609.3338527192124,92.67586476159126,161.94380524166957,65578.07393210012,33.81617096324026,0.2209190191290502,0.255993607031974,0.10267605722029455,22141.704450660145,0.11152805428997756
8,108,48.5587,2.08838,23,3.21865,0,115,133,6,125,5,0.98949,43.65769,0.0,0.0,3.82143,4.926,1.8736,0.0,0.0,127.0,54.99486,0.00024,0.0,1.025,0.51543,9.523618,0.10349151234567901,0.13379674961413607,0.006390068442452344,0.19360157037872242,2.099530413421096,0.014918416738025797,90.29107020504267,0.7692454901960785,1.8714770143599888,0.153804622513886,0.17705624864829544,0.005874527364869252,609.19672063119,92.72651520963849,161.71954409481802,66104.56822643442,33.778996785481766,0.22079555410490598,0.25604750041540403,0.10269733972271126,22150.09305930853,0.11147457780469586
9,109,48.6248,2.12229,23,3.16944,0,115,133,6,125,5,0.99379,43.71673,0.0,0.0,2.78571,4.912,1.73616,0.0,0.0,127.0,55.01243,0.00023,0.0,1.047,-1.0,9.563274,0.08863811728395062,0.13341863220504185,0.006363791943086541,0.1936015703787237,2.1405277701533416,0.014893325281376331,89.87629735652966,0.7692078431372549,1.8298484169213212,0.15423656517137543,0.17941687620971816,0.005787124465865016,609.2191701646822,92.6965997305239,161.64186161623562,66035.45666719593,33.79903722692419,0.22092403181114198,0.25573007133825953,0.10256963895746266,22223.863582460774,0.11201267461052392
