,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.5,blur,cubrow.0.6,contrast,fft,cubcol.0,color_fulness,saturation,tone,temporal,cubcol.0.6,staticness,noise,movement,cubrow.1.0,cubrow.0.3,cubcol.1.0,uhdhdsim,cubcol.0.5,cubrow.0,cubcol.0.3,blockiness
0,200,48.3483,3.46283,22,0.0,0,115,133,6,125,5,0.97789,43.43262,0.0,0.0,2.89286,4.889,0.0,0.0,0.0,127.0,54.97032,0.0002,0.0,0.977,0.0,9.608978,0.25523366673730175,21662.436818079783,0.12492216042905027,92.96646943755097,65794.85824137014,0.010465879881515304,161.66964529339813,33.87338219159915,0.7669529411764706,0.0,0.15523510125837411,612.6933512847385,0.1913839443354951,0.0,0.09996840793416158,0.22727715234666931,0.007707901250309902,92.61551492273716,0.13083083619889663,0.10014792735786011,0.018704807448344477,2.573541790023787
1,201,48.3351,3.73858,22,3.93813,0,115,133,6,125,5,0.98075,43.42797,0.0,0.0,3.0,4.868,2.93796,0.0,0.0,127.0,54.97018,0.00016,0.0,0.937,-1.0,9.607519,0.25328406907260387,21655.492959430194,0.12495719191921249,89.93652232489997,65885.61264061324,0.007357782974982924,161.56029264827512,33.879016829125675,0.767518431372549,2.1424740350813924,0.1547773054560486,612.9553803656795,0.19138394433549213,0.23606288580246915,0.09439253859388395,0.22539929607220688,0.006529331926488335,92.60660137473933,0.12301190415541777,0.09975342521139556,0.01642536324598289,2.390927558183367
2,202,48.1945,3.99859,22,3.74063,0,115,133,6,125,5,0.99642,43.3071,0.0,0.0,2.78571,4.899,3.18039,0.0,0.0,127.0,54.92731,0.00019,0.0,0.976,-1.0,9.675891,0.2520433164016645,21447.50145576808,0.12476680932696298,89.88779169124929,65636.8601245992,0.006821962142980117,161.7023507650577,33.85303506733459,0.7669529411764706,2.1222512708284387,0.15353216053827817,612.3998884062833,0.19360157037872097,0.26340663580246915,0.09231337262423141,0.22330265971342236,0.006112591485960251,92.57875192355492,0.13026330235920294,0.10071431478852269,0.016180866839949227,1.7676023652607218
3,203,48.1116,4.3233,22,3.87568,0,115,133,6,125,5,0.99531,43.23137,0.0,0.0,2.71429,4.86,3.40415,0.0,0.0,127.0,54.91001,0.00019,0.0,0.971,-1.0,9.628649,0.25247776337743766,21268.021805450528,0.12393703254331276,89.9530537329997,65590.97273725424,0.006580734280392363,161.38133862455084,33.98525586540316,0.7669529411764706,2.105991065215982,0.15339276247857456,612.5005462244727,0.1936015703787192,0.28587962962962965,0.09137520531139541,0.2207530755309666,0.005889691247098188,92.64735352140833,0.1376218195420982,0.10112785875575231,0.015700589240596422,1.9497138844022304
4,204,47.8874,4.55686,22,4.00986,0,115,133,6,125,5,0.9912,43.03315,0.0,0.0,3.03571,4.924,3.68925,0.0,0.0,127.0,54.84639,0.0002,0.0,1.01,-1.0,9.654805,0.2524038974097563,20996.70555169157,0.12305567532254756,92.83921274839575,65365.86585065808,0.006411041454314935,161.61605279829942,33.86644735454041,0.7669529411764706,2.139617330262318,0.15355033334624782,612.238581143664,0.19360157037872242,0.3207465277777778,0.09093877670277574,0.2186513994409763,0.005970254674177898,92.72115316008325,0.14167342318695672,0.10149078020627826,0.015481307743013567,1.996112643169862
5,205,47.7831,4.73592,22,4.21122,0,115,133,6,125,5,0.99729,42.94366,0.0,0.0,2.89286,4.92,3.88918,0.0,0.0,127.0,54.86607,0.00025,0.0,0.922,-1.0,9.615793,0.2525317027797829,20879.457430521274,0.12263483823440417,89.22763304508682,65449.39671975969,0.006323212834955797,161.69670463823502,33.84237802764516,0.7686274509803922,2.2044811935734288,0.15298555459309168,612.1731341823477,0.19360157037872275,0.41030092592592593,0.08953052178163064,0.21720172995588952,0.005797663029804732,92.75818823953875,0.14255645964188085,0.10155978611739726,0.0153415249950466,2.1551075361359073
6,206,47.7144,5.01262,22,4.36313,0,115,133,6,125,5,0.9959,42.88821,0.0,0.0,3.17857,4.904,4.0452,0.0,0.0,127.0,54.80422,0.00024,0.0,1.022,-1.0,9.610044,0.25253754368804465,20829.915697249326,0.12229626508309702,89.0675131265274,65349.69810031898,0.006213150019967996,161.61576912252053,33.88968705542293,0.7686274509803922,2.268293545155892,0.15317504736808912,611.9090260740762,0.19360157037872214,0.4709201388888889,0.08815025607945262,0.21599510092439658,0.005905718234128379,92.77050064322394,0.1409033091880488,0.10171008572860797,0.015239742976997418,2.022236279114543
7,207,47.7692,5.27606,22,5.59995,0,115,133,6,125,5,0.98064,42.93673,0.0,0.0,3.5,4.912,4.28282,0.0,0.0,127.0,54.7791,0.00025,0.0,1.011,-1.0,9.54805,0.2527025798653536,20889.50160868364,0.12192479280123562,88.9394113462105,65383.78399698105,0.006075961583655303,161.65754483929496,33.9029224537037,0.7691929411764706,2.3645839111871814,0.15314794293596604,611.7668529445695,0.1936015703787235,0.5503472222222222,0.09241394729993006,0.21491474630325158,0.0058425292261475095,92.7376536126971,0.14010166074563735,0.10174883553793024,0.015103714544886857,2.0992724762260715
8,208,47.8049,5.44899,22,5.16253,0,115,133,6,125,5,0.97939,42.97536,0.0,0.0,3.42857,4.883,4.51402,0.0,0.0,128.0,54.70295,0.00023,0.0,0.999,0.49408,9.639422,0.2526679886391148,20903.576338661653,0.12204490132960562,86.8250809295722,65390.00725031723,0.006280957734997533,161.35391567383456,33.9271541642554,0.7692078431372549,2.3628011380789107,0.15292775764114225,611.4978325964227,0.19360157037872283,0.5400270061728395,0.09602385132382507,0.21406527892302996,0.005852689419119457,92.68698210004139,0.1376703378318972,0.10159584958698473,0.015222590139657322,2.1131610078420273
9,209,47.8073,5.50983,22,4.99654,0,115,133,6,125,5,0.99176,42.98508,0.0,0.0,2.96429,4.919,4.65949,0.0,0.0,128.0,54.66571,0.00024,0.0,1.026,-1.0,9.553492,0.25290089813122396,20866.343761322518,0.12217664638547239,88.8290693177662,65270.4639023689,0.006174765842340589,161.3143811854078,33.95003085666233,0.7692078431372549,2.334228120155326,0.15284981354444752,611.333442534695,0.19360157037872305,0.5392071759259259,0.09993398836645409,0.21328163276268833,0.005755853418442665,92.81144198345814,0.13860601737401024,0.10173321764512576,0.015213705231578454,2.10484075182104
