,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.1.0,cubrow.0,cubrow.0.6,contrast,fft,staticness,movement,color_fulness,cubcol.0,uhdhdsim,blur,cubrow.1.0,tone,temporal,cubrow.0.5,cubrow.0.3,blockiness,cubcol.0.6,saturation,cubcol.0.5,cubcol.0.3,noise
0,400,47.6637,1.70274,23,0.0,0,116,133,6,125,5,0.99425,42.99559,0.0,0.0,3.07143,5.014,0.0,0.0,0.0,128.0,54.43984,0.00013,0.0,0.94,0.0,9.467087,0.008252109890230706,0.1007567873699186,0.13294800027741915,90.93307403378967,65727.59179739127,609.8865426733917,0.0,161.6546588151436,0.008081306652660386,92.76939374406729,20742.107511565508,0.11451949492475957,0.7620046078431371,0.0,0.24991162410841572,0.21309455281023904,2.2255015576841823,0.15399836896326558,33.7305908203125,0.1378339408678843,0.019962616783364986,0.19360157037872736
1,401,47.66,1.73765,23,2.83979,0,116,133,6,125,5,0.99661,42.98995,0.0,0.0,2.85714,5.038,1.39507,0.0,0.0,128.0,54.45739,0.00024,0.0,0.999,-1.0,9.40658,0.006751617496064412,0.10102366020824939,0.13055337227791614,89.77282614616844,65685.78456309682,610.3684341575399,0.03829089506172839,161.76492388745052,0.007117261180830372,92.80141540902308,20679.723476056428,0.11426145360278538,0.7617,1.7532299520934769,0.24866161076921015,0.21281189589537655,2.3737892906731224,0.15418176376932857,33.64339324574412,0.13921472040829225,0.019151413559251887,0.19966023740101402
2,402,47.6417,1.72125,23,2.75959,0,116,133,6,125,5,0.98858,42.95934,0.0,0.0,3.35714,5.062,1.42244,0.0,0.0,128.0,54.43789,0.00024,0.0,0.977,-1.0,9.453302,0.006320505689500642,0.10010873024386906,0.13046039295059914,92.87975154460698,65654.43873006183,610.0088689682369,0.046489197530864196,162.0262348687277,0.006534959072223995,92.81713385070836,20654.402843323955,0.11397810300485153,0.7619368627450981,1.7889834199775951,0.24836207025741686,0.2130237976765409,2.129883941330404,0.1540343217465191,33.582496925636576,0.13849921425816736,0.018489697448807414,0.19773971691148817
3,403,47.6502,1.82358,23,2.77979,0,116,133,6,125,5,0.98728,42.97052,0.0,0.0,3.0,5.028,1.40871,0.0,0.0,128.0,54.46693,0.00022,0.0,0.939,-1.0,9.412935,0.00607456598330279,0.1001849009762704,0.1305267847045592,92.98261177068659,65726.02685372447,610.2213641853909,0.052903163580246916,161.84465308262156,0.006364290916820277,92.82820257342165,20649.262947515603,0.11427845404861213,0.7619368627450981,1.7768416136823137,0.2486636920752482,0.21313365296252665,1.9415291404019523,0.15430215916229773,33.63975845148534,0.13966065600320848,0.018584564867171,0.19966023740101632
4,404,47.6316,1.85001,23,2.79033,0,115,133,6,125,5,0.98652,42.94436,0.0,0.0,2.96429,5.046,1.50162,0.0,0.0,128.0,54.45245,0.00025,0.0,0.97,-1.0,9.467349,0.005940023730451454,0.10015290292390903,0.1312736826786966,91.32316571458769,65646.59212608969,610.1305511343995,0.07923418209876543,161.72489819618846,0.006469186689867494,92.81677348794956,20599.695316226487,0.11399826884068451,0.7627468039215685,1.8012500749650862,0.24839374638712855,0.21326107346425247,1.9299892498856612,0.15438355782251859,33.710576940465856,0.1414732564766218,0.018487534196730816,0.19744261135779115
5,405,47.7327,1.92071,23,2.94975,0,116,133,6,125,5,0.98211,43.03075,0.0,0.0,3.17857,5.007,1.52403,0.0,0.0,128.0,54.46954,0.00025,0.0,1.004,-1.0,9.420319,0.005777686546070156,0.09997679228976643,0.13114750503371908,90.60348359796028,65823.76336709374,610.2305813707007,0.0865162037037037,161.55705991060813,0.006280487746391341,92.75119719347646,20734.730358796063,0.11437628803515301,0.7625403921568628,1.7951916766362854,0.2483063491340876,0.21342174679032108,1.9090980913402968,0.15471040877539893,33.68170128339602,0.1435431688200158,0.018509450566619384,0.19581919642195575
6,406,47.7,2.01773,23,2.98813,0,116,133,6,125,5,0.99377,42.9963,0.0,0.0,2.75,5.012,1.58993,0.0,0.0,128.0,54.4357,0.00022,0.0,1.011,-1.0,9.531376,0.005755872359683931,0.10007457776367405,0.13121100228714128,90.04095718591894,65915.4000732595,610.1279726631528,0.1011766975308642,161.5824794403428,0.00622376215707903,92.76753528468572,20737.848047824267,0.11433008287838185,0.7625262745098039,1.8192538156426807,0.24846095439038096,0.213303444928226,2.059288481884873,0.15451523358944916,33.695281040521316,0.14529800071820045,0.018449019338326607,0.19744261135778537
7,407,47.7466,2.07516,23,3.018,0,116,133,6,125,5,0.98906,43.03606,0.0,0.0,2.85714,5.012,1.67585,0.0,0.0,128.0,54.43321,0.00023,0.0,0.973,-1.0,9.398156,0.00579597522656388,0.09996039238868976,0.13124019416835894,91.35178636979127,65659.55111168987,610.1762620057041,0.10537229938271606,161.88280357832951,0.006166610919814565,92.77293719191385,20735.129461797525,0.11428450416797671,0.7616552941176471,1.8752036069149483,0.2487304406232934,0.2133952523573699,2.1072038167856135,0.15440249066889933,33.615726800612464,0.1471100537850916,0.018219379982375827,0.19581919642195636
8,408,47.7259,1.96534,23,3.16618,0,115,133,6,125,5,0.9883,43.01546,0.0,0.0,3.85714,5.038,1.73063,0.0,0.0,128.0,54.4127,0.00025,0.0,0.936,0.50322,9.442534,0.005712169516745185,0.1000211363796019,0.1311254606616299,92.67750574366818,65689.20756470949,610.0789026646536,0.11328125,161.719681084905,0.006171936135441652,92.78274311344866,20733.33894270095,0.11367346977430205,0.7629341176470589,1.9085668222031984,0.24869808988844444,0.21348904636314361,2.037512151702594,0.15395943236211715,33.712953920717595,0.14731628366028665,0.018144852179115527,0.19360157037872652
9,409,47.7599,1.83774,23,3.08864,0,116,133,6,125,5,0.99311,43.04723,0.0,0.0,4.0,5.018,1.62741,0.0,0.0,128.0,54.40523,0.00023,0.0,0.977,-1.0,9.349571,0.00573099039919252,0.100050558105552,0.13099574023966193,92.93905711623651,65727.73053120772,610.108267247135,0.09056712962962964,161.82625063737999,0.006159266021799368,92.80348116085173,20779.393393113693,0.11352345866504275,0.7617,1.8751247815131813,0.24860141723995205,0.2133692238553121,2.0851611965502657,0.15384518656299936,33.702858253761576,0.1467217864760735,0.01816948286409385,0.1936015703787268
