,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,contrast,cubcol.0,cubcol.0.5,cubcol.0.6,fft,cubrow.0.5,temporal,cubrow.0,noise,movement,saturation,cubcol.1.0,cubrow.1.0,tone,cubrow.0.6,color_fulness,cubrow.0.3,uhdhdsim,blur,cubcol.0.3,staticness,blockiness
0,0,47.0584,2.40818,21,0.0,0,115,133,5,125,5,0.98857,41.99162,0.0,0.0,1.96429,4.942,0.0,0.0,0.0,127.0,54.81716,0.00015,0.3,1.038,0.0,9.593374,93.29693666146801,0.008085463352043736,0.11146369010598886,0.12330823649292184,67411.60061022048,0.25861692938953473,0.0,0.10180678858353603,0.18310765126997056,0.0,33.71880180453077,0.009588878152185369,0.1777886042310912,0.7708596078431373,0.11839806782455026,162.15753641411507,0.20920368801951203,92.31753960629312,22381.978198900462,0.012552231231348536,606.5684979695931,2.245847703929421
1,1,46.2091,2.36974,21,4.65095,0,115,133,5,125,5,0.9841,41.26716,0.0,0.0,2.10714,5.132,2.01755,0.0,0.0,127.0,54.84469,0.00015,0.29,1.003,-1.0,9.555017,92.09468657475607,0.007433617755749512,0.11185025296933715,0.12110598161539288,66786.8625904653,0.25329480976115587,1.8663552429813879,0.10134207470227329,0.18532527731319134,0.15383873456790123,33.769219104154615,0.007051240748368745,0.17346829601140076,0.7708745098039217,0.1176346441891002,161.59084440576837,0.20438501348974691,92.66531517932465,20737.813381537144,0.010743769102980314,607.0325630870212,2.141829860240486
2,2,45.3171,2.56284,21,4.38981,0,115,133,5,125,5,0.98588,40.49689,0.0,0.0,2.53571,5.288,1.98279,0.0,0.0,127.0,54.78641,0.00017,0.29,1.025,-1.0,9.565825,89.85616022129598,0.006729233499885994,0.1158507602111009,0.11968405063585824,66543.14489889663,0.24847086780822442,1.8982608508772578,0.09995558980496341,0.18340475682366977,0.13507908950617284,33.70725335015191,0.0070278476741917305,0.17202256170733538,0.7702941176470589,0.11469629516860826,161.738072746513,0.20082857402585755,92.96596605785153,19440.843469086343,0.010561292261458098,606.5941297929054,2.1025251381330037
3,3,46.0859,2.55262,21,4.33369,0,115,133,5,125,5,0.98419,41.1566,0.0,0.0,2.42857,5.15,2.15428,0.0,0.0,127.0,54.83514,0.00012,0.3,1.001,-1.0,9.570953,90.73222651442819,0.006864057264590611,0.1207891322917703,0.11936328504207852,67063.96415440815,0.24899461468742604,1.9188611715625632,0.10002164326266237,0.18532527731320056,0.16247106481481483,33.78587265956549,0.0065152559685258534,0.1716301972720236,0.7703090196078433,0.11367707451287365,161.38655880255445,0.20021444465745158,92.63495610949016,20823.795411786938,0.010499456486754282,606.8087730492866,2.1309034668846256
4,4,47.454,2.44728,21,5.51114,0,115,133,5,125,5,0.98624,42.35158,0.0,0.0,2.39286,4.943,2.14711,0.0,0.0,127.0,54.84008,0.00015,0.3,1.028,-1.0,9.64106,87.11030648060607,0.006465045967199545,0.12287607043110306,0.11964906071654043,67443.00991491652,0.2491457403489007,1.9490756273636813,0.10088030634747515,0.1853252773131974,0.1824363425925926,33.78944434648679,0.006496418389417016,0.17133907573542467,0.7703019607843137,0.11432443137091208,161.45694350338624,0.20057488785425273,92.19302753833226,22784.99339162043,0.010450731593038186,606.678539664963,2.293184410783646
5,5,46.5959,2.53845,21,4.78197,0,115,133,5,125,5,0.98874,41.62049,0.0,0.0,2.10714,5.036,2.05794,0.0,0.0,127.0,54.83928,0.00016,0.3,1.013,-1.0,9.543311,86.74593758734514,0.006376426965377713,0.12312830534366312,0.1198587595537793,66976.59330538887,0.2491781987753129,1.9583328408194811,0.10107389030031737,0.18532527731319934,0.13083526234567902,33.744422064887154,0.00621986455473607,0.17056382653278285,0.7703090196078433,0.11455491898469669,161.3754264931726,0.2011503467282132,92.5441461137003,21245.20451709079,0.010394381579979479,606.7701142049149,2.113164766997143
6,6,46.0825,2.64548,21,3.94837,0,115,133,5,125,5,0.99512,41.18108,0.0,0.0,2.60714,5.148,2.13313,0.0,0.0,127.0,54.80725,0.00019,0.3,0.968,-1.0,9.566145,90.47630138987569,0.006296102357509974,0.12328813262532194,0.11963809439454264,66848.28261028139,0.24818757992251536,1.9058054952972903,0.10099068685930551,0.1853252773132,0.17838541666666666,33.841408058449076,0.00619034890717581,0.17020055338374138,0.7700035294117649,0.1140835355105385,161.4524348256574,0.20063769297054937,92.66648235663547,20494.223453708713,0.01038342781817286,606.7167794276593,2.5316599396340043
7,7,46.7539,2.71007,21,4.49186,0,115,133,5,125,5,0.98842,41.75717,0.0,0.0,1.96429,5.084,2.23116,0.0,0.0,127.0,54.84031,0.00014,0.3,0.959,-1.0,9.515863,89.94718611939057,0.0062328981312877755,0.1237577705670021,0.1196094288031932,67342.26920940529,0.24867586524235966,1.9112633512252113,0.10089229196604206,0.18532527731320023,0.20982831790123457,33.690696433738424,0.006140092647303344,0.1699565931033819,0.76973568627451,0.11363508988028645,161.59201428328146,0.20105263359589437,92.49226676949435,21718.249095620908,0.010269250617254947,606.796067748954,2.557691710301189
8,8,47.8422,2.89818,22,4.99499,0,115,133,5,125,5,0.9816,42.70458,0.0,0.0,2.39286,4.879,2.28521,0.0,0.0,127.0,54.85598,0.00014,0.3,1.016,0.50592,9.547149,92.52052486787858,0.006137803095945288,0.12503253727192856,0.11993641106450156,67570.26389990389,0.24944220251305177,1.9171255489326646,0.10130132076597856,0.18532527731320045,0.21040702160493827,33.78487047737027,0.0061350640031807005,0.16909237970107008,0.7700639215686275,0.1136059320585817,161.67583651536185,0.20197909883958737,92.18300955136719,23274.2050711077,0.010203606453939171,606.755299642022,2.1099116565994365
9,9,47.0685,2.86238,21,4.9165,0,115,133,5,125,5,0.98987,42.04189,0.0,0.0,2.42857,5.011,2.45294,0.0,0.0,127.0,54.86525,0.00017,0.29,0.954,-1.0,9.623674,90.16053891657339,0.0060628081732761055,0.12576322755308164,0.12037545011319367,67083.42148367109,0.24921907079018432,1.9509524851415103,0.1014374318181048,0.18532527731319925,0.2512056327160494,33.69261866440007,0.006099262219736556,0.16800025407396113,0.7691701960784314,0.11321593184810196,161.4400507147796,0.20216790921073843,92.46917002262234,21710.739009025237,0.01018831998430807,606.7916991237613,2.0797919751024936
