,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,movement,staticness,temporal,fft,uhdhdsim,cubcol.0,saturation,cubcol.0.5,cubcol.0.3,cubrow.0,blockiness,color_fulness,cubrow.0.6,contrast,cubrow.0.5,cubrow.1.0,noise,blur,tone,cubcol.1.0,cubcol.0.6,cubrow.0.3
0,200,47.69,3.35056,21,0.0,0,115,133,5,125,5,0.98072,42.5651,0.0,0.0,2.67857,4.852,0.0,0.0,0.0,127.0,54.89773,0.00016,0.0,0.985,0.0,9.685919,0.0,611.7341351610884,0.0,66805.24079046526,92.17853217922143,0.010450740711522976,33.84672904308931,0.12291276113149954,0.012324753191823214,0.10012644702829993,2.257840881005627,161.63103794977903,0.1171809495175927,93.36008566953504,0.258159735341514,0.09984240782639452,0.1831076512699696,22336.31822285517,0.7658141176470588,0.007684359301280802,0.15661762071620078,0.22269435558098644
1,201,47.6662,3.63164,21,3.77704,0,115,133,5,125,5,0.98211,42.55273,0.0,0.0,2.39286,4.843,2.84173,0.0,0.0,127.0,54.89738,0.00018,0.0,0.937,-1.0,9.704706,0.22424768518518517,611.9880234598808,1.938956955851803,66838.18216106501,92.16797972340281,0.007350481922883779,33.84827658570843,0.11413973160949938,0.011236268371493703,0.100428413193363,2.1585283908805803,161.54035937495865,0.11725496909544292,90.3995557343788,0.25492169137962895,0.09350866269044775,0.17926661029090543,22303.97808260169,0.7658141176470588,0.006639684603532437,0.15634060212724116,0.22053096957866178
2,202,47.5169,3.92126,21,3.70929,0,115,133,5,125,5,0.99704,42.42509,0.0,0.0,2.17857,4.893,3.08949,0.0,0.0,127.0,54.85519,0.00014,0.0,0.979,-1.0,9.772898,0.24975887345679013,611.4177099006756,1.9174544643725928,66572.58874111794,92.14925479179453,0.006805553517744001,33.82372104974441,0.12058378793096719,0.010845067622572523,0.1013616302058073,2.0393375024799716,161.69043964409417,0.11797638758790557,93.02272827513531,0.25412956910955725,0.09153427863293394,0.18310765126996978,22090.570605040917,0.7658141176470588,0.006150030484529111,0.15449981652293235,0.2188379281880759
3,203,47.4345,4.24124,21,3.66846,0,115,133,5,125,5,0.99801,42.34714,0.0,0.0,2.35714,4.88,3.33823,0.0,0.0,127.0,54.8371,0.00019,0.29,0.977,-1.0,9.698595,0.2740644290123457,611.5190703620175,1.9050214451635241,66465.56339803069,92.22062960725677,0.006562350805655562,33.95544226375627,0.12786909929132115,0.010593567599725554,0.10187278259501846,2.0547933316204934,161.3533597673743,0.11767066577160101,88.79808988028455,0.2543313505907483,0.09073629712164405,0.17926661029091076,21912.12895787229,0.7658282352941177,0.005876451158247746,0.1534478583652788,0.21627402610421945
4,204,47.2344,4.47965,21,3.98047,0,115,133,5,125,5,0.99372,42.17494,0.0,0.0,2.5,4.9,3.61982,0.0,0.0,127.0,54.77503,0.00016,0.29,1.006,-1.0,9.759743,0.302758487654321,611.2475397264158,1.93753940952884,66402.22374993129,92.29108499344869,0.006397176607666645,33.835879102165315,0.131559283234881,0.010404822514721567,0.10199545871408751,2.0863789279257388,161.5977519471788,0.11666533990555884,91.98530140614325,0.25435510150595986,0.09047996276486991,0.18310765126997008,21681.79771218987,0.7658517647058823,0.005910407273155415,0.1534003093623649,0.21394332268354477
5,205,47.1285,4.64124,21,3.98614,0,115,133,5,125,5,1.00061,42.08827,0.0,0.0,2.57143,4.921,3.82533,0.0,0.0,127.0,54.79419,0.00019,0.29,0.923,-1.0,9.698403,0.380883487654321,611.1862203750463,2.00414136075243,66471.60177525257,92.32638277423979,0.006309226005748622,33.81376798653308,0.13186814241772002,0.010127952124329109,0.1020067500792158,2.144952735033479,161.68512060806597,0.11632947985300528,90.29733261645927,0.2544924365611688,0.08891353704871084,0.18148423633413935,21564.14381944295,0.7669905882352942,0.005770620923741229,0.15283246117647106,0.21250716440480752
6,206,47.0424,4.91502,21,4.29937,0,115,133,5,125,5,0.999,42.0123,0.0,0.0,2.35714,4.893,3.9663,0.0,0.0,127.0,54.73133,0.00025,0.29,1.018,-1.0,9.689365,0.43754822530864196,610.9337003118652,2.0650436755537265,66348.31960097184,92.3408399635459,0.0062141004453477935,33.86028751326196,0.13104625237218623,0.010090285847568435,0.10213063199020571,2.0783909488734382,161.58569797586438,0.11608684768642759,92.51655831879121,0.2543294936251902,0.08736791368827106,0.18532527731319304,21493.847819147028,0.7674807843137255,0.0058679544742638815,0.15275933987363263,0.21140843657932967
7,207,47.1025,5.18154,21,5.46449,0,115,133,5,125,5,0.98207,42.06944,0.0,0.0,2.21429,4.903,4.20147,0.0,0.0,127.0,54.7072,0.00022,0.29,1.003,-1.0,9.663554,0.5153356481481481,610.7987812113003,2.1667495013249156,66295.48001964213,92.30742405668147,0.006118786466411887,33.87333547333141,0.1302450879065018,0.010115688420607642,0.10215774297571417,2.2184663802250166,161.62987646465555,0.11587039155754385,92.64461544617807,0.254359676547866,0.09147732448102652,0.19138394433548522,21559.18528724356,0.7686274509803922,0.005787656033368593,0.15263918284650005,0.21034373326621622
8,208,47.1166,5.38235,21,5.18764,0,115,133,5,125,5,0.9845,42.08489,0.0,0.0,2.17857,4.878,4.43458,0.0,0.0,128.0,54.6306,0.0003,0.29,0.987,0.49396,9.73291,0.49985532407407407,610.5325891756007,2.1662521861386814,66295.99616230233,92.26439064949717,0.006263654382231752,33.897531956802176,0.12834954813699428,0.01004341048896143,0.10209039823576153,2.127150617817121,161.34174225593245,0.11613922877841278,90.6313341278032,0.25437802933545134,0.09511567858231378,0.18754290335642668,21563.845428097804,0.7680917647058825,0.005860160810549498,0.15249001508947216,0.2095500647952872
9,209,47.1357,5.4468,21,4.80765,0,115,133,5,125,5,0.99405,42.10262,0.0,0.0,2.17857,4.932,4.60356,0.0,0.0,128.0,54.59281,0.00025,0.29,1.015,-1.0,9.656473,0.5018325617283951,610.3739704390177,2.1506693303882956,66304.75545726794,92.3810143870587,0.006167695785490898,33.92125862027392,0.12917064008727144,0.010137783067371498,0.10225781068802882,2.2582103267210183,161.28407470718162,0.11625826011390178,88.98781347437932,0.25471437492533683,0.09934369827678872,0.1875429033564264,21545.150324024013,0.7686274509803922,0.005768849169785076,0.15207660364156514,0.2088297713607237
