,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,movement,noise,tone,cubcol.0,temporal,color_fulness,saturation,cubrow.0.5,cubcol.0.5,cubrow.0.3,uhdhdsim,fft,cubcol.1.0,staticness,cubrow.1.0,contrast,cubcol.0.3,cubcol.0.6,blockiness,cubrow.0.6,cubrow.0,blur
0,400,46.9804,1.58871,21,0.0,0,116,133,5,125,5,0.99688,42.03571,0.0,0.0,2.67857,5.043,0.0,0.0,0.0,128.0,54.3625,0.00022,0.3,0.994,0.0,9.570473,0.0,0.19138394433549208,0.7613498039215687,0.008108281725376153,0.0,161.62709311859484,33.69667467658902,0.2525133494474874,0.1270474514153027,0.20818321572529408,92.38078331371602,66810.05542998668,0.00836457276723438,608.8980833063324,0.1094294622865695,87.36265141030464,0.013667605392300917,0.15203047308872392,2.291113474766174,0.13055626038831597,0.10159734415180459,21495.743321663995
1,401,46.9961,1.59857,22,2.64774,0,116,133,5,125,5,0.99664,42.05398,0.0,0.0,2.5,5.031,1.29533,0.0,0.0,128.0,54.3803,0.00015,0.29,0.991,-1.0,9.46064,0.04296875,0.19138394433549444,0.7613498039215687,0.0071746518218812816,1.626222187980803,161.7263897073501,33.61362862292631,0.2507339307512924,0.1291769738472246,0.20814306643547734,92.40518640715851,66836.79932126161,0.006852374681140058,609.3757388266038,0.10878205587403686,91.93974919596145,0.012339489152453254,0.15228669276577636,2.317793543157102,0.12786176438556496,0.10161639790334819,21451.55275817036
2,402,46.9672,1.58455,21,2.63437,0,116,133,5,125,5,0.99097,42.01752,0.0,0.0,2.85714,5.101,1.29762,0.0,0.0,128.0,54.36111,0.00019,0.29,1.016,-1.0,9.524841,0.04856288580246913,0.19138394433549666,0.7613498039215687,0.006528602328113632,1.6532585182414334,162.0111881429969,33.55398974006559,0.2503698613511754,0.128758414903835,0.20827320894462537,92.41667621110368,66771.67979044307,0.006474926849618595,609.0257340349174,0.10909345546122348,87.41182469056982,0.01188747552961356,0.15254205234399168,2.12233336260157,0.12710892146364539,0.10111790870457069,21427.581751534617
3,403,46.9712,1.70349,22,2.71702,0,116,133,5,125,5,0.98803,42.0215,0.0,0.0,2.42857,5.123,1.28813,0.0,0.0,128.0,54.39048,0.00022,0.3,0.936,-1.0,9.523643,0.05261381172839506,0.19138394433549377,0.7613498039215687,0.006360593108916518,1.6358445319830763,161.80536269600034,33.6066926555869,0.25067516594604483,0.1312353688394348,0.20840223875929745,92.45018222946037,66806.86283592148,0.006167482538636181,609.2338570815568,0.10980683956010603,87.55415200024319,0.011823147399771625,0.15269459628626503,2.11369521453722,0.12716108710893861,0.10112039439840015,21416.432642518048
4,404,46.9458,1.73277,21,2.68529,0,116,133,5,125,5,0.98907,41.99953,0.0,0.0,2.60714,5.099,1.39579,0.0,0.0,128.0,54.37605,0.00019,0.29,1.032,-1.0,9.575394,0.07503858024691358,0.19138394433549308,0.7613498039215687,0.0065309732859041205,1.6620120671548426,161.70546118632353,33.681841061439044,0.25043072980713615,0.13350334191548013,0.2086111475131872,92.43333191913769,66790.58346431046,0.006000326133301958,609.1406761442012,0.10956790468715968,91.42666642528611,0.01160642563935583,0.15266424895892614,2.0412175689761547,0.12797047043061438,0.10109420605150009,21357.103240739252
5,405,47.0585,1.79087,22,2.82372,0,116,133,5,125,5,0.98588,42.09426,0.0,0.0,2.32143,4.999,1.4231,0.0,0.0,128.0,54.39173,0.00022,0.29,0.993,-1.0,9.518265,0.08449074074074074,0.1913839443354924,0.7613498039215687,0.0062834871787820325,1.6552538447736227,161.52374439693475,33.6521646005136,0.2503470936543205,0.135542303486954,0.20883807449564182,92.3663995392223,66935.26682292968,0.005859522130341571,609.2424812904021,0.10973274310786443,90.34421409376091,0.01150460649989202,0.1529666193857895,1.798416870104722,0.12774391221190362,0.10101383145939502,21507.906639650424
6,406,47.0294,1.88293,21,2.89134,0,116,133,5,125,5,0.99193,42.06228,0.0,0.0,2.46429,5.02,1.4755,0.0,0.0,128.0,54.35882,0.00016,0.29,1.017,-1.0,9.605507,0.09852430555555555,0.19138394433549233,0.7613498039215687,0.006249386323497076,1.6722956160065763,161.57444666129157,33.6643130455488,0.2503786469845365,0.13720696293799972,0.2087848133320949,92.36958284238005,67000.89058592288,0.005826086430784068,609.1384819571218,0.10981532981317338,87.29117153655142,0.011466606704320556,0.1528830813396226,2.0150105476042492,0.12779995812122671,0.1011373381509674,21484.52307869513
7,407,47.0591,1.94795,21,2.90153,0,116,133,5,125,5,0.98969,42.09374,0.0,0.0,2.17857,5.031,1.55987,0.0,0.0,128.0,54.35656,0.00019,0.29,0.977,-1.0,9.501137,0.10190007716049383,0.19138394433549233,0.7613498039215687,0.006199210455157892,1.7189670177245087,161.87063435127493,33.586943073037226,0.25065858547424724,0.1393059644069161,0.2088130653997853,92.36729416898194,66711.82762919411,0.005870844297169806,609.1871083721869,0.10965076279241882,89.43030343119746,0.011256903944414304,0.1531175031723654,2.1266165814672964,0.12819599853913982,0.10106823573639716,21472.11008293983
8,408,47.0473,1.82164,21,3.05027,0,115,133,5,125,5,0.98989,42.08383,0.0,0.0,2.53571,5.011,1.61966,0.0,0.0,128.0,54.33633,0.00021,0.29,0.935,0.50643,9.522896,0.11376350308641975,0.19138394433549166,0.7613498039215687,0.006168524239243713,1.7516371952948273,161.71309171469005,33.68327915521316,0.25055514471513834,0.13904793027338144,0.20887464769353872,92.37442699178942,66736.09805150784,0.005764650623076678,609.0927547461565,0.1093479502301182,89.39753092296073,0.011184978031888167,0.15303960886948267,2.0398158897487155,0.12832850923806646,0.10116360783119152,21472.026612273294
9,409,47.0807,1.70866,22,2.87179,0,116,133,5,125,5,0.99503,42.1088,0.0,0.0,2.39286,4.997,1.50163,0.0,0.0,128.0,54.32824,0.00018,0.29,0.96,-1.0,9.431036,0.08781828703703703,0.1913839443354919,0.7613498039215687,0.006172381015533343,1.719421071761208,161.80989866979405,33.67306443202643,0.2504499854959181,0.13847431492317364,0.20887290699813782,92.40307542697592,66875.53231256107,0.005781153004900013,609.1231516878147,0.10929666850657917,92.23839951353384,0.011192874738253944,0.1529436854269987,2.2207513222321977,0.12786448178594684,0.10120918208659918,21518.930466640897
10,410,47.1062,1.67173,21,2.80014,0,115,133,5,125,5,0.99415,42.13264,0.0,0.0,2.42857,5.036,1.40529,0.0,0.0,128.0,54.32633,0.00016,0.29,0.954,-1.0,9.612416,0.2191358024691358,0.19138394433549166,0.7613419607843137,0.006099903740150913,1.6944603350044203,161.39788190028435,33.73613974488811,0.25045643001211804,0.13835207837711777,0.20909604580803226,92.37158373268086,66946.44432646537,0.005712004627064538,609.0412058750577,0.10935815621680899,88.3793656223752,0.011216352964787563,0.15266788933990846,2.2019704821697297,0.12767509428284543,0.10119726447265537,21590.8264602623
11,411,47.1154,1.60269,22,2.69777,0,115,133,5,125,5,0.99926,42.14458,0.0,0.0,1.82143,4.982,1.37012,0.0,0.0,128.0,54.32694,0.00022,0.29,0.931,-1.0,9.559631,0.20756172839506173,0.19138394433549175,0.7613498039215687,0.006192578678483224,1.6933008815666526,161.8129411621127,33.72373566804109,0.2505750041577702,0.1389321467888596,0.20925438708895824,92.3794225426284,66858.96961780931,0.005770045765088303,609.0506935155298,0.10972612820470634,87.87787526874673,0.011220771242692208,0.1526459213892876,2.235274135468947,0.12792479373268412,0.10124192262939252,21594.023784700734
12,412,47.0904,1.55237,22,2.70316,0,115,133,5,125,5,0.99872,42.128,0.0,0.0,2.35714,5.012,1.30664,0.0,0.0,128.0,54.28684,0.00022,0.3,1.034,-1.0,9.613306,0.18359375,0.19138394433549233,0.7613498039215687,0.006114868594209868,1.6162272097445083,161.8500358474364,33.728517320421005,0.2507156355216897,0.13922376639001224,0.20943417729237573,92.32220788919479,66741.02281949579,0.005837562171244914,608.971596124521,0.1097158338566724,87.23508137387392,0.011224281703309224,0.1525334161626405,2.184229795732449,0.1284616660592071,0.10123219292405299,21531.23345671719
13,413,47.0927,1.53545,22,2.61149,0,116,133,5,125,5,1.00115,42.13563,0.0,0.0,2.14286,4.982,1.26369,0.0,0.0,128.0,54.28054,0.00023,0.29,0.936,-1.0,9.603781,0.13401813271604937,0.19138394433549175,0.7613498039215687,0.006159319735928509,1.5839768835086299,161.75316008043723,33.678915706681614,0.2508329145015719,0.1393092041329871,0.2097439408358705,92.36956735414425,66790.60810010361,0.0058136855872859185,608.9661221166655,0.10986529872313443,90.5339076633648,0.011240423131677665,0.15248143942961798,2.167018362597946,0.12848566969337408,0.10121053963768835,21543.414346054153
14,414,47.0632,1.48635,22,2.62808,0,115,133,5,125,5,0.99675,42.10315,0.0,0.0,2.5,5.011,1.2502,0.0,0.0,128.0,54.25831,0.00022,0.29,0.936,-1.0,9.551259,0.10247878086419752,0.19138394433549177,0.7613498039215687,0.006128077445200018,1.596787732771268,161.63661083750026,33.75073336377556,0.2509242073196736,0.1395401752078228,0.20997087856648855,92.35402068838576,66853.5860620569,0.0058787762104231395,608.8920462902842,0.10974485027782377,89.70763116774874,0.01127682755718849,0.1526126281687408,2.1206604181446145,0.12840882904913206,0.10116129958788632,21498.226276929014
15,415,47.0502,1.49083,22,2.71392,0,115,133,5,125,5,0.99901,42.09284,0.0,0.0,2.28571,4.978,1.19966,0.0,0.0,128.0,54.26749,0.00017,0.3,0.946,-1.0,9.520158,0.17038001543209877,0.19138394433549233,0.7613498039215687,0.006088663809628749,1.5899785421203936,161.680840389484,33.717757990330824,0.25098218791828814,0.13917006642872323,0.2101585079211393,92.420573234419,66867.24796836312,0.005836781528164259,608.8739683046422,0.10993328023002595,92.83367785867615,0.011321366347042136,0.1526198670989101,2.2226848471429212,0.12837141380181571,0.1011731940188472,21484.00077736476
16,416,47.0141,1.58567,22,2.65106,0,115,133,5,125,5,1.00032,42.06084,0.0,0.0,2.35714,4.982,1.20491,0.0,0.0,128.0,54.23893,0.00016,0.3,0.954,0.51247,9.534233,0.17650462962962962,0.19138394433549252,0.7613498039215687,0.006105111790911129,1.6230864306842052,161.76363252821486,33.70554040979456,0.25110734929899503,0.1386136254119763,0.21039453053829285,92.39823398501956,66827.75333898733,0.005765347853489815,608.791464543163,0.1097930980872868,88.65010669750393,0.01137124209169151,0.1527282695218362,2.087677800187393,0.12834276454379337,0.1011194109989386,21445.03139632148
17,417,47.0371,1.58182,22,2.68039,0,115,133,5,125,5,0.99671,42.08568,0.0,0.0,2.28571,5.032,1.28802,0.0,0.0,128.0,54.24851,0.00018,0.29,0.951,-1.0,9.597474,0.21961805555555555,0.19138394433549233,0.7613498039215687,0.006075268587659976,1.6715760063977376,161.64956296578973,33.676474865571954,0.2511490594133548,0.1382197698598583,0.21046963494829465,92.41707330266317,66904.87595757603,0.005762440422205375,608.7619898458784,0.10937474155261509,88.41576527661769,0.011343412705920155,0.15269685848835554,2.1545205310426367,0.12840776958840128,0.10113469477089902,21461.904974860434
18,418,47.0515,1.73206,22,2.57748,0,115,133,5,125,5,0.99656,42.09939,0.0,0.0,2.57143,4.967,1.28754,0.0,0.0,128.0,54.23166,0.00018,0.29,0.981,-1.0,9.533848,0.3322241512345679,0.19138394433549344,0.7613498039215687,0.0060590452524144295,1.6779410332640152,162.06304619894163,33.69530326937451,0.25124383229200875,0.13818327688335777,0.2105554158968758,92.38820356060367,66865.05629780763,0.00580819889535971,608.6823613558265,0.10874857372680626,88.62140127030355,0.011417232936548236,0.15272600214050291,2.2755524231037927,0.12866094017838553,0.10103704927980936,21487.731222522234
19,419,47.0135,1.82363,22,2.55899,0,115,133,5,125,5,0.9973,42.06968,0.0,0.0,2.71429,4.99,1.41864,0.0,0.0,128.0,54.24405,0.0002,0.29,0.989,-1.0,9.580509,0.5877218364197531,0.1913839443354924,0.7613498039215687,0.006052962770156547,1.7107135819190014,161.80154768993322,33.752941178686825,0.25123288126001336,0.13808589547686909,0.21071577788679832,92.3961337510619,66788.40598747935,0.005783557277652539,608.6571440212746,0.10817918288686891,88.20869161083584,0.011429772907959612,0.15275950955389933,2.290062534720242,0.12877713158354961,0.10106139129563704,21459.3015160034
20,420,47.0471,1.90202,22,2.55828,0,115,133,5,125,5,0.99923,42.09093,0.0,0.0,2.35714,4.952,1.50622,0.0,0.0,128.0,54.23036,0.00015,0.29,1.04,-1.0,9.643085,0.9092399691358025,0.19138394433549522,0.7613498039215687,0.006030313087646404,1.7738234559216364,161.72341096539031,33.65816789791908,0.2512645168165416,0.1378745338079677,0.21085738245837463,92.41612652838283,66881.2137608605,0.005813539966314934,608.5603913352267,0.10767133907622262,88.66976079636981,0.01143093610106282,0.15277639031665174,2.1161515613169253,0.12892407632708827,0.10103476402455336,21528.835593782795
21,421,47.0238,1.77562,21,2.65259,0,115,133,5,125,5,1.00101,42.06907,0.0,0.0,2.53571,5.009,1.56871,0.0,0.0,128.0,54.23983,0.00022,0.29,1.006,-1.0,9.608931,0.9210551697530864,0.1913839443354919,0.7608290196078432,0.005991460618589471,1.8017062332911675,161.60550281087654,33.819364006136674,0.2513194811596661,0.13754504235965648,0.2108882347163277,92.45612594468368,66752.07553269411,0.005803053266533977,608.5212977365616,0.10722642908141958,88.83027751507328,0.011423832351871372,0.15283149431599127,2.1421247634373675,0.12891605719391439,0.10105143487347222,21476.4816280135
22,422,47.0525,1.54714,21,2.57707,0,115,133,5,125,5,1.00027,42.09519,0.0,0.0,2.28571,5.005,1.46179,0.0,0.0,128.0,54.22526,0.00016,0.3,0.967,-1.0,9.493586,0.8474151234567902,0.19138394433549397,0.7616313725490197,0.005950574939808145,1.7693339240296677,161.67985418525768,33.702484695999715,0.25138870817095266,0.13727807676865678,0.2108905343251887,92.44682787298571,66894.75050049798,0.005779799928327905,608.4099975487861,0.1068774952207947,92.46011861572916,0.011405212205054993,0.15280625325388736,2.198994035803881,0.12895339756659413,0.10106184999888057,21559.12630774982
