,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,contrast,cubcol.0.6,color_fulness,movement,noise,fft,cubrow.0.3,tone,blur,cubcol.0.5,cubrow.0,cubcol.0,staticness,cubcol.0.3,saturation,cubrow.1.0,cubrow.0.5,uhdhdsim,temporal,cubcol.1.0,cubrow.0.6,blockiness
0,100,66.7693,4.37448,38,0.0,0,108,131,10,125,8,0.98401,62.56919,0.0,0.0,3.5,4.066,0.0,0.0,0.0,127.0,59.56149,0.0001,0.72,1.18,0.0,0.0,92.49601516276928,0.24164340073279364,158.4840373821695,0.0,0.5289293266997995,69188.30758334968,0.2819544955103257,0.8530270588235294,61534.12645874682,0.22191530149762903,0.1126439986002572,0.02751685668140406,554.1540120684108,0.053637923870098365,32.605430885597514,0.12751789099319738,0.16689758686514253,89.90774730087344,0.0,0.03420108970209714,0.15470855250374713,1.8033136077672125
1,101,66.6845,4.31114,38,5.21495,0,108,131,10,125,8,0.97962,62.47722,0.0,0.0,3.46429,4.052,3.71449,0.0,0.0,127.0,59.57528,8e-05,0.71,1.196,-1.0,0.0,93.36223332148153,0.24419792887758862,159.22544454300905,0.6156442901234568,0.5273059117639628,69160.0023230449,0.27921608268052434,0.8526917647058824,61351.21914160108,0.22174561053507283,0.11023568755126374,0.02092319761502472,554.0777418580021,0.048918432693027696,32.561771157347124,0.12314218852607528,0.1633219180086215,89.92958983533802,3.2311523663720862,0.02770762909397481,0.15216594046540252,2.083647139836465
2,102,66.6023,4.35039,38,5.09515,0,108,131,10,125,8,0.98312,62.39599,0.0,0.0,3.60714,4.063,3.66025,0.0,0.0,127.0,59.52974,8e-05,0.71,1.184,-1.0,0.0,91.9569499972433,0.24724842466229227,158.44853238404593,0.6727430555555556,0.5273059117639676,69181.94068634535,0.27862864445080987,0.8526917647058824,61342.6128766525,0.22134057373857988,0.10956140620414123,0.020358239106716507,553.8403903019254,0.04842080412034854,32.527318130304785,0.12136694323864997,0.1627570198842633,89.91519818285556,3.279270150295855,0.02610578483902755,0.152418877932691,1.8990670261779155
3,103,66.6925,4.35385,38,5.19967,0,108,132,10,125,8,0.98662,62.48137,0.0,0.0,3.28571,4.065,3.69372,0.0,0.0,127.0,59.5695,8e-05,0.72,1.227,-1.0,0.0,93.02399045887815,0.24941927885960816,159.3479456688758,0.8020833333333334,0.5289293266997922,69306.290597176,0.27818179456686865,0.8532352941176471,61531.00212357104,0.22132193546448267,0.10943749829921666,0.019276598403185956,553.643229202101,0.048272647260281465,32.676231101707174,0.1206951373117328,0.16171481547449773,89.89349229368347,3.3090677584930703,0.025730268514957338,0.15243371940155118,1.6875169080180943
4,104,66.6484,4.27055,38,5.14434,0,108,132,10,125,8,0.98691,62.42772,0.0,0.0,3.5,4.065,3.69819,0.0,0.0,127.0,59.52748,0.00012,0.72,1.264,-1.0,0.0,93.42576796550422,0.2504893152477191,159.08797622316786,0.7857349537037037,0.5273059117639659,69177.7584764192,0.2778645406943377,0.853272156862745,61468.111605982755,0.2214625790187495,0.10960913013873173,0.019215365457403197,553.4210027585283,0.04813674169316761,32.6276284677011,0.12130040441216816,0.161242533347576,89.90518344793415,3.3107181324403223,0.025514895591386626,0.15229484496957815,2.070943544297765
5,105,66.6741,4.13041,38,4.96582,0,108,132,10,125,8,0.98244,62.4421,0.0,0.0,3.0,4.047,3.62494,0.0,0.0,127.0,59.54556,8e-05,0.72,1.198,-1.0,0.0,93.75067025249854,0.25027493603877604,159.51613292034097,0.7154224537037037,0.5273059117639672,69204.87160375733,0.2774992338412141,0.8535627450980392,61471.2336021135,0.22143534593382178,0.10965726777627897,0.018943927708422414,553.2445572494946,0.04808155417807261,32.68380586600598,0.1215307520697093,0.16056162960477063,89.91353508349832,3.302228888407047,0.02554653702845821,0.15214873040296012,1.8340689578469809
6,106,66.6315,4.15548,38,4.83377,0,108,132,10,125,8,0.98734,62.42046,0.0,0.0,3.5,4.071,3.50385,0.0,0.0,127.0,59.50847,7e-05,0.72,1.219,-1.0,0.0,93.35984483648161,0.2493152709386259,159.37097198418877,0.607445987654321,0.5349879937220723,69239.04460778387,0.2775226914204373,0.8537325490196078,61446.99393191564,0.22128575997323768,0.10976313535014419,0.01882486028661912,553.0028114208851,0.048057633010497675,32.66402049123505,0.12222412288797946,0.16054497270536416,89.90518523411461,3.292850794007322,0.025111419758631646,0.15218395649627206,1.8839000275632327
7,107,66.6261,3.99757,38,4.79129,0,108,132,10,125,8,0.98625,62.3959,0.0,0.0,3.82143,4.069,3.52521,0.0,0.0,127.0,59.51505,9e-05,0.72,1.193,-1.0,0.0,88.70301996693385,0.2472411458476116,159.58259055559708,0.5987654320987654,0.5273059117639619,69267.21994075208,0.2775170440418193,0.8537929411764706,61370.01473787771,0.22124244648929045,0.10991913827560261,0.018459108051038082,552.8553702352156,0.04791766729719619,32.709351904598286,0.12311863665773529,0.16010378379773768,89.91233912879622,3.303624771662854,0.025033951505276035,0.15219126469519634,2.185923571904656
8,108,66.6301,3.82468,38,4.6408,0,108,132,10,125,8,0.99199,62.3939,0.0,0.0,3.57143,4.049,3.38881,0.0,0.0,127.0,59.49417,5e-05,0.71,1.217,0.125,0.0,89.70949889692399,0.24581697996744062,159.7718785055989,0.5177469135802469,0.5273059117639608,69150.91334542354,0.27762519183383066,0.8543286274509804,61439.9895788605,0.22113791920835907,0.10974531237213367,0.01831211394162386,552.6469226545316,0.047703524881309384,32.74218844190056,0.12345606014441148,0.1600572452562508,89.90209601171458,3.249326754420965,0.02470925828058484,0.15202230335615033,2.573802513252174
9,109,66.6108,3.7654,38,4.68192,0,108,132,10,125,8,0.98946,62.38148,0.0,0.0,3.39286,4.051,3.23806,0.0,0.0,127.0,59.48468,8e-05,0.72,1.205,-1.0,0.0,89.59745583896633,0.2446007234590235,159.40720910010893,0.42867476851851855,0.5349879937220879,69215.29538585973,0.2778692737478694,0.854098431372549,61341.848066220045,0.22111828154490804,0.1097114572835036,0.018166219660385514,552.5036237330404,0.047654503348762124,32.75435459466628,0.12421662524507468,0.15982996628308468,89.91344502351373,3.2169132809416494,0.024658934446555602,0.1519651044458773,2.1629735582642775
