,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0,tone,blockiness,cubcol.0.6,blur,cubrow.0.6,staticness,cubrow.0.5,saturation,cubrow.0.3,movement,noise,contrast,cubcol.0.3,cubcol.0.5,cubcol.0,temporal,color_fulness,fft,cubrow.1.0,uhdhdsim,cubcol.1.0
0,200,66.5065,8.74332,38,0.0,0,107,131,10,125,8,0.98704,62.03343,0.0,0.0,3.89286,4.086,0.0,0.0,0.0,127.0,59.89371,8e-05,0.71,1.18,0.0,0.0,0.11335113525642465,0.8573423529411766,1.7987302427991827,0.21876142768739537,61266.92464483904,0.15742709788134246,540.97645250175,0.16289157505756394,31.312393565236786,0.28307278428929605,0.0,0.5273059117639619,90.95188386020594,0.08722388079063974,0.22281145695919805,0.02754815976760216,0.0,156.79113876943927,69129.28377862024,0.11469778037496373,90.05050632637025,0.0349683230573303
1,201,66.5386,8.07836,38,6.52778,0,107,131,10,125,8,0.98661,62.08422,0.0,0.0,3.92857,4.093,7.50173,0.0,0.0,127.0,59.98471,8e-05,0.72,1.216,-1.0,0.0,0.11164551995596254,0.8575221764705883,1.8251768499965269,0.21842070335705072,61260.668213854566,0.1547662221056668,540.3468888260581,0.1597592376553143,31.345459549515336,0.27962587832857955,1.234423225308642,0.5273059117639648,93.7228355960352,0.07460134163016353,0.2228960482706272,0.021328139290333323,3.5535446244768263,158.0280143511896,69065.4988913245,0.11471934627958368,90.05725070590073,0.027370399733879634
2,202,66.564,7.24383,38,6.09039,0,107,131,10,125,8,0.98967,62.10083,0.0,0.0,3.0,4.084,6.92996,0.0,0.0,127.0,59.96139,0.00011,0.72,1.224,-1.0,0.0,0.11088761656762357,0.8577145098039216,1.8842231253684552,0.2182744287630992,61372.6309859001,0.1531146009931507,539.2906549692644,0.15880476675785601,31.331255123939044,0.2787865921023898,0.8978105709876543,0.5273059117639657,91.1206067551822,0.0711819787407722,0.22235426902271038,0.02004905862528159,3.4930227430164913,156.8692360744752,68942.19406257244,0.11171020066654719,90.05759644993302,0.026885732144857493
3,203,66.5889,6.68796,38,5.84826,0,107,131,10,125,8,0.98597,62.13019,0.0,0.0,3.39286,4.094,6.20746,0.0,0.0,127.0,59.86726,8e-05,0.72,1.211,-1.0,0.0,0.11079643780909205,0.8571490196078433,1.9886942574494209,0.21791289870659208,61265.814070648674,0.15297093193157482,538.5836955515737,0.15834826863566545,31.495591151861497,0.27782268648674263,0.6502218364197531,0.5267117006565685,89.36493253782707,0.06946977178850343,0.2219738143941526,0.019499768150434124,3.438381620951388,157.87062875583766,69119.64300516424,0.10962519348267258,90.00982546394452,0.02595515948978529
4,204,66.5836,6.09396,38,5.62633,0,107,131,10,125,8,0.98388,62.13744,0.0,0.0,3.32143,4.09,5.7256,0.0,0.0,127.0,59.74377,0.00012,0.71,1.186,-1.0,0.0,0.11003746836747894,0.8566133333333333,1.9832717444992785,0.21764855996518692,61154.12124487128,0.1525530189027466,537.7931898716131,0.15776992245879698,31.429607061692227,0.2774440915509875,0.48601466049382713,0.5273059117639655,93.61850718296014,0.06783365830376942,0.2216868551825754,0.018930120731349764,3.3812549918951764,157.01841125692968,69126.13047529396,0.10873809970454391,90.02410033221824,0.02514875445686407
5,205,66.676,5.16175,38,5.41117,0,107,131,10,125,8,0.98786,62.24177,0.0,0.0,2.71429,4.079,5.21315,0.0,0.0,127.0,59.71684,0.00011,0.72,1.202,-1.0,0.0,0.10997228878872897,0.8566133333333334,1.9097755205280702,0.21749598441021345,61341.66008975731,0.15272190769012187,537.2003733018477,0.15753955262987193,31.545339890468266,0.27723450098779323,0.3833912037037037,0.5273059117639672,91.74298711893951,0.06714602184007817,0.22159812205622362,0.018736948086892892,3.3362038421518685,157.85799538953555,69226.74921067695,0.10881148074701187,89.99217604372137,0.02504770575615243
6,206,66.6512,4.06839,38,5.04485,0,107,131,10,125,8,0.98781,62.21167,0.0,0.0,3.25,4.079,4.40311,0.0,0.0,127.0,59.65754,0.00012,0.72,1.226,-1.0,0.0,0.10969954243278264,0.8554745098039217,2.0261495053611847,0.21729795471032073,61271.73709285849,0.15306012432981933,536.5941529159333,0.15749078216700682,31.571159833743252,0.2770524365144712,0.29779128086419754,0.5273059117639671,90.45840446308023,0.06749109222728863,0.22144480004413963,0.018945179508716936,3.2810466329296277,157.4415610039457,69253.97809913818,0.10863052808366871,89.97621539940894,0.0250825993017274
7,207,66.749,3.44281,38,4.95722,0,107,131,10,125,8,0.98574,62.30938,0.0,0.0,3.57143,4.064,3.45004,0.0,0.0,127.0,59.70738,8e-05,0.71,1.168,-1.0,0.0,0.10975334368731487,0.8564635294117648,1.9533735936446301,0.21744733321247411,61495.805350221686,0.15366885443025788,536.2051164209117,0.15718495449253364,31.574982066213348,0.2771680069598563,0.2222704475308642,0.5273059117639652,93.19236718678849,0.06785567685589027,0.22159815410789951,0.01878755720723958,3.2519766612791234,157.913182378715,69259.10955021252,0.10850413723548774,89.98657623805313,0.02484451983167427
8,208,66.7508,3.32385,38,4.83344,0,107,131,10,125,8,0.98219,62.3195,0.0,0.0,3.25,4.077,2.9025,0.0,0.0,127.0,59.71366,0.0001,0.71,1.191,0.125,0.0,0.10972932675660373,0.8543733333333334,1.9240702044898785,0.2184696628979714,61468.73135222154,0.15388770333215768,535.8160735681607,0.15709140889317058,31.527127112871334,0.27713819046495763,0.18778935185185186,0.5273059117639656,93.93992098617917,0.0697321856707272,0.22146980415106185,0.018754962821054513,3.204123169526076,157.61005273416708,69329.70519281455,0.1089998121710195,89.96893180651364,0.024638636995332072
9,209,66.8157,3.30343,38,4.76422,0,107,131,10,125,8,0.98037,62.39107,0.0,0.0,4.0,4.076,2.79878,0.0,0.0,127.0,59.78611,0.00011,0.71,1.2,-1.0,0.0,0.1099408092546136,0.8568435294117648,2.237500846120273,0.21981862331479904,61565.66601836776,0.15447936459401715,535.5927897304967,0.15706825366564567,31.541345101815683,0.2770445075679091,0.1771797839506173,0.5273059117639637,89.02102785425879,0.0724239574624595,0.22154048942246746,0.018658877293778194,3.1669609796629667,157.4381411644743,69135.79060452082,0.10972212817338137,89.9724511488048,0.02456198799982337
10,210,66.8483,3.26448,38,4.71054,0,107,131,10,125,8,0.98367,62.4219,0.0,0.0,2.71429,4.076,2.78049,0.0,0.0,127.0,59.80395,8e-05,0.71,1.232,-1.0,0.0,0.10998907012504965,0.8549388235294119,2.168260994825175,0.221009405944556,61652.14554655782,0.15491659685629122,535.3465558318654,0.15726715765208787,31.521808953932773,0.2772529166532146,0.37490354938271603,0.5273059117639644,91.99304493754413,0.07453908850376002,0.22149643300458818,0.018626681454311685,3.1460938541867836,158.48689339158923,69199.08010797016,0.11046163577288787,89.95761003593282,0.024521814687112224
11,211,66.9237,3.1909,38,4.5454,0,107,131,10,125,8,0.98296,62.49514,0.0,0.0,2.75,4.087,2.74736,0.0,0.0,127.0,59.8686,0.00013,0.72,1.244,-1.0,0.0,0.10997530567439931,0.8571858823529412,2.117214371280298,0.22185550109498173,61785.00057025882,0.15498760500495137,535.1772390761292,0.1571012228723569,31.484449410144194,0.27727981101968113,0.416039737654321,0.527305911763961,93.39655755202723,0.07666690883891629,0.22159871376782822,0.018303654928608252,3.1281252890627758,157.8751108101332,69279.89570492278,0.11125858435669506,89.94669198202462,0.02466574627229693
12,212,66.9501,3.23948,38,4.50346,0,107,131,10,125,8,0.98153,62.51994,0.0,0.0,3.25,4.082,2.68351,0.0,0.0,127.0,59.86585,9e-05,0.71,1.203,-1.0,0.0,0.10988386497842623,0.8555192156862745,2.0148635205189356,0.22270554460108913,61833.69507899921,0.1553599413127207,534.9523411135531,0.1570206459434258,31.47930700985002,0.2774185165062334,0.39347029320987653,0.5273059117639622,90.24081364169453,0.0790591569274094,0.2214108366417134,0.018261846069861455,3.1194328497360453,157.5470443796001,69291.12885201402,0.11153684401356867,89.95991516676665,0.024573835857624883
13,213,66.9679,3.32682,38,4.66351,0,107,131,10,125,8,0.98152,62.53018,0.0,0.0,3.78571,4.099,2.72852,0.0,0.0,127.0,59.91341,0.00012,0.71,1.221,-1.0,0.0,0.10993481319967684,0.8571788235294119,2.115216960940939,0.22340228020029199,61820.27952749741,0.15571482316695912,534.7954614706078,0.15702007335138957,31.458378356180074,0.27737182928016024,0.3314043209876543,0.5273059117639599,90.19805750085396,0.08138072859329794,0.22148455425661157,0.018112895965099508,3.119648401201543,157.08589197496963,69303.18897097303,0.112185094322686,89.93900074253675,0.02464427029343739
14,214,67.0011,3.44272,38,4.77051,0,107,131,10,125,8,0.98974,62.55275,0.0,0.0,3.17857,4.093,2.80153,0.0,0.0,127.0,59.93466,0.00014,0.71,1.203,-1.0,0.0,0.10986062175150522,0.8560101960784315,1.8747232190567475,0.2241160245573163,61945.879184778176,0.15592311291549726,534.5863730317353,0.15704033320229996,31.52189598554446,0.27737729087150725,0.31790123456790126,0.5273059117639682,92.81289961140878,0.08386172672838751,0.22148310204498117,0.01800783148245945,3.170184246764881,157.96042523809624,69279.13482860629,0.11244412668352143,89.92585961387994,0.024551154347871605
15,215,66.9762,3.65753,38,4.65735,0,107,131,10,125,8,0.98654,62.52754,0.0,0.0,3.67857,4.091,2.90239,0.0,0.0,127.0,59.98278,0.0001,0.72,1.25,-1.0,0.0,0.10991588126603281,0.8576847058823531,1.9687393880715065,0.22495345126687,61911.439775645056,0.15617931226412365,534.4298144432333,0.15720482680826497,31.59986557195216,0.2774239342004792,0.5450906635802469,0.5273059117639644,93.79523889075108,0.08584620871639394,0.22151391375792825,0.017977783056073372,3.208693186689339,157.87692243430246,69338.33691397207,0.11257034976993908,89.94536623304938,0.024493502291401622
