,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,saturation,cubcol.0.3,blur,cubrow.0.5,fft,cubrow.0.3,cubcol.0.6,contrast,cubrow.0,cubcol.1.0,cubcol.0.5,cubrow.0.6,temporal,uhdhdsim,staticness,cubrow.1.0,noise,color_fulness,movement,blockiness,cubcol.0,tone
0,100,67.5038,4.0092,33,0.0,0,107,131,8,125,6,0.98165,61.17524,0.0,0.0,3.35714,3.967,0.0,0.0,0.0,126.0,59.53885,0.00018,0.3,1.479,0.0,7.091651,32.73486949779369,0.042760808754556345,60845.461076643915,0.160317178891713,68958.35823089026,0.2730278058139324,0.24056259228996293,94.13014468337192,0.1058563734968036,0.008189521318663675,0.22069461742479426,0.1460441890361622,0.0,90.06649837133784,549.951414350008,0.12116280424599817,0.22448911659759144,161.26209606836179,0.0,1.785594489731053,0.007872533820571867,0.8482047058823531
1,101,67.3998,3.92957,33,4.60406,0,107,131,8,125,6,0.97669,61.07216,0.0,0.0,4.64286,3.977,3.41026,0.0,0.0,126.0,59.55013,0.00023,0.29,1.335,-1.0,7.091862,32.774733178409534,0.03982525286554178,60606.20659588685,0.15750799705913215,68918.29780904231,0.2707292510046369,0.24421148378339327,91.6917754856417,0.10548116319462787,0.006893915228846204,0.22087033706118134,0.14450991603273952,2.371956810061325,90.09903555614919,550.2314722160106,0.11616719302312485,0.22448911659759285,162.25898035577717,0.6048418209876543,1.9138384486659659,0.006484735998738801,0.8479745098039217
2,102,67.3159,3.96327,33,4.56778,0,107,131,8,125,6,0.98172,60.99495,0.0,0.0,4.0,3.98,3.33942,0.0,0.0,126.0,59.50502,0.00026,0.29,1.485,-1.0,7.060628,32.68312298810041,0.040225284342175226,60600.69284147296,0.15700688093747325,68970.1638651942,0.2704717845589583,0.2476061738496324,94.05810264058229,0.1051453283717302,0.0062810724975667165,0.2206284709257287,0.14500335413814258,2.4205368249812964,90.0861651711724,549.8595666882036,0.11413953933874482,0.2244891165975927,161.26328871305083,0.6632908950617284,1.8395654439209965,0.006365678789404597,0.8477949019607843
3,103,67.4004,3.9609,33,4.50229,0,107,131,8,125,6,0.98351,61.07287,0.0,0.0,4.07143,3.985,3.36779,0.0,0.0,126.0,59.54364,0.00018,0.29,1.519,-1.0,7.00215,32.878862922574264,0.03992971746030987,60790.16867769209,0.15616399489420893,69083.16417219842,0.27011968568720734,0.24959247780286106,91.82406043388497,0.10524783412727046,0.006156680160895686,0.22067632721891647,0.14479499000114432,2.455284682405765,90.06051040442776,549.7853033450534,0.1136245435706641,0.22448911659759277,162.24981965404112,0.7901234567901234,1.811981403187799,0.005975385105479011,0.8482047058823531
4,104,67.3651,3.86222,33,4.53764,0,107,131,8,125,6,0.98563,61.03188,0.0,0.0,4.03571,3.986,3.36872,0.0,0.0,126.0,59.5023,0.00022,0.29,1.456,-1.0,7.199807,32.82105415250049,0.03959356988206541,60757.22703373653,0.15582645783217744,68929.37876480672,0.26999493795824314,0.2507133138503159,93.53093474008418,0.10549072076488485,0.006003815456790075,0.22066521951221435,0.14436317759054634,2.4523563299263915,90.074973573347,549.5043644682247,0.11405634287787626,0.2244891165975922,161.9047029602014,0.7710262345679012,1.7317811198026636,0.0058746203418819165,0.8482047058823531
5,105,67.3771,3.70017,33,4.2006,0,107,131,8,125,6,0.97948,61.03241,0.0,0.0,4.39286,3.979,3.28201,0.0,0.0,126.0,59.52176,0.00022,0.29,1.464,-1.0,7.175577,32.903175071433736,0.03943014136658743,60728.70199470575,0.1554238914788744,69002.79392162935,0.26957346078272015,0.25046014128984573,93.4395534226795,0.10548896240641263,0.006086022873491318,0.2207465176580178,0.1441402526272286,2.4376833976589785,90.08908010924569,549.3949507035471,0.11411536029900253,0.2244891165975924,162.43176073120367,0.7117091049382716,1.5803196780087405,0.005746882195709722,0.8482047058823531
6,106,67.3447,3.72938,33,4.2265,0,107,131,8,125,6,0.98538,61.0158,0.0,0.0,4.17857,4.005,3.14414,0.0,0.0,126.0,59.48485,0.00023,0.29,1.385,-1.0,7.156438,32.8699951171875,0.03938875455040089,60699.257178907326,0.1553435172099874,69043.60150507711,0.2696733874663618,0.24965913177303264,94.12827917805248,0.1055015221868585,0.00601767091388426,0.22071314149485174,0.1442494897210346,2.4192544148700676,90.07851242276523,549.117524618577,0.11497314879139071,0.22448911659759122,162.28443811791954,0.6049382716049383,1.5922344407169366,0.005659226837715249,0.8487850980392159
7,107,67.3205,3.56168,33,4.18056,0,107,131,8,125,6,0.98492,60.98851,0.0,0.0,4.03571,3.981,3.16796,0.0,0.0,126.0,59.49117,0.00022,0.29,1.463,-1.0,7.253041,32.91489777741609,0.039312863465393935,60629.707124027766,0.15500166580798985,69000.93630797914,0.2697108963033162,0.24749219018304935,94.00243793685102,0.10566074585317461,0.005952613283510762,0.22064384355319144,0.14422595256239112,2.443145665857598,90.08251628370026,549.0154296246894,0.11592769291979382,0.22448911659758775,162.4972997888907,0.5956307870370371,1.7520198984685436,0.005622496699446062,0.8490756862745099
8,108,67.3121,3.37272,33,4.04793,0,107,131,8,125,6,0.99052,60.97355,0.0,0.0,4.89286,3.983,3.02296,0.0,0.0,126.0,59.46991,0.00018,0.29,1.436,0.44136,7.215202,32.981165379653746,0.039218483097987596,60684.00290985482,0.15495147995733832,68914.71145682178,0.2698362182774538,0.24614144046276853,94.04245438118764,0.10569890592883845,0.005901903967685824,0.22049778784924387,0.1440828441638398,2.3850161397530867,90.06807041465163,548.7820195847522,0.11653151341828455,0.22448911659758974,162.6690511115787,0.5185185185185185,2.121234057167217,0.005688301753774791,0.8493058823529414
9,109,67.3053,3.3064,33,3.88249,0,107,131,8,125,6,0.98706,60.96143,0.0,0.0,4.78571,3.974,2.85805,0.0,0.0,126.0,59.46079,0.00018,0.29,1.566,-1.0,7.292756,32.952609215253666,0.03921534985382471,60585.087081432845,0.1549026154920368,68983.9755577053,0.27002133663832134,0.24502050432079497,94.15952666554118,0.10569745221836838,0.005791441878476671,0.22049396004735608,0.1441155083790786,2.3469888115373454,90.08661964765616,548.6620117388976,0.11727242634376492,0.2222714905543648,162.23533222778974,0.42920524691358025,1.7940658592562324,0.005671803486129929,0.8493058823529414
