,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,fft,cubrow.0.6,noise,cubrow.1.0,cubrow.0,cubcol.0,uhdhdsim,staticness,saturation,color_fulness,temporal,tone,cubrow.0.3,blur,cubrow.0.5,cubcol.1.0,cubcol.0.3,cubcol.0.5,blockiness,movement,cubcol.0.6,contrast
0,300,66.7825,5.17082,32,0.0,0,106,131,7,125,6,0.97841,60.36845,0.0,0.0,3.92857,3.952,0.0,0.0,0.0,125.0,59.07927,0.00019,0.29,1.447,0.0,7.105127,68752.13839744533,0.14276980298301153,0.22227149055436132,0.11952083184927455,0.10576738409018287,0.008055619214528777,90.19753176341402,542.4011434946249,32.74680921766493,161.65331264246953,0.0,0.8565082352941178,0.2704934656287167,59862.3409600734,0.1561235884213682,0.00872447306042308,0.11973500866706902,0.22232390927868179,1.8812465473811466,0.0,0.223867032008409,93.92107001423513
1,301,66.9115,5.28922,32,4.83478,0,106,131,8,125,6,0.98267,60.4934,0.0,0.0,4.07143,3.966,4.41772,0.0,0.0,126.0,59.12661,0.00021,0.29,1.413,-1.0,7.003063,68889.11657466767,0.1388664306618715,0.22227149055436168,0.11765653144942065,0.1056074547398919,0.006696574971700602,90.17478683487374,542.856266022899,32.705407978575906,161.98207568230777,2.8660813423213356,0.8571490196078433,0.2681442802121754,60207.583647212254,0.15546750220033762,0.006707946385662146,0.10252502384889804,0.22110336523006777,1.4490137981416902,0.990210262345679,0.22213296243858338,93.59814616179625
2,302,66.8491,5.33302,32,5.18227,0,106,131,7,125,6,0.98349,60.43353,0.0,0.0,3.46429,3.964,4.51811,0.0,0.0,125.0,59.08092,0.00019,0.29,1.448,-1.0,7.071742,68836.26790046824,0.1387711253411342,0.22227149055436146,0.11642215191169338,0.1049258786951658,0.0060551708943786895,90.18396354322903,542.1682226649899,32.69910346137153,160.8031181639047,2.9563881135139103,0.856270980392157,0.2669313176068905,60031.13394661578,0.15529230382766782,0.00616618202824842,0.10100629430152248,0.22136737256677583,2.273527890689548,1.0810185185185186,0.2219958062753367,90.88653817853225
3,303,66.8478,5.30739,32,5.33693,0,106,131,7,125,6,0.99168,60.4186,0.0,0.0,3.89286,3.959,4.55617,0.0,0.0,126.0,59.13616,0.00018,0.29,1.41,-1.0,7.023145,68916.53239623358,0.13876926767105252,0.22227149055436876,0.11308565400166422,0.10516170195477839,0.00592946277215428,90.21866968799608,542.19984035254,32.670365510163485,161.4524347468522,3.0138494194377508,0.8565835294117649,0.26681988922255256,60177.66588744871,0.15611786370759873,0.006214934898496063,0.10110791831331954,0.22103241844609936,1.6987025626080803,1.1359953703703705,0.22201668939290317,92.45233027122617
4,304,66.8462,5.06962,32,5.4598,0,106,131,7,125,6,0.98155,60.43274,0.0,0.0,3.21429,3.976,4.53091,0.0,0.0,126.0,59.12769,0.00018,0.29,1.539,-1.0,7.006644,68843.20938088323,0.13839764462445855,0.22448911659758844,0.1113992881717702,0.10524646257236571,0.005889907508057083,90.2399523011577,541.908767058187,32.77833971565152,161.86731007074837,3.065696581712124,0.8568364705882354,0.2666984162177427,60095.81762511427,0.15603106907026076,0.006032113104100889,0.09984669227041099,0.2208792109197142,1.7755341431200575,1.2204861111111112,0.2225027515137209,93.79221700331846
5,305,66.9326,4.90187,32,5.2119,0,106,131,8,125,6,0.98316,60.51552,0.0,0.0,4.03571,3.98,4.33155,0.0,0.0,126.0,59.16556,0.00018,0.29,1.442,-1.0,7.019885,68943.6673225381,0.13830054656594978,0.22227149055436293,0.11072819967579843,0.10547760187865887,0.005801945472405417,90.24151297861606,541.9662426088162,32.64797314302421,161.57757150566124,3.039052709461416,0.8571490196078433,0.26714615964660665,60342.0870725025,0.15622625320140057,0.006033943775061349,0.1007112718778659,0.2209748360563957,1.8239439521470735,1.1163194444444444,0.22251967206752266,89.6628465977978
6,306,66.8648,4.66325,32,4.98064,0,106,131,7,125,6,0.98844,60.44593,0.0,0.0,3.53571,3.982,4.18143,0.0,0.0,125.0,59.14271,0.00019,0.29,1.463,-1.0,7.081035,68846.48817132552,0.1376567359953918,0.22227149055436154,0.1104801511227796,0.10544474195713009,0.005750867677318571,90.25301300280688,541.7957320237017,32.62638628924335,160.9730885356233,3.006797212202486,0.8562780392156863,0.26747288140714626,60251.827246577326,0.15617238886836496,0.005941103579100348,0.10233132377019412,0.2211020063460238,1.7151842480054562,1.0319251543209877,0.22252852848444848,90.48639531621338
7,307,66.9689,4.49768,32,4.85082,0,107,131,8,125,6,0.9823,60.54774,0.0,0.0,4.21429,3.992,3.97861,0.0,0.0,125.0,59.19469,0.00021,0.29,1.759,-1.0,7.049085,68936.95742992692,0.1372214618410726,0.22448911659759174,0.11132156127274981,0.10544731633752477,0.005686102914334347,90.22140102193966,541.7963404406852,32.80075619544512,161.79462231738515,2.9956095702762844,0.8571490196078433,0.26794446914606046,60428.14526933801,0.15625033321573625,0.005888693684135189,0.10391443835942328,0.22094591736137323,1.8273552403929996,0.9844714506172839,0.2226149643857953,94.1559821567776
8,308,66.9948,4.44775,32,4.58954,0,107,131,8,125,6,0.99165,60.5781,0.0,0.0,3.85714,3.993,3.83234,0.0,0.0,125.0,59.19735,0.00019,0.3,1.547,0.43981,7.042492,68874.96397765048,0.13659136705463742,0.22448911659759085,0.11206922282974024,0.10536114571818525,0.005647210326361339,90.2300245678721,541.7089585052577,32.67917623637635,161.9704071540337,2.9676579646263628,0.8568435294117648,0.26844129226875973,60369.45687092761,0.15655097290152584,0.00588488364021192,0.10571206713224975,0.22107088784162257,1.6369917684919142,0.8525270061728395,0.22245968266855573,89.10928105805682
9,309,67.0565,4.38674,32,4.918,0,107,131,8,125,6,0.98467,60.64014,0.0,0.0,4.10714,4.003,3.79547,0.0,0.0,126.0,59.24027,0.00023,0.29,1.387,-1.0,7.019468,68970.29002796086,0.1362961715431309,0.22227149055436657,0.11203786991160765,0.10539446357434604,0.005554927971283166,90.19905792081502,541.7453010961365,32.62483705120322,160.4787130729008,2.964268710042918,0.8569039215686275,0.2690923424601845,60497.26675888062,0.15684561393455565,0.005939361263651672,0.10769462440054785,0.2209950399516268,1.729036960975149,0.8018422067901234,0.2225494166766365,93.90776699261427
