,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,tone,temporal,cubcol.0,blockiness,staticness,cubcol.0.3,cubrow.1.0,saturation,contrast,color_fulness,cubrow.0.3,fft,movement,cubrow.0.6,blur,cubcol.1.0,cubrow.0.5,cubcol.0.6,cubrow.0,uhdhdsim,cubcol.0.5,noise
0,100,66.7535,3.90595,32,0.0,0,107,131,7,125,6,0.98244,60.0314,0.0,0.0,4.17857,3.94,0.0,0.0,0.0,126.0,59.47508,0.00032,0.29,1.516,0.0,7.90298,0.8470737254901962,0.0,0.00761302443246999,1.5901977802483087,548.5406001762635,0.03553178585927849,0.11436443707539823,32.64107711226852,93.66054268021834,161.38312181405323,0.26721734813115955,69827.86735231109,0.0,0.13693098208379145,60906.63906022036,0.007944574700136063,0.15511229587522452,0.24473002136137695,0.10420032202720877,89.74173069642909,0.22154842552123005,0.2079365304665436
1,101,66.6506,3.81786,31,4.45281,0,107,131,7,125,6,0.97992,59.92572,0.0,0.0,3.96429,3.954,3.32257,0.0,0.0,126.0,59.48703,0.00029,0.29,1.346,-1.0,7.958456,0.8476313725490198,2.180624925176361,0.006482040670678906,1.7310974357406241,548.8391362952285,0.033987565919819995,0.11049480810960613,32.68105174877026,94.05010826550703,162.37848448237727,0.2649592827529844,69742.15380019824,0.5573398919753086,0.13560012082183806,60702.998242239584,0.00662801365337959,0.15243380177709082,0.2480943264753778,0.10356452659795723,89.78032388996417,0.22154639457432782,0.21399519748883403
2,102,66.5618,3.84681,31,4.41577,0,107,131,7,125,6,0.98188,59.8496,0.0,0.0,4.39286,3.954,3.24321,0.0,0.0,126.0,59.44133,0.00028,0.29,1.479,-1.0,7.955783,0.8470737254901962,2.223850640336417,0.00620624892393081,1.7044022287624656,548.4802242235911,0.034412405266785524,0.10821276351770756,32.58983508451485,93.74099000817633,161.42673187911325,0.2649177325523591,69730.31351198985,0.6127989969135802,0.13618276563541779,60670.90172587459,0.005977665048995507,0.15208990834106342,0.2512070255083129,0.1035709142411498,89.76881190503278,0.22126297912647974,0.21237178255300662
3,103,66.6404,3.84233,31,4.29948,0,107,131,7,125,6,0.98457,59.92259,0.0,0.0,4.03571,3.967,3.27074,0.0,0.0,126.0,59.48071,0.00032,0.29,1.547,-1.0,7.869957,0.8479368627450982,2.2613151056286793,0.005818935146904191,1.707767614145726,548.4247840946748,0.03449982918013907,0.10768827829184693,32.78785536024306,93.86658845167263,162.3940494338475,0.26433649480015975,69852.42741464941,0.7134452160493827,0.13589567985479653,60865.053617182995,0.005856968042722751,0.1513762688187424,0.2533047370744464,0.1037423637202614,89.73057946794893,0.22144935221179088,0.21399519748883286
4,104,66.605,3.73598,31,4.31985,0,107,131,7,125,6,0.98685,59.88742,0.0,0.0,4.39286,3.936,3.2677,0.0,0.0,126.0,59.43972,0.00025,0.29,1.404,-1.0,8.036731,0.8472592156862746,2.261924598011277,0.0057307084650057225,1.6669563054943681,548.1552811460541,0.03416417270392535,0.10807997685962252,32.72702968267747,94.04422313862995,162.04109973153277,0.2643493184082969,69783.02426860844,0.7078993055555556,0.13573570939511467,60829.995831469794,0.00557865368345375,0.1508749136039907,0.2545880038336488,0.10396367810228573,89.75774537144034,0.2217265667245357,0.2117775714456045
5,105,66.6073,3.5648,31,4.09355,0,107,131,7,125,6,0.98313,59.87126,0.0,0.0,4.07143,3.963,3.17515,0.0,0.0,126.0,59.4592,0.00029,0.28,1.461,-1.0,8.03835,0.8479368627450982,2.2390923593325485,0.005684633610755767,1.7528190168814968,548.063876011255,0.03416734508499302,0.10823698189068205,32.81589913073881,94.02486458287396,162.52188895803366,0.2638764454814537,69732.50687718864,0.6595293209876543,0.13548010630188792,60773.87599851816,0.005670921074989579,0.150651552144803,0.2545100667812423,0.10387685242983771,89.77273917307716,0.22193999369847262,0.21177757144560605
6,106,66.5792,3.60069,31,4.00101,0,107,131,7,125,6,0.98658,59.86425,0.0,0.0,4.89286,3.967,3.02875,0.0,0.0,126.0,59.42246,0.00034,0.29,1.386,-1.0,8.101547,0.8476690196078431,2.2256404194055626,0.005580738444843895,2.0934279094283412,547.8003311061362,0.03412335215353495,0.1092401240588105,32.78170173550829,94.13611784262586,162.40526541970158,0.26395325701263317,69788.30390239552,0.5597511574074074,0.1355862802346774,60768.45923894074,0.005655874565525762,0.15062576464449492,0.2534477984939597,0.10399500613233893,89.75783915344846,0.22202317112350198,0.2079365304665436
7,107,66.5538,3.43084,31,3.94752,0,107,131,7,125,6,0.98768,59.83254,0.0,0.0,3.89286,3.959,3.05676,0.0,0.0,126.0,59.42869,0.00032,0.29,1.407,-1.0,8.109044,0.8482047058823531,2.2480841037082393,0.0055332817738015265,1.7036719453537141,547.7044356566021,0.0341718826322368,0.11037820379892091,32.824555008499715,94.04302964684335,162.5992412604192,0.2639414414640844,69642.58680536717,0.5478395061728395,0.1355908373970778,60651.55981631512,0.005662072746369219,0.15039266268164694,0.25116057592805957,0.1041122834934438,89.76252897232254,0.2221257591729396,0.20793653046654229
8,108,66.5592,3.23878,31,3.75659,0,107,131,7,125,6,0.99229,59.82742,0.0,0.0,3.75,3.959,2.91236,0.0,0.0,126.0,59.40713,0.0003,0.29,1.518,0.45692,8.102368,0.8483682352941178,2.1916529141590773,0.0055829788506763095,2.027651809972861,547.4825371090084,0.03410212171231156,0.11119258115142044,32.895507058979554,94.0236159508377,162.7598641858511,0.2641609578347149,69755.40209410228,0.47391010802469136,0.13539430820711063,60797.24047084566,0.005631495339117495,0.15033562655943425,0.2495635862210883,0.10415928315201309,89.74113668525347,0.22203904215614087,0.20793653046654256
9,109,66.5238,3.17428,31,3.66302,0,107,131,7,125,6,0.98766,59.79405,0.0,0.0,4.07143,3.956,2.74449,0.0,0.0,126.0,59.39692,0.00029,0.29,1.496,-1.0,8.187903,0.8485400000000002,2.1520939774215995,0.0055369780982081175,1.7717149473776703,547.3764768307768,0.03406806819378244,0.11183980970409725,32.85931810920621,94.06783649739258,162.38541995593042,0.26436682298627784,69656.36963773404,0.3915895061728395,0.13540293631553732,60624.41699719854,0.005497805976115464,0.1502490947737615,0.24838723039547886,0.10414449106683128,89.76996414786242,0.22194074471876574,0.20793653046654295
10,110,66.4451,3.25796,31,3.94047,0,107,131,7,125,6,0.98578,59.72677,0.0,0.0,4.89286,3.955,2.69566,0.0,0.0,126.0,59.38078,0.00033,0.28,1.436,-1.0,8.19705,0.8488305882352941,2.1283209419986937,0.005539304978045468,1.9379479298819808,547.223170318804,0.033837098867346774,0.11203305644755156,32.964863153151526,94.14323936737529,162.83013010464276,0.2645334646752002,69678.38489553721,0.6494984567901234,0.1352393641780389,60495.437458850334,0.005479710928705654,0.15027993968927986,0.24751202546925494,0.10415919812499799,89.76132355499823,0.2218825387104898,0.2079365304665425
11,111,66.4109,3.36782,31,3.92955,0,107,131,7,125,6,0.98192,59.69119,0.0,0.0,4.64286,3.968,2.75923,0.0,0.0,126.0,59.30854,0.00027,0.29,1.555,-1.0,8.230319,0.8479298039215687,2.133336385088963,0.005493111836777921,1.8100655563983605,547.1114384252196,0.03363295826374559,0.1117900966373212,32.92793650686005,94.07338743550376,161.80270366733433,0.26449818280109316,69550.51949914388,0.6956500771604939,0.1353877938847486,60422.15159765093,0.005466605932205747,0.1502490114318382,0.24660049759732494,0.10399975056262856,89.80068904955324,0.22175946959303097,0.2079365304665394
12,112,66.3329,3.33092,31,3.99513,0,107,131,7,125,6,0.98436,59.60596,0.0,0.0,3.85714,3.957,2.86001,0.0,0.0,126.0,59.26418,0.00026,0.29,1.454,-1.0,8.152627,0.847349411764706,2.0995635921592317,0.005438183047357718,1.8521816580697148,546.9559694413543,0.03337871406488173,0.11146702884519519,32.877850379472896,93.75913901189595,161.58558266319156,0.26436254904193396,69605.25825494814,0.6229745370370371,0.13545705372507372,60284.23266214419,0.005461392381714648,0.15014527273566022,0.24582685896354875,0.10393903407071646,89.77240162467874,0.2218727245520124,0.20571890442330612
13,113,66.372,3.40933,31,3.94112,0,106,131,7,125,6,0.98469,59.62894,0.0,0.0,4.25,3.968,2.82487,0.0,0.0,126.0,59.26622,0.00029,0.29,1.455,-1.0,8.238685,0.8475639215686275,2.08002994275496,0.005473153507441081,1.930636158878898,546.8796343974493,0.032983506412048225,0.11118645592282689,33.098385092652876,92.41905391406715,162.83074721403878,0.26441949798476255,69694.66325843646,0.4781057098765432,0.13553717258670117,60372.3230407215,0.005494905949700314,0.1502141366822951,0.24513941444371212,0.10387192667785308,89.80204173015815,0.22186231019018549,0.2079365304665414
14,114,66.3137,3.58038,31,4.01702,0,106,131,7,125,6,0.9845,59.58879,0.0,0.0,3.85714,3.934,2.89538,0.0,0.0,126.0,59.20179,0.00031,0.29,1.425,-1.0,8.210896,0.8470439215686276,2.0530001633662605,0.005476495523905542,1.812562796563331,546.7245617422896,0.03264774398590184,0.11072438324400614,32.98776716067467,94.04680954220447,161.61884061311522,0.264528843341444,69615.61984113997,0.4588638117283951,0.13554150750331356,60334.095976816,0.005509021052374304,0.15023878497357834,0.24467220690279134,0.10388070483706527,89.76428099302782,0.22196394014223084,0.20793653046654018
15,115,66.3916,3.80765,31,3.86631,0,106,131,7,125,5,0.98366,59.64811,0.0,0.0,4.28571,3.948,3.04173,0.0,0.0,126.0,59.25519,0.00033,0.29,1.46,-1.0,8.27943,0.8489933333333335,2.0294617405301634,0.005439832775866799,1.7018274813558105,546.5945473858723,0.0323430826803601,0.11039575828949218,33.131928432134934,94.02657964204887,162.30556791836662,0.2645665576051114,69637.63605202505,0.6934799382716049,0.13553693391553445,60642.43067198426,0.005455556932308326,0.1503138967317931,0.24417856851803107,0.10386951225616303,89.78324041112076,0.22192002524068294,0.2018778634442532
16,116,66.3386,3.89492,31,3.96416,0,106,131,7,125,5,0.98317,59.5828,0.0,0.0,4.5,3.923,3.24618,0.0,0.0,126.0,59.22463,0.00029,0.28,1.453,0.45203,8.225055,0.8484505882352943,2.0251233180837414,0.005431749194823189,1.7655160057714205,546.4562444229786,0.03202543026765222,0.11009427944741348,33.10573794517988,94.11699359111265,162.85133909562057,0.26472743871308974,69715.52338281367,0.7241030092592593,0.13556577181516152,60455.07146667513,0.005454407744802128,0.15032392817597617,0.2436925076287981,0.10388999216138432,89.77732886421825,0.22202542597027478,0.20409548948747905
17,117,66.3547,3.93499,31,4.14845,0,106,131,7,125,5,0.981,59.59673,0.0,0.0,4.17857,3.956,3.31537,0.0,0.0,126.0,59.23119,0.00032,0.29,1.469,-1.0,8.197703,0.8492988235294119,2.0115397378052333,0.005401277334582711,1.7455300636115125,546.3531693539729,0.03180139038127657,0.10961604615715122,33.131654527452255,91.1649309665973,162.26743905491205,0.2646886905222144,69675.00242781993,0.7054880401234568,0.13551223272867574,60611.15767174586,0.005502408892113117,0.15038909230770162,0.24280731856591495,0.10392389904120636,89.77225931714976,0.2220807573169078,0.20187786344425365
18,118,66.2481,3.80629,31,4.39673,0,106,131,7,125,5,0.98536,59.49484,0.0,0.0,4.39286,3.933,3.35731,0.0,0.0,126.0,59.19834,0.00029,0.29,1.487,-1.0,8.283693,0.8510180392156864,2.0626977240303934,0.005394380102603765,1.8240434059193893,546.2168574820793,0.03153047948443071,0.10906093545804474,33.26719665527344,93.92074545289964,163.46318565141038,0.2647852178931799,69564.56792099151,0.7064043209876543,0.1354283359009806,60294.87055669549,0.005477981581579899,0.15034532461033562,0.2414405896733554,0.10391733847604905,89.80713803125022,0.22217735968813856,0.2018778634442531
19,119,66.2595,3.7676,31,4.48143,0,106,131,7,125,5,0.98622,59.49068,0.0,0.0,4.17857,3.948,3.2359,0.0,0.0,126.0,59.17695,0.00032,0.29,1.509,-1.0,8.295382,0.8499239215686276,2.131185321478542,0.005387608944557514,1.83366602278441,546.1151968213853,0.03132416679574889,0.10858508555297973,33.15205439814815,92.17440871832693,162.4975300978085,0.26485126158805467,69609.87507258303,0.7403067129629629,0.13530037657294694,60474.66692327328,0.005442590871766522,0.15023420337805235,0.24024385364297374,0.10394987968014473,89.80063939530268,0.222137749774928,0.20409548948747314
20,120,66.1852,4.0298,31,4.20109,0,106,131,7,125,5,0.98655,59.41185,0.0,0.0,4.28571,3.926,3.20879,0.0,0.0,126.0,59.12973,0.00029,0.29,1.488,-1.0,8.230197,0.8513156862745099,2.1965925447998704,0.005350382925209591,1.8319898090203135,545.9712483113345,0.031070209076219768,0.10811199431489542,33.222689781659916,94.04996956056628,163.13559153745805,0.26490692397437554,69548.40248728126,1.2181712962962963,0.13510811251893404,60344.13192412093,0.00543258552684371,0.15012304032776522,0.2392062327853279,0.10397252895532336,89.83535367301322,0.22221971674679955,0.20793653046654073
21,121,66.1405,4.53234,31,4.27282,0,106,131,7,125,5,0.99018,59.35432,0.0,0.0,4.17857,3.948,3.42903,0.0,0.0,126.0,59.1147,0.0003,0.29,1.58,-1.0,8.376011,0.8518811764705884,2.270903909312153,0.005351487480031153,1.9753083424782032,545.8472122377359,0.030807331186481247,0.10786949070103785,33.16463781286169,94.02612736616982,162.63217790915073,0.26492878934728753,69487.68439146012,1.6431809413580247,0.13488103216750338,60352.96886934726,0.0054318696112645,0.15006162168484521,0.2383209603017069,0.10401541604922818,89.80645371663411,0.22222550175505149,0.20187786344425082
22,122,65.9826,4.82516,30,4.68102,0,106,131,7,125,5,0.98503,59.20602,0.0,0.0,4.07143,3.918,3.86994,0.0,0.0,126.0,59.05665,0.00025,0.29,1.598,-1.0,8.299549,0.8542682352941177,2.397992451688268,0.005354096824491248,1.76314025855868,545.6671072032607,0.03057732126326483,0.1072690831072783,33.188647800021705,93.30926279205781,162.61403088786847,0.2648883537983764,69506.87562137509,2.197627314814815,0.13469166365946755,60077.64362276732,0.005407168706457776,0.15001777716456846,0.2375027274496413,0.10402746417107095,89.86637840692082,0.22221849328205542,0.20187786344424785
23,123,65.9674,5.07361,30,4.77808,0,106,132,7,125,5,0.98597,59.17045,0.0,0.0,4.35714,3.919,4.11776,0.0,0.0,126.0,59.03893,0.00026,0.29,1.484,-1.0,8.415637,0.8543741176470587,2.502001513603474,0.005358138374296822,1.8371020115754568,545.4583379278189,0.030365919946343595,0.10681109499994904,33.261074866777584,94.05003085035437,162.66961486507918,0.2648779464507503,69444.97372710025,2.8423996913580245,0.13441256232270685,60100.03941997004,0.005410516701362538,0.14996333924440666,0.2366961544103798,0.10399522231230952,89.86322664915052,0.22221389290171945,0.19966023740102049
24,124,65.8308,5.16807,30,4.99284,0,106,131,7,125,5,0.99145,59.02485,0.0,0.0,4.0,3.926,4.33721,0.0,0.0,126.0,58.95565,0.00026,0.29,1.462,0.46296,8.267357,0.8531223529411767,2.525788670988495,0.005366544036282961,1.652149415810454,545.2189405275042,0.030219419459837707,0.10649487799980052,33.22869722342786,92.2036953659369,162.85593649118405,0.2647257635906291,69547.10231275579,3.360194830246914,0.1342357664985137,59989.632755759165,0.005383399901426648,0.14991147108836625,0.23594439547909235,0.10398687976271831,89.89463842544154,0.2222053771172686,0.19966023740101932
25,125,65.8329,5.17462,30,4.63031,0,106,131,7,125,5,0.98113,59.00055,0.0,0.0,4.07143,3.907,4.41546,0.0,0.0,126.0,58.92991,0.00029,0.28,1.539,-1.0,8.32908,0.8539635294117648,2.5397446436479143,0.005325638998962194,1.7993975689306612,544.9524896586869,0.029940665465563326,0.10590577571448911,33.187388102213546,94.03456947140839,162.41938220765158,0.26476449222515447,69527.21795532168,4.24633487654321,0.13405262769412393,60045.368557232956,0.005369975988970635,0.1498865581376307,0.2353355244466377,0.1039871800236305,89.85887632684745,0.22224826127639916,0.19966023740101915
26,126,65.7284,4.989,30,5.23238,0,106,131,7,125,5,0.98108,58.89117,0.0,0.0,4.32143,3.909,4.42723,0.0,0.0,126.0,58.83648,0.00027,0.28,1.589,-1.0,8.313645,0.8531968627450981,2.5680071993824796,0.005340571286620818,1.7505977025550137,544.61015271146,0.029756429878209062,0.10516560527698181,33.1427382480951,93.97415084685102,161.66152327065882,0.26475167337231464,69466.99222697061,4.6195505401234565,0.1338415383224768,59801.71933871527,0.005356048727942101,0.14987877680797204,0.23471088758942255,0.10403972934438034,89.9226495382858,0.22222596489332885,0.1996602374010185
27,127,65.7557,4.8994,30,5.14011,0,105,131,7,125,5,0.98172,58.88454,0.0,0.0,4.5,3.918,4.26416,0.0,0.0,126.0,58.8227,0.00031,0.29,1.523,-1.0,8.366715,0.8537560784313727,2.5535632519355778,0.005300069589793011,1.9764689545396086,544.2706360260228,0.02959962141926217,0.10472075717379975,33.18092515733507,91.81565236452603,162.74276277075452,0.26472855768288867,69408.08786395815,4.844184027777778,0.13365210620699355,59988.7818188195,0.005376143423757122,0.14984611966780542,0.23423693635758375,0.10401510852661656,89.93317687307933,0.2222344154709726,0.1996602374010188
28,128,65.6455,4.70217,30,5.10722,0,105,131,7,125,5,0.98279,58.76382,0.0,0.0,4.14286,3.959,4.18771,0.0,0.0,126.0,58.72683,0.00032,0.29,1.472,-1.0,8.477852,0.8529298039215687,2.5472035105233806,0.005312332816381884,1.9355127192558848,543.8534002455636,0.029412839900074504,0.1042956942062166,32.98862410180362,93.91928706401171,161.50683341147067,0.2645448527568774,69484.90889885076,4.925925925925926,0.1334290735856978,59806.95184960663,0.0053701710618518535,0.14988718203901025,0.23378061863266247,0.10398926968636231,89.94048655692535,0.22225987198549677,0.19966023740101868
29,129,65.6435,4.54292,29,4.94532,0,105,131,7,125,5,0.98806,58.73468,0.0,0.0,4.32143,3.943,4.01582,0.0,0.0,126.0,58.71808,0.00025,0.28,1.446,-1.0,8.340369,0.8549019607843139,2.5418150381708746,0.005248156885133301,1.6670222645167634,543.4436223335789,0.029298047797433346,0.10397070649692063,33.132535957995756,93.284026454711,162.99298874178533,0.2643998081097975,69540.45502958355,5.128472222222222,0.13331597379452384,59913.53894278067,0.005384607425894028,0.1498624266781036,0.23340698535654547,0.10396039388510746,89.93843523749749,0.2222735632690749,0.1996602374010185
30,130,65.5465,4.29443,29,4.92688,0,105,131,7,125,5,0.98355,58.64063,0.0,0.0,4.14286,3.943,3.87887,0.0,0.0,126.0,58.6501,0.0003,0.29,1.552,-1.0,8.35754,0.854366274509804,2.534142596081298,0.005230190254065925,1.9330655705815984,542.9724172855794,0.02911398538081792,0.10356976868836777,32.98063132203655,93.91516471442792,162.23163296464293,0.26421552927551983,69639.49379918883,5.972222222222222,0.1331261843265639,59722.32809143814,0.005377986224572611,0.14980923614188724,0.23301162387651667,0.10395039345326762,89.92536541788844,0.2222376529236676,0.19966023740101693
31,131,65.4804,4.478,29,4.88132,0,105,131,7,125,5,0.98517,58.54199,0.0,0.0,4.57143,3.935,3.66082,0.0,0.0,126.0,58.64502,0.00025,0.29,1.503,-1.0,8.471015,0.8549019607843139,2.4763600671345767,0.005265459392769691,1.824871314378363,542.5100155599778,0.02901071046005481,0.10334858235152,32.91468773359134,89.52968508383024,162.44550794766357,0.2641321442549582,69531.5588733404,5.751109182098766,0.1329595385165828,59803.68131526043,0.005344515302835775,0.14973166952521366,0.23276820694642059,0.10392959965717091,89.96140563613261,0.22225610017873193,0.19966023740101516
32,132,65.4188,4.9093,29,5.02606,0,105,131,7,125,5,0.9861,58.46732,0.0,0.0,4.96429,3.928,3.82219,0.0,0.0,126.0,58.63099,0.00028,0.29,1.39,0.45795,8.514287,0.8546490196078432,2.47945869221058,0.0052701380852688984,1.672912607734764,542.0109175607993,0.02885489945465984,0.1032141351027966,32.904355649594905,93.6378208506707,162.62148202885083,0.26396869431374864,69556.19450395668,5.417004243827161,0.13280963690310338,59566.111122125,0.005358202152174571,0.14965925060469368,0.23250028028683817,0.10391709631583736,89.98502602468542,0.22230395494369037,0.19581919642195525
33,133,65.3823,5.52174,29,5.14995,0,105,131,7,125,5,0.98343,58.41373,0.0,0.0,4.17857,3.937,4.18897,0.0,0.0,126.0,58.72969,0.00027,0.29,1.423,-1.0,8.586986,0.8549019607843138,2.5128667095160933,0.0052722813286396625,1.630068786586155,541.5363035430586,0.028678945654460747,0.10319646071874891,32.87754388503086,93.65902390733388,162.3874070959851,0.26379815968937165,69481.88954180412,5.218894675925926,0.13266613895185467,59653.63435176134,0.005358952509704768,0.14954327774300016,0.23226748770909222,0.10388371960824931,89.99033775786982,0.22232725351613475,0.19360157037872602
34,134,65.3349,7.64078,29,4.87157,0,105,131,7,125,5,0.98197,58.36583,0.0,0.0,4.75,3.941,4.71845,0.0,0.0,126.0,58.79921,0.00028,0.29,1.43,-1.0,8.663491,0.8555349019607843,2.5584401807924717,0.005286264026102341,1.8094651114375913,541.025863411936,0.02845700641920957,0.10319408736083148,32.91882700978974,93.74434390410929,161.9032856160201,0.2636699065311066,69598.82494999954,5.124903549382716,0.13249910637298284,59463.145886128164,0.005336886304025596,0.14946370308261495,0.2320677539848915,0.10387411957200093,89.98188892719816,0.22231267744723895,0.19360157037872425
35,135,65.3007,8.59603,29,5.20504,0,105,131,7,125,5,0.98071,58.33355,0.0,0.0,4.28571,3.949,6.54668,0.0,0.0,126.0,58.88852,0.00025,0.29,1.415,-1.0,8.635951,0.8563454901960785,2.607527707596752,0.005296544471175841,1.6506482574620764,540.5537035156372,0.028250006830638545,0.10320487133261003,32.70121878164785,93.33135162892435,161.59526845997695,0.26351629632944196,69664.386736242,5.612316743827161,0.1323270444619041,59560.5121717449,0.005327667195003775,0.14944787415413543,0.23190938623668622,0.10390277352991682,89.97951504482108,0.22229855439776441,0.19360157037872483
36,136,65.1799,8.71493,29,5.38154,0,105,131,7,125,5,0.97904,58.22603,0.0,0.0,3.96429,3.931,7.37558,0.0,0.0,126.0,58.88707,0.00027,0.29,1.515,-1.0,8.553648,0.8566133333333333,2.6468049214927554,0.005275863702329002,1.6661529630188772,540.071335703559,0.028012939686479003,0.10298729011470067,32.64039611816406,93.85990937832975,161.67298608186718,0.26331911079766457,69507.58108521208,5.407407407407407,0.13214231807587207,59300.287031864165,0.005316705708441409,0.14947186992049452,0.23173935308366594,0.10389915000717306,90.00162207986313,0.2223056443347293,0.19906602629361833
37,137,64.9639,7.23413,28,6.32944,0,105,131,7,125,5,0.9786,58.01301,0.0,0.0,3.96429,3.945,7.47868,0.0,0.0,126.0,58.89116,0.00031,0.29,1.446,-1.0,8.520813,0.8571937254901961,2.6714077019583335,0.0052497620308425514,1.7764079626451792,539.5347740473343,0.027790976556201302,0.10265650514372228,32.458471415955344,92.97326642874835,161.58620370868024,0.2631775545583357,69479.6524402922,5.307822145061729,0.1319789506086585,58854.91307941216,0.005327510297957294,0.149518631339722,0.23164455848373275,0.10390797269000854,90.05743540619565,0.22234082493692084,0.19360157037872439
