,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.1.0,movement,noise,color_fulness,staticness,saturation,blur,cubrow.0.6,cubcol.0.3,cubcol.0,contrast,cubrow.1.0,cubrow.0.3,tone,fft,cubrow.0.5,temporal,cubcol.0.5,blockiness,uhdhdsim,cubrow.0,cubcol.0.6
0,200,66.6185,8.32807,31,0.0,0,106,131,7,125,6,0.98925,59.77329,0.0,0.0,4.17857,3.942,0.0,0.0,0.0,126.0,59.81163,0.0003,0.29,1.393,0.0,7.64932,0.00818047080274932,0.0,0.20734231935914457,160.10361635945227,535.5191879085734,31.329913480782213,60673.629985238505,0.1410291691993494,0.08045542045077529,0.007482810381847489,93.17960098853078,0.10779034316231,0.26785279003791646,0.8559952156862745,69686.6213592617,0.15236878907595974,0.0,0.2227132871074628,2.0834453029517284,89.7949971115631,0.10362949512337526,0.22038170726691228
1,201,66.6486,7.66046,31,5.60033,0,106,131,7,125,6,0.98408,59.79476,0.0,0.0,4.17857,3.958,7.13855,0.0,0.0,126.0,59.90448,0.00032,0.29,1.498,-1.0,7.568385,0.006489936349473863,1.1693190586419753,0.20793653046654323,161.8568081177925,535.2196585072712,31.459684395495756,60718.406562599994,0.1399513211030665,0.06575487262896997,0.005936680560581928,92.39683127779877,0.1065512277817186,0.26512506994574303,0.8566282352941178,69567.41286544324,0.15052371123679023,2.4211231658590315,0.22253146814190364,1.890283944907819,89.81626271496779,0.10313585768973525,0.22022177509286436
2,202,66.6646,6.80758,31,5.197,0,106,131,7,125,6,0.98578,59.80754,0.0,0.0,4.32143,3.95,6.56291,0.0,0.0,126.0,59.88159,0.00029,0.29,1.389,-1.0,7.594262,0.006222129397233328,0.8380111882716049,0.2079365304665407,160.22477270078085,534.0194844529393,31.344435703607253,60817.00486405888,0.13937628285176018,0.0613830930290579,0.00564628924075172,93.5213955787529,0.10409810772392769,0.26426155197972817,0.8554823529411766,69686.59242046096,0.15012169570539755,2.3358976484585265,0.2220237722108162,1.8263626904409824,89.8111258622845,0.10326719159467475,0.22017520435943094
3,203,66.6529,6.25167,31,4.90392,0,106,131,7,125,6,0.98524,59.80464,0.0,0.0,4.17857,3.927,5.82981,0.0,0.0,126.0,59.78946,0.00032,0.29,1.511,-1.0,7.522664,0.005891204054471799,0.6051311728395061,0.2079365304665426,161.44926216166428,533.4108653198974,31.560151276765048,60625.51240874499,0.13927122144818369,0.05900037975328535,0.005462424078937759,93.89822772144913,0.1014951896735459,0.2636710841168433,0.8551698039215687,69696.32604643975,0.14991852494703148,2.2659669016180257,0.22185593157737332,1.5672985371868755,89.78016876409202,0.10338198589845947,0.21962281225883518
4,204,66.6373,5.63484,31,4.42715,0,106,131,7,125,6,0.98197,59.78152,0.0,0.0,4.21429,3.937,5.35081,0.0,0.0,126.0,59.66639,0.00031,0.29,1.436,-1.0,7.549382,0.0057782832222410775,0.45457175925925924,0.21015415650977096,160.20754229848868,532.5407920861968,31.40802096143181,60580.249670118756,0.13903173863833576,0.05739396494653234,0.005260217546398146,93.04931082103167,0.10049448727597457,0.26335289655489585,0.8543215686274511,69653.01661305358,0.14966008294223143,2.195903354999005,0.22187181871308087,1.8405785979916154,89.77785196963586,0.10301304995438869,0.21947418247961523
5,205,66.7103,4.63605,31,4.56895,0,106,131,7,125,6,0.98711,59.86297,0.0,0.0,4.32143,3.92,4.82358,0.0,0.0,126.0,59.6408,0.00038,0.29,1.599,-1.0,7.467246,0.005632721356197395,0.3609182098765432,0.20793653046654806,161.35180175846378,531.9623335258061,31.596658777307578,60719.23703045746,0.13930062575225546,0.056565515880593546,0.005359444032756872,92.61659356704014,0.10137459357035011,0.2633422675084828,0.8543215686274511,69768.77540697355,0.14951505272890753,2.1477648848911755,0.22172120943954537,1.6320242583888407,89.75842245176948,0.10314298894289174,0.21917886998852637
6,206,66.6613,3.40089,31,4.06784,0,106,131,7,125,6,0.98852,59.81904,0.0,0.0,3.89286,3.945,3.95455,0.0,0.0,126.0,59.58031,0.00033,0.29,1.395,-1.0,7.453005,0.005608470424610631,0.28433641975308643,0.2079365304665437,160.84396790953338,531.308906485308,31.568704298984855,60638.657103703765,0.13947141971607632,0.05676910883277383,0.0053088762726945776,92.864780335396,0.10112314830146532,0.26319498796190804,0.8532650980392157,69761.1230150176,0.14954604538491578,2.088310220466129,0.2216670099854888,1.665825954422634,89.76637393510204,0.10317065616079733,0.2188988707178443
7,207,66.7583,2.67006,31,4.10945,0,106,131,7,125,6,0.98361,59.90646,0.0,0.0,4.07143,3.922,2.88701,0.0,0.0,126.0,59.6301,0.00032,0.29,1.457,-1.0,7.374148,0.005574075543975675,0.2158082561728395,0.21015415650977823,161.38841738473553,530.9515830118297,31.64063912850839,60856.154407919654,0.13982418209670028,0.05693475449907378,0.005340426663149487,93.80104404039554,0.10086797774982667,0.2630681305826823,0.8537929411764706,69794.4987493012,0.1492565911728473,2.0586986027550505,0.22177338946559003,1.7984516138937563,89.7667960775997,0.10311945876265362,0.21917956676140968
8,208,66.755,2.54305,31,3.74842,0,106,131,7,125,6,0.97949,59.91907,0.0,0.0,4.35714,3.94,2.24537,0.0,0.0,126.0,59.63521,0.00027,0.29,1.482,0.45486,7.425511,0.00560441910007342,0.18209876543209877,0.20793653046654484,161.147683949039,530.5470640856767,31.563298543294273,60812.22033168512,0.14003865756551553,0.05917971994211926,0.005354762585027636,93.82152961536129,0.10155551183126633,0.26324034132509827,0.8532203921568629,69770.24849293192,0.14922229145572066,2.0058137513982586,0.22173802188513483,1.5838775520679165,89.75155043792405,0.10319372939961725,0.22030429611217917
9,209,66.8166,2.56692,31,3.5756,0,106,131,7,125,6,0.97517,59.96728,0.0,0.0,4.28571,3.934,2.13424,0.0,0.0,126.0,59.70723,0.00027,0.29,1.366,-1.0,7.32314,0.0055882408173693575,0.16724537037037038,0.20955994540238687,160.80424556817448,530.3581551512596,31.583766607590665,60888.45166310025,0.1405385901551914,0.062457947980614104,0.00533585416129128,93.16857867064853,0.10194535340117042,0.26310118308688135,0.8543733333333334,69764.02242807363,0.1492147980801537,1.97752287162979,0.2218271044658166,1.7913592284713709,89.74741586619479,0.10330245105840341,0.22177083116780155
