,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0,cubcol.0,cubcol.0.3,cubcol.0.5,color_fulness,cubrow.0.6,movement,cubrow.0.5,uhdhdsim,staticness,fft,blur,cubcol.0.6,cubrow.1.0,noise,temporal,blockiness,tone,saturation,cubrow.0.3,contrast,cubcol.1.0
0,300,66.079,4.79321,30,0.0,0,106,131,7,125,5,0.98056,59.31494,0.0,0.0,3.32143,3.899,0.0,0.0,0.0,125.0,59.02064,0.00024,0.29,1.438,0.0,7.952982,0.10334065516169065,0.007835894406936562,0.11682969628040756,0.22286761371324482,161.77417249994875,0.13507642976767506,0.0,0.15179791265227036,89.82646139583329,541.0032892030856,69535.72668231999,59859.84950204757,0.22579165427540052,0.11563892546312106,0.20571890442331167,0.0,1.7648507912959488,0.8555725490196079,32.657009925371334,0.2631272793560334,93.9873268953452,0.007980350736649478
1,301,66.2217,4.89111,31,4.44572,0,106,131,7,125,5,0.98494,59.45323,0.0,0.0,4.14286,3.917,4.09477,0.0,0.0,126.0,59.06746,0.00025,0.29,1.415,-1.0,7.885417,0.10307983654252265,0.006364019167750344,0.09978540940093836,0.22227396123521379,162.10012663607267,0.13278103110631584,0.8928915895061729,0.15180335289955382,89.80751032837364,541.507375930866,69653.92912726107,60241.51957319119,0.2244914695662612,0.11166390875446675,0.20793653046654126,2.5844379545454483,1.7128866566470624,0.8556450980392158,32.60611960328655,0.2613226931053412,93.9585909186253,0.006448403866244997
2,302,66.1821,4.9104,31,4.82944,0,106,131,7,125,5,0.98548,59.41145,0.0,0.0,3.92857,3.902,4.1771,0.0,0.0,125.0,59.02137,0.00031,0.29,1.449,-1.0,7.91072,0.10260932927604362,0.005825016367212366,0.09940961507266902,0.2222790969598015,160.9414979940355,0.13290681236910518,0.9760320216049383,0.15147780305332986,89.80205809006249,540.8475330872512,69570.74112818025,60070.61325483321,0.22455552626707317,0.11057666208678019,0.20409548948747944,2.6740581035675244,1.5922564244566189,0.8549019607843138,32.60499911838108,0.2600588782675654,92.78623294804531,0.005904581927586317
3,303,66.2093,4.83744,31,5.04175,0,106,131,7,125,5,0.99362,59.42683,0.0,0.0,4.28571,3.898,4.19184,0.0,0.0,126.0,59.07711,0.00033,0.29,1.43,-1.0,7.879565,0.10295382284218237,0.005767364477156741,0.09981195835359358,0.22220903939132403,161.58519638425355,0.13271128412923033,1.0197723765432098,0.1517854644446747,89.82047835214047,540.9016129357107,69749.05919957685,60225.68756408129,0.2246286652961251,0.10670365243859757,0.20793653046654234,2.736247411532689,1.7231259220944455,0.8551698039215687,32.57926582995756,0.2598204749776889,94.11889079292233,0.005724269670425887
4,304,66.22,4.57377,31,5.12053,0,106,131,7,125,6,0.98597,59.44227,0.0,0.0,4.21429,3.906,4.12733,0.0,0.0,126.0,59.06783,0.00027,0.29,1.53,-1.0,7.890676,0.1029643952508364,0.005647518692964944,0.09918366455894206,0.2219627948316821,161.98648812765657,0.1324114619906435,1.06640625,0.15171347372177965,89.83733896732288,540.6109368092483,69582.5903041843,60094.64856862164,0.2250681486016974,0.10484137910287473,0.20793653046654195,2.7860758290018883,1.666964711221477,0.8558112745098012,32.685781031479074,0.2597468473874491,93.82855203059859,0.005741207846558893
5,305,66.3088,4.37197,31,4.81517,0,106,131,7,125,6,0.98542,59.53364,0.0,0.0,4.25,3.92,3.90516,0.0,0.0,126.0,59.10569,0.0003,0.29,1.478,-1.0,7.896131,0.1030401281963089,0.005543079169799017,0.09981927424663206,0.22189919676644132,161.71893305090106,0.1323190289361233,0.990258487654321,0.15203682444203806,89.82693819480774,540.6914183448355,69616.1152662681,60312.421799085256,0.22508561730944154,0.1038253062549393,0.20793653046654245,2.7516725296428253,1.7997850741585555,0.856047843137255,32.550389984507625,0.2603340218814188,93.55586816684469,0.0057548909119789025
6,306,66.2527,4.11333,31,4.76661,0,106,131,7,125,6,0.99006,59.46914,0.0,0.0,3.89286,3.916,3.72634,0.0,0.0,126.0,59.0831,0.00035,0.29,1.48,-1.0,7.956296,0.10304540485770476,0.005419104853066114,0.10158026988700374,0.22208923238528072,161.10407683028552,0.13200140635037885,0.9341242283950617,0.15179930140449058,89.8516219747375,540.5339172482608,69618.26689465182,60275.290788074424,0.22510525975459167,0.10394470811634281,0.2079365304665414,2.716041085758231,1.7073452414389374,0.8551698039215687,32.530222951630016,0.2606910549557808,91.39345701548515,0.005676239603939301
7,307,66.359,3.93384,31,4.47554,0,107,131,7,125,6,0.98367,59.57225,0.0,0.0,4.42857,3.935,3.50592,0.0,0.0,125.0,59.13536,0.00025,0.29,1.772,-1.0,7.921415,0.10299589614416489,0.0053888961966200135,0.10316392056675616,0.22206001985493953,161.87813267809588,0.13186989109371136,0.892602237654321,0.15182522309258992,89.82443143421102,540.5435256679696,69752.09582898606,60470.11109711907,0.2250926849077532,0.10522356200650523,0.20793653046654312,2.70448860531065,1.6461012295946607,0.8565082352941178,32.70890544373312,0.2612295256220588,93.71617333731386,0.005614316194506206
8,308,66.3863,3.87508,31,4.17849,0,107,131,7,125,6,0.99193,59.60348,0.0,0.0,4.46429,3.94,3.34585,0.0,0.0,125.0,59.13762,0.00026,0.29,1.553,0.4546,7.917505,0.10297620185526614,0.005339512821899904,0.10490381309027288,0.2220087461615691,162.1136718069965,0.13158213619645964,0.7634066358024691,0.15219315754976923,89.83109223433257,540.4726183589805,69675.57631513884,60409.787896656155,0.22495779537319888,0.1063929688915655,0.20793653046654212,2.666742017646838,2.30108959959318,0.8557501960784315,32.58793244538484,0.26175801629232104,94.15894811246369,0.005592207706156095
9,309,66.451,3.79949,31,4.4723,0,107,131,7,125,6,0.98653,59.66778,0.0,0.0,4.03571,3.939,3.30321,0.0,0.0,126.0,59.18043,0.00026,0.29,1.389,-1.0,7.907599,0.10301911246346321,0.005235004390541973,0.10658881177566548,0.22201919221752853,160.61570109100356,0.13147472936492643,0.7201003086419753,0.15255150499261474,89.80919073824695,540.5181920599908,69755.65229155587,60536.425024358374,0.2250412866012673,0.10703065603384422,0.20793653046654306,2.6518795139062634,1.7261914350853396,0.8554823529411766,32.530651704764665,0.2623288155921331,93.4176792993751,0.005630783548573708
