,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blockiness,blur,cubrow.0.6,tone,contrast,fft,cubrow.1.0,color_fulness,uhdhdsim,cubcol.1.0,cubcol.0,cubrow.0.5,temporal,cubrow.0.3,saturation,cubcol.0.3,movement,noise,cubcol.0.6,cubrow.0,cubcol.0.5,staticness
0,500,66.4226,2.04351,31,0.0,0,106,131,7,125,6,0.99202,59.61744,0.0,0.0,4.67857,3.995,0.0,0.0,0.0,125.0,58.97196,0.00026,0.29,1.504,0.0,8.433433,1.818525939541095,60397.10459295691,0.13206673768092075,0.8459498039215687,93.83708397343928,69574.5132997688,0.10298499034930458,161.99919427641004,89.81346700634695,0.008168420791119811,0.007112571045375455,0.160450998247853,0.0,0.2729209353550997,33.31674307364005,0.09555257225381511,0.0,0.1996602374010192,0.2234251120826966,0.10527859996634732,0.22193283264611258,559.8203241528595
1,501,66.4914,2.12299,31,3.06792,0,106,131,7,125,6,0.9862,59.68077,0.0,0.0,4.25,3.984,1.69998,0.0,0.0,125.0,58.99436,0.00025,0.29,1.412,-1.0,8.420371,1.7151759643122433,60573.85205237422,0.1319252525763965,0.8464784313725492,94.0822212833043,69601.58361119304,0.10120075468278333,162.20164387640332,89.78341675719466,0.006717656813606969,0.005730197526066315,0.1596644191884704,1.9336894610669946,0.27244497073074453,33.360467981409144,0.09549188104962857,0.04205246913580247,0.1996602374010211,0.22362196438038398,0.10458229501479482,0.22125608143046285,560.0642229298106
2,502,66.4321,2.15278,31,3.09074,0,106,131,7,125,6,0.98474,59.63603,0.0,0.0,4.5,3.988,1.77067,0.0,0.0,125.0,58.97269,0.0003,0.29,1.502,-1.0,8.514862,1.6637215276518282,60419.165130535344,0.130987314259535,0.8459498039215687,92.11219730797058,69616.12310114961,0.09916939984683648,161.6480909353303,89.78525391162248,0.006361364775972867,0.005582219673343466,0.15934014672693542,1.9417853842263468,0.2704248083400404,33.40865373022762,0.09580241445512427,0.07175925925925926,0.1996602374010196,0.22373387322347477,0.10469376970756111,0.22186875038024967,559.633692845281
3,503,66.5082,2.19312,31,3.11275,0,106,131,7,125,6,0.99,59.69516,0.0,0.0,4.17857,3.962,1.79594,0.0,0.0,126.0,58.97886,0.00027,0.29,1.427,-1.0,8.43379,1.6483283082373439,60579.37465477055,0.1312329388146773,0.8455172549019607,93.900597680105,69611.75358503958,0.09788113749602852,161.59418204287454,89.79492707780491,0.006207051501131189,0.0053837246048011,0.15901714524910804,1.961456171772902,0.2701693569982711,33.39670063536844,0.09569867889897167,0.08748070987654322,0.19966023740101999,0.22337272490607313,0.10446525081748478,0.2224135788356331,559.7285115417671
4,504,66.4565,2.26661,31,3.00708,0,106,131,7,125,6,0.9904,59.65942,0.0,0.0,4.46429,3.973,1.82964,0.0,0.0,126.0,58.94923,0.00026,0.29,1.466,-1.0,8.426108,1.526176755193135,60466.50885409372,0.1308202754379392,0.8450788235294118,93.30008861421014,69628.71282289733,0.09702896130140662,161.0514569587096,89.784098899436,0.005987873558047591,0.005439212636822462,0.1592703539892676,1.9867665164391164,0.26950546114539514,33.393822564019096,0.0956415982702705,0.09717399691358025,0.1996602374010192,0.2235183097240545,0.10464900650891996,0.22232507079844815,559.5651259383541
5,505,66.489,2.42906,31,2.88385,0,106,131,7,125,6,0.99058,59.6957,0.0,0.0,3.92857,3.968,1.89459,0.0,0.0,126.0,58.96996,0.00023,0.29,1.404,-1.0,8.503468,1.6169940146197985,60458.92855008784,0.13103195211944546,0.8462482352941177,94.2899352607483,69667.50722323633,0.0966416361860919,161.89947874528286,89.76833981688932,0.005888950010630218,0.005367843500290592,0.1593430197357732,1.9738787790575134,0.26928304392896446,33.40093843436536,0.09525320377387136,0.12823109567901234,0.19966023740101946,0.22313802792757767,0.1046207783922053,0.22223526080838232,559.6202568381085
6,506,66.4871,2.39509,31,3.18361,0,106,131,7,125,6,0.98996,59.68701,0.0,0.0,4.03571,3.988,2.03926,0.0,0.0,125.0,58.93787,0.0003,0.29,1.463,-1.0,8.413451,1.754452795532716,60434.425934527695,0.13077802578585815,0.8457196078431373,94.03010519880269,69649.89323168619,0.09653799800547827,161.94497090845363,89.76962873210482,0.0058138085281011324,0.0053498385771935785,0.1592953255870129,2.0465780479944864,0.2688964171067235,33.46157780400029,0.09483595633742253,0.17163387345679013,0.19966023740101937,0.22297477806266292,0.10456228843841454,0.22243643754305223,559.5542028707014
7,507,66.534,2.39559,31,3.20193,0,106,131,7,125,6,0.9798,59.73231,0.0,0.0,4.25,3.973,2.01236,0.0,0.0,126.0,58.94568,0.0003,0.29,1.504,-1.0,8.392085,1.7750069700811155,60500.65456557067,0.13076099186988302,0.8459576470588237,93.51286770173236,69621.53621252504,0.0966503294626231,161.66895890080573,89.77512261365356,0.005670520158957016,0.005335868035441124,0.1592935899600114,2.0433589295619545,0.26848344221339276,33.56116984803,0.09440022074063063,0.1705246913580247,0.19966023740102123,0.22300682078482437,0.1043691048174101,0.2225740978444529,559.5186503851178
8,508,66.4796,2.48409,31,3.27151,0,106,131,7,125,6,0.98675,59.68834,0.0,0.0,3.75,3.96,2.00966,0.0,0.0,126.0,58.91838,0.00028,0.29,1.443,0.46605,8.445965,1.7855014897676766,60369.75505786181,0.13079578495455532,0.8454290196078432,93.95011068154548,69505.39877877478,0.0965885555953732,161.866495660047,89.77168577151306,0.005602427960183601,0.005255046252007199,0.15941217728727747,2.0520773798246656,0.26844657858006626,33.451901659553435,0.09414012814687812,0.16314621913580246,0.19966023740101954,0.22303999240178157,0.10430497350736267,0.22243984469651004,559.4092244396144
9,509,66.4989,2.63341,31,3.3592,0,107,131,7,125,6,0.98968,59.70003,0.0,0.0,4.03571,3.982,2.09067,0.0,0.0,126.0,58.92846,0.0003,0.29,1.412,-1.0,8.51464,1.701727557108901,60375.73959273928,0.1306610622630971,0.8459576470588237,94.26834197682355,69653.66760345861,0.09718386581783688,161.66332791963524,89.7763928903253,0.005494937207301597,0.005213661191625079,0.1595757952881015,2.0776604090191837,0.26838161813918127,33.470112176589026,0.09389094799848281,0.1865354938271605,0.19966023740101915,0.2232239574888177,0.10424279770042237,0.2224021387004278,559.3673546632025
