,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,color_fulness,cubrow.0.3,temporal,uhdhdsim,movement,cubcol.0,cubcol.0.5,noise,staticness,cubrow.0,blur,cubcol.0.6,cubcol.0.3,tone,contrast,fft,cubcol.1.0,cubrow.0.5,blockiness,saturation,cubrow.0.6,cubrow.1.0
0,0,64.8157,2.91561,29,0.0,0,105,132,6,125,5,0.99364,57.9263,0.0,0.0,3.92857,3.922,0.0,0.0,0.0,126.0,58.20522,0.00032,0.28,1.454,0.0,8.35628,161.43245222079938,0.26359650839157983,0.0,89.55589956311991,0.0,0.008402902803559133,0.221004525253028,0.19966023740101743,531.3449940937354,0.10358531616716352,59064.639113472294,0.23262291639745006,0.045026025822851465,0.8535627450980392,93.30130625015185,70340.76072020852,0.007914273397260323,0.14535423405382203,1.5841199167256925,33.035013457875195,0.1360974589543824,0.12202950850840817
1,1,64.8141,2.86919,29,3.75093,0,105,131,6,125,5,0.98616,57.9159,0.0,0.0,3.25,3.943,2.46195,0.0,0.0,126.0,58.26048,0.00035,0.29,1.461,-1.0,8.322949,162.20038821086422,0.26280002948679587,1.9800975718466305,89.57382231807398,0.28650655864197533,0.006258969517544903,0.22246111778542935,0.19966023740101743,531.4093177494565,0.10291395311506761,59045.204815684716,0.23014049357339236,0.03768794850426052,0.8540913725490198,92.58383640377694,70326.64028045397,0.0063077131686914605,0.14396478604994276,1.6719371129746206,33.130898746443386,0.13569049482719944,0.11195908108495645
2,2,64.8494,2.9158,29,3.40261,0,105,132,6,125,5,0.98611,57.94767,0.0,0.0,3.21429,3.923,2.42316,0.0,0.0,126.0,58.25612,0.0003,0.28,1.595,-1.0,8.331921,161.93170457653162,0.2619556784949807,1.9761896063086417,89.5698120305162,0.3146701388888889,0.006026500730765604,0.22247547544170193,0.19966023740101332,530.8538043199611,0.10324413056736982,59209.01549768448,0.2296828013717685,0.03512262338673436,0.8532721568627452,93.71261566702182,70381.92826787052,0.006004432620588397,0.14386786415304792,1.793981530071185,33.01888435269579,0.13590744848297878,0.11144954551008683
3,3,64.85,3.04917,29,3.4213,0,105,132,6,125,5,0.9877,57.94552,0.0,0.0,3.39286,3.924,2.46243,0.0,0.0,126.0,58.32303,0.00032,0.28,1.448,-1.0,8.234625,162.29563780855347,0.2615909376114967,1.992215834846508,89.55838936825921,0.31852816358024694,0.0059042724297793114,0.2216741985025146,0.19966023740101826,530.716290177866,0.10305912389866659,59187.66469102314,0.2297800510124845,0.03433484991600828,0.8546639215686276,93.83454550119993,70407.03326392994,0.00563364164350772,0.14348845286656686,1.9599505771657217,33.091805917245374,0.13615847170616036,0.10796486497901887
4,4,64.8468,3.04404,29,3.36087,0,105,132,6,125,5,0.98962,57.94469,0.0,0.0,3.60714,3.932,2.57986,0.0,0.0,126.0,58.32474,0.00035,0.28,1.435,-1.0,8.317436,162.1612560263048,0.26185240627384665,2.0303351057690224,89.53927088536936,0.3314043209876543,0.00574828022874895,0.22138715742211854,0.19966023740101693,530.3165211404835,0.1028771100351989,59095.816246080976,0.22967967529064234,0.0332893471242642,0.8532203921568629,93.94816950238034,70478.06317362508,0.005602481384964438,0.14360303931552187,1.9854491303654294,33.00801952974296,0.13668941931436107,0.10752089379016146
5,5,64.8881,2.78135,29,3.41019,0,105,132,6,125,5,0.98979,57.97673,0.0,0.0,3.28571,3.945,2.57212,0.0,0.0,126.0,58.39869,0.00035,0.28,1.472,-1.0,8.268617,162.38367630871394,0.26125087911507183,2.048718452931665,89.56141126970864,0.3119212962962963,0.005537633492819282,0.22148536669967178,0.19966023740101746,530.0865891498373,0.10293952567878115,59261.91914881391,0.22928159842374513,0.032519809370049904,0.8549019607843139,93.86136717888593,70355.69536409734,0.005562317926276345,0.14355513774595283,1.8433190752626933,33.056347882306135,0.13671452494552733,0.1065836498094904
6,6,64.9003,2.63241,29,3.33538,0,105,132,6,125,5,0.98245,57.98697,0.0,0.0,3.39286,3.96,2.34599,0.0,0.0,126.0,58.41344,0.0004,0.28,1.523,-1.0,8.248766,162.9829551747407,0.2611601578620087,2.0120089804975723,89.5345191965875,0.2464795524691358,0.005361027424678937,0.22139187438565738,0.19966023740101826,529.7238566156183,0.10290761748474932,59248.475360270786,0.22910278858765717,0.03155776766749197,0.854366274509804,93.84013591258056,70545.07813855902,0.005587620326644332,0.14342692194699003,1.8169836770434977,33.12661799678096,0.13737854397725663,0.10718222787031907
7,7,64.8903,2.69604,29,3.53088,0,105,132,6,125,5,0.97685,57.96025,0.0,0.0,3.14286,3.936,2.21618,0.0,0.0,126.0,58.4633,0.00036,0.28,1.467,-1.0,8.238105,162.80423536779315,0.2607898309816293,1.9673199702199786,89.55124721491016,0.1970486111111111,0.005386725112774266,0.22151872725980154,0.19966023740101732,529.5307847876711,0.1027988927139148,59243.81852999498,0.2288233612725832,0.030703159551106755,0.8539933333333333,93.71495094674363,70450.10266716046,0.0055350468165761245,0.14371254938897796,1.5448993497949357,33.01136516053,0.1375005827355902,0.10691996376321024
8,8,64.8713,2.72876,29,3.49771,0,105,131,6,125,5,0.988,57.95713,0.0,0.0,3.89286,3.944,2.27411,0.0,0.0,126.0,58.49614,0.00036,0.28,1.534,0.45962,8.219488,162.39064650373663,0.2607224630349146,1.9600712999859997,89.5717143764516,0.1806520061728395,0.005331290948848632,0.2215568575032877,0.1996602374010179,529.2193066615757,0.1028071317744251,59064.17482829618,0.2288106236189585,0.030045683285180674,0.8540913725490198,93.65022505326915,70427.37283003541,0.005551595498057064,0.14353831994320215,1.7611936684402736,33.06447648413388,0.1378618376085404,0.1070428978262796
9,9,64.9485,2.82387,29,3.77546,0,105,132,6,125,5,0.99275,58.01272,0.0,0.0,3.60714,3.935,2.30112,0.0,0.0,126.0,58.54962,0.00033,0.28,1.405,-1.0,8.275175,162.47474156716856,0.2606504367984221,1.9726588506634448,89.55592296702915,0.18764467592592593,0.005297965630512348,0.22145992019352573,0.19744261135778782,529.0007001685477,0.10276116677574279,59325.043755219565,0.2284061898159893,0.029500883890972936,0.8534952941176471,93.77342038546438,70561.67093681851,0.0055530441817298526,0.14360096717703766,1.6874609212533753,33.0588727409457,0.13790976821085577,0.10602289817742558
