,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,saturation,cubrow.0.6,cubcol.0.5,tone,fft,blockiness,cubcol.0.6,cubcol.0.3,cubcol.1.0,movement,blur,cubcol.0,cubrow.0,cubrow.0.3,staticness,uhdhdsim,contrast,noise,temporal,cubrow.0.5,cubrow.1.0,color_fulness
0,500,65.4694,1.77899,30,0.0,0,106,131,7,125,5,0.99083,58.55266,0.0,0.0,3.96429,4.011,0.0,0.0,0.0,125.0,58.8955,0.00037,0.29,1.528,0.0,8.449144,33.27523087866513,0.12885023716058733,0.22003480042602774,0.8451839215686275,70590.84882717523,1.7467084379626334,0.22593531374711093,0.09350957968645457,0.00792644223645513,0.0,60377.9397089275,0.007163608671630535,0.10382352485435828,0.2701020286713959,558.872055361334,89.48366679030342,93.6544100517992,0.19966023740101793,0.0,0.15371443198878232,0.10244486171234493,162.03167275526653
1,501,65.5216,1.86366,30,2.81381,0,106,131,7,125,5,0.98538,58.59646,0.0,0.0,2.85714,3.972,1.46302,0.0,0.0,125.0,58.91768,0.00038,0.28,1.427,-1.0,8.433238,33.32055230788243,0.1289511891918576,0.2192518717324454,0.8448486274509804,70575.33660066544,1.583520403140018,0.2262177879998431,0.0931632960778048,0.006605342915253484,0.04152199074074074,60476.430887272654,0.005659922266206698,0.10277404738705678,0.2693199332813789,559.1088985192919,89.45469522174716,94.1231327806438,0.1996602374010187,1.7817379845610217,0.15287573934918564,0.1012702272070358,162.23191326512705
2,502,65.4617,1.90581,30,2.85229,0,106,131,7,125,5,0.98614,58.55159,0.0,0.0,3.5,4.026,1.54054,0.0,0.0,126.0,58.89601,0.00039,0.29,1.515,-1.0,8.533575,33.366873847113716,0.12811646600014354,0.21972389670061043,0.8448486274509804,70516.80141291939,1.735229487535386,0.2265242983933441,0.09315371858429643,0.006298635043091366,0.0660204475308642,60361.75005925065,0.005597251501676026,0.10305229401477886,0.26709995117294494,558.6852871234465,89.46132111238008,93.43001250732972,0.19966023740101793,1.7936427248861566,0.1528463165868263,0.09968992434034825,161.68930201105508
3,503,65.5375,1.95304,30,2.94809,0,106,131,7,125,5,0.99046,58.60107,0.0,0.0,4.17857,3.971,1.57636,0.0,0.0,126.0,58.90129,0.00033,0.28,1.447,-1.0,8.439437,33.358176902488424,0.12827946226045023,0.22037638896424022,0.844810980392157,70593.136733299,1.7725411123568529,0.22601784846773096,0.09320960272441639,0.006164207260486767,0.07918595679012345,60517.722744312974,0.005425777202381697,0.10281742084901538,0.2670545762072825,558.7970679763151,89.4620645227956,94.15595090731664,0.19966023740101854,1.8182914868983908,0.1523387954042659,0.09839064445272945,161.64860363155216
4,504,65.478,2.0254,30,2.81383,0,106,131,7,125,5,0.99206,58.56658,0.0,0.0,3.42857,3.966,1.61819,0.0,0.0,126.0,58.87184,0.00038,0.29,1.483,-1.0,8.452608,33.356778556917924,0.12790975621338033,0.22014541150390826,0.8448486274509804,70621.90162768788,1.5340209767469768,0.22631015966014761,0.09310897955870157,0.005949506511923904,0.08728780864197531,60401.10791799814,0.005457802502560449,0.10298112284171532,0.26609615122529234,558.6387726396118,89.45893917861014,94.17363315881383,0.19966023740101813,1.8428681541807097,0.15252664172916788,0.09731980797935016,161.10480760940243
5,505,65.5083,2.20172,30,2.69551,0,106,131,7,125,5,0.99143,58.59696,0.0,0.0,3.53571,3.96,1.68052,0.0,0.0,126.0,58.89272,0.0003,0.28,1.414,-1.0,8.52663,33.36172259295429,0.1281108917701754,0.21995218383175313,0.8448486274509804,70643.6263417516,1.5476943807627261,0.22597981580879264,0.09279001421729638,0.0057943673822329934,0.11222029320987655,60382.373478057176,0.005405763848303104,0.10299766811837256,0.2657617616243401,558.6933904573068,89.44119988161034,94.15108413653705,0.19966023740101793,1.8323948478271874,0.15271185138616306,0.09637829435320795,161.95321165774328
6,506,65.5011,2.17352,30,2.97342,0,106,131,7,125,5,0.99158,58.58212,0.0,0.0,3.21429,3.976,1.83936,0.0,0.0,125.0,58.86119,0.00025,0.28,1.476,-1.0,8.466383,33.41843838161893,0.12791207182500053,0.2202662454325389,0.8448486274509804,70566.84790562016,1.8234261596319004,0.2258098102097391,0.09233281214089867,0.005764818024514715,0.1513792438271605,60370.8324941699,0.0053799617411185545,0.10295721609470986,0.26535554161916836,558.6288738838939,89.43900170409128,93.99673001576294,0.19966023740101765,1.9047187400380832,0.1527033755593185,0.09598174646885409,161.96664276937622
7,507,65.525,2.17474,30,3.04665,0,107,131,7,125,5,0.9829,58.61172,0.0,0.0,3.0,3.971,1.81733,0.0,0.0,126.0,58.86832,0.00032,0.28,1.522,-1.0,8.43237,33.51972867235725,0.12792911184732023,0.22047265037916244,0.8448486274509804,70610.11218353693,1.7127877006133214,0.2256782876985904,0.09184456248142905,0.0056063188248547296,0.13951581790123457,60408.19802983911,0.0053655222757724485,0.10273132493873614,0.265001512502489,558.6054587962385,89.45431274806788,94.10962616248422,0.19966023740101824,1.8989160173359594,0.15280263910084763,0.09542444980673047,161.69204155564313
8,508,65.4872,2.24163,30,3.09385,0,106,131,7,125,5,0.98788,58.57728,0.0,0.0,3.17857,3.95,1.81692,0.0,0.0,126.0,58.84088,0.00035,0.28,1.441,0.46785,8.485539,33.40557183159723,0.12789367478380928,0.22030473906712766,0.8448486274509804,70451.6427224451,1.725357541566622,0.22565087050392682,0.09148018191298236,0.005563346428691073,0.1392746913580247,60292.467845222876,0.005291804631094779,0.10267920667362505,0.26491420053005327,558.5075954864583,89.45179817732478,92.82650819314067,0.1996602374010171,1.9121312247001383,0.15287678269412383,0.09504814854020406,161.89437711693827
9,509,65.4927,2.34504,30,3.10362,0,107,131,7,125,5,0.9916,58.58495,0.0,0.0,3.5,3.976,1.87788,0.0,0.0,126.0,58.85105,0.00039,0.29,1.404,-1.0,8.547104,33.43294082453222,0.1278599303689365,0.22039530295151177,0.8448486274509804,70567.0216670432,1.6103377410395003,0.22587865520820435,0.0912432886190466,0.005486149185707253,0.1558159722222222,60263.005291172674,0.005250097319919241,0.1025399463375803,0.26476601046446496,558.4625330366416,89.45988335881326,94.19636929296196,0.1996602374010178,1.9317025469616877,0.1529948485925148,0.09540366325254789,161.69810650532511
10,510,65.5434,2.34686,30,3.07682,0,106,131,7,125,5,0.98828,58.63134,0.0,0.0,3.35714,3.963,1.96784,0.0,0.0,125.0,58.87022,0.00037,0.28,1.393,-1.0,8.479347,33.58458059805411,0.12790619249730545,0.22054192195169933,0.8459498039215687,70515.31654484183,1.7826086815064166,0.22586747706173615,0.09112013379415894,0.005560546628890426,0.5257523148148148,60463.89199432343,0.005172455991588178,0.10247182580161643,0.2646443657862019,558.3556640336988,89.43187769912741,94.06369371678235,0.19966023740101857,1.9713362805384267,0.1531755950225552,0.09571292443869664,162.7236155586666
