,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,temporal,cubrow.0,cubrow.1.0,contrast,cubcol.0.3,tone,staticness,color_fulness,cubrow.0.3,uhdhdsim,cubcol.0.5,cubrow.0.6,cubrow.0.5,movement,cubcol.1.0,cubcol.0,noise,blockiness,cubcol.0.6,saturation,fft,blur
0,0,56.7427,12.82,81,0.0,0,89,124,31,128,22,0.98731,62.48493,0.0,0.0,0.03571,4.056,0.0,0.0,0.0,116.0,34.66167,0.00779,2.15,1.256,0.0,0.0,0.0,0.23525610959798768,0.1215932927659805,84.14484690202327,0.27834590420178357,0.4203909364521338,234.63423388185268,146.31160675945574,0.2020936566191421,83.29670688500819,0.1982863381454417,0.19706209940362512,0.198548646446475,0.0,0.11639388260346306,0.28618628979673205,2.1990744485618308,7.546343848394432,0.20338564954534064,36.36253281581549,69504.3708248816,17227.414719562792
1,1,56.7314,13.4332,81,17.1619,0,89,124,31,128,21,0.98814,62.50152,0.0,0.0,0.0,4.069,11.0079,0.0,0.0,116.0,34.69314,0.00842,2.15,1.163,-1.0,0.0,5.9070098799181485,0.17510381114911117,0.09911896905859771,83.96749006105611,0.2518275774195373,0.42265020373702433,229.6584698081435,146.27452156215884,0.17414354473611157,83.29065503733614,0.18097668344247247,0.18795478029919613,0.1922588982415376,3.334056712962963,0.11288330111526396,0.23213402262678134,2.196856822518601,7.029847971556661,0.19698433757355147,36.38413605866609,69196.64737695671,17140.531368959364
2,2,56.8925,12.9312,81,18.4603,0,89,124,31,128,21,0.98565,62.65039,0.0,0.0,0.0,4.07,11.5345,0.0,0.0,116.0,34.73903,0.0084,2.16,1.185,-1.0,0.0,6.156222700008404,0.15365929757028737,0.09318632494338235,90.10195173527427,0.24931857819890452,0.4236075048058439,226.13689606534138,146.14097827550123,0.16305690051018587,83.26809162875267,0.17440664039021742,0.18410369085034894,0.1919503458682444,3.363474151234568,0.10928703084247154,0.2058678727111605,2.2006978634976617,7.006527383894703,0.19233523084746393,36.422850808979554,69471.08529821038,17370.04967329735
3,3,56.9566,12.8131,82,17.5424,0,89,124,31,128,21,0.98057,62.7377,0.0,0.0,0.0,4.029,11.10242,0.0,0.0,115.0,34.7853,0.00782,2.16,1.25,-1.0,0.0,5.881660305678056,0.14000943570789698,0.08977653124033229,83.8480258562683,0.24577927879114464,0.4267585263360245,223.36361408019903,145.69173828685587,0.15900689471582394,83.2296162282745,0.17801985077087798,0.18339640730588364,0.19389530482265027,2.9192226080246915,0.10849810244666519,0.20386230107853184,2.201292074605059,6.684462482041692,0.19681669355877748,36.06266426745756,69618.19744670842,17356.809762272704
4,4,56.891,12.588,81,17.5325,0,89,124,31,128,22,0.98486,62.69797,0.0,0.0,0.03571,4.042,10.99982,0.0,0.0,116.0,34.81261,0.00825,2.16,1.184,-1.0,0.0,5.7031814466737005,0.1318173035862286,0.08640373919109696,88.80554945137862,0.23997710746760212,0.4298759680492119,221.20303101396485,145.59019486833574,0.15734253588566055,83.25319319333221,0.1801429366786105,0.18405033049192984,0.19528688456556131,2.728395061728395,0.10838586823458987,0.2023980414944549,2.2029154895408927,5.983147649351617,0.19423613908003828,36.262744856469425,69492.0638930225,17213.772995516672
5,5,56.9805,12.8906,82,16.7423,0,89,124,31,128,22,0.98976,62.78356,0.0,0.0,0.0,4.056,10.80532,0.0,0.0,116.0,34.83739,0.00769,2.15,1.201,-1.0,0.0,5.584473623078735,0.126626269989825,0.08404294179986246,80.3796281944291,0.23923912738502232,0.43064625483737007,219.57757224431626,146.18634538313984,0.15657669899381374,83.20373217217701,0.17908494054458976,0.18400993363218907,0.1963873047085572,2.5385802469135803,0.10805967532301745,0.20579127405967237,2.2023212784334962,5.095452887358951,0.19672436911446903,36.19477580506125,69815.50370152372,17483.211676338968
6,6,56.9214,12.5964,81,17.3239,0,89,124,31,128,21,0.98488,62.75274,0.0,0.0,0.03571,4.015,11.06914,0.0,0.0,116.0,34.88236,0.0077,2.13,1.199,-1.0,0.0,5.843870058294456,0.12654667683775297,0.08314642668742783,89.08117006768839,0.23667657370163264,0.4306568767212608,217.98855237160427,145.42761143884138,0.15838711046929044,83.21162614265904,0.1790916084663064,0.18482440231902716,0.19688477961547374,2.3724440586419755,0.10759180297173243,0.20443972254470594,2.200697863497662,5.8211639858350885,0.19763414721257866,36.033622270748936,69764.48986097243,17490.05318387697
7,7,56.9618,13.0338,82,18.093,0,90,124,31,128,21,0.98724,62.77811,0.0,0.0,0.07143,4.002,10.82345,0.0,0.0,116.0,34.87932,0.00766,2.16,1.28,-1.0,0.0,5.819565929519546,0.12727769778850098,0.08382060947837126,88.52845745120379,0.24128869955894486,0.436163463726259,216.53597040342027,145.62320700173518,0.15968479246232836,83.17589714203196,0.18569964935206837,0.18523999396694937,0.19746327324872723,2.189911265432099,0.10682881989947271,0.20415897292670254,2.2083799454557913,6.179274631994886,0.19755477669976082,35.915971920814044,70104.10837041805,17432.11032649817
8,8,56.8026,12.7141,81,17.8265,0,90,124,31,128,21,0.98894,62.64445,0.0,0.0,0.03571,3.994,11.19816,0.0,0.0,116.0,34.90404,0.0081,2.14,1.226,0.125,0.0,6.140081989284324,0.12998624497094297,0.08395858801018463,88.43847371819629,0.23340450968015553,0.43654159780392143,215.05042314544454,145.7155209896056,0.15914033432910613,83.23164202066359,0.1863606667419726,0.18425202542458688,0.19821233628678944,2.2215470679012346,0.10606995464711343,0.19793199692723829,2.2029154895408958,5.744634588502203,0.1962034113772244,36.09794767403308,69921.90509520182,17300.73821273152
9,9,56.86,12.8609,82,17.2703,0,90,124,31,128,21,0.9832,62.69641,0.0,0.0,0.0,3.987,10.91707,0.0,0.0,117.0,34.92978,0.00847,2.14,1.168,-1.0,0.0,6.1593376691101565,0.1294882702467405,0.08434800017152375,87.20339251686823,0.2315913637777164,0.43835447584467524,213.5823932506046,145.61974842798486,0.1588653303544509,83.20149915619785,0.1904304551233447,0.18340870514883997,0.1986494483897802,2.048514660493827,0.10601671831658395,0.19864975045409353,2.200697863497664,6.156074501404258,0.1949816659126131,36.126452410662615,69703.0590186816,17164.82368262804
