,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.3,cubcol.1.0,blockiness,fft,saturation,color_fulness,cubcol.0,cubrow.1.0,cubrow.0,cubrow.0.3,cubcol.0.5,cubcol.0.6,cubrow.0.5,temporal,tone,uhdhdsim,movement,noise,cubrow.0.6,contrast,blur,staticness
0,0,57.4376,12.1279,67,0.0,0,88,123,19,128,11,0.99229,57.63964,0.0,0.0,0.03571,4.135,0.0,0.0,0.0,115.0,34.39296,0.00269,0.55,1.175,0.0,0.144601,0.25635173128175603,0.09502230068965536,6.249312991852688,69508.2402285797,39.908140394422745,152.08716523122402,0.2632815439578676,0.1014818273718747,0.22529207131878862,0.17867970637565644,0.17599525692972098,0.17577817269598012,0.1876249337143484,0.0,0.3484309038615917,84.43649264329963,0.0,0.8361813739526317,0.1753104649511907,85.36946466287135,16625.068041728457,228.80936925142268
1,1,57.4326,12.6999,67,18.9845,0,88,123,19,128,11,0.99273,57.6602,0.0,0.0,0.07143,4.168,10.41051,0.0,0.0,115.0,34.42354,0.00299,0.55,1.213,-1.0,0.157628,0.23176763690376903,0.09233287875946716,5.824853331974453,69145.92449648996,39.92747252664448,151.95076322515936,0.21262652257514392,0.08504657561529527,0.16674180191368027,0.14993071574501848,0.1600550220456657,0.1705235617737162,0.18359335715196412,4.61660277204303,0.35200893337023603,84.42362413048073,3.1712480709876543,0.8329345440809668,0.1668058575845135,86.70658812253208,16536.21284665795,225.92182761796087
2,2,57.5971,12.2452,67,20.3619,0,88,123,19,128,11,0.98684,57.80537,0.0,0.0,0.03571,4.157,10.90032,0.0,0.0,114.0,34.46969,0.00291,0.55,1.239,-1.0,0.136195,0.23033735062856264,0.08917747837953136,5.856672747706421,69458.23619663343,39.96684510030864,151.822970307845,0.184708062808666,0.08049138101725643,0.14456753334013053,0.13844589423760764,0.15283462210897078,0.16688672069606023,0.18409483554741965,4.854921853511517,0.3537959773502498,84.39908717643024,3.218846450617284,0.8378047888884649,0.16374336831131772,78.18891783823268,16774.40321064694,223.6956625810385
3,3,57.6474,12.1448,67,19.3324,0,88,123,19,128,11,0.98389,57.8748,0.0,0.0,0.32143,4.128,10.50768,0.0,0.0,114.0,34.51605,0.00297,0.56,1.183,-1.0,0.142708,0.22860668015157465,0.08839849400976013,5.4135468518316845,69622.65675061948,39.55241431718991,151.34239336056785,0.18466650074007046,0.07797294020373276,0.13150504885008757,0.13498749220164782,0.15707868093197175,0.17199721999446035,0.18691893504493318,4.60846152540876,0.3561766078769703,84.35812791551129,2.8234953703703702,0.8378047888884651,0.163200903658021,88.02916825171313,16751.732056093515,221.7456214048706
4,4,57.5784,11.9257,67,19.6983,0,88,123,19,128,11,0.98966,57.82307,0.0,0.0,0.03571,4.146,10.42234,0.0,0.0,114.0,34.54349,0.00289,0.55,1.218,-1.0,0.133258,0.22344654672107844,0.08821796232918853,4.720061004067857,69496.69183886456,39.758324517144096,151.28530126432068,0.182019559877935,0.07515990178063531,0.12233759920012421,0.13340766206546673,0.15938072148276414,0.1687376757439601,0.18849952515098245,4.449649259944275,0.35682014724798145,84.39000964967488,2.653163580246914,0.8378047888884653,0.16376240594768843,88.30674515804108,16603.579835508393,220.17612872019976
5,5,57.6769,12.2081,67,18.612,0,88,123,19,128,11,0.99893,57.91464,0.0,0.0,0.07143,4.127,10.23427,0.0,0.0,114.0,34.56764,0.00311,0.56,1.258,-1.0,0.14543,0.2233197298053241,0.0882349897094558,4.944328804256587,69882.58681878413,39.7149341724537,151.85612783863908,0.18663321551177223,0.0724681250475741,0.11716608805187097,0.1330691247902275,0.1582297590300345,0.17110039417315828,0.18974679314417997,4.322846422157236,0.3543843984190695,84.32553524484634,2.4769000771604937,0.8378047888884669,0.16370842687338155,83.54835301573004,16905.773472536865,218.96212410078576
6,6,57.6114,11.9098,67,19.3136,0,88,123,19,128,11,0.99067,57.87309,0.0,0.0,0.14286,4.124,10.47726,0.0,0.0,114.0,34.61369,0.00283,0.55,1.294,-1.0,0.140601,0.2210697498918497,0.08808830592277829,5.003966762958873,69322.22607357279,39.49800053349248,150.99288579621015,0.18559077881637562,0.07167598290540154,0.11699323587396156,0.13532428705616836,0.158744165196445,0.17167369864138937,0.19041549677379865,4.572953313360288,0.36029990702652814,84.33753251923484,2.3307773919753085,0.838239781609499,0.1644770619024907,76.26470645832356,16894.312117858233,217.75212884468604
7,7,57.6443,12.2881,67,19.8665,0,88,123,19,128,11,0.99174,57.90175,0.0,0.0,0.07143,4.093,10.22965,0.0,0.0,114.0,34.6083,0.00272,0.56,1.185,-1.0,0.153039,0.22619948605057733,0.0875614954024679,4.644367128414671,70156.47304484036,39.3688774579837,151.3213452147179,0.18473703095392413,0.07249254324573484,0.11814609612528572,0.1370496084697961,0.16559091604154927,0.17175212117506472,0.1908268743486264,4.538134935425525,0.3576542482306806,84.29365661847241,2.146315586419753,0.8444576670181507,0.16470780771363852,86.94413503888586,16824.123294418187,216.64650322766914
8,8,57.485,11.9619,67,19.5883,0,88,123,19,128,11,0.99285,57.74947,0.0,0.0,0.03571,4.114,10.55282,0.0,0.0,115.0,34.6341,0.00304,0.55,1.26,0.12564,0.145261,0.2180058153986899,0.08703547884751167,4.964346738267785,69910.4333834005,39.57534714687018,151.3862616983133,0.17865471815134598,0.07264533013972885,0.12108059448697411,0.1365608696147598,0.16648101350610214,0.1705114110764228,0.1916676576875658,4.826462246311682,0.3627021890965015,84.3669479971566,2.1803144290123457,0.8378047888884663,0.1638921856418028,78.42650450307413,16699.828761483655,215.5634254354341
9,9,57.5338,12.0866,67,19.1269,0,88,123,19,128,11,0.98301,57.80429,0.0,0.0,0.5,4.084,10.26517,0.0,0.0,116.0,34.66092,0.00352,0.55,1.191,-1.0,0.151531,0.21645333865354194,0.08705510201512712,5.331016803446863,69654.03682846607,39.613269758813175,151.0629710448285,0.1803566724546158,0.07289380596273581,0.12085021636084367,0.13628435604627542,0.17100229819530216,0.16914651487010965,0.19203612233816697,4.843137439694817,0.3632143561584007,84.32376878066877,2.011911651234568,0.8416458298675268,0.16314548589088054,88.14657802811716,16548.449286511182,214.50312713128812
