,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.5,noise,cubrow.0,cubcol.0,blur,cubrow.1.0,cubrow.0.6,staticness,blockiness,contrast,cubcol.0.6,cubrow.0.3,fft,tone,cubcol.1.0,cubcol.0.3,temporal,saturation,uhdhdsim,cubcol.0.5,color_fulness,movement
0,0,52.7103,11.2257,56,0.0,0,88,123,15,128,8,1.00941,51.15883,0.0,0.0,0.07143,4.593,0.0,0.0,0.0,115.0,33.99764,0.00146,0.44,1.186,0.0,1.094153,0.17917641495645736,0.5846457521152337,0.2173337984187744,0.24218389477684726,15403.878681722312,0.08209498926390252,0.14688248558374525,224.1344193852361,4.80268790923738,82.27111440426394,0.1407058082815786,0.15308431309091816,70038.2754212887,0.35409624187620137,0.07706579301188084,0.22721317955823528,0.0,39.78565055941358,85.5618492049917,0.14562968682516425,152.42096927597365,0.0
1,1,52.7084,11.7191,56,18.9992,0,88,123,15,128,8,1.00969,51.16762,0.0,0.0,0.07143,4.627,9.63646,0.0,0.0,114.0,34.02785,0.00174,0.44,1.304,-1.0,1.140605,0.1750487237892035,0.5830223371794055,0.15699926316743198,0.19265751800887138,15315.860260409117,0.07025174135795431,0.13961499913103628,222.01683359896154,4.8087529868297025,86.20434606173012,0.1372778587921947,0.12375916611564255,69672.04746939865,0.3568647419607844,0.07626817411663005,0.20499845147717036,4.1193237851013915,39.803650655864196,85.5507859661846,0.13383654794036706,152.2935646492099,2.886670524691358
2,2,52.8973,11.3436,56,20.1957,0,88,123,15,128,7,1.00409,51.33095,0.0,0.0,0.07143,4.603,10.05942,0.0,0.0,114.0,34.07385,0.00164,0.44,1.256,-1.0,1.108753,0.1750669166971733,0.5846457521152361,0.13599583468755488,0.16346249850358147,15602.067308794149,0.06732620021776414,0.13724768628918205,220.33685072695076,4.388411111158169,83.00084854577844,0.13532444721909181,0.1125726321392084,70064.97265709634,0.35736866603921574,0.07411548444992253,0.20479704806705867,4.316778309605421,39.846518810884454,85.51901050228864,0.12938145093756184,152.12190673659373,2.9620949074074074
3,3,52.9462,11.273,56,19.2875,0,88,123,15,128,8,1.00404,51.38684,0.0,0.0,0.07143,4.577,9.73306,0.0,0.0,114.0,34.12136,0.00174,0.44,1.191,-1.0,1.094667,0.1776885612472585,0.5862691670510704,0.12312695552682391,0.16459220265339877,15561.665771779742,0.06532353272992791,0.13687037279795367,218.71744280945032,4.360855795035574,87.88957236094362,0.14404823942872708,0.10965533200180005,70195.50147342299,0.3600531778239139,0.07316438966494433,0.20558714330766914,4.120381151151107,39.43536358115114,85.48400870437811,0.13414390249476688,151.63361360196524,2.6355613425925926
4,4,52.8731,11.0818,56,19.6712,0,88,123,15,128,8,1.00231,51.32942,0.0,0.0,0.07143,4.583,9.67457,0.0,0.0,114.0,34.14808,0.00147,0.43,1.191,-1.0,1.075946,0.17889207006414207,0.5862691670510696,0.11403668492773283,0.16189445782888026,15390.266345968097,0.06330270768567595,0.13756410489803245,217.3765838602983,4.124405486229202,88.53260900090062,0.14090746768797177,0.10814362937687814,70056.62127078477,0.3605451910126875,0.07300807210684841,0.20177110957374922,4.0061782356842235,39.63511959123023,85.519550555239,0.13542232603560053,151.55169827156672,2.4964313271604937
5,5,52.9695,11.3113,56,17.9953,0,88,123,15,128,8,1.01487,51.41737,0.0,0.0,0.03571,4.587,9.50976,0.0,0.0,114.0,34.17172,0.0016,0.43,1.233,-1.0,1.141371,0.18010372584792736,0.5868633781584657,0.10928982835043752,0.1678416736354767,15711.420510173115,0.0610550236619743,0.13734068535113944,216.31689146700225,3.856889667894581,82.37391678884504,0.14288262589792294,0.10777722904512325,70440.66244759715,0.3609694372810458,0.07309510580886751,0.2021569894265905,3.9006774243161866,39.59409134476273,85.4505199944755,0.13476620818376026,152.18415716227935,2.3502604166666665
6,6,52.9015,11.0246,56,19.2872,0,88,123,15,128,8,0.9996,51.36649,0.0,0.0,0.21429,4.586,9.70745,0.0,0.0,114.0,34.21849,0.00164,0.44,1.244,-1.0,1.066651,0.1806187044202921,0.5872983708795027,0.10821543829124913,0.16759540301322925,15728.640096574141,0.06050709883243745,0.1379512340763857,215.24517488145867,3.6542430047714753,82.94773686215882,0.14357814734928834,0.11016109931006383,70442.20531966693,0.3609694372810458,0.0732228698101604,0.199928714509632,4.088496849443756,39.367371924129536,85.46523116371063,0.1355827713010501,151.26018985089837,2.224151234567901
7,7,52.9292,11.3239,56,19.7684,0,88,123,15,128,8,1.00589,51.38777,0.0,0.0,0.07143,4.543,9.47107,0.0,0.0,114.0,34.21472,0.0016,0.44,1.215,-1.0,1.118085,0.18130984448140203,0.5868633781584677,0.10973891193885883,0.16565575873666016,15627.790743902513,0.061791217757908044,0.1381620241136535,214.26448379230726,4.066791445084023,85.46226719763335,0.1436240688382997,0.11217215584298137,70771.16674696555,0.36641111173856217,0.07298371458838979,0.20599577467065727,4.051660138490051,39.25433481475453,85.40999608294388,0.14250075072866927,151.65279847351727,2.056375385802469
8,8,52.7638,10.998,56,19.5617,0,88,123,15,128,8,1.00706,51.23385,0.0,0.0,0.0,4.564,9.72378,0.0,0.0,115.0,34.2398,0.00168,0.44,1.245,0.13014,1.105483,0.18235986384975467,0.5846457521152371,0.11267631096213557,0.16010408275137228,15545.480168884407,0.06233419734971226,0.13761534000038428,213.31553532658694,4.299942445436409,87.41265261972823,0.14268146366296536,0.11132002917644435,70501.35450531462,0.3704020409107252,0.07284150178988451,0.19760047011018664,4.2766723484537374,39.45323765130691,85.49988604982846,0.1435086376960154,151.7099831172874,2.0652006172839505
9,9,52.8011,11.0925,56,19.2114,0,88,123,15,128,7,0.99491,51.27596,0.0,0.0,0.07143,4.533,9.43837,0.0,0.0,115.0,34.26694,0.00168,0.44,1.179,-1.0,1.130966,0.18297926270469997,0.5862691670510715,0.11265975569622114,0.16241554429332505,15351.867894010236,0.06275476242883897,0.13690451738799417,212.39505242114745,4.1096370395215365,86.0087679896743,0.14129622324867308,0.11201680715650307,70232.1194579154,0.37230416127335647,0.0726732493449216,0.1963343694747399,4.280541153657845,39.490340621383105,85.44350570319041,0.1486740840010752,151.423731641355,1.906298225308642
