,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.1.0,cubcol.0,cubcol.0.6,tone,contrast,cubcol.1.0,cubcol.0.3,movement,noise,cubcol.0.5,cubrow.0.5,cubrow.0,cubrow.0.3,blur,blockiness,uhdhdsim,saturation,color_fulness,temporal,cubrow.0.6,staticness,fft
0,200,55.4779,14.7098,62,0.0,0,98,124,17,127,10,1.00492,54.60775,0.0,0.0,0.10714,4.9,0.0,0.0,0.0,132.0,36.3072,0.00228,0.43,1.649,0.0,0.320929,0.11903196672930566,0.17701143352529647,0.22245724693315108,0.49774156862745095,93.01200749608249,0.08931933443983327,0.12396800258853856,0.0,0.6406592830843773,0.16233196134107167,0.2088735777746728,0.22758998147569448,0.15111670629769308,18224.516693926216,2.462270665623739,85.20700588553632,30.989965556580344,154.32220835386897,0.0,0.17495081134085816,253.06542411400272,72456.47338831706
1,201,55.5084,14.6463,62,24.5382,0,98,124,17,127,10,0.98245,54.62872,0.0,0.0,0.10714,4.94,12.6252,0.0,0.0,132.0,36.3407,0.00213,0.43,1.627,-1.0,0.32295,0.09985253205398394,0.17038276970644936,0.19277292178543248,0.4979717647058824,92.92672833227391,0.0862976921125982,0.12192576216212624,4.729938271604938,0.6419855924665065,0.16321479537693812,0.18428114214368885,0.2227506860005995,0.12784509051836712,18462.32712712476,2.7909085770332065,85.22677137838474,30.80607661494502,154.6034720622859,4.840810936282612,0.14544825774139236,250.73804432567687,72692.13860778254
2,202,55.5002,14.8282,62,22.5266,0,98,124,17,127,10,1.00592,54.62343,0.0,0.0,0.14286,4.938,12.57144,0.0,0.0,132.0,36.35854,0.00221,0.42,1.556,-1.0,0.326443,0.09770911104823661,0.16253182715682693,0.1835122504740698,0.4979788235294118,92.9600129286536,0.09052667188631146,0.13044706532735265,4.020447530864198,0.6403621775306775,0.16382561889476066,0.17545823603949748,0.22008671936011936,0.12116047882790917,18389.293907981213,2.969270974803682,85.17350977891097,30.972365767867476,154.53800305866662,4.738996317602603,0.13469519739451322,249.30989348139428,72728.21320109093
3,203,55.5033,14.9675,62,23.4288,0,98,124,17,127,10,0.99759,54.60504,0.0,0.0,0.10714,4.949,12.7278,0.0,0.0,132.0,36.36476,0.0023,0.43,1.591,-1.0,0.313463,0.0976251974456026,0.16363988642189667,0.1811448665588914,0.4995929411764706,92.33291431252692,0.08950826894882286,0.12809354537142534,3.662229938271605,0.6381445514874465,0.18150986619148748,0.1707576050236114,0.2170421594750046,0.1172480861370494,18420.80824919571,2.726250658540417,85.22644780460551,30.779874260042924,154.61458116100636,4.743895948675744,0.12950468745058333,247.8905609012008,72747.99833581797
4,204,55.5243,15.1695,62,23.5164,0,98,124,17,127,10,0.99799,54.62269,0.0,0.0,0.46429,4.964,12.84699,0.0,0.0,132.0,36.36878,0.00222,0.43,1.482,-1.0,0.303268,0.09842016655729996,0.16694720136325275,0.18667963293008139,0.49936274509803924,92.71355661321574,0.08673965984719409,0.1320311019648517,3.5244020061728394,0.64198559246651,0.17829934153767543,0.16929966176691752,0.21617239116784687,0.11504674902569932,18430.183308891137,2.574105354054656,85.17032475504307,30.780227849512926,154.65043984734112,4.764018361538301,0.12607883964330793,246.60129601793108,72707.52333136817
5,205,55.6178,15.1596,62,23.9755,0,98,124,17,127,10,0.99897,54.73426,0.0,0.0,0.14286,4.929,13.02073,0.0,0.0,132.0,36.41116,0.00221,0.44,1.461,-1.0,0.309425,0.09529805866592092,0.1671302858277599,0.18712483573598204,0.4998905882352941,92.48380468468775,0.0834868741545737,0.13232185973893804,3.337432484567901,0.64257980357391,0.168580855623623,0.16957184069553288,0.21919551340211826,0.1133763933156327,18607.218045389513,2.9561349207135974,85.11123506265024,30.540256453149112,154.40760439963418,4.8001048051776225,0.12383687277012764,245.21903301748551,72914.11117261123
6,206,55.687,15.3113,62,21.7594,0,98,124,17,127,10,0.97916,54.78497,0.0,0.0,0.14286,4.929,13.01405,0.0,0.0,132.0,36.47384,0.00231,0.43,1.445,-1.0,0.323268,0.09293836312234385,0.16605103268099117,0.18152061697062288,0.49965333333333334,92.5797786835899,0.08144219471707453,0.1310458870806266,3.0910976080246915,0.6419855924665092,0.1652705178178072,0.16950506295210094,0.22063616260915553,0.11291188587469873,18775.707755515778,2.876693138358013,85.13362910304586,30.641156231915513,154.45641856178204,4.697336746665505,0.12317923200976673,244.0359325933971,73204.22700892675
7,207,55.8952,15.0159,62,23.7526,0,98,124,17,127,10,0.98374,54.94778,0.0,0.0,0.17857,4.978,13.1447,0.0,0.0,132.0,36.54244,0.00198,0.43,1.394,-1.0,0.31767,0.09149368532514203,0.1617679649158469,0.17618327688166605,0.5005243137254901,91.90214580716437,0.0802279247977363,0.12934987058080857,2.951485339506173,0.6403621775306755,0.1672812266224304,0.1707464653804108,0.22525084737916512,0.11252838149834572,19259.317094155733,2.8600160308594993,85.14588244830682,30.51918161651235,154.21999597716194,4.71339631707551,0.12192806456289995,242.89084143508725,73233.9894989275
8,208,55.9825,15.4215,63,23.2099,0,98,124,17,127,10,1.00831,55.01058,0.0,0.0,0.17857,4.962,12.88996,0.0,0.0,132.0,36.61632,0.00215,0.43,1.497,0.13722,0.318414,0.09107937878868577,0.16409702386062855,0.17104191981554467,0.5013199999999999,91.8646620644302,0.07909949820368421,0.12859220042031022,2.7331211419753085,0.6403621775306781,0.1694936325272428,0.1726377125580205,0.22835732837434197,0.11283822468509856,19353.576379368387,2.7982013354568385,85.11603178698371,30.522573777187016,154.35047838425677,4.560066857836888,0.12250025553041057,241.9137378642386,73287.58040109024
9,209,55.9654,15.5648,63,23.8583,0,98,124,17,127,10,0.99612,54.99002,0.0,0.0,0.17857,4.986,13.23993,0.0,0.0,132.0,36.67102,0.00211,0.44,1.571,-1.0,0.326754,0.09143898438031386,0.1655056981363238,0.16609663374718578,0.503947215686271,93.1361359324276,0.07781098311081623,0.12939852038003052,2.6325231481481484,0.6403621775306784,0.16853217511776888,0.17308087216509843,0.23175913453106442,0.11307152060140535,19472.83270323234,2.815032752301398,85.13239737743434,30.559167367440683,154.29898790456681,4.6562636886312445,0.1219243797506376,241.04290651263324,73149.74175989999
