,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0,noise,cubrow.0.3,cubrow.0,cubcol.0.3,staticness,tone,uhdhdsim,blockiness,fft,color_fulness,contrast,cubrow.0.6,cubrow.0.5,temporal,cubcol.1.0,cubcol.0.6,saturation,blur,cubrow.1.0,movement,cubcol.0.5
0,0,47.4256,10.349,47,0.0,0,88,123,12,128,6,1.01284,45.45018,0.0,0.0,0.03571,5.266,0.0,0.0,0.0,114.0,33.65877,0.00083,0.41,1.24,0.0,1.295852,0.22187658501415589,0.49641836554509666,0.13511775883088745,0.20527782630937746,0.19890041654016652,222.30310021139366,0.3610966277647059,86.7142649393888,3.5423249883329166,70416.76093219625,152.61094627296023,80.40178843357953,0.12295726399440371,0.16793067424273478,0.0,0.07194623274509299,0.1146450482101525,39.68097432454427,13867.936818929504,0.06870400266729507,0.0,0.1206222759903743
1,1,47.4273,10.781,47,17.7792,0,88,123,12,128,6,1.01554,45.45214,0.0,0.0,0.03571,5.271,8.88316,0.0,0.0,114.0,33.68939,0.00095,0.41,1.339,-1.0,1.346055,0.1746411594284956,0.49582415443770383,0.10305256033484343,0.14591113094770403,0.18070259904956568,220.4889242672624,0.361246350117647,86.710135098162,3.2524299204589173,69976.26362917267,152.39499853170108,88.52005105182492,0.11668818866693649,0.16458161676620098,3.8372271219718943,0.07123472768083722,0.1120386523330243,39.70193707501446,13748.350974777464,0.058688234479604834,2.646508487654321,0.11328864474527844
2,2,47.6257,10.4635,47,19.2334,0,88,123,12,128,6,1.00995,45.62138,0.0,0.0,0.07143,5.295,9.25287,0.0,0.0,114.0,33.73507,0.00098,0.41,1.246,-1.0,1.312062,0.14598355316614872,0.4970125766524974,0.09354587206512475,0.12524800282063758,0.1804368277584259,219.05464204299662,0.36411443483460143,86.66637058452122,3.5327610609243525,70513.89600827185,152.25319801650892,87.36149055087354,0.11474455217509304,0.16459854636827143,4.013782758432873,0.06916648942679507,0.1118417561215218,39.73720899040316,14080.218366936504,0.05629530168133748,2.7318190586419755,0.11188891976224095
3,3,47.6724,10.4197,47,18.3162,0,88,123,12,128,6,1.00936,45.67323,0.0,0.0,0.07143,5.227,8.97735,0.0,0.0,114.0,33.78284,0.00083,0.42,1.203,-1.0,1.301237,0.14841535472151537,0.5002594065241572,0.09120248169151439,0.11413259223978268,0.18408543646605152,217.57026673657094,0.3653588350326798,86.63872669418427,3.0658257965377333,70604.20633935688,151.8043516420097,85.62675398821109,0.11418233486217975,0.16678485080019614,3.8491229510479332,0.06835912580027949,0.12313992649310725,39.33062951358748,14041.723442293394,0.05412870485870253,2.476466049382716,0.11744929909617824
4,4,47.6069,10.2583,47,18.6316,0,88,123,12,128,6,1.00672,45.62243,0.0,0.0,0.07143,5.235,8.94036,0.0,0.0,114.0,33.81066,0.0008,0.41,1.219,-1.0,1.278025,0.1460447533219158,0.4980417804809298,0.08995792810919723,0.10542387919141416,0.1808848240826732,216.3298787288501,0.3675697034186852,86.6616832002069,2.8326303623106877,70349.85861183189,151.72621343556966,80.26414957977369,0.11442301284551214,0.1676957430498048,3.7667028354744954,0.06832191838652275,0.12081351231726306,39.5309203348042,13857.348886830543,0.052155274834240165,2.3619791666666665,0.1169975202278748
5,5,47.7063,10.439,47,16.6141,0,88,123,12,128,6,1.01886,45.70926,0.0,0.0,0.03571,5.256,8.80162,0.0,0.0,114.0,33.83386,0.00094,0.41,1.234,-1.0,1.343475,0.15244153834394325,0.5002594065241611,0.08970578654557967,0.10139625058629646,0.18137572851860512,215.33288799337055,0.37057222901960785,86.58858786195574,2.7971888861891876,70842.65605396105,152.32388934279638,88.195045405465,0.1137805197166803,0.1688668342234096,3.6876242393801726,0.06819017531598716,0.12251559634515043,39.486655906394674,14182.702147163975,0.05054381141373926,2.2393422067901234,0.11666224465949622
6,6,47.6399,10.1703,47,18.539,0,88,123,12,128,6,1.00321,45.66009,0.0,0.0,0.03571,5.246,8.95959,0.0,0.0,114.0,33.88032,0.00102,0.41,1.199,-1.0,1.255706,0.15329944570283047,0.5002594065241616,0.09139563850807868,0.09967736178623272,0.17929896793033095,214.32071709799465,0.37056470776470596,86.59840272561532,2.5243180667030103,70859.75904875465,151.4606007432408,88.46003688831746,0.11418480079152521,0.1695145877505414,3.8204109888147886,0.06832817332792732,0.12337111516131127,39.26137740523727,14190.365265462166,0.0501070476919311,2.1165123456790123,0.11747640129065054
7,7,47.6524,10.4086,47,18.7031,0,88,123,12,128,6,1.0106,45.66138,0.0,0.0,0.0,5.215,8.73571,0.0,0.0,114.0,33.87678,0.0009,0.42,1.204,-1.0,1.311117,0.15029873215956133,0.4996651954167632,0.09314992284764402,0.10183438049698752,0.18657429972918385,213.38718260199204,0.3735017578039216,86.53848674695547,2.690612995353275,71258.60080843048,151.82060834536048,87.99170844152323,0.11453306539666207,0.17049121378895812,3.778150448836469,0.06830767338025344,0.12323164447923103,39.1539941481602,14110.046360083148,0.052066643219940124,1.9619502314814814,0.12433933414251416
8,8,47.484,10.0874,47,18.6265,0,88,123,12,128,6,1.0095,45.51203,0.0,0.0,0.0,5.229,8.93644,0.0,0.0,115.0,33.90307,0.00099,0.41,1.269,0.13323,1.283558,0.14536228148675412,0.5024770325673885,0.09224043686385157,0.10476176731212906,0.17792616984324286,212.4938986708336,0.37648289119569406,86.65246411325826,2.9442455303431223,70972.97569381964,151.87198812376664,86.06133371862613,0.11393288554587773,0.17185380806638315,3.9605643688240653,0.06836728485139014,0.12280374620564938,39.34684075249566,14041.234051094705,0.05314637814342325,1.9600694444444444,0.1254102252460547
9,9,47.4988,10.1579,47,18.0372,0,88,123,12,128,6,0.99593,45.53305,0.0,0.0,0.07143,5.157,8.65592,0.0,0.0,115.0,33.92901,0.00083,0.41,1.147,-1.0,1.330827,0.14780497996312983,0.501882821459991,0.0938993195896036,0.10414592508547134,0.17657997644513337,211.63635293249638,0.3769264129181085,86.5883435626999,3.096363009424838,70641.12103939861,151.58932377353395,86.39703015094774,0.11335753171972184,0.17262111353777274,3.947431014299594,0.06811944837293349,0.12157463416100996,39.3889018871166,13781.759106705189,0.053643976428212475,1.796826774691358,0.131134698048779
