,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.3,cubrow.0.5,uhdhdsim,cubrow.0.6,noise,fft,staticness,cubcol.1.0,blockiness,temporal,cubcol.0,saturation,contrast,cubcol.0.6,tone,movement,cubrow.0,cubcol.0.3,cubcol.0.5,color_fulness,cubrow.1.0,blur
0,0,88.8684,0.0,98,0.0,0,116,118,26,137,24,1.00175,102.79936,0.0,0.0,0.35714,4.161,0.0,0.0,0.0,130.0,43.29037,9e-05,3.51,2.408,0.0,0.0,0.37448891398585704,0.3442901669007211,88.21802288554858,0.37901138074148993,0.8295284958229382,70578.8743457504,622.5825554468822,0.43847041739383036,5.094560411447952,0.0,0.26936586198653295,52.55674008969907,88.56730870408872,0.29007857466891906,0.6310352941176469,0.0,0.4085033187759584,0.3029685876942124,0.21295966821969303,83.40239185298896,0.28547089902314393,73666.93270957265
1,1,88.8684,0.0,98,0.0,0,116,118,26,137,24,1.00175,102.79936,0.0,0.0,0.35714,4.161,0.0,0.0,0.0,130.0,43.29037,9e-05,3.51,2.408,-1.0,0.0,0.37448891398585704,0.3442901669007211,88.21802288554858,0.37901138074148993,0.8295284958229382,70578.8743457504,622.5825554468822,0.43847041739383036,5.094560411447952,0.0,0.26936586198653295,52.55674008969907,88.56730870408872,0.29007857466891906,0.6310352941176469,0.0,0.4085033187759584,0.3029685876942124,0.21295966821969303,83.40239185298896,0.28547089902314393,73666.93270957265
2,2,88.8684,16.6632,98,0.0,0,116,118,26,137,24,1.00175,102.79936,0.0,0.0,0.35714,4.161,0.0,0.0,0.0,130.0,43.29037,9e-05,3.51,2.408,-1.0,0.0,0.37448891398585704,0.3442901669007211,88.21802288554858,0.37901138074148993,0.8295284958229382,70578.8743457504,622.5825554468822,0.4384704173938303,5.094560411447952,0.0,0.269365861986533,52.55674008969907,88.56730870408872,0.29007857466891906,0.6310352941176469,0.0,0.40850331877595847,0.3029685876942124,0.21295966821969303,83.40239185298896,0.28547089902314393,73666.93270957265
3,3,89.1175,16.7373,98,23.9994,0,116,118,26,137,24,1.00759,103.13451,0.0,0.0,0.10714,4.168,14.4189,0.0,0.0,129.0,43.28568,9e-05,3.53,2.446,-1.0,0.0,0.36508718752701325,0.34168337347817,88.20727843826288,0.3700962181128143,0.8295284958229385,70588.1033081072,619.4886785838568,0.43671781305299234,4.647016004319061,6.428941432089951,0.25167141032204765,52.57951449170525,88.67331926157463,0.2785218216361187,0.6313619607843137,10.305459104938272,0.3984011385855838,0.3009898289504834,0.21102413285931013,83.14890773601267,0.2849416980755759,73984.37981582392
4,4,88.6845,16.5583,98,24.1206,0,116,117,25,137,24,0.99908,102.71245,0.0,0.0,0.0,4.173,14.48636,0.0,0.0,130.0,43.13722,0.0001,3.55,2.707,-1.0,0.0,0.3583503807010061,0.3406657615784864,88.24965493886958,0.359585318640276,0.829528495822935,70454.73726370835,612.2463908222413,0.43478433756947993,3.7940701650983235,6.539373307896626,0.245089601169358,53.951778647340376,92.985180144333,0.26977817572998003,0.6299858823529412,9.641830632716049,0.39208175741469586,0.29865486784519146,0.21431261826075446,81.97451885812852,0.2869340518633547,71978.57463811836
5,5,88.7931,16.5958,98,23.541,0,116,117,25,137,24,1.0075,102.82036,0.0,0.0,0.28571,4.17,14.31844,0.0,0.0,130.0,43.12275,9e-05,3.52,2.783,-1.0,0.0,0.35194603935773455,0.34060044341764867,88.22359559350159,0.3542103217591425,0.8295284958229394,70463.46918750282,606.939967097793,0.43434133618807086,4.576844606315775,6.437071495287464,0.24216595345178335,54.12927434473862,93.10210641712602,0.26483135288767234,0.6304909803921569,6.911072530864198,0.3894998968033037,0.2965682939978504,0.21974667441224563,81.73324726725096,0.2874450524129996,72104.52903802389
6,6,89.019,16.4329,98,23.6155,0,116,117,25,137,24,1.00699,103.05161,0.0,0.0,0.57143,4.17,14.35105,0.0,0.0,129.0,43.13303,7e-05,3.55,2.513,-1.0,0.0,0.34836419326526774,0.3419473869698736,88.20887624284025,0.35070203462333954,0.8279050808871053,70440.0290375885,603.0049815734772,0.4346041001464748,4.648088025123848,6.442683398032527,0.2422082556933907,54.04433676637249,92.96397865512577,0.2607676615445787,0.6309819607843138,6.008873456790123,0.38973509246158206,0.2942334829436769,0.22816188285417538,81.93120013195296,0.28845745770278874,72753.18310143375
7,7,89.1987,16.1746,98,22.1763,0,116,117,25,137,24,1.0047,103.24094,0.0,0.0,0.28571,4.181,14.21155,0.0,0.0,129.0,43.24094,5e-05,3.55,2.768,-1.0,0.0,0.3452481082032203,0.3432418032245913,88.18818649585185,0.34781504959709475,0.8295284958229385,70550.62424874415,600.1731387482631,0.4339882739250904,4.108005923874201,6.4057593910302,0.24411060477386498,54.232858728479464,93.11945911037625,0.25842811319802694,0.6326039215686274,5.307388117283951,0.39125359107454294,0.29274495068363426,0.23554846461012752,81.52487348368082,0.28849717829451343,73306.34972540612
8,8,89.2001,16.1551,98,23.6057,0,116,117,25,137,24,1.00655,103.2241,0.0,0.0,0.35714,4.18,13.98603,0.0,0.0,129.0,43.25153,8e-05,3.54,3.028,0.125,0.0,0.3432443233996339,0.34495092614555106,88.16335545201227,0.34416241018915833,0.8295284958229426,70473.30688409024,597.9240640919953,0.4325580068985075,6.845972985153391,6.3229918309645505,0.24399413315588453,54.21871307749807,93.10816758358294,0.25708285429590183,0.6330874509803921,4.6966628086419755,0.3910520663316433,0.2906829048231451,0.24094041491023893,81.56176583928061,0.2881325401491369,73246.80106352233
9,9,89.3617,16.0388,98,23.912,0,116,117,25,137,24,0.99939,103.40507,0.0,0.0,0.32143,4.169,13.97997,0.0,0.0,129.0,43.31288,9e-05,3.53,2.453,-1.0,0.0,0.34050324182267333,0.34328560139115455,88.14257785651569,0.3420991033836497,0.8317461218661686,70661.3758791968,596.2331719707803,0.4305410647037364,4.449547603418696,6.394110952082483,0.23852954668567863,54.35914536464361,92.89918435014889,0.2567447647358693,0.6346684509803919,4.374807098765432,0.3906389319238177,0.28841380738858485,0.244332628748423,81.59270862342053,0.2877827556356491,73664.0500276204
10,10,89.8934,15.8623,98,24.4676,0,117,117,25,138,24,0.98762,103.96052,0.0,0.0,0.17857,4.174,13.88639,0.0,0.0,128.0,43.37066,9e-05,3.53,2.758,-1.0,0.0,0.3393618520482686,0.3432654958600628,88.09556904684895,0.341886835933321,0.8317461218661748,70783.75209846023,595.0215652143995,0.42845629675777064,6.226198818478293,6.4171795254602,0.2337703307525141,54.574026790666,92.43710689820422,0.25736675278326504,0.6381988235294118,6.792824074074074,0.3901992381847813,0.2873134125064786,0.2459386359101804,81.35217034544165,0.28664630180784967,74828.21448979685
11,11,89.9207,15.6101,98,23.9875,0,117,117,25,138,24,0.98402,103.88804,0.0,0.0,0.42857,4.156,13.73006,0.0,0.0,128.0,43.32497,0.00011,3.53,2.932,-1.0,0.0,0.33801953191948103,0.3409591212881298,88.10604351365414,0.34086870282216164,0.831746121866165,70756.7478541265,593.7290120152094,0.4271650458230041,5.950818557286992,6.3590749864773555,0.2297072832759153,54.68055951153791,91.76156816542397,0.2572095088372582,0.6391357450980389,7.172067901234568,0.3909272340345514,0.2867996883387557,0.2482609531696721,81.54463694784312,0.28504589008952846,74852.99470870728
12,12,89.9246,15.2761,99,23.0434,0,117,117,25,138,24,0.99348,104.07206,0.0,0.0,0.32143,4.16,13.5141,0.0,0.0,128.0,43.38541,9e-05,3.54,2.525,-1.0,0.0,0.3360204187564709,0.3399261376220663,88.07224116609552,0.339767085287984,0.8317461218661717,70852.75860092696,592.4688923762086,0.4262959107904509,4.942543748556517,6.373004811642473,0.22631117651184848,54.64841282220534,91.49831574214542,0.25675101898373076,0.640296235294117,6.592833719135802,0.39220503592900224,0.28599665915751254,0.24961896521268617,81.67526736882002,0.28320111175201695,74869.8089699791
13,13,89.7643,15.1627,99,23.6468,0,117,117,25,138,24,0.99759,104.03618,0.0,0.0,0.42857,4.162,13.22386,0.0,0.0,129.0,43.37603,0.00011,3.58,2.709,-1.0,0.0,0.3333012412910982,0.340259855451176,88.07560206656134,0.3396038287605333,0.8361813739526207,70791.99808239438,591.2786831310191,0.4256443967008461,3.5835838429366382,6.351837687936373,0.22350138883216686,54.74471669138213,91.51695946835018,0.25613297720094547,0.6395341176470588,5.816358024691358,0.3937220506997993,0.2844936885649283,0.2500998857776542,81.79968566278882,0.2816177664972693,74421.49298698273
14,14,89.8052,14.9496,99,25.4638,0,116,117,25,138,24,1.00479,104.02674,0.0,0.0,0.28571,4.136,13.12223,0.0,0.0,128.0,43.38306,0.00012,3.55,2.404,-1.0,0.0,0.33191274224808687,0.3407630406462373,88.07759960465265,0.34041232228799534,0.8339637479093986,70810.85786424359,590.1637727768316,0.42439044039655954,3.4117025045759624,6.294322675426391,0.22096013591018884,54.79770914713542,92.1972753991894,0.2557924763077025,0.6383917647058823,5.312210648148148,0.39490864554980626,0.2815578198470474,0.2511364446169055,81.77759543405121,0.2805342581567552,74192.91093343028
15,15,89.9548,14.9405,99,22.8656,0,116,117,25,138,24,0.99878,104.23227,0.0,0.0,0.21429,4.161,12.94228,0.0,0.0,128.0,43.46635,0.00016,3.56,2.46,-1.0,0.0,0.3300519870315605,0.3413342364538903,88.07202786782611,0.3409186980521429,0.8477044968898135,70703.55874700069,589.0698964500475,0.4223055590911234,5.318787104580396,6.300084329935625,0.21732531107814473,54.807529967508195,88.56880082318656,0.2550180937989776,0.6385040784313718,6.803771219135802,0.3966610760085158,0.27715954312027175,0.251572026203654,81.81269115566123,0.279992606416184,74662.24931035629
16,16,90.3725,14.9441,100,23.393,0,116,117,25,138,24,0.99897,104.73161,0.0,0.0,0.21429,4.155,12.93995,0.0,0.0,129.0,43.54862,0.00014,3.54,2.122,0.125,0.0,0.32795534801992826,0.34198538714495774,88.04828424686832,0.3412930916161205,0.8499221229330503,71073.8989253592,588.0760124906003,0.4199162166068048,4.532428265160653,6.307520127041608,0.21547759024388968,54.78949991861979,91.4708653963335,0.25379103013171556,0.6392741176470588,6.9765625,0.3976432685955016,0.2736373710160411,0.2513482859807166,81.88242759693289,0.2801542426691669,76143.1527321207
17,17,90.4137,15.1399,100,23.6839,0,116,117,25,138,24,1.00687,104.6943,0.0,0.0,0.32143,4.137,12.94604,0.0,0.0,129.0,43.59456,0.00014,3.58,2.154,-1.0,0.0,0.3264139500886879,0.34250318722473544,88.05274868840763,0.34186379614529955,0.848298707997214,71139.21276334672,587.1592791057736,0.41786198394176116,5.574982838320472,6.341368854134511,0.2159857177809242,54.70017873505015,92.97646880464093,0.25235150023744696,0.6397407843137255,6.879484953703703,0.3981748897597059,0.27017375988652703,0.2511235703161501,81.64522341306349,0.28043226105054364,76292.27200603622
18,18,90.3781,15.1859,100,23.8038,0,116,117,25,138,24,1.01177,104.62247,0.0,0.0,0.57143,4.146,13.11537,0.0,0.0,129.0,43.66212,0.00012,3.57,2.244,-1.0,0.0,0.32460951495709306,0.34362763327618856,88.04205732306943,0.3416049112684049,0.8416458298675318,70940.05379697251,586.2806727339427,0.41523266799231195,5.401086130581625,6.434077721618633,0.21560310090343784,54.681679996443386,92.09981682493824,0.2514028235351394,0.6411250980392157,6.699893904320987,0.39784759527826713,0.2674263595471671,0.25082313236772164,81.71950521624939,0.2807026397526011,76086.74829280007
