,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0,staticness,blur,color_fulness,fft,noise,cubrow.1.0,cubcol.0.6,blockiness,tone,cubrow.0.5,cubrow.0.3,cubcol.0.3,cubrow.0.6,cubcol.1.0,cubcol.0.5,contrast,saturation,movement,uhdhdsim,temporal,cubcol.0
0,400,74.6177,10.9093,77,0.0,0,121,116,20,138,16,0.99245,84.79006,0.0,0.0,0.17857,4.244,0.0,0.0,0.0,128.0,41.02024,0.00042,2.68,4.234,0.0,0.0,0.2608990455901076,623.4359065910014,44251.59318254176,81.63033947564696,69277.5032934745,0.7120369779697745,0.3118820306264548,0.20719903202551435,4.892690271519783,0.6070126666666666,0.37634337223639597,0.2345969268252579,0.26443017559236587,0.30180956843774004,0.48519116260939504,0.24128882858840173,84.65113039408791,53.89884063343943,0.0,89.36577259408621,0.0,0.37756483996985685
1,401,74.6263,10.456,77,13.1626,0,121,116,20,138,16,0.99924,84.79904,0.0,0.0,0.25,4.229,9.44206,0.0,0.0,128.0,41.03112,0.00035,2.67,4.503,-1.0,1e-06,0.2519105505297762,622.82636481119,44277.83054756231,81.58599811506757,69142.13728052561,0.7142546040129926,0.29841761400114136,0.20214913986881966,5.215069413517555,0.6071023529411764,0.35399383009156893,0.22027714876169574,0.26497431921079817,0.2875560694851083,0.46660111717591735,0.2309938380279657,84.70555120783155,53.79092746310764,2.521653163580247,89.38040086020277,6.0348324745927435,0.3533250061791139
2,402,74.6681,10.3672,77,12.5448,0,121,116,20,138,16,0.99865,84.82354,0.0,0.0,0.21429,4.216,9.0643,0.0,0.0,128.0,41.04093,0.00035,2.69,3.871,-1.0,0.0,0.24191999441793519,622.3490072673977,44035.09943324536,81.72950125876362,69205.47731077415,0.7142546040129963,0.2923601856448771,0.20200170008538723,5.471007409467396,0.6070647058823528,0.35269496716772425,0.21096191944832465,0.265932386086264,0.2843656992559067,0.44924999775464586,0.22312310736528793,84.76458839199715,53.940573421525364,2.376639660493827,89.30119035134041,5.958451352647107,0.3246749515910459
3,403,74.3201,10.9663,76,12.9587,0,121,116,20,138,16,1.0002,84.38232,0.0,0.0,0.35714,4.229,8.98222,0.0,0.0,128.0,41.00359,0.00039,2.69,3.805,-1.0,0.0,0.23293066767051443,621.7424759829029,43581.66436358707,81.80362966248178,69001.62871365153,0.7081959369907063,0.28723174970304294,0.20092448344904948,6.755080170871496,0.606783137254902,0.3525218246268612,0.20846365668692732,0.2679789331945269,0.2840359645025588,0.435570922251519,0.2181893156282945,84.73449126927443,53.92974721649547,2.3586998456790123,89.37944344372646,5.9256678862728505,0.3026815101047779
4,404,74.0851,10.8284,76,13.4121,0,121,116,20,138,16,1.02478,84.12787,0.0,0.0,0.42857,4.23,9.49348,0.0,0.0,128.0,40.92566,0.00052,2.65,3.796,-1.0,0.0,0.22618626110399176,620.9038008377038,43242.74617545962,81.85276715144477,68959.80472353792,0.7043548960116418,0.2839243345003861,0.19969679047866393,6.707394903874531,0.6054199999999998,0.3491947220998738,0.206676617183694,0.2688131518148354,0.28258385877632725,0.41915702522794196,0.21513012814635696,85.95534692632991,53.92162125198929,2.539110725308642,89.42126330704995,6.06548560133397,0.29194917242656554
5,405,73.9799,11.1065,76,12.7993,0,121,116,19,138,16,1.00556,83.99043,0.0,0.0,0.46429,4.24,9.37456,0.0,0.0,128.0,40.89152,0.00047,2.64,4.19,-1.0,0.0,0.22320182828571408,620.0874580038995,42896.32926111688,81.90322676601104,68878.11267337693,0.7043548960116377,0.2824109540779704,0.19869621624591982,6.4248495126590655,0.6049941176470588,0.34748024781369,0.20728313719889646,0.2657936907302018,0.2817004837121362,0.41006272229024354,0.21289106820643633,86.59346607594296,54.071140430591726,2.290750385802469,89.4562965410887,6.02363430191353,0.2857899013950274
6,406,73.725,11.2821,75,13.1449,0,121,116,19,138,16,0.99836,83.63746,0.0,0.0,0.25,4.247,9.62517,0.0,0.0,128.0,40.80675,0.00049,2.66,3.889,-1.0,0.0,0.22096469153487075,619.2034931905125,42487.762235754315,81.95430283848592,68728.84481188352,0.7043548960116407,0.2811289881241152,0.1985049743255985,5.1084525564703815,0.6038615686274509,0.34759338402257217,0.20630433571232426,0.26466827027505674,0.27998722957281325,0.40991416714079393,0.20981088096042788,86.80097500072335,54.09356444558979,2.2724247685185186,89.52993020829042,6.051949489606039,0.27870279385942776
7,407,73.6358,11.2276,75,14.1217,0,121,116,19,138,16,0.99051,83.59413,0.0,0.0,0.35714,4.222,9.77859,0.0,0.0,128.0,40.74224,0.0007,2.68,3.912,-1.0,0.0,0.21759400720682465,618.2730185792524,42086.42002806164,81.79420499481796,68570.12332545297,0.7021372699684131,0.2794038986201273,0.1983593143288474,4.754365165670032,0.6027729411764706,0.3469056508497822,0.20448547160362834,0.26534918231385785,0.2787572114028763,0.40993817290298445,0.20585380110146928,88.13588173055562,54.017795327269,2.178867669753086,89.49762067784745,6.045871222154549,0.2782487411316478
8,408,73.328,11.6942,75,13.8876,0,121,116,19,138,16,0.99452,83.15897,0.0,0.0,0.39286,4.222,9.73853,0.0,0.0,128.0,40.63952,0.00056,2.67,4.634,0.125,0.0,0.2142641934551759,617.3021594864058,41505.016419681575,82.08955657229791,68365.82500883056,0.6999196439251852,0.278348120418289,0.19803457535946897,5.287676753869112,0.6017517647058823,0.346374291199526,0.20202138170753392,0.26699083042685734,0.2782304933391121,0.40740828828936015,0.20307899315158578,86.90798905331778,53.95602831428433,2.115065586419753,89.50312956244755,5.9935994050692525,0.2866911980617282
9,409,73.1116,11.5311,75,13.5942,0,121,116,19,138,16,1.00858,82.91665,0.0,0.0,0.28571,4.231,10.13015,0.0,0.0,128.0,40.62142,0.00052,2.65,3.963,-1.0,0.0,0.21140616749353733,616.4035200475438,40796.43151045931,82.20342400245478,68337.80073763678,0.6977020178819542,0.2776196888552012,0.19800977300446,5.492541537167621,0.6019925490196079,0.3447627665856238,0.19906583881553458,0.26898745870984825,0.27706625582115374,0.40344616916211745,0.2012623421048239,87.03457044060832,53.98061248402537,2.2002314814814814,89.55899836606078,6.097211702724411,0.2977798786640949
10,410,73.2904,11.4674,75,14.3746,0,121,115,19,138,16,1.00328,83.1076,0.0,0.0,0.35714,4.242,9.98139,0.0,0.0,128.0,40.65387,0.00032,2.63,3.731,-1.0,0.0,0.20870604802803397,615.5372252759679,40965.680025105736,82.29839472515289,68316.81488571769,0.6999196439251797,0.2773319172339385,0.19886017555823746,5.72006478610137,0.6027964705882354,0.34459579421261466,0.1971604601791195,0.27045173217936186,0.2768157956528112,0.4000256572359313,0.19900470411992363,85.39941828285869,54.001349366741415,4.480854552469136,89.51221765588863,6.023811072138545,0.3031688832329499
11,411,73.0915,11.503,74,13.5362,0,121,115,19,138,16,1.00652,82.84168,0.0,0.0,0.46429,4.251,9.92858,0.0,0.0,128.0,40.69397,0.00033,2.68,3.772,-1.0,0.0,0.20646493974817595,614.694820429859,40966.609587343846,82.45735329304298,68390.01149808231,0.699919643925177,0.2772131209092854,0.20020824367479234,6.842661171110599,0.6036368627450979,0.3443151644694082,0.19416482327059784,0.27173450222729745,0.27637284195078743,0.39855280728158393,0.1976389463272102,84.92612997320043,54.00325954107591,4.646749614197531,89.59278202580165,5.999924634085993,0.30826665943459425
12,412,73.174,11.3778,74,13.5193,0,121,115,19,138,16,1.0064,82.86827,0.0,0.0,0.25,4.251,9.96179,0.0,0.0,128.0,40.79962,0.00035,2.68,3.832,-1.0,0.0,0.20425488589983434,613.9303742974766,40800.101346646385,82.5989049429251,68374.38553491712,0.6977020178819547,0.2770534267745255,0.20203178083562226,6.212564252938822,0.6058667647058806,0.3430491077101721,0.19176154328211675,0.2718031870875977,0.2754736133762508,0.3994720271494746,0.19654600397187413,85.1693270269948,53.993939623420616,4.157118055555555,89.53788616562059,6.03786852463106,0.31436333934389915
13,413,73.1935,11.1835,74,13.3059,0,121,116,19,138,16,1.01093,82.82478,0.0,0.0,0.25,4.236,9.85516,0.0,0.0,128.0,40.83665,0.0003,2.68,3.703,-1.0,0.0,0.2021307188131612,612.8974342344061,40862.65921441506,83.12092834812839,68349.6769710828,0.6977020178819499,0.27654326592785805,0.2031929119679474,4.143841552393648,0.6067659215686261,0.3420892359551973,0.1899256378223696,0.27114379834171715,0.2745393974013335,0.40313785431024757,0.1961265804867098,85.50179217469777,53.7838023621359,3.5159625771604937,89.51709598669616,6.066411159891317,0.3198383657674126
14,414,73.0231,11.2369,74,13.5725,0,121,116,19,138,16,1.00239,82.59824,0.0,0.0,0.21429,4.232,9.6949,0.0,0.0,128.0,40.93195,0.00036,2.67,3.684,-1.0,0.0,0.20031023134059286,611.9010882413079,40741.40383365095,83.66261552976412,68281.69862629475,0.6977020178819489,0.2753271746883558,0.20407768849269864,8.768737157508253,0.607912588235294,0.3406990266304714,0.18863111308207564,0.2702122455193907,0.2736825316257339,0.40591558613785267,0.1966769071730597,86.56475676809943,53.788759019639755,3.3091724537037037,89.54948787551862,6.013762802330624,0.3198979643759374
15,415,73.0723,11.1933,74,13.4358,0,121,116,19,138,16,1.00339,82.59176,0.0,0.0,0.25,4.236,9.75207,0.0,0.0,127.0,41.03028,0.0004,2.68,3.762,-1.0,0.0,0.19949159181577958,610.9578931753479,40962.66945491449,83.74124480058614,68497.79184278725,0.6977020178819492,0.27371863491278703,0.2052506509875055,6.166812864159948,0.6096356862745098,0.34019932345970855,0.18786691594939806,0.26962297087749343,0.2728922057662286,0.4055828366622455,0.1959908383574831,87.5649704745315,53.847525702582466,5.101369598765432,89.52169041811217,6.036663171329369,0.31559491064860307
16,416,72.9532,10.7721,74,13.0202,0,121,115,19,138,16,1.01075,82.5137,0.0,0.0,0.46429,4.236,9.7128,0.0,0.0,127.0,41.11552,0.00037,2.69,3.648,0.125,0.0,0.1990815700852796,610.0375325159131,40904.31118236397,83.83177648646776,68564.44513333053,0.6999196439251737,0.27243618185863844,0.20677209802075483,5.1954707652687055,0.6115101960784313,0.3394278196658769,0.18750042954782284,0.2696687610396079,0.27182930153639995,0.4049762508756091,0.1957785784392155,85.58690510810386,53.924656997492285,5.170476466049383,89.5936600459979,6.049276058933941,0.3111872945353516
17,417,72.7313,10.7804,74,13.2258,0,121,115,19,138,16,1.02356,82.23146,0.0,0.0,0.14286,4.236,9.34135,0.0,0.0,128.0,41.13256,0.00039,2.69,3.4,-1.0,0.0,0.19815857429812778,609.162657356641,40676.911229090314,83.89946754287841,68814.81376765519,0.6977020178819467,0.27071250818775383,0.20786614469251738,6.329550418502924,0.6123031372549019,0.33842863347797686,0.18691282781973123,0.2690696054092718,0.2709612604122942,0.40612786786167043,0.19484717442998642,86.80244249333246,53.953584647472994,5.07470100308642,89.63227308312466,5.995039342713191,0.3076656604474934
18,418,72.9033,10.5102,74,12.5696,0,121,115,19,138,16,1.01307,82.30143,0.0,0.0,0.14286,4.238,9.34448,0.0,0.0,128.0,41.26111,0.00042,2.68,3.729,-1.0,0.0,0.19693174404482724,608.2866466984856,40699.36296146682,84.18175386454726,68740.15145464164,0.6977020178819441,0.2701839094830848,0.2088984040450287,6.391554763145505,0.6145078431372549,0.33754747748047265,0.1865039322906704,0.2684599234579157,0.26995580996774027,0.40599302555470296,0.19328287642704634,82.41204376217728,53.90314455385561,4.984182098765432,89.57151862116635,6.041905473675437,0.30420021076817627
19,419,72.8415,10.6582,74,13.0087,0,121,115,19,137,16,0.99913,82.28493,0.0,0.0,0.14286,4.215,9.12623,0.0,0.0,127.0,41.55195,0.00049,2.67,3.494,-1.0,0.0,0.19548250214520235,607.3758777946731,40815.80763604794,85.2971364527947,68914.49511544194,0.6977020178819463,0.2696070552587248,0.21079050844193842,6.582984922626543,0.618631117647057,0.33676046557230166,0.185990415126422,0.2676675596419746,0.26892293690401636,0.4064954004417908,0.1918957209174669,85.27306558086386,53.83279136375144,5.021749614197531,89.5673067392272,6.037784339575594,0.30112598824848746
20,420,72.6632,10.8735,74,12.1592,0,121,115,19,137,16,0.99452,82.09304,0.0,0.0,0.25,4.217,9.25558,0.0,0.0,127.0,41.54704,0.00051,2.69,3.232,-1.0,0.0,0.19427679264033926,606.5140191079711,40648.090378403875,85.25452679755729,69004.48911899101,0.697702017881948,0.26866714268535047,0.2124209921959373,6.909899302785803,0.6193803921568628,0.3360612906902314,0.18530122578371555,0.26722142251209324,0.2679194862136649,0.4082482532107346,0.19044820929342757,85.0528913889433,53.8790172058859,6.766734182098766,89.61476410143284,6.011156358938348,0.30060578279418154
21,421,72.3133,10.6734,74,12.8059,0,122,115,19,137,16,0.9997,81.68731,0.0,0.0,0.42857,4.22,9.44647,0.0,0.0,127.0,41.52557,0.00029,2.68,3.434,-1.0,0.0,0.19304662338832687,605.6743104262947,40174.292809097424,85.42335445216918,68883.42601287464,0.6938609769028864,0.26782757063653995,0.2132265461655246,6.645993146842027,0.619263137254902,0.33540846403776986,0.18450744128367044,0.267122404075547,0.2668086545265023,0.4105526094353878,0.1893084148253813,85.28966965493278,53.86587336033951,6.69970100308642,89.67622382883435,6.051657169288323,0.3013603027077902
