,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,contrast,uhdhdsim,cubrow.0.5,cubrow.0,cubrow.1.0,cubrow.0.3,blur,cubcol.0.6,temporal,tone,saturation,blockiness,noise,cubcol.1.0,cubrow.0.6,staticness,cubcol.0.5,fft,color_fulness,cubcol.0,cubcol.0.3,movement
0,0,88.8375,0.0,91,0.0,0,116,118,21,137,20,1.00115,97.93881,0.0,0.0,0.64286,4.157,0.0,0.0,0.0,128.0,42.81011,8e-05,0.56,2.907,0.0,0.15211,89.37523871134847,88.6014748533401,0.33204838675758014,0.39513484534225085,0.266955005762288,0.35285387618866726,66706.91083498683,0.273238138541449,0.0,0.6232279411764706,53.690540266625675,5.204297300508342,0.6833670577941297,0.4192829214750167,0.36530808187161795,610.8325849941054,0.19894354999793756,69904.1824713883,80.99128552762954,0.2536445734924443,0.2869866237494615,0.0
1,1,88.8375,0.0,91,0.0,0,116,118,21,137,20,1.00115,97.93881,0.0,0.0,0.64286,4.157,0.0,0.0,0.0,128.0,42.81011,8e-05,0.56,2.907,-1.0,0.15211,89.37523871134847,88.6014748533401,0.33204838675758014,0.39513484534225085,0.266955005762288,0.35285387618866726,66706.91083498683,0.273238138541449,0.0,0.6232279411764706,53.690540266625675,5.204297300508342,0.6833670577941297,0.4192829214750167,0.36530808187161795,610.8325849941054,0.19894354999793756,69904.1824713883,80.99128552762954,0.2536445734924443,0.2869866237494615,0.0
2,2,88.8375,16.0539,91,0.0,0,116,118,21,137,20,1.00115,97.93881,0.0,0.0,0.64286,4.157,0.0,0.0,0.0,128.0,42.81011,8e-05,0.56,2.907,-1.0,0.15211,89.37523871134847,88.6014748533401,0.3320483867575802,0.39513484534225085,0.266955005762288,0.35285387618866726,66706.91083498683,0.273238138541449,0.0,0.6232279411764706,53.690540266625675,5.204297300508342,0.6833670577941297,0.4192829214750167,0.36530808187161795,610.8325849941054,0.19894354999793756,69904.1824713883,80.99128552762954,0.2536445734924443,0.2869866237494615,0.0
3,3,89.0893,16.1506,91,24.355,0,116,118,21,137,20,1.00783,98.26505,0.0,0.0,0.5,4.162,13.83762,0.0,0.0,128.0,42.80513,0.00012,0.56,3.156,-1.0,0.14598,89.788725031096,88.59072174708699,0.3296865672892171,0.3843189382790589,0.26768259773964537,0.3453028986871178,66991.89971783015,0.26274973431966386,6.023497931241854,0.6235643137254901,53.723941567503374,4.8623896501108606,0.6855846838373593,0.4177923848275442,0.3563214936420628,608.253876960806,0.19752774327558645,69877.86677315792,80.41601245088486,0.2362840233207536,0.2841275132979186,9.694010416666666
4,4,88.6953,15.9766,91,24.5307,0,115,117,20,137,20,0.99784,97.89102,0.0,0.0,0.14286,4.164,13.92477,0.0,0.0,128.0,42.65845,0.0001,0.56,2.918,-1.0,0.152056,95.12344031640464,88.63177258670346,0.32879326301409767,0.3775975726294255,0.2693407639989364,0.3391859225683824,65214.21410759157,0.25471077503128003,6.15361821239419,0.622894156862745,55.22603993356964,5.871553027365926,0.6811494317508987,0.4165509625613628,0.34589893836026064,601.5982052048237,0.20095393713940948,69798.02166751832,79.14418087610535,0.2308200099118164,0.2816422971742449,9.22902199074074
5,5,88.7958,16.0245,91,24.0248,0,115,117,20,137,20,1.00817,97.99652,0.0,0.0,0.32143,4.169,13.76344,0.0,0.0,128.0,42.64354,9e-05,0.56,2.257,-1.0,0.132733,93.33148713881133,88.60684885014508,0.3284998127890418,0.37515496622715355,0.2698762629691346,0.3336761985654732,65288.86725261214,0.25006577028669713,6.017042865748176,0.6236517647058823,55.423440627109855,4.301085352993745,0.6811494317509071,0.4153772801294318,0.340627508704127,596.7246581168218,0.20624075337831363,69722.61434264472,78.78547359684927,0.2285550703132782,0.2800639458768357,6.652874228395062
6,6,89.0045,15.8827,91,24.1906,0,116,117,20,137,20,1.00763,98.20659,0.0,0.0,0.46429,4.173,13.80673,0.0,0.0,127.0,42.65445,9e-05,0.55,2.271,-1.0,0.124191,90.43557837371551,88.59336027035448,0.32970002337208437,0.3750895669400619,0.2713284814195396,0.3303507469859206,65894.90263002689,0.24650188278844495,6.021560533746553,0.6236325490196077,55.32375326274354,4.862011943202704,0.6833670577941376,0.41568409897733216,0.33694291903300794,593.1327022787129,0.21438106685442174,69718.62951154786,78.82712797508552,0.22916507357398255,0.2786470649851526,5.777054398148148
7,7,89.1972,15.627,92,22.8842,0,115,117,20,137,20,1.00465,98.40876,0.0,0.0,0.39286,4.184,13.68279,0.0,0.0,128.0,42.76503,0.00011,0.56,2.729,-1.0,0.122372,91.36191602725653,88.57117144996145,0.33093265166607944,0.37628231140381924,0.2712856505594167,0.32792771051790115,66434.65651652118,0.24410025061388024,5.9774602621598065,0.6250580980392154,55.52594766499084,4.241809014099447,0.6833670577941321,0.4156756794171538,0.33401713892493196,590.5759500343612,0.22160467743417642,69803.50698072127,78.64760111305549,0.23165082570941142,0.2772693493214082,5.1458815586419755
8,8,89.1997,15.5913,92,24.4961,0,115,117,20,137,20,1.00639,98.37582,0.0,0.0,0.25,4.175,13.46144,0.0,0.0,128.0,42.77652,0.00015,0.56,2.982,0.14146,0.124741,89.82887136064261,88.5487879542155,0.3323713198045478,0.3758363313846891,0.270989315574258,0.32630804301135174,66389.26631627973,0.2428174023043091,5.90108050217136,0.6259960784313726,55.508956720799574,4.312143933753597,0.6833670577941344,0.4144356396824808,0.3301024730009575,588.548768914556,0.22664470986420962,69745.11059983246,78.74755337680664,0.23107288188781364,0.2754573510037536,4.573206018518518
9,9,89.3387,15.47,92,24.3183,0,116,117,20,137,20,0.99778,98.51088,0.0,0.0,0.32143,4.171,13.43589,0.0,0.0,128.0,42.83016,0.00015,0.55,3.523,-1.0,0.118419,88.7997456073025,88.5230389095264,0.3306360676031138,0.37471168082075923,0.2705394806230638,0.3240389720684574,66584.67605130686,0.24270281158518173,5.972083775850068,0.6269772549019608,55.642377876941076,5.214280365366764,0.6811494317509063,0.4124857375989522,0.3280088674017004,587.0479838004147,0.22975401404863313,69909.48669569081,79.02818182561676,0.22533972565474844,0.27354281623729426,4.275318287037037
