,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.1.0,cubrow.1.0,noise,cubrow.0.3,blockiness,cubrow.0.6,cubcol.0.5,staticness,uhdhdsim,cubcol.0.6,saturation,blur,tone,cubcol.0,temporal,movement,color_fulness,fft,cubcol.0.3,cubrow.0,contrast,cubrow.0.5
0,100,86.5297,15.9741,87,0.0,0,119,117,19,136,18,0.99032,94.88908,0.0,0.0,1.07143,4.268,0.0,0.0,0.0,129.0,42.31234,7e-05,0.56,2.422,0.0,0.163202,0.3306643084031998,0.25245300623499733,0.640362177530685,0.3156688898142844,5.389756390884674,0.3174293393512877,0.30068290473706794,578.1984691027681,89.07220338251877,0.22154431224289162,50.59558538743008,63065.005761201464,0.6355627450980392,0.23349107031107055,0.0,0.0,91.38100437794132,69771.48730397038,0.23164446886313755,0.47324059186097794,85.79237795616066,0.32084234679899304
1,101,86.8738,16.0614,88,23.3825,0,119,117,19,136,18,0.99251,95.30015,0.0,0.0,1.03571,4.275,13.77117,0.0,0.0,128.0,42.45276,0.00011,0.57,2.416,-1.0,0.17935,0.3266371315135425,0.2408632593924295,0.644797429617142,0.30947544714244507,8.981883932168897,0.2988790802743708,0.2846444662522344,574.47984048783,89.0638678509179,0.22063064493819853,50.72893665455006,63948.64947363284,0.6367096274509803,0.23391298344936542,5.779946633193227,6.056712962962963,90.20306386663759,70031.3013090586,0.22843241594677996,0.43539410246252375,88.50241470535057,0.31781664266455983
2,102,86.7948,16.1769,88,23.2245,0,119,117,19,136,18,1.00207,95.29013,0.0,0.0,0.67857,4.26,13.85411,0.0,0.0,128.0,42.60477,0.00011,0.56,2.665,-1.0,0.191476,0.3207477630019121,0.23580388841559027,0.650856096639426,0.3111722234458202,8.758417264396044,0.2955862042300127,0.27203225078092425,571.4067711225665,89.09019597586274,0.22554933526353588,50.81980217827691,63944.57270575542,0.6380679019607841,0.21960133136299176,5.814901532180997,5.529755015432099,89.41664278906859,70110.34715651035,0.22837837510653605,0.4275020048921242,89.19781969911459,0.31807963459988003
3,103,86.7873,16.0384,88,22.5537,0,119,117,19,136,18,1.00987,95.38237,0.0,0.0,1.10714,4.252,13.95074,0.0,0.0,129.0,42.74427,0.00012,1.23,2.482,-1.0,0.189175,0.31302889656702815,0.23521662084780365,0.652479511575259,0.31292871558238294,8.007651845037499,0.2956953424164313,0.2585096847578488,569.24408784898,89.08754326440453,0.22905720539192073,50.94009587794175,63652.047199106186,0.6381259411764704,0.21882413771636203,5.795728810708249,5.022907021604938,89.46081595029501,70048.71921909579,0.22526955678244004,0.42215008385513747,88.48581665945568,0.3163445053972963
4,104,86.969,15.706,88,23.9678,0,119,117,19,136,18,1.00713,95.6064,0.0,0.0,0.71429,4.252,13.82763,0.0,0.0,128.0,42.79915,9e-05,1.24,2.853,-1.0,0.214855,0.3034888282589082,0.23595129130220938,0.6524795115752636,0.313142596717854,7.157563132265114,0.29485463994368794,0.2518365972831411,567.7434856644146,89.00744342254225,0.22927310966293687,51.00434479890046,63573.615258626356,0.6375470588235295,0.22752311098035496,5.848397848517774,4.58227237654321,90.07698453488217,69770.21871132142,0.22346195343499672,0.4160255774623977,87.63672767944048,0.31321926006991413
5,105,87.263,15.6037,88,21.793,0,119,117,19,136,18,0.99155,95.88343,0.0,0.0,0.39286,4.253,13.54138,0.0,0.0,128.0,42.89804,0.00012,0.57,2.358,-1.0,0.200314,0.2967251127722364,0.23875426717148612,0.6524795115752658,0.3130309481186934,6.910806293728495,0.29445779328431637,0.2442412131433856,566.7026197730353,88.98755312008235,0.23017067124377327,51.05050131715374,64245.99181875317,0.6384258823529412,0.2313493844869857,5.811003834166657,3.9144483024691357,90.04534944752514,69784.50679247997,0.22642096386084207,0.41313668661178526,88.6709651500384,0.31102340106561066
6,106,87.2373,15.5979,88,21.3511,0,119,117,19,136,18,0.99026,95.86195,0.0,0.0,0.35714,4.245,13.45719,0.0,0.0,129.0,42.97306,0.00013,0.56,2.47,-1.0,0.220365,0.2929916566718195,0.2417625756413741,0.6524795115752664,0.31225943086777097,8.641794140077412,0.29326238417294825,0.24067683461096617,566.0144383077219,89.01034801572658,0.22950108660661758,51.08830374258536,64127.70174921602,0.6391866666666667,0.23270754977571112,5.8688679171419444,3.528935185185185,90.53419976265616,69784.7218599274,0.22796850813233302,0.4158242244574486,86.42198085006517,0.3093473638871892
7,107,87.5338,15.49,89,22.678,0,119,117,19,136,18,0.99717,96.16857,0.0,0.0,0.39286,4.246,13.4546,0.0,0.0,129.0,43.07326,0.00013,0.57,2.319,-1.0,0.247358,0.2912860845127612,0.2433390245025226,0.652479511575264,0.3127800541289577,10.34916140430957,0.2935812328490944,0.2367987647567923,565.6813184469561,88.96755018988114,0.22859247576209749,51.20516308443046,64803.280494187245,0.6392862745098039,0.2351048974086405,5.855673491327623,3.3232060185185186,91.39992166075648,69897.02924038794,0.22956576577118779,0.42160727455235464,87.08486712427674,0.3072166747796308
8,108,87.6472,15.5863,89,21.072,0,119,117,19,136,18,1.00443,96.2568,0.0,0.0,0.5,4.25,13.36898,0.0,0.0,129.0,43.14261,0.0001,0.57,2.36,0.17387,0.241687,0.2880913883355957,0.24401086931605162,0.6524795115752643,0.31301609350449827,9.031852968360162,0.2946116048106997,0.23630596333162632,565.4453613548544,88.98612602072882,0.22848653341025593,51.3398232165678,65037.6326223036,0.6393678431372549,0.2364616380649863,5.694332414774234,2.9621913580246915,92.0028108348352,69806.11212186744,0.23171470667428773,0.4226002960756509,89.71031334821865,0.3060366195692454
9,109,87.3497,15.3444,88,23.0936,0,119,117,19,136,18,0.99269,95.92443,0.0,0.0,0.32143,4.239,13.44561,0.0,0.0,129.0,43.19088,9e-05,0.57,2.543,-1.0,0.256064,0.28520913157042105,0.24436456564412784,0.6524795115752648,0.3130499497560087,9.379788375294066,0.29506461596441846,0.236803638149179,565.2574499991849,89.03550124843066,0.22863911783598098,51.26318547755112,64481.06467947501,0.638915294117647,0.2446374101125266,5.778363323917016,2.913869598765432,92.43726752419292,69872.64344507495,0.23328550616172786,0.4250624109568201,88.71312834702631,0.3059239233498434
10,110,87.1884,15.3043,88,22.8931,0,119,117,19,136,18,0.9814,95.70989,0.0,0.0,0.46429,4.223,13.23129,0.0,0.0,129.0,43.23634,8e-05,0.58,2.402,-1.0,0.282772,0.2858378239241469,0.2449167183066886,0.652479511575258,0.3128474729420381,13.143524531470806,0.2952603536427925,0.23549379747002044,565.1206477693212,89.01237015260911,0.22911693630106492,51.233164281020926,64078.908576774586,0.6388619607843138,0.25125778062074855,5.723370314189326,4.4781057098765435,93.18060853699245,69920.39641392925,0.23381230001948525,0.425639050733574,88.52167413316526,0.30531289316839344
11,111,86.9174,15.3458,88,23.0821,0,119,117,19,136,18,0.98216,95.40418,0.0,0.0,0.28571,4.232,13.19675,0.0,0.0,129.0,43.15404,7e-05,0.57,2.465,-1.0,0.274824,0.2896445450703783,0.24611753958657995,0.6502618855320332,0.3126912269568899,11.496294047763149,0.29627309811789904,0.23604655565160718,564.9580607701381,89.01678425129164,0.2293998144630316,51.30424367645641,63512.61658649141,0.6376635294117647,0.2531229422504579,5.695284533221483,4.5961130401234565,93.00729372929173,69933.26145142422,0.23261972207162074,0.4251419300801155,85.77077008985496,0.30494732539769587
12,112,87.0239,14.7369,88,23.0739,0,119,117,19,136,18,0.99543,95.47912,0.0,0.0,0.17857,4.245,13.23773,0.0,0.0,129.0,43.16693,9e-05,0.57,2.346,-1.0,0.301475,0.29381838375531893,0.2465594466538362,0.6518853004678629,0.31330246837073816,8.55804540577782,0.29680187448133477,0.2361903280912605,564.7601639124457,89.04338223418726,0.22972381107806708,51.33385797194493,63650.55003322675,0.6380090196078417,0.25294493571449556,5.726083415577371,4.301745756172839,93.93046297374056,69762.67620966327,0.23136140809628394,0.42408485469431323,88.70451178126014,0.30463034368223013
13,113,87.3447,14.0375,88,21.0648,0,119,117,19,136,18,1.00049,95.7889,0.0,0.0,0.17857,4.267,12.72542,0.0,0.0,129.0,43.18581,0.0001,0.57,2.344,-1.0,0.300856,0.29723187530934675,0.24746262747846187,0.6502618855320289,0.3149056386613397,9.574339194424255,0.29664761602008255,0.23569754306771876,564.5645654251229,89.04460352528986,0.22968237709288,51.32994927300347,64278.336599143695,0.6383498431372547,0.25560503433803494,5.720176096668991,3.8362268518518516,93.71004635027256,69897.5550291111,0.23126764240542866,0.4219609854978687,88.4451108474954,0.30482571282489623
14,114,87.3243,14.1706,88,20.7064,0,119,117,19,136,18,0.99186,95.85431,0.0,0.0,0.14286,4.243,12.11844,0.0,0.0,129.0,43.22857,0.00015,0.57,2.629,-1.0,0.303499,0.3030296315789397,0.24829467813066167,0.6524795115752611,0.31602756351224526,8.990876815529917,0.2969920028976112,0.23533356543295778,564.4146703351881,89.03197957598687,0.22968573289178223,51.42751754949122,63928.493443734675,0.6397329411764706,0.2530838903008388,5.636814752637837,3.5436439043209877,93.22110700975036,69846.91774403118,0.2316625832118348,0.417847109924312,85.86935271520258,0.3047819354887842
15,115,87.3643,14.488,88,21.2053,0,119,117,19,136,18,0.98465,95.90829,0.0,0.0,0.14286,4.231,12.23976,0.0,0.0,129.0,43.19988,0.00012,0.57,2.387,-1.0,0.286225,0.3078259613261218,0.24781128735718733,0.6524795115752595,0.3182547048761666,8.513597165727225,0.29736766584839425,0.2352828435056601,564.2824305666901,88.98008859110331,0.22977221936566633,51.41907962751977,63927.39342766571,0.6397569215686272,0.2535390816441487,5.566936765158525,4.875916280864198,93.30731222448478,69821.88773725157,0.23200923934526643,0.4140258117261601,88.0158573453579,0.3051611018573624
