,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blockiness,cubrow.0.5,contrast,cubrow.1.0,movement,cubrow.0.3,uhdhdsim,fft,cubcol.1.0,cubcol.0,blur,temporal,tone,cubrow.0.6,color_fulness,noise,staticness,cubcol.0.5,cubcol.0.3,saturation,cubcol.0.6,cubrow.0
0,300,79.0865,12.4797,77,0.0,0,121,117,19,137,15,0.99907,86.09963,0.0,0.0,0.28571,4.302,0.0,0.0,0.0,128.0,41.64288,0.00015,0.55,3.758,0.0,0.342126,7.58240838248017,0.3313125634003981,85.9850647885983,0.2797192449962668,0.0,0.24945416930746772,89.54148733331486,68841.8472881953,0.35267850877267287,0.21139295025301708,48424.35262937957,0.0,0.629575294117647,0.2991531995163014,86.18295113854394,0.6072570052685727,621.5165153075079,0.1711453866974109,0.23239964208744338,51.09762403700087,0.2366368608981707,0.3718740807842296
1,301,79.1757,12.5039,77,18.2037,0,121,117,20,136,16,0.99742,86.21629,0.0,0.0,0.17857,4.29,10.74447,0.0,0.0,128.0,41.83272,0.00015,0.55,2.88,-1.0,0.329505,6.994643785572122,0.31524551058078504,86.2321381348462,0.2702882897393085,4.624469521604938,0.23394144884603585,89.5359181119398,68908.76497007588,0.3432969206672798,0.2025230400215797,48662.47893463029,5.630395189250922,0.6328494117647059,0.2739640709244531,86.95470040269097,0.60725700526858,622.925279356934,0.1702488344406191,0.21264521286659388,50.14228462878568,0.2326023055726208,0.3667513215411757
2,302,79.1693,12.5586,77,17.5926,0,121,117,20,136,16,0.98766,86.178,0.0,0.0,0.03571,4.297,10.75926,0.0,0.0,128.0,41.82205,0.00022,0.56,3.115,-1.0,0.345617,7.121706775919669,0.3083305667585291,85.85755444741562,0.2639770874208921,3.3645833333333335,0.22547172000275717,89.49730035800013,68912.66714911888,0.3434205885018321,0.1902463175768449,48755.48783877946,5.442143773513766,0.6336812549019605,0.26754383363875545,86.82825615564278,0.6072570052685742,623.6415983157052,0.1717681978033506,0.20316879842353666,50.03653274347752,0.2334558142466115,0.3589761016734681
3,303,79.0289,13.0346,77,18.3754,0,121,117,20,136,15,0.9859,86.03107,0.0,0.0,0.17857,4.32,10.80713,0.0,0.0,128.0,41.79357,0.00026,0.56,3.46,-1.0,0.31425,5.627240631052346,0.3034631081218789,85.08341204791313,0.25668498832654757,2.951437114197531,0.2197918517058088,89.52288525559156,68929.11210172524,0.3425825767425721,0.18290912930196288,48598.014795648705,5.339192714742989,0.6352176470588236,0.2679032447994646,85.9992730542582,0.6028217531821204,623.5022292613829,0.17276460195796267,0.20000043323414293,50.050226282190394,0.23399292057967452,0.3552247769543249
4,304,79.1229,13.1006,77,18.1241,0,121,117,20,136,16,0.98812,86.06673,0.0,0.0,0.39286,4.315,11.21737,0.0,0.0,128.0,41.70342,0.00028,0.56,3.021,-1.0,0.323491,5.706215980796602,0.3017959055622688,86.06904191063356,0.2513760459203002,3.033371913580247,0.21537452241133395,89.52265737485028,68935.83494589725,0.33830840822080266,0.1820649670637039,48808.25721753345,5.480185926531312,0.6350969999999999,0.2669589205571217,85.73669783998515,0.6050393792253405,622.9568248035825,0.17388238285805357,0.19961890648488878,49.969492971161266,0.2345111875490501,0.35466433804942427
5,305,79.3483,13.2251,77,17.7217,0,121,117,20,136,16,0.98657,86.31467,0.0,0.0,0.60714,4.306,11.26857,0.0,0.0,129.0,41.65226,0.00021,0.56,3.143,-1.0,0.321058,6.084615817894849,0.29830162148893574,85.5541760381121,0.24784283589719242,2.994261188271605,0.21115934453613558,89.52192521385305,68875.30621380199,0.33165140164318613,0.18226004647386923,49347.93206833436,5.509197600222964,0.6335650980392157,0.2652632189054564,85.73976528818889,0.607257005268572,622.2448508664737,0.17529735253333992,0.20354053322819826,49.94788030930508,0.23469946310870585,0.35651346541046175
6,306,79.3118,13.1881,77,18.1119,0,121,117,20,136,16,0.99685,86.33069,0.0,0.0,0.85714,4.328,11.38414,0.0,0.0,128.0,41.66654,0.00023,0.56,3.23,-1.0,0.294443,5.5983371904223675,0.2972957148747772,86.9260468141984,0.2474911885913336,2.8777970679012346,0.2081994598785304,89.50797024904162,68899.2425512112,0.3258646823070536,0.1815761137517403,49254.206130201695,5.5854535055724455,0.633256862745098,0.2644010415986916,85.68483033416945,0.6072570052685768,621.5747428113164,0.17636649489557263,0.20695641495111547,50.05540899582851,0.23462253573244088,0.3579113728264966
7,307,79.1835,13.186,77,18.0609,0,121,117,20,136,16,1.00603,86.20324,0.0,0.0,0.5,4.333,11.35086,0.0,0.0,128.0,41.64178,0.00029,0.57,3.457,-1.0,0.27601,5.632128901458702,0.2970520220314963,85.25350915942202,0.24923830686988752,2.644483024691358,0.2060050738473025,89.4985522910732,68862.08790052944,0.3238388584009692,0.182531581528238,48933.09645108609,5.5908310198981646,0.6324964705882354,0.26374069484253554,85.95750562488922,0.6072570052685756,620.8430033195817,0.17659753096966282,0.2102341816860146,50.03769203468605,0.2350402142939158,0.35767864029810215
8,308,79.2954,13.1848,77,17.8629,0,121,117,20,136,16,0.99505,86.3023,0.0,0.0,0.28571,4.343,11.3485,0.0,0.0,128.0,41.62364,0.0003,0.57,3.08,0.17451,0.280546,5.411055184176932,0.2970006069762451,86.6699443576661,0.2509567082372147,2.474778163580247,0.20465446992613545,89.49772146043966,68829.3043071982,0.32066074258777794,0.18278469761572094,49266.2981592279,5.561643192438724,0.6329396078431373,0.2632110579990111,85.9666669475739,0.6072570052685767,620.1343500760343,0.177117541385374,0.2164907593988408,50.05481258439429,0.2356119423153559,0.3572725026468337
9,309,79.1779,13.3143,77,17.8193,0,121,117,20,136,16,0.99264,86.12295,0.0,0.0,0.5,4.332,11.35016,0.0,0.0,128.0,41.58422,0.00024,0.56,3.247,-1.0,0.279349,4.127647531019706,0.29619146679453506,86.67713201889518,0.2518094642954456,2.363088348765432,0.20543960533179828,89.50091465938372,68955.48915142889,0.3199583679009947,0.1817286124539246,49125.568721132826,5.577458761120147,0.631710588235294,0.2628447272555484,86.07089021652601,0.6072570052685731,619.4426652090496,0.17686424815851803,0.22182965005835115,49.99079857343509,0.23570479074484313,0.35752844220462987
