,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,movement,uhdhdsim,cubrow.0.5,tone,noise,cubcol.0.3,cubcol.0.5,cubrow.0,blockiness,saturation,color_fulness,blur,cubcol.0.6,temporal,cubrow.0.6,cubrow.1.0,cubrow.0.3,fft,contrast,staticness,cubcol.1.0,cubcol.0
0,0,85.7586,0.0,83,0.0,0,116,118,18,137,17,0.99894,91.01306,0.0,0.0,0.57143,4.158,0.0,0.0,0.0,128.0,42.1753,0.00012,0.5,2.78,0.0,0.271039,0.0,89.08156259262368,0.30695412630929597,0.6111725490196078,0.5951396712239887,0.2633233949054516,0.17724268690438916,0.3673044335492396,4.997376145814401,53.420334239064914,79.39700080452997,57557.18641258999,0.24776110406821572,0.0,0.3417462447189389,0.24488243189262726,0.3260759293683716,69320.05123001839,88.39508999039089,601.7007855004097,0.3931922773856093,0.22788397229150595
1,1,85.7586,0.0,83,0.0,0,116,118,18,137,17,0.99894,91.01306,0.0,0.0,0.57143,4.158,0.0,0.0,0.0,128.0,42.1753,0.00012,0.5,2.78,-1.0,0.271039,0.0,89.08156259262368,0.30695412630929597,0.6111725490196078,0.5951396712239887,0.2633233949054516,0.17724268690438916,0.3673044335492396,4.997376145814401,53.420334239064914,79.39700080452997,57557.18641258999,0.24776110406821572,0.0,0.3417462447189389,0.24488243189262726,0.3260759293683716,69320.05123001839,88.39508999039089,601.7007855004097,0.3931922773856093,0.22788397229150595
2,2,85.7586,15.0871,83,0.0,0,116,118,18,137,17,0.99894,91.01306,0.0,0.0,0.57143,4.158,0.0,0.0,0.0,128.0,42.1753,0.00012,0.5,2.78,-1.0,0.271039,0.0,89.08156259262368,0.30695412630929597,0.6111725490196078,0.5951396712239887,0.2633233949054516,0.17724268690438913,0.3673044335492396,4.997376145814401,53.420334239064914,79.39700080452997,57557.18641258999,0.24776110406821572,0.0,0.3417462447189389,0.2448824318926273,0.3260759293683716,69320.05123001839,88.39508999039089,601.7007855004097,0.3931922773856093,0.22788397229150598
3,3,86.0243,15.2064,83,24.7502,0,116,118,18,137,17,1.00605,91.33903,0.0,0.0,0.60714,4.156,12.9933,0.0,0.0,128.0,42.16867,0.0001,0.49,2.581,-1.0,0.25993,8.704427083333334,89.07228727597689,0.30477436848666445,0.6112313725490196,0.5951396712239906,0.2605040652327206,0.17673315999542866,0.3565164544268375,4.954939204932964,53.46335422845534,78.85839146067293,57724.24706144682,0.23779718754542264,5.666544314900981,0.33284621279862936,0.2458571073038869,0.3197573759331595,69234.34754593151,85.0228856305847,599.5324475235728,0.39161533178719515,0.2117024608981905
4,4,85.6844,15.0289,83,24.9778,0,115,117,17,137,17,0.99757,91.01352,0.0,0.0,0.53571,4.154,13.10211,0.0,0.0,127.0,42.02019,0.00011,0.5,2.442,-1.0,0.267717,8.575858410493828,89.10258293129999,0.30445218028083354,0.6106160784313726,0.5951396712239906,0.25760287920244623,0.17959516788199742,0.35128351897326165,3.6797174642281623,55.03713461793499,77.58547674143828,56177.08875062268,0.23027537217224944,5.81161778671553,0.3226702199904074,0.2485234318690507,0.3143310791552696,69175.73634210727,90.5191418127844,593.3836242458605,0.3912853467164417,0.2086721828946212
5,5,85.7611,15.0983,83,24.3901,0,115,117,17,137,17,1.00828,91.11375,0.0,0.0,0.57143,4.161,12.93888,0.0,0.0,128.0,42.00292,0.00012,0.5,2.635,-1.0,0.260096,6.146267361111111,89.08224390958551,0.30440499052454584,0.6105749411764705,0.5951396712239897,0.2559518221445322,0.1852377995267892,0.3487767472759236,4.697157672927461,55.23318500283324,77.27697003399228,56215.01777357612,0.2263741531346623,5.648686084545563,0.3173240246741305,0.24972917394179697,0.3094071475885152,69162.57745968695,89.4246531327504,588.9379549070605,0.39049038173060496,0.2072609466943065
6,6,85.9378,14.9906,83,24.4219,0,115,117,17,137,17,1.0075,91.31387,0.0,0.0,0.71429,4.156,12.99834,0.0,0.0,127.0,42.01594,0.00012,0.49,2.597,-1.0,0.238823,5.4047067901234565,89.08036034407013,0.306187996273869,0.610547843137255,0.5945454601165926,0.25523940905050335,0.19270281434174213,0.34862841878584616,5.34049524682922,55.138168523341044,77.41413241144294,56772.99246483963,0.22324980520381935,5.656637352309698,0.3134276928370147,0.25223397816536275,0.3063950302784199,69184.52165227683,88.70058141950874,585.6914100821318,0.3908824064568384,0.20733421139824815
7,7,86.1158,14.7382,84,23.4685,0,115,117,17,137,17,1.00567,91.51117,0.0,0.0,0.71429,4.184,12.90558,0.0,0.0,127.0,42.12679,0.0001,0.48,2.675,-1.0,0.247025,4.847366898148148,89.05149503186652,0.30737197014182005,0.6126074509803922,0.5951396712239918,0.25417336650484307,0.19944888422710555,0.34932324559551375,3.890057966601974,55.33807391884886,77.11399999193335,57201.63060724095,0.22117105250494495,5.62351453579616,0.31063097741466766,0.25268440044544827,0.3044253605692509,69154.77185655317,87.60060104445442,583.4014391260628,0.39078732436995445,0.21021471336104702
8,8,86.1514,14.6932,84,24.9382,0,115,117,17,137,17,1.0052,91.52092,0.0,0.0,0.64286,4.18,12.68729,0.0,0.0,128.0,42.14184,0.00015,0.48,2.869,0.16332,0.231651,4.308641975308642,89.02914549762848,0.30880251136464304,0.6138854901960784,0.5951396712239893,0.25217942019139283,0.20412281033109547,0.34890740243685997,4.9549420948817025,55.3139013596523,77.44267458691586,57201.60943203008,0.22019911131194547,5.546526183752072,0.3068888422634931,0.25256531369913904,0.3032327945949251,69118.71396357878,85.4102326298142,581.610991235004,0.3893029019629412,0.2089731192335412
9,9,86.3331,14.5865,84,24.3752,0,116,117,17,137,17,0.99668,91.7002,0.0,0.0,0.57143,4.168,12.65204,0.0,0.0,127.0,42.19608,0.00012,0.49,3.012,-1.0,0.237125,4.031298225308642,88.99071998786636,0.3072105215170088,0.6152956862745098,0.5951396712239914,0.2508452844478967,0.20664847081523857,0.34705554769827657,8.006366169723224,55.44981158221209,77.63356217664402,57394.72390705485,0.22031310168136048,5.618317031982277,0.3048334780549849,0.2519758181872343,0.3011796002028097,69320.37863870265,87.88432578768035,580.3259597682577,0.38731808687160857,0.20336019723181964
10,10,86.8379,14.4205,84,25.2927,0,116,117,17,137,17,0.98687,92.21321,0.0,0.0,0.75,4.171,12.56271,0.0,0.0,126.0,42.24485,0.00014,0.49,3.108,-1.0,0.250992,6.477237654320987,88.94743031113637,0.30679438003695714,0.6176486274509804,0.5951396712239906,0.2500103195651554,0.20806965899760035,0.34681110941940296,7.330223222399744,55.65742662217882,77.7863613092509,58310.36346474109,0.2211075369125551,5.65981372057373,0.30470906140425114,0.2506140823332186,0.30020834528765067,69351.94285912807,85.80024037899224,579.4878680683184,0.38489205548455996,0.19843373780497126
11,11,86.8678,14.1838,84,24.5656,0,116,117,17,137,17,0.98086,92.14905,0.0,0.0,0.75,4.149,12.41759,0.0,0.0,126.0,42.19881,0.00012,0.49,2.672,-1.0,0.247696,6.754002700617284,88.95451660482367,0.30410418373713666,0.6193600000000001,0.5951396712239881,0.24949661743993565,0.21001455658896195,0.3474676738303271,3.5869116472145866,55.7852545844184,78.07067130217635,58289.85036678938,0.22097217374681355,5.582266286004286,0.303478574692483,0.2491243218360499,0.2995193610433317,69363.58043346654,88.17411208165993,578.5367475661053,0.3834606025536488,0.19437835643649284
12,12,86.7865,13.8595,84,23.9648,0,116,117,17,137,17,0.98939,92.22909,0.0,0.0,0.5,4.15,12.21549,0.0,0.0,126.0,42.25966,0.0001,0.49,3.31,-1.0,0.240779,6.177372685185185,88.94919976384081,0.3026143873473683,0.6210337254901961,0.5951396712239937,0.24939121560063704,0.2108305154150628,0.3492909347761932,3.5458082951423218,55.75564707061391,78.05560290201336,58261.42239993748,0.22029376128702133,5.593413400567689,0.3027648556802776,0.24710250855046859,0.2975387108107171,69383.37649624544,84.70066727630248,577.59798427183,0.38187276351885746,0.19044965678735806
13,13,86.6481,13.7412,84,24.48,0,116,117,17,137,17,0.99431,92.20267,0.0,0.0,0.60714,4.165,11.93653,0.0,0.0,126.0,42.25609,0.00013,0.49,2.765,-1.0,0.235991,5.53515625,88.96816469221821,0.30258818392942033,0.6202993333333329,0.5951396712239928,0.24836612795796734,0.21103288744341167,0.3510720557517467,3.8986794814592507,55.86312263394579,78.04176406873327,58024.90839491154,0.21980265306341432,5.575983060851907,0.3026594290167543,0.2454379486904616,0.294841290387542,69472.42069047027,85.02881018443105,576.6921247737657,0.3810993371523755,0.18749480348189143
14,14,86.6631,13.5365,84,25.8779,0,116,117,17,137,17,1.0067,92.18484,0.0,0.0,0.60714,4.148,11.83184,0.0,0.0,126.0,42.25964,0.00017,0.5,2.713,-1.0,0.205682,5.067901234567901,88.95987462420437,0.3027994009498587,0.619073725490196,0.5951396712239988,0.24588459781402897,0.21210593194823246,0.35238540385731065,3.8704992594400003,55.92433825834298,77.98707002843928,57716.564238340055,0.2192861509217408,5.516036991776814,0.30339945916207506,0.24390233507453482,0.2932537925425276,69447.68035173518,86.09072218021885,575.8487000460934,0.3797029568187731,0.1849544317222009
15,15,86.9306,13.5466,85,23.5125,0,115,117,17,137,17,0.99858,92.43601,0.0,0.0,0.57143,4.149,11.65566,0.0,0.0,126.0,42.33602,0.00015,0.5,2.776,-1.0,0.22604,6.58275462962963,88.93998104126494,0.30325111148819134,0.6189196078431374,0.6050393792253522,0.24236674933028865,0.21274962804093406,0.35416092921589126,5.399417871773052,55.93013810522762,77.95783273025668,58228.44780544034,0.21833333358166437,5.520959656719238,0.30379305067853674,0.24305469524523912,0.2914996359757292,69361.02667531888,86.69454906812345,575.0058464262638,0.37727271165401427,0.18188010190627668
16,16,87.4202,13.5284,85,23.8248,0,115,117,17,138,17,1.00196,92.95468,0.0,0.0,0.46429,4.163,11.66989,0.0,0.0,126.0,42.42188,0.00016,0.5,2.742,0.16152,0.21586,6.638937114197531,88.90352724119603,0.30353636753777896,0.6196470588235294,0.6050393792253513,0.24004262453388805,0.21233839607114682,0.35535180003283223,3.871526630107724,55.90761820475261,77.93072269464267,59500.076085602435,0.2172436017628945,5.519517328010468,0.3038618399241118,0.24311045919217977,0.28960998333736176,69754.10167766397,85.87821585494689,574.2616578058695,0.37495592255989524,0.18081349058359206
