,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.3,cubrow.0.5,color_fulness,cubrow.1.0,cubrow.0,blockiness,fft,cubcol.0,blur,cubcol.0.6,uhdhdsim,tone,noise,temporal,staticness,contrast,cubrow.0.6,cubrow.0.3,cubcol.0.5,movement,cubcol.1.0,saturation
0,200,78.7669,16.6038,74,0.0,0,117,117,16,136,15,1.01059,82.4488,0.0,0.0,0.35714,4.323,0.0,0.0,0.0,126.0,43.3985,0.00012,0.46,2.398,0.0,0.178499,0.2114348209168764,0.2717319787420972,84.79189651688853,0.24635025869131733,0.25283850103216476,6.91933450574849,69126.13108233864,0.2541489951890673,45747.9389494863,0.21820826650598835,90.20516655956351,0.6248011176470575,0.5416408718517808,0.0,572.2386387888565,88.60568628207815,0.24980839504143262,0.29340856489578787,0.21468789841103578,0.0,0.31120364125570305,51.099527052891105
1,201,78.3203,16.6803,73,28.9764,0,117,117,16,136,15,1.01418,81.96875,0.0,0.0,0.17857,4.317,14.29353,0.0,0.0,126.0,43.21952,7e-05,0.47,2.173,-1.0,0.172608,0.21174937717136225,0.26969578512992587,85.3248189160048,0.22533153702928058,0.23190064954043443,5.900372326319721,68986.98256977963,0.22786947767800522,44480.764123468536,0.2108169979591616,90.19863804985164,0.6216596078431373,0.539423245808554,5.8158187514300685,569.3375536602276,87.12821829383307,0.23559304962230707,0.2807260210864739,0.2104001370474345,7.879340277777778,0.29991059375447515,51.15145516101225
2,202,77.7561,16.6235,73,31.3666,0,117,117,16,136,15,1.01838,81.31246,0.0,0.0,0.35714,4.343,14.35834,0.0,0.0,126.0,42.86628,9e-05,0.47,2.073,-1.0,0.207704,0.20304729300426727,0.2712492135552001,84.62678916620877,0.21732685400227214,0.22759619442911577,5.329106346769783,68913.96480432668,0.2375012549882316,43851.71001165805,0.20538143984578322,90.29064193062365,0.6182439215686273,0.5394232458085447,5.842781080960578,566.6013516592457,86.00978771478017,0.22259247484903646,0.2781582132969906,0.21029977311530454,6.971788194444445,0.2934371457382047,50.896763365945695
3,203,77.5621,16.3896,72,29.7041,0,117,117,16,136,15,1.00994,81.09482,0.0,0.0,0.35714,4.317,14.31347,0.0,0.0,125.0,42.65921,0.00013,0.48,2.184,-1.0,0.198247,0.19564521485131112,0.2728554402692447,84.10653731164263,0.21460080097625217,0.21950148214830692,6.425571905808817,68772.15539514688,0.24341129872553305,43347.67085987809,0.20618109113024974,90.28300849071798,0.6171929019607841,0.5372056197653151,5.777817535698323,563.997896307998,85.71737014031666,0.2229124996470284,0.27681060832990434,0.20490886967090097,6.202546296296297,0.2909466924183769,50.88134897491078
4,204,77.589,16.2579,72,28.2076,0,117,117,16,136,14,1.00939,81.10817,0.0,0.0,0.42857,4.302,14.11013,0.0,0.0,125.0,42.53285,9e-05,0.47,2.122,-1.0,0.196256,0.19069907706572362,0.27318750826810134,83.90573355182597,0.21453426831315106,0.2161308847977763,7.197718883162278,68677.06693159559,0.2419029357506738,43366.845870999925,0.20665770172721556,90.29936961982256,0.6177827450980392,0.5372056197653183,5.7611369350781985,561.8897083291617,86.16297554260937,0.22423087889813295,0.27507507252190805,0.20982561332574023,5.607253086419753,0.2944208863261281,50.65387264298804
5,205,77.3078,15.8646,72,29.4925,0,117,117,16,136,14,0.99796,80.76922,0.0,0.0,0.5,4.301,13.99766,0.0,0.0,126.0,42.41292,0.00012,0.46,2.282,-1.0,0.22655,0.18659725977128672,0.2721096313872208,82.47102495057764,0.211836528165857,0.21619628260525617,7.827260204882451,68690.20772295445,0.24588727906362928,43259.022104382864,0.2078688423424143,90.28748110406184,0.6166980392156862,0.5349879937220903,5.786123085236805,559.7802980946185,86.63405808384738,0.2238543148970381,0.27434397473971256,0.21117582521778097,5.073109567901234,0.29144087504178096,50.69271002875434
6,206,77.374,15.8001,71,28.2166,0,117,117,15,136,14,0.98581,80.83014,0.0,0.0,0.46429,4.309,13.66274,0.0,0.0,126.0,42.30109,0.00014,0.47,2.199,-1.0,0.246423,0.18305110697914612,0.2688729045971087,81.87621215026287,0.21322803772773516,0.21458585617171377,5.833936002878661,68816.23098771834,0.24479628441594536,43312.35462793002,0.21010853579777589,90.29668454939565,0.6156388235294118,0.5327703676788609,5.83270795534419,558.0814943912841,88.4570434534898,0.22371334827257966,0.2753394329041346,0.21111399305687223,4.689670138888889,0.2913872274626189,50.50932914828077
7,207,77.167,16.1458,71,27.1593,0,117,117,15,136,14,0.98891,80.62488,0.0,0.0,0.28571,4.306,13.60318,0.0,0.0,127.0,42.14783,7e-05,0.47,2.655,-1.0,0.261544,0.1797279668648177,0.26768067674564755,81.699555135824,0.2133004805974388,0.21256758590063363,6.32273482527438,68712.09488050987,0.24373420791872305,42891.52417714582,0.21177601065319082,90.30925369520808,0.613507450980392,0.5327703676788599,5.780947383916152,556.8477989857564,87.11981094489781,0.22234978947275164,0.2754027462850999,0.21180679477940298,4.324556327160494,0.28938043201833835,50.399899141288095
8,208,77.4099,16.2168,72,25.7129,0,117,117,15,136,14,0.99715,80.82252,0.0,0.0,0.35714,4.317,13.90544,0.0,0.0,126.0,41.99796,5e-05,0.48,2.302,0.16307,0.268355,0.1771040275733936,0.26655241117126227,81.83057784551904,0.21547543189474136,0.2142470252754177,6.048442854009853,68935.50368383876,0.23708676035392182,43492.10344286012,0.21387557935972779,90.26355611934255,0.61372,0.5349879937220869,5.804514266221554,555.9753092509417,86.8868872434988,0.22260298212780139,0.27494025791046245,0.21279071362161836,4.3256655092592595,0.2870780536179973,50.29172939724392
9,209,77.3512,16.0797,71,27.4226,0,117,117,15,136,14,0.99737,80.7176,0.0,0.0,0.82143,4.295,13.96577,0.0,0.0,127.0,41.7905,0.0001,0.48,2.258,-1.0,0.282639,0.17611397692789535,0.2658473979097774,82.46514598409672,0.21634183151963296,0.21051048561901528,5.732118970497637,68884.27399485056,0.23477039718923773,43594.37535765086,0.21570499819195676,90.252593863695,0.6118816666666667,0.5317411638504229,5.828854707101735,555.4716779654028,87.41414646169258,0.2210758233295663,0.27579680237926985,0.21464851223701276,4.462625385802469,0.284795131614902,50.12381847993828
