,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.1.0,fft,blockiness,movement,staticness,temporal,cubcol.1.0,contrast,color_fulness,cubcol.0.3,cubrow.0,cubcol.0.5,noise,blur,tone,cubrow.0.6,cubcol.0.6,cubrow.0.3,uhdhdsim,cubcol.0,saturation,cubrow.0.5
0,400,71.2982,9.73939,62,0.0,0,120,115,13,137,11,0.98678,73.74333,0.0,0.0,0.35714,4.245,0.0,0.0,0.0,126.0,39.96632,0.00075,0.46,3.715,0.0,0.636299,0.2743101836279713,68249.31388252157,4.138672657389863,0.0,610.1440643668714,0.0,0.4517435860780998,87.48589398751,80.25198066202005,0.2322475001155527,0.23196066930956435,0.20617773735089256,0.4980417804809311,33883.87766183861,0.5859494117647058,0.2697073332881374,0.17020601965515614,0.20102061441579797,90.44798539155607,0.385813470261587,54.85598453474634,0.32971073393805594
1,401,71.3218,9.2998,62,13.7958,0,120,115,13,137,11,0.99883,73.76493,0.0,0.0,0.60714,4.234,8.39229,0.0,0.0,126.0,39.98011,0.00071,0.45,3.324,-1.0,0.649633,0.25950259863504466,68014.02997400721,5.838538111022687,2.127218364197531,609.8580114113912,5.03638808647246,0.4258320595981045,88.32646934638946,80.0472557743915,0.23074618713954917,0.22595216405882199,0.1983509808075815,0.4980417804809303,33874.65508663825,0.5860584313725491,0.25789817167962253,0.16813200536923936,0.18610853465992716,90.4588288246216,0.35865894882772736,54.747500384295435,0.30814963809896456
2,402,71.3172,9.25627,62,13.3929,0,120,115,13,137,11,0.99876,73.75779,0.0,0.0,0.67857,4.233,8.02422,0.0,0.0,126.0,39.99087,0.00077,0.45,3.51,-1.0,0.638942,0.25505027867741953,68032.01658018384,6.935792141350488,2.0551697530864197,609.7675298894077,4.941738865850898,0.40971012244544386,88.20447725976618,80.3390013003825,0.23117643423836284,0.21703851737846155,0.19060412730489076,0.49420073950186905,33699.8707119546,0.5861176470588234,0.2540045378575286,0.168482361838509,0.17896289083910225,90.3831312917846,0.3207156604471647,54.91081915961371,0.30726961035828254
3,403,70.9582,9.77866,62,13.5078,0,120,115,13,137,11,1.00151,73.36185,0.0,0.0,0.53571,4.239,7.98056,0.0,0.0,126.0,39.95986,0.00102,0.45,3.728,-1.0,0.651432,0.24943930603305167,67854.42107774678,6.88903851108238,2.040991512345679,609.5434198217714,4.9087057102923985,0.39580531609017083,87.79014376966393,80.35196791587097,0.23299091017512258,0.20819696816473204,0.1852238894085438,0.4919831134586379,33238.31187569702,0.5858874509803921,0.2547217349687888,0.16788739192545007,0.1770533427267159,90.47749604047384,0.2934609130928162,54.90268641342352,0.3081767798427055
4,404,70.7299,9.61477,62,14.3227,0,120,115,13,137,11,1.02935,73.10274,0.0,0.0,0.85714,4.233,8.41875,0.0,0.0,126.0,39.87986,0.00125,0.46,3.477,-1.0,0.666031,0.24451841875098235,67839.68810631121,5.684581618624531,2.211757330246914,609.0933014908541,5.031804790105679,0.38106331006632754,87.19507429924472,80.43792467745314,0.2338128222015515,0.20094575206704282,0.18318548655372563,0.4919831134586395,32975.9491108734,0.5848698039215685,0.2522746521148788,0.16695221429162238,0.17455832245559527,90.48959331782643,0.28025684716095345,54.886387012622976,0.3054324251066682
5,405,70.5978,9.92113,61,13.3374,0,120,115,13,137,11,1.00605,72.9807,0.0,0.0,0.64286,4.246,8.279,0.0,0.0,126.0,39.8447,0.0012,0.45,4.014,-1.0,0.676394,0.2430613868974367,67766.75388139772,6.305918384079099,2.0267650462962963,608.679532018689,5.0032610411135545,0.37375674163463485,87.65836433776417,80.3800361339615,0.23223329089185518,0.19690527960214038,0.18103099509164397,0.49198311345863627,32733.800100653254,0.5846894117647059,0.25120018231419433,0.16649637928476363,0.1751353975490999,90.5291894792304,0.2712405594751514,55.03192082157842,0.3039269387287319
6,406,70.4162,10.083,61,13.8877,0,120,115,13,137,11,0.99252,72.71967,0.0,0.0,0.60714,4.24,8.54777,0.0,0.0,126.0,39.7631,0.00103,0.46,4.063,-1.0,0.681528,0.24205698046210766,67678.98393059085,5.328656253839623,2.035011574074074,608.1759958896513,5.033619211870636,0.37343004827278875,85.54079576399434,80.52269734425789,0.23100225656683396,0.19472468210971797,0.17882410431426782,0.4919831134586327,32584.17080602703,0.5836278431372549,0.2505008438936772,0.166657074903361,0.17381598161388384,90.59698200951998,0.26267699240421555,55.06499660162278,0.3043578245084369
7,407,70.2619,10.0648,61,14.4294,0,120,115,13,137,11,0.98595,72.59308,0.0,0.0,0.96429,4.22,8.69019,0.0,0.0,126.0,39.69625,0.0009,0.45,4.002,-1.0,0.650232,0.24003414361497394,67474.61184256604,5.355719621229997,2.0143229166666665,607.6203545102364,5.024826241928578,0.3728747103057924,85.75749118591085,80.49552637811134,0.23132222460962676,0.19171692479785754,0.1746902808843069,0.4919831134586318,32142.10006595413,0.5827211764705883,0.2491048583652119,0.16671930804854326,0.17126863253508687,90.58938071243472,0.2609262835904221,54.98708164544753,0.30387705641682405
8,408,70.0179,10.4912,60,14.1973,0,120,115,13,137,11,0.99079,72.2444,0.0,0.0,0.35714,4.209,8.68227,0.0,0.0,126.0,39.60433,0.00087,0.46,3.605,0.23354,0.670352,0.23917966460245177,67411.32250485934,5.397223017621191,1.9459876543209877,607.0019753236788,4.991632385519869,0.37023290067536424,89.72704345947064,80.57963624735027,0.23327644857536184,0.18891841222543196,0.1718860130528189,0.49198311345863305,31740.538495368888,0.5813333333333335,0.2481822045925237,0.1672715974445294,0.16944022458442637,90.58128662634374,0.26894201275461044,54.93198969334732,0.3038344946152371
9,409,69.7789,10.3765,60,14.2853,0,120,115,13,137,11,0.99901,72.02749,0.0,0.0,0.57143,4.236,9.04154,0.0,0.0,126.0,39.59064,0.00094,0.45,4.236,-1.0,0.66241,0.23852691394956566,67305.3622051165,5.297244865058113,2.0261863425925926,606.4614678690908,5.076079926125027,0.36533637957838094,87.5018948650283,80.82995283778111,0.2350755505024152,0.18609031065622464,0.1704306390973598,0.49198311345862716,31158.60886126796,0.5819666666666667,0.24738708972311768,0.16762755245649322,0.1662857784546252,90.64072194402564,0.280301791058281,54.962359581464604,0.30231096280791225
10,410,69.9798,10.3224,60,15.2218,0,120,115,13,137,11,0.99685,72.22039,0.0,0.0,0.71429,4.222,8.93252,0.0,0.0,125.0,39.62304,0.00095,0.46,4.013,-1.0,0.652707,0.23845875929904678,67353.62018480011,6.323775339319071,4.199025848765432,605.9345746920454,5.000573655363557,0.36174762010970185,87.19030367058555,81.01729293908993,0.23700468258705276,0.18372113502451673,0.16845361231693254,0.49198311345863033,31241.52366051923,0.5836258823529412,0.24688158654619688,0.16905942985130656,0.16440345740025675,90.59254798660369,0.2865657460791008,54.97947749385127,0.3024851187577146
