,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0,cubrow.0,tone,movement,uhdhdsim,contrast,staticness,cubcol.0.3,saturation,cubrow.1.0,cubrow.0.6,cubrow.0.3,temporal,blur,cubrow.0.5,color_fulness,noise,cubcol.0.5,cubcol.1.0,cubcol.0.6,fft,blockiness
0,0,80.6015,0.0,75,0.0,0,116,118,15,137,15,0.99848,83.37654,0.0,0.0,1.03571,4.159,0.0,0.0,0.0,128.0,41.47523,5e-05,0.47,2.519,0.0,0.267452,0.19701208627943637,0.33678622491441135,0.5973635294117647,0.0,89.716474680142,86.79451322909853,594.7117489679505,0.24209425797039977,53.07328457302517,0.2278134803796114,0.31287887861984653,0.2978021896954542,0.0,47922.02614827435,0.278836444512401,78.46609781499417,0.5416408718517837,0.14991277685256643,0.3608662776673312,0.22004241346596393,68709.68680148739,4.946306048158506
1,1,80.6015,0.0,75,0.0,0,116,118,15,137,15,0.99848,83.37654,0.0,0.0,1.03571,4.159,0.0,0.0,0.0,128.0,41.47523,5e-05,0.47,2.519,-1.0,0.267452,0.19701208627943637,0.33678622491441135,0.5973635294117647,0.0,89.716474680142,86.79451322909853,594.7117489679505,0.24209425797039977,53.07328457302517,0.2278134803796114,0.31287887861984653,0.2978021896954542,0.0,47922.02614827435,0.278836444512401,78.46609781499417,0.5416408718517837,0.14991277685256643,0.3608662776673312,0.22004241346596393,68709.68680148739,4.946306048158506
2,2,80.6015,14.0392,75,0.0,0,116,118,15,137,15,0.99848,83.37654,0.0,0.0,1.03571,4.159,0.0,0.0,0.0,128.0,41.47523,5e-05,0.47,2.519,-1.0,0.267452,0.19701208627943637,0.33678622491441135,0.5973635294117647,0.0,89.716474680142,86.79451322909853,594.7117489679505,0.24209425797039977,53.07328457302517,0.2278134803796114,0.31287887861984653,0.2978021896954542,0.0,47922.02614827435,0.2788364445124011,78.46609781499417,0.5416408718517837,0.14991277685256643,0.3608662776673312,0.22004241346596395,68709.68680148739,4.946306048158506
3,3,80.8775,14.1721,75,24.4675,0,116,118,15,137,15,1.0048,83.69672,0.0,0.0,0.96429,4.161,12.08225,0.0,0.0,127.0,41.46519,6e-05,0.47,2.422,-1.0,0.264852,0.18267076282043732,0.32651279028802366,0.5970717647058823,7.832079475308642,89.69810934878757,86.86171310641576,592.8694263542093,0.2390924356930551,53.12373370888792,0.22887242914248274,0.3051105780842657,0.2919162010629958,5.377429079556367,48024.39924646775,0.2767763540127939,77.92123769307945,0.5416408718517752,0.14947747539026385,0.3604820506561815,0.21065176149525683,68673.0668234857,4.832665864843901
4,4,80.5485,13.9937,75,24.6747,0,115,117,15,137,15,0.99704,83.39072,0.0,0.0,0.96429,4.154,12.2045,0.0,0.0,127.0,41.31339,5e-05,0.46,2.649,-1.0,0.269482,0.18148620202157487,0.3224095584936167,0.5959145098039216,7.874035493827161,89.72297858329797,86.66415297042032,587.1042640690082,0.2349020159706815,54.73335153085214,0.23149854624120556,0.29613618478561676,0.28688651780721725,5.54299717737014,46624.88561776274,0.27694643175045475,76.64214876285101,0.5416408718517819,0.15230280768299778,0.3611390929251867,0.20305528585589153,68598.96195708224,3.6926039814381397
5,5,80.5912,14.0676,75,24.0334,0,115,117,14,137,15,1.00909,83.4579,0.0,0.0,0.92857,4.164,12.037,0.0,0.0,127.0,41.296,6e-05,0.47,2.726,-1.0,0.258689,0.18098377223188064,0.32002225401607026,0.5961972549019608,5.633391203703703,89.71125276786323,86.64439363284687,582.9768083460558,0.23279139394287043,54.933769131884155,0.23282854550400672,0.2912585190828944,0.2828766502337288,5.347667399698522,46652.04671388733,0.27736552678386905,76.56965435298564,0.5432642867876114,0.15779252746095682,0.36152052937175416,0.19936886851738161,68568.30062279044,4.343799017140427
6,6,80.6859,13.9939,75,24.0606,0,116,117,14,137,15,1.00598,83.58464,0.0,0.0,0.60714,4.174,12.10295,0.0,0.0,126.0,41.30269,5e-05,0.46,2.526,-1.0,0.240378,0.1822812287971934,0.319030705063398,0.5963882352941177,4.9701003086419755,89.72006467946093,87.93864860505019,579.9797757789889,0.2319094424186624,54.8386895450545,0.2349330317968266,0.28765239038458656,0.2802835350753846,5.358904986498733,47056.82609725583,0.27944646016108454,76.66827765583884,0.5416408718517817,0.1652354745602771,0.36231859623572976,0.196545337998325,68609.3797217145,5.228582913438927
7,7,80.8595,13.7433,75,23.2056,0,115,117,14,137,15,1.00641,83.79111,0.0,0.0,0.78571,4.196,12.03751,0.0,0.0,127.0,41.41443,6e-05,0.45,3.047,-1.0,0.251114,0.1851456087230114,0.3191232133997831,0.5973477058823529,4.495804398148148,89.69527815164868,88.36871050222152,577.9068817497413,0.23088288545049337,55.03900617434655,0.2350990598426608,0.2847969142077617,0.27833850145268296,5.33475716128742,47429.354438544695,0.28069462391513644,76.36000205179059,0.541640871851794,0.17179028614904815,0.3621354695920695,0.1942691259343298,68557.85372763431,3.7586738507518636
8,8,80.8926,13.6998,75,24.4396,0,115,117,14,137,15,1.0055,83.81127,0.0,0.0,0.71429,4.196,11.81991,0.0,0.0,127.0,41.43123,5e-05,0.45,2.732,0.16281,0.236575,0.18362917194753817,0.31861304484118586,0.5992592156862745,4.009886188271605,89.67360152169697,88.56715357591271,576.3062676762808,0.22917850560201497,55.00983947000386,0.23435334807733085,0.28150499757276515,0.27709641577437943,5.264482522961578,47391.63352091273,0.28198558674139096,76.51679517771663,0.541640871851785,0.1763527493926032,0.3604587732545113,0.19334076860820926,68496.54584259103,4.468707984691562
9,9,81.1397,13.6156,75,23.9605,0,116,117,14,137,15,0.99609,84.05205,0.0,0.0,1.32143,4.17,11.78743,0.0,0.0,127.0,41.48765,6e-05,0.46,2.542,-1.0,0.241213,0.17864930811192717,0.3162993975129443,0.6009435294117647,3.734230324074074,89.62501952556009,86.0647924593996,575.1751545363795,0.22792262596128915,55.15232528874904,0.23341389213942462,0.279646086102626,0.27490999901955526,5.3474461382891265,47633.0880487562,0.2805958994119659,76.69875711339725,0.5416408718517852,0.1783853982474527,0.3578668416627725,0.19338525333361214,68707.80708590009,7.930979573514918
10,10,81.6948,13.4693,76,24.6168,0,116,117,14,137,15,0.98749,84.61124,0.0,0.0,0.78571,4.156,11.7165,0.0,0.0,126.0,41.5379,6e-05,0.46,3.167,-1.0,0.249547,0.17364935137127996,0.3158952596905963,0.6045745098039215,6.104793595679013,89.56945000109185,87.50669871215565,574.4833288205874,0.22712548027976479,55.36849466959636,0.23181766812751547,0.27952252380162773,0.2739158893532838,5.388226784330112,48474.78926822649,0.28004496182379746,76.88299505039569,0.5416408718517806,0.1798176702148695,0.3547604387588246,0.19397243105026343,68699.76506078766,4.264137498948339
11,11,81.6813,13.2411,76,23.6849,0,116,117,14,137,15,0.98037,84.5348,0.0,0.0,1.0,4.137,11.58644,0.0,0.0,125.0,41.4942,6e-05,0.46,2.973,-1.0,0.246438,0.17012463399761443,0.3166325579512528,0.6059023529411766,6.378809799382716,89.58407472651545,86.60277322359771,573.6717181881558,0.22664072380078104,55.49889703444493,0.23016848289171254,0.27855315262199276,0.2735641331065705,5.30141604256138,48380.11648481653,0.2772144441618267,77.27408660163063,0.5416408718517797,0.18183363265425967,0.3528264507096221,0.19383641733480506,68747.87979602182,6.314856095339221
12,12,81.5808,12.9205,76,23.5712,0,116,117,15,137,15,0.9886,84.56125,0.0,0.0,0.82143,4.151,11.39267,0.0,0.0,125.0,41.55438,7e-05,0.46,3.422,-1.0,0.23888,0.16636337486789063,0.31849866588000325,0.6083505882352941,5.834297839506172,89.58563438802418,86.99739334638703,572.8655246844216,0.2268156869745259,55.47339714898003,0.22816107607286024,0.278115436070219,0.27162301250434917,5.314646171427515,48305.858176927075,0.27569516662523486,77.24198727671954,0.5416408718517863,0.18277378911327002,0.35098946517887397,0.1933391275863745,68748.68784438843,3.476673776470702
13,13,81.3831,12.7828,76,24.2226,0,116,117,15,137,15,0.99449,84.46979,0.0,0.0,0.78571,4.18,11.11653,0.0,0.0,126.0,41.5439,4e-05,0.47,3.514,-1.0,0.234668,0.16364949064765957,0.32040319284080226,0.6069970588235286,5.283998842592593,89.61167001825737,85.25696341728975,572.0843010460243,0.22598814616119248,55.57247472692419,0.22651738835141608,0.27810915278741083,0.26899911617072,5.295367526939973,48084.44734793416,0.2755286916078123,77.36406522207857,0.5454819128308438,0.18304330367822075,0.3503448247843429,0.1927167029381316,68837.33669961459,3.180388908801853
14,14,81.4045,12.5655,76,25.2054,0,116,117,15,137,15,1.00768,84.4643,0.0,0.0,1.10714,4.165,10.99435,0.0,0.0,125.0,41.54678,5e-05,0.46,3.101,-1.0,0.216426,0.16180354477882006,0.3216880214890812,0.6059675686274507,4.774643132716049,89.59539229645696,88.73382434351802,571.3513702945612,0.22388641938321796,55.62951942726417,0.22490228002847193,0.27853196853022266,0.26753026698622173,5.244301191865122,47827.029036305794,0.2755492139890606,77.15072630544412,0.5454819128308462,0.18429125975710797,0.34889173954658237,0.19217877434256617,68766.96593401645,5.3990689074847165
15,15,81.694,12.6004,76,22.9768,0,115,117,15,137,15,0.99992,84.73304,0.0,0.0,0.96429,4.154,10.80961,0.0,0.0,125.0,41.62576,8e-05,0.46,2.918,-1.0,0.236171,0.15903456779509034,0.3236934257151208,0.6048239215686275,6.285734953703703,89.57362756097638,88.71856187000162,570.6203496633269,0.22075178017437483,55.64287067931375,0.22383950591770024,0.27881530704176644,0.265901063659166,5.235703730836836,48228.29789489344,0.27595420239024715,77.05263228737878,0.5454819128308468,0.18507641728981986,0.34651190115937774,0.19132377984192814,68758.04032037384,6.077748756231243
16,16,82.2886,12.5707,77,23.3492,0,115,117,15,137,15,1.00277,85.33062,0.0,0.0,0.78571,4.165,10.84298,0.0,0.0,126.0,41.7141,5e-05,0.47,2.581,0.16667,0.220567,0.15867927240520407,0.3251311292210194,0.6062910196078432,6.290846836419753,89.51851087001111,85.34591436893012,569.9712409605147,0.21904640063995845,55.62023775077161,0.22399307068101,0.2787403780530619,0.2642464982507048,5.230994820243429,49471.3055500431,0.2761004652080028,76.93289084466457,0.5454819128308537,0.18475290176076375,0.3443108824243233,0.19035784992525365,69060.88142401114,5.85055900642726
17,17,82.3679,12.7698,77,22.7836,0,115,117,15,137,15,1.01127,85.35026,0.0,0.0,0.89286,4.138,10.82146,0.0,0.0,126.0,41.76586,5e-05,0.46,3.112,-1.0,0.203925,0.16017124168247387,0.3269587137312326,0.6077352941176472,6.2054880401234565,89.51635318144972,85.00944069789365,569.3686862714828,0.2167247497795021,55.53511612503617,0.2243872512833431,0.2793812055742056,0.26306001000617407,5.256388477254784,49623.25782041815,0.27642552740235504,76.83184583516545,0.5476995388740776,0.18471495494235476,0.3423085551555336,0.18923460751517465,69140.05784487954,3.5551260160780354
18,18,82.2265,12.828,77,24.2414,0,115,117,15,137,15,1.01955,85.2318,0.0,0.0,1.0,4.158,10.99174,0.0,0.0,127.0,41.84003,8e-05,0.47,2.821,-1.0,0.197794,0.1589338681379879,0.3271465757489962,0.6097514313725491,5.996961805555555,89.53330599117892,88.14042248505409,568.7998439253148,0.21425460280766292,55.52291078920718,0.22476975044566716,0.2791269526319061,0.2615463642465268,5.343978468391089,49553.813978040074,0.2769252609590086,77.1248671694685,0.5454819128308502,0.1844186440861659,0.3399837654057801,0.18853588912423827,68862.15108849143,3.490950811413816
19,19,82.3086,12.5293,76,23.7327,0,115,117,14,137,15,1.01558,85.22745,0.0,0.0,0.60714,4.164,11.04467,0.0,0.0,126.0,41.87973,2e-05,0.47,2.905,-1.0,0.20995,0.1574596341354903,0.32768506272783143,0.6101994705882315,5.752604166666667,89.58835639544245,88.52259811218988,568.3576706648186,0.21225842397844596,55.500113593207466,0.22492377048580633,0.2791849505918641,0.2584097513635591,5.305736647336048,49742.36112868145,0.2772920897267751,77.1216368726728,0.5454819128308471,0.1849842516565455,0.3380703226958225,0.18776998689797048,68961.82940269752,3.83682023885236
20,20,82.3479,12.9962,76,22.7839,0,115,117,14,137,15,1.0091,85.11879,0.0,0.0,0.42857,4.156,10.78729,0.0,0.0,126.0,41.90858,8e-05,0.47,2.826,-1.0,0.212618,0.15530248251242917,0.32914517515616304,0.6113650980392158,6.908468364197531,89.60573471503061,87.44576767152527,568.0369953617878,0.21104903709990921,55.50101499204282,0.2248679865935085,0.27921814882155205,0.2567429055179743,5.269803841660351,49810.26861833238,0.27765921243019076,76.8596136384539,0.5454819128308454,0.1855055243788924,0.33641457830953886,0.1873470368438696,69020.39131468683,4.090276354325586
