,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.5,movement,staticness,cubrow.0.3,blur,contrast,tone,color_fulness,fft,cubcol.0.3,cubcol.1.0,noise,cubrow.0.5,cubrow.1.0,cubcol.0.6,uhdhdsim,cubcol.0,blockiness,temporal,cubrow.0,saturation,cubrow.0.6
0,300,70.4518,11.0519,61,0.0,0,121,117,14,137,11,1.00331,72.13459,0.0,0.0,0.71429,4.328,0.0,0.0,0.0,128.0,40.36077,0.00012,0.45,3.196,0.0,0.520401,0.11768189844952429,0.0,610.1122789379995,0.21237263976692128,34179.93267810563,87.8421354400521,0.610815294117647,84.59594223980054,67939.3222604467,0.1670855607586121,0.3172674633014738,0.4798657794140466,0.27806562632122006,0.21465809263885322,0.1845816145536833,90.93791031066588,0.16485099279335913,5.6416291017565525,0.0,0.33781352791934083,50.65137547622493,0.25777969575853504
1,301,70.4454,11.0605,61,18.1788,0,121,117,14,136,11,1.00264,72.16635,0.0,0.0,0.64286,4.334,9.50553,0.0,0.0,128.0,40.55318,5e-05,0.45,3.133,-1.0,0.507167,0.11920570562112534,3.8796778549382718,611.8430734045929,0.19940654085417509,34254.53057385695,86.8680236629785,0.614330980392157,85.27152359476618,67855.44531057778,0.15324081786754157,0.30247894532501207,0.4875478613721756,0.26308178069353516,0.20387949256686852,0.183568891092131,90.93377781094475,0.15615022378766352,5.479366372026197,4.954583487771121,0.32768326091681166,49.635034443419656,0.2318926088400794
2,302,70.5047,11.1779,61,17.6776,0,121,117,14,136,11,0.98701,72.19891,0.0,0.0,0.35714,4.315,9.50559,0.0,0.0,128.0,40.54908,5e-05,0.45,3.014,-1.0,0.472809,0.12194153900304609,2.7310956790123457,612.7741613900674,0.19435562247843224,34353.572847329306,86.27024615783547,0.6149423529411765,85.09772910285025,67962.6699657896,0.14525812822456707,0.30052066781499187,0.48370682039310964,0.2581071974225624,0.19838171191391873,0.18714843970605005,90.88203642105042,0.1458370683385476,5.315214289549408,4.706661368027436,0.3210776850542785,49.51685493375048,0.22529211618494357
3,303,70.3744,11.6057,61,18.1071,0,121,117,14,136,11,0.98335,72.08293,0.0,0.0,0.60714,4.335,9.60663,0.0,0.0,128.0,40.52014,0.00019,0.45,3.838,-1.0,0.45484,0.12320377598535491,2.4129533179012346,612.7968883912157,0.19193596006218633,34257.61798517616,88.34128271456781,0.6158043137254903,84.3164230696149,67935.56993321427,0.14142507824292389,0.30010755648946746,0.4820834054572776,0.25380644433242305,0.19346606713914966,0.18624652596617858,90.92635033981809,0.1411275682620388,5.190861365114163,4.603816585623692,0.31693382564947087,49.535715550552176,0.22601506495040757
4,304,70.4157,11.6557,61,17.8297,0,121,117,15,136,11,0.98531,72.0863,0.0,0.0,0.75,4.329,9.97759,0.0,0.0,128.0,40.42006,0.00016,0.46,3.434,-1.0,0.425626,0.12337565050881585,2.5041956018518516,612.4369925759917,0.18957090750998765,34353.41877086093,87.77646661411998,0.6152435294117647,84.1665275197619,67950.06743189579,0.1417617893741107,0.29372503040210457,0.47986577941405056,0.2508621286847922,0.18965530067090375,0.18648672969932703,90.92108399557384,0.1400505547184163,4.6626935296393235,4.747590983363977,0.31571278374218925,49.44620937771268,0.22580852310619254
5,305,70.6764,11.7697,62,17.8356,0,121,117,15,136,12,0.98283,72.35125,0.0,0.0,1.14286,4.355,10.01378,0.0,0.0,128.0,40.36749,0.00022,0.46,3.89,-1.0,0.43073,0.12452322690065987,2.5557002314814814,611.8962199051634,0.18672546093159934,34868.99430660868,88.23897792449367,0.614041568627451,83.98270508842431,67802.7178146332,0.14773797002601088,0.2841315601063193,0.489765487415409,0.2473770574639948,0.18756015013056954,0.1876558730214771,90.91780638220467,0.14070948991224566,4.171913184451023,4.774548916356504,0.31662476435041964,49.4097631007065,0.223487653408646
6,306,70.648,11.7084,62,18.1907,0,121,117,15,137,12,0.99908,72.34795,0.0,0.0,1.07143,4.35,10.11993,0.0,0.0,128.0,40.37557,0.00019,0.46,3.338,-1.0,0.40581,0.12549342911106767,2.454716435185185,611.4128213771544,0.1845662431040172,34743.60394224988,86.35366682545282,0.61406,83.92272369909453,67881.99848504234,0.1517665575114839,0.27853667938637977,0.4919831134586296,0.24559667645600397,0.187983644328474,0.1873991560373061,90.90725271883328,0.1390385785584843,4.979410579609052,4.837613778821669,0.3186876682036457,49.53104824490017,0.22231923059388256
7,307,70.5261,11.7643,62,17.7167,0,121,117,15,137,12,1.00804,72.22759,0.0,0.0,0.67857,4.36,10.0628,0.0,0.0,128.0,40.35502,0.00025,0.45,3.368,-1.0,0.387267,0.12586263920085367,2.2192804783950617,610.9093798641729,0.18244902319573367,34601.64431953854,84.87253500005792,0.6135082352941177,83.95067909618847,67930.72402265274,0.15499865139416819,0.27579716956085065,0.48754786137217304,0.245024629545577,0.19039183838460283,0.1878472525649178,90.90111568694012,0.13828120596290744,4.484082418060308,4.82675749658223,0.3197566236953244,49.5192950213397,0.22219038337133634
8,308,70.6021,11.7444,62,17.641,0,121,117,14,137,12,0.99541,72.28502,0.0,0.0,1.03571,4.364,10.112,0.0,0.0,128.0,40.33281,0.00014,0.45,3.166,0.21013,0.399543,0.12627916620277937,2.1165605709876543,610.4512828675328,0.18069807075636804,34760.42015559978,84.68324775643259,0.613866274509804,84.22932518987602,67965.63833428765,0.16128016976871742,0.2734396176421137,0.4865186575437462,0.2446433638679132,0.1921666807648641,0.1889843913188024,90.8851536130008,0.1374022542370686,4.073740555551583,4.803723056997908,0.31858696368392675,49.52882215711806,0.2221452436609673
9,309,70.4746,11.7642,62,17.5246,0,121,117,14,137,12,0.99246,72.12553,0.0,0.0,0.64286,4.347,10.09726,0.0,0.0,128.0,40.29472,0.00015,0.45,2.91,-1.0,0.430358,0.12577272859817046,2.04320987654321,610.0001854133171,0.18049376839466372,34670.18139499669,84.85750238678185,0.6124469999999987,84.15794638997707,67912.40635283024,0.16720157553717488,0.2733309937594758,0.487547861372174,0.24363313754123714,0.19251246129480987,0.18870390452027472,90.87400111442668,0.13609188070164616,3.452241272633346,4.823627107501389,0.3184496086810671,49.46597855179398,0.22193878919957682
10,310,70.4003,11.8942,62,17.5987,0,121,117,14,137,12,1.00009,72.04478,0.0,0.0,0.5,4.36,10.11205,0.0,0.0,128.0,40.33531,0.00017,0.44,2.753,-1.0,0.440784,0.1256954912146889,3.888406635802469,609.6174857967154,0.18018030750522143,34473.40261900182,86.09831638157377,0.6125580392156864,84.39113412493909,67924.26496411327,0.17018717268265365,0.2744015301251934,0.4859244464363437,0.24213487630165703,0.19285386329154075,0.18923946081298024,90.90254430474258,0.13503439468630116,4.353086409374345,4.873756271388757,0.3193927319317908,49.55797454457224,0.2211531219973285
11,311,70.4621,11.6231,62,18.8666,0,121,117,14,136,12,1.00903,72.0938,0.0,0.0,0.46429,4.35,10.22938,0.0,0.0,129.0,40.41718,0.00023,0.45,3.442,-1.0,0.455743,0.1254406765030603,4.266830632716049,609.2819880670754,0.178236307243088,34330.6265649312,87.35116219569204,0.6121929411764706,84.70401255343872,67985.3569388887,0.1720784525707009,0.27585483870152316,0.4792715683066546,0.2406476550067257,0.19380540330510307,0.189370391453435,90.86570322010374,0.1353154831840414,4.552459124263059,4.8946005474433685,0.3194061334423703,49.62285058292342,0.22069517329057806
12,312,70.3164,11.2033,61,17.0234,0,121,117,14,136,11,1.00638,71.89997,0.0,0.0,1.07143,4.352,9.99447,0.0,0.0,129.0,40.52879,0.00047,0.45,3.131,-1.0,0.483814,0.1251811151757968,3.7760416666666665,608.8820358808384,0.17688239777371503,34167.02999690501,86.30931429803609,0.6125576470588235,84.9955836027047,67920.46776709065,0.17415260238218044,0.2757761715610167,0.48148919434988385,0.24041616783096245,0.1954335102182661,0.1891064698777927,90.91078151563042,0.1376047053416624,5.137814161976053,4.799021964777369,0.3194800974373214,49.6031382996359,0.22023968454524726
13,313,70.23,10.8801,61,17.083,0,121,117,14,136,11,1.02091,71.80104,0.0,0.0,0.89286,4.343,9.63281,0.0,0.0,128.0,40.62839,0.00028,0.44,3.393,-1.0,0.501256,0.12494878381377664,3.282937885802469,608.5824744452763,0.175563941401509,33930.95130375082,89.74415454113523,0.6114211764705884,85.39472011231355,67936.50631297979,0.1754170854496981,0.27325972791922004,0.47986577941405195,0.24016019484476137,0.19830133365306055,0.18893003482558,90.93186529441618,0.14016803619243434,4.0976374602876025,4.808664095754918,0.3197338845558065,49.678026552553526,0.22009492200998218
14,314,70.2121,11.1674,61,16.9644,0,121,117,14,136,11,1.0066,71.7293,0.0,0.0,0.46429,4.32,9.35775,0.0,0.0,129.0,40.6987,0.00015,0.43,2.726,-1.0,0.545221,0.12530316363626798,3.2534239969135803,608.3343377680173,0.17467067454711144,33919.481265507435,88.7264586513028,0.6112917647058824,85.97174274339848,67931.93547860294,0.17431628983714917,0.2711792972802177,0.47764815337081806,0.23983284211903375,0.19860359255512525,0.18859331079023584,90.94543440418647,0.1410630131041755,3.2985116827951484,4.846969211002625,0.31902759490273885,49.65484581464602,0.21998045666722374
15,315,70.159,11.1386,61,18.6737,0,121,117,14,136,11,0.99312,71.62401,0.0,0.0,0.42857,4.357,9.6187,0.0,0.0,129.0,40.8009,0.00013,0.44,3.163,-1.0,0.603479,0.12537231492128337,4.7981288580246915,608.1869643130535,0.17337195478190964,34033.778478812004,87.71105740188656,0.6123721568627452,86.80431254065591,68028.87963549721,0.17308438647925065,0.27067427044646186,0.47764815337081673,0.23892710518016042,0.1982660199675727,0.1884377709262072,90.94643719945127,0.13915700004623918,4.0252821052643535,4.887355675513211,0.31802467172460525,49.88372350622107,0.21996952459822805
16,316,70.2955,10.8658,61,17.2995,0,121,117,14,136,11,1.00275,71.75441,0.0,0.0,0.5,4.317,9.57253,0.0,0.0,129.0,40.9126,0.00022,0.44,3.387,0.24421,0.614999,0.12521976050495456,4.833960262345679,608.1425093737936,0.1734521738362983,34350.07782626875,87.42494056875941,0.613964705882353,87.27828103367317,68024.53256975267,0.17249337434696624,0.26923123998862153,0.4776481533708148,0.23867514678348087,0.19819855513085008,0.18864862435598517,90.88323934560032,0.13846413398358878,3.9765555707553526,4.819546742163325,0.3176141383727578,50.02466554994937,0.22003143842159434
17,317,70.331,10.2979,61,17.3789,0,121,117,14,136,11,1.00514,71.75211,0.0,0.0,0.5,4.344,9.34104,0.0,0.0,129.0,41.01067,0.00029,0.44,2.684,-1.0,0.670837,0.1252506812211807,4.641444830246914,608.143918913318,0.17454086018817888,34253.86475718512,89.94747537892547,0.6134898039215673,87.87209175507186,67919.80081485819,0.17135397914598066,0.2671290382340088,0.4754305273275949,0.23787866769541074,0.19796442240454282,0.18883437679140946,90.94432978262398,0.13712928682684636,4.0945189456896385,4.818499713947564,0.3166632568397169,50.06603099681713,0.21969858404729778
18,318,70.2995,10.4348,61,16.0744,0,121,117,14,136,11,0.99004,71.71972,0.0,0.0,0.82143,4.32,8.85415,0.0,0.0,129.0,41.08929,0.00018,0.44,3.002,-1.0,0.719491,0.1254369977861044,4.5104648919753085,608.1802996640154,0.17549623867809175,33992.58668447543,88.15616975218421,0.6143000000000001,88.1890468877327,67845.06860787848,0.1709525553527367,0.26492298650473484,0.47764815337081323,0.23749170285075882,0.19827237404166675,0.18925169693126492,90.93342547610155,0.13638075745187647,4.087586956760043,4.836800055166902,0.31658300761918956,50.183422700858415,0.21948962831597926
19,319,70.2636,10.6053,61,16.5823,0,121,117,14,136,11,1.01056,71.61448,0.0,0.0,0.39286,4.304,8.96815,0.0,0.0,129.0,41.1292,0.00014,0.43,2.907,-1.0,0.748443,0.1256418352474516,4.363908179012346,608.2314581896683,0.17678630656958147,33769.941692146545,88.3438232815418,0.614992588235294,88.38691866905988,67841.62113371608,0.17100426721367748,0.26319901000141926,0.4738071123917609,0.23738516786421332,0.19960169440150768,0.18955218952022232,90.87484931051434,0.13560811197972347,4.928454299310132,4.776477872799325,0.31690450259969594,50.23266789942612,0.21943662725877364
20,320,70.2655,9.99915,61,16.5113,0,121,117,14,136,11,1.01028,71.57967,0.0,0.0,0.96429,4.318,9.11581,0.0,0.0,129.0,41.17911,0.00019,0.43,2.98,-1.0,0.740052,0.12606690261097456,5.761188271604938,608.2951872455054,0.1782780403753437,33766.845751802204,88.99630999931807,0.6152305882352942,88.9185913302972,67873.67430218392,0.17200702579112404,0.26348728338730665,0.47158948634852593,0.23725850061544637,0.2012482297657457,0.18981023360611843,90.91417640931235,0.13403866880053047,5.409127805314815,4.787694122868136,0.3162435713742052,50.45157237111786,0.21937038716630416
21,321,70.4087,9.66509,61,16.4012,0,121,117,14,136,11,0.99425,71.72049,0.0,0.0,1.03571,4.289,8.59726,0.0,0.0,129.0,41.25359,0.00018,0.44,2.976,-1.0,0.766373,0.12668166929677255,5.625868055555555,608.4112205804721,0.17921719063565017,33868.11929189671,87.23801212312546,0.6178941176470588,89.31593074448907,67877.86925703325,0.17301593870796378,0.2634508016670714,0.4738071123917469,0.23731999225367226,0.20340857961304848,0.1898472406009609,90.83682621853988,0.13405638119901514,4.868584068537293,4.727103244031435,0.31517851886442755,50.58797596119068,0.2190998850478203
