,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.3,uhdhdsim,saturation,cubrow.1.0,cubcol.1.0,cubrow.0,movement,cubcol.0.3,noise,cubcol.0.6,blockiness,cubrow.0.6,temporal,staticness,tone,cubrow.0.5,blur,contrast,color_fulness,cubcol.0.5,cubcol.0,fft
0,0,121.164,25.3864,142,0.0,0,116,129,19,125,14,1.00224,119.95418,0.0,0.0,1.60714,3.744,0.0,0.0,0.0,128.0,58.5899,0.00255,0.54,3.792,0.0,0.002686,0.5132209912054727,80.44868501162927,22.56648744182822,0.4433004048853506,0.49645126756442265,0.2272535572887212,0.0,0.46713333569862503,0.8460810819539956,0.532488124714309,2.56250752999921,0.42720200069735187,0.0,230.22213658981474,0.8976670588235296,0.37789074430590486,189776.54696856023,95.804474045543,145.1751336312118,0.47665464099326604,0.31534882534672404,82954.80288588919
1,1,121.514,26.7717,142,40.8542,0,116,129,19,125,14,0.99713,120.32369,0.0,0.0,0.75,3.734,21.80285,0.0,0.0,128.0,58.66016,0.0024,0.53,4.194,-1.0,0.003029,0.47300045343343916,80.40098185135184,22.686495745623553,0.41448413150622004,0.4399031585646855,0.21915583045734047,12.299961419753087,0.4359329031569269,0.8460810819539922,0.4857117757027951,2.603939688556503,0.395069690399098,5.498342553291249,228.39178572125164,0.8976670588235296,0.3476645156509507,191719.8539908652,95.80173757180454,144.96673484095282,0.4444938097906048,0.2746937304152091,82830.36879463961
2,2,121.075,25.8693,142,42.5082,0,116,129,19,125,14,0.99103,119.9527,0.0,0.0,0.64286,3.725,22.98978,0.0,0.0,128.0,58.72315,0.00245,0.52,4.639,-1.0,0.00307,0.46557826338996283,80.476433912814,22.682205388575426,0.4041399247146418,0.4214183273519765,0.21636491485500298,13.11892361111111,0.41537447863704263,0.8454868708465934,0.4647500707817528,1.9347314769772066,0.39159853995451005,5.511421236817226,226.093611311628,0.8977266666666668,0.3321876321018096,189341.0830273486,92.03719427757163,145.04147351392638,0.43636207948919953,0.26652075897773536,82699.52717254926
3,3,121.576,26.0129,143,41.8024,0,116,129,19,125,14,1.00688,120.37841,0.0,0.0,1.39286,3.715,22.21714,0.0,0.0,128.0,58.81514,0.00228,0.53,4.524,-1.0,0.002802,0.45368175680029993,80.39276655850486,22.71043433672116,0.3993796362363937,0.40999220238649325,0.20557705971838963,12.03298611111111,0.4126134739544898,0.8460810819539937,0.4575318890028823,2.565439745332773,0.39235480573464426,5.321287092613634,223.91740716456636,0.8982396078431374,0.3287668387395826,191733.61576268845,91.3747467819556,145.1768040759582,0.43879246978207664,0.26108240985386866,82874.5655362803
4,4,121.631,26.0184,143,41.0068,0,117,129,19,125,14,1.0056,120.44107,0.0,0.0,1.5,3.695,22.33898,0.0,0.0,128.0,58.80908,0.0023,0.53,4.718,-1.0,0.002908,0.4408674893567305,80.40394805915768,22.591650126892844,0.39703714098171894,0.4029097931995744,0.19794411671203513,11.438753858024691,0.4119356551016895,0.847704496889822,0.45330785621933667,2.9864339150776003,0.39030916221306255,5.315965796377083,221.74168371268894,0.8988050980392158,0.33178663984514384,192801.8452474912,95.78856325269017,145.65808159317328,0.43868873582300844,0.2565252618454347,82722.49479999844
5,5,121.917,26.3561,143,40.8831,0,117,129,19,125,14,0.99848,120.7454,0.0,0.0,1.53571,3.676,22.34334,0.0,0.0,128.0,58.73575,0.00224,0.53,4.052,-1.0,0.002936,0.4324276410505139,80.34826857786211,22.584108894253955,0.3906089304597889,0.3993209550715048,0.19300424760067295,10.873408564814815,0.41454110056303595,0.8482987079972192,0.4482082921705912,2.544146147820577,0.386577802249582,5.3327360595826265,219.7927367777088,0.898537254901961,0.3343073380052075,193622.63323155727,93.17604188567245,145.76284788199303,0.43345245946235933,0.25479820953412635,82890.0282299068
6,6,121.785,25.2356,143,43.096,0,117,129,19,125,14,0.99414,120.57651,0.0,0.0,0.85714,3.693,22.63455,0.0,0.0,128.0,58.64378,0.00228,0.53,4.292,-1.0,0.002474,0.4255198258981854,80.34605646214627,22.575219425154323,0.385064198838785,0.3937946554377345,0.19197771273281447,10.51586612654321,0.4132530210011271,0.8460810819539925,0.4437709453247752,2.4178463842830453,0.3808710033702123,5.40311627164906,217.9726110896747,0.8988654901960786,0.3327287318978551,192189.6663056295,91.98684414205086,145.9720684589332,0.4310068172329829,0.2525368435687308,82963.29832366262
7,7,121.403,25.7526,142,41.6564,0,117,129,19,125,14,0.98472,120.19802,0.0,0.0,1.17857,3.714,21.67365,0.0,0.0,128.0,58.57228,0.0023,0.52,4.149,-1.0,0.003208,0.4210045390046688,80.37664268100025,22.494985509801793,0.3819458299094314,0.3961098732101907,0.18966877168489157,9.370032793209877,0.41362687243635154,0.8482987079972194,0.44065291773740667,1.8688339732647654,0.3848022413928405,5.346369776328292,216.32098089755561,0.8985380392156864,0.33575751347547583,190591.97505005175,91.9405143474228,146.16340449618417,0.43086288249269405,0.25629193571419817,82928.37046934367
8,8,121.179,25.7333,142,42.2914,0,117,129,19,125,14,1.00048,120.08717,0.0,0.0,1.10714,3.694,22.11672,0.0,0.0,128.0,58.50342,0.00231,0.52,4.115,0.18107,0.002947,0.41625191013732876,80.40234992694619,22.350838743610147,0.3800423636359871,0.39640826469636214,0.1905619024066597,9.156346450617283,0.409738809713844,0.8521397489762893,0.4384796945565964,2.101169011005228,0.38585329229633436,5.355211233792659,214.7522892491446,0.8979945098039217,0.33667681292005364,189040.49372769552,90.96052113185365,146.50389616833445,0.4314320782612267,0.2584437038345362,82939.2490318021
9,9,121.543,25.8132,143,42.2239,0,117,129,19,125,14,1.00633,120.452,0.0,0.0,0.78571,3.694,22.10079,0.0,0.0,128.0,58.47079,0.00237,0.52,4.468,-1.0,0.003109,0.41368415602425995,80.3403136545743,22.347056259343653,0.37828419371926747,0.39473960746663944,0.19168586577285054,8.55955825617284,0.40781994432139324,0.849922122933056,0.436264830896968,1.7321535664347316,0.3879709578057143,5.313873627182785,213.27478898439549,0.8978247058823531,0.3366278855315037,190579.02650968923,91.78212660837181,146.53029435196413,0.43334171212441497,0.26129953613209517,82849.1197104897
10,10,121.256,25.1704,143,41.1175,0,117,129,19,125,14,0.99692,120.16294,0.0,0.0,1.10714,3.678,22.16854,0.0,0.0,128.0,58.42163,0.00253,0.52,4.935,-1.0,0.003434,0.4095761593370017,80.3481298485181,22.288324615101757,0.3751870759337309,0.395551228419056,0.1922417991502362,10.668258101851851,0.40797477938981325,0.8505163340404548,0.43418449986384117,1.8847013641433676,0.38949208931653323,5.287032440850632,211.8531040191802,0.8973992156862747,0.3407387329195331,188472.42076945052,91.73054819381083,146.60975366401524,0.43388243120412817,0.26282791795740196,82929.67486937033
