,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,saturation,cubrow.0.5,movement,cubcol.1.0,cubcol.0.6,blockiness,blur,noise,cubcol.0.3,cubrow.0.3,cubcol.0.5,uhdhdsim,tone,temporal,color_fulness,cubrow.0.6,cubrow.1.0,cubrow.0,fft,staticness,contrast,cubcol.0
0,0,119.821,24.851,138,0.0,0,116,129,17,125,12,1.00129,115.87552,0.0,0.0,1.46429,3.832,0.0,0.0,0.0,128.0,58.25445,0.00425,0.43,3.523,0.0,0.005329,22.22931002393181,0.3674273796531409,0.0,0.4750341224066188,0.5194324664016898,2.79543638565268,192032.4747586134,0.6320858844651495,0.4554320234287071,0.4959384003843985,0.45147969516700254,80.17870441243383,0.8887596078431371,0.0,144.9769358459664,0.4174330719918994,0.41399861508678404,0.2075335124361099,84833.55246098514,227.3734059126517,92.07172463072995,0.29839429938072004
1,1,120.193,26.2096,138,43.8192,0,116,129,17,125,12,0.99794,116.26345,0.0,0.0,0.75,3.828,21.33456,0.0,0.0,128.0,58.32406,0.00425,0.42,3.749,-1.0,0.00464,22.345725730613424,0.33475447736746294,11.865933641975309,0.4202362774405954,0.47273058336473994,1.9942248663453004,194035.1109574772,0.6359269254442182,0.42278336672453243,0.45935060078928613,0.4211094169017585,80.12747305025647,0.8890125490196077,5.19929107055153,144.80859861349637,0.38621074780528863,0.3852392687763337,0.20488567861753193,84796.68279269799,225.8789468643736,95.70047315320926,0.2633267169492688
2,2,119.774,25.3352,138,45.8241,0,116,129,17,125,12,0.99033,115.91008,0.0,0.0,0.64286,3.856,22.49936,0.0,0.0,128.0,58.38698,0.00437,0.43,3.719,-1.0,0.006538,22.341204984688463,0.3188132756303141,12.696421682098766,0.40441569360217644,0.45088610891904224,2.4845625171486287,191747.58227612055,0.6337092994009829,0.40288565901590984,0.45192596996147577,0.4173003857554886,80.19758470754446,0.8890125490196077,5.236618380968889,144.84532469922408,0.3827942385849997,0.37347250636805746,0.20185930034573396,84621.81003089788,223.86439276427052,93.52689501610872,0.2572507962934189
3,3,120.267,25.4765,138,44.5596,0,116,129,17,125,12,1.00975,116.33675,0.0,0.0,1.35714,3.804,21.75066,0.0,0.0,128.0,58.48135,0.00428,0.43,3.649,-1.0,0.003673,22.370697963384934,0.316171098826715,11.662856867283951,0.3939773155222508,0.44438732288581645,1.9111429497100159,194141.46327700064,0.6359269254442136,0.40132417702766693,0.44053964009231755,0.42112651427493486,80.12450990106835,0.8898231372549018,5.065326269964593,145.01102927285916,0.3831527875908287,0.36788151935918667,0.19125081946090983,84714.30278007608,221.8957438131696,95.32047757056925,0.2520646500695984
4,4,120.366,25.4859,138,43.9861,0,116,129,17,125,12,1.00517,116.43133,0.0,0.0,1.14286,3.802,21.87052,0.0,0.0,128.0,58.47586,0.00391,0.43,3.932,-1.0,0.004538,22.252266024365838,0.31847188026881623,11.104841820987655,0.3872195887933808,0.44045313220527166,2.661404101880937,195532.11726872093,0.6359269254442134,0.4015908476038917,0.42802608090590893,0.421601568182592,80.12905634234102,0.890113725490196,5.058067443613824,145.5076736283347,0.3810563726478535,0.36429243704149383,0.18333841528952302,84631.02262578826,219.91052062593585,88.79121935347757,0.24693798439204903
5,5,120.64,25.8093,138,43.8333,0,117,129,17,125,12,0.99794,116.70068,0.0,0.0,1.85714,3.801,21.87882,0.0,0.0,128.0,58.40017,0.00404,0.43,3.681,-1.0,0.005132,22.25207293475116,0.3211348816933539,10.584104938271604,0.38387067788650886,0.43559851037537417,2.469447812799748,196012.1691023934,0.6371153476590092,0.4042698569704688,0.419752804684058,0.41737532065470756,80.08154101060092,0.890113725490196,5.07133558079578,145.64716908677462,0.37749728277727895,0.3574665392836531,0.1784757703378671,84742.96833482158,218.0906400858653,87.69351560325046,0.24514578655098745
6,6,120.44,24.7028,138,46.4119,0,116,129,17,125,12,0.9946,116.48208,0.0,0.0,0.92857,3.785,22.15473,0.0,0.0,128.0,58.30723,0.00386,0.43,3.643,-1.0,0.004577,22.239739500446085,0.31935173626916236,10.246913580246913,0.37913015352183377,0.4318324108344214,1.7883269893211466,194375.35071143022,0.6348977216157835,0.4030368406878816,0.4129022021904023,0.41479924850689204,80.08428301196324,0.8901215686274508,5.13622357995863,145.83464063683323,0.37218694109995487,0.35124566554519393,0.1772702496862813,84799.75498418053,216.38111341947535,90.4032322216429,0.2419559902179104
7,7,120.042,25.2052,137,44.5915,0,117,129,17,125,12,0.98462,116.08636,0.0,0.0,1.28571,3.801,21.2094,0.0,0.0,128.0,58.2352,0.00408,0.42,4.059,-1.0,0.006176,22.164157631956503,0.32167236675848987,9.116319444444445,0.38147434414943726,0.42865179344111476,1.9438708090201453,192776.44686829633,0.6359269254442173,0.40316078368883823,0.4082096341450689,0.41449521691584995,80.11953244196985,0.8898607843137254,5.073591403779997,145.9897072161191,0.375941364395159,0.34725248254812363,0.17487397285063905,84844.19699880507,214.82992270871944,90.519113855247,0.24635096736143494
8,8,119.799,25.1936,137,45.6222,0,117,129,17,125,12,0.99993,115.93416,0.0,0.0,1.32143,3.797,21.63811,0.0,0.0,128.0,58.16329,0.00429,0.42,4.064,0.18261,0.004292,22.01924397032938,0.32168618778992764,8.907118055555555,0.3815473158509518,0.4265722152728723,1.9896482738216814,191216.44612419492,0.6381445514874433,0.3995415483286134,0.4034657477915384,0.4149420494354903,80.15032460073871,0.8890501960784313,5.09070794251321,146.31866334860004,0.3772588597883232,0.3446590228365783,0.1756370113387773,84825.3901762318,213.34573970967242,95.34538044123116,0.24907748730735313
9,9,120.156,25.2664,138,45.3028,0,117,129,17,125,12,1.00818,116.29351,0.0,0.0,1.32143,3.825,21.62859,0.0,0.0,128.0,58.1304,0.00426,0.42,4.378,-1.0,0.004912,22.021365130389178,0.32165204342775877,8.335551697530864,0.3799846953991057,0.42428605673793135,1.6037637263641633,192620.50701139693,0.6375503403800461,0.3975714121098914,0.4002399110589964,0.41700584719458755,80.09109462063373,0.8887596078431371,5.049649423260936,146.20843854080076,0.37921555461687995,0.3422867084947724,0.17640787004292652,84693.34400507416,211.93767960804757,92.91055008791156,0.25156082503823946
