,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.1.0,staticness,cubcol.0.6,cubrow.0,fft,saturation,uhdhdsim,temporal,cubrow.0.5,cubcol.1.0,noise,tone,contrast,blur,cubcol.0.5,movement,color_fulness,cubrow.0.3,blockiness,cubcol.0.3,cubcol.0,cubrow.0.6
0,0,88.7891,14.2164,107,0.0,0,105,125,39,127,27,0.99476,94.49751,0.0,0.0,5.14286,3.723,0.0,0.0,0.0,125.0,46.08022,0.00326,1.79,2.898,0.0,1e-06,0.2047724526583248,337.4107430188183,0.37317765894979676,0.3235996035682515,73798.22654828886,30.125067251699946,81.14932939653137,0.0,0.3461027945361494,0.2609888788864741,1.3778222458044167,0.6268031372549019,97.50130073892502,67500.13515628515,0.34225787346007575,0.0,159.20355167448423,0.3813544271938976,3.084680205970826,0.2764422814953289,0.4373497709497822,0.324797271172014
1,1,88.8067,14.025,107,14.6969,0,105,125,39,127,27,0.99572,94.51343,0.0,0.0,4.03571,3.732,12.23598,0.0,0.0,125.0,46.05857,0.00312,1.79,2.873,-1.0,1e-06,0.18700366083482287,333.8448035548553,0.3444793953575447,0.3211473333715188,73919.39869783095,30.161654625409916,81.09798414961494,4.767991498204955,0.30271383358736337,0.25651698582052856,1.380039871847645,0.62658,92.67611765425353,67668.25801030587,0.33771869878117655,3.7704957561728394,159.1857944920368,0.3621644231253886,3.2400269540321607,0.27607811903599444,0.42018491102183825,0.2914718185232781
2,2,88.8109,13.8974,107,14.6211,0,105,125,39,127,27,0.9951,94.52839,0.0,0.0,5.46429,3.723,12.06408,0.0,0.0,125.0,46.04191,0.00308,1.8,3.212,-1.0,0.0,0.18214076465910994,331.286661487003,0.33538654043612665,0.3212517179981804,73913.96256732363,30.188054402669273,81.12825955975612,4.738939805043217,0.28945612841828566,0.2538468733054038,1.3794456607402446,0.6267803921568628,97.06091750522731,67548.2529359593,0.33710846454775256,3.5306230709876543,159.23769682953233,0.3543106522641443,3.0343254814799954,0.2814656930562058,0.4240735927490431,0.2861787892525521
3,3,88.7344,13.8334,107,15.4405,0,105,125,39,127,27,0.99158,94.43826,0.0,0.0,4.75,3.721,11.96376,0.0,0.0,125.0,46.02039,0.00323,1.79,3.028,-1.0,1e-06,0.17946780852362385,329.08946684956373,0.33002146171481134,0.320708017296008,73901.94136145356,30.193582793812695,81.11685800283036,4.656721535490923,0.28473704883214496,0.25011082076455127,1.3784164569118096,0.6265799999999999,96.96712302908968,67268.5329957023,0.3361636662350988,3.290943287037037,159.25193383162912,0.3478526270696274,3.610451997754437,0.2856496642219993,0.42042650753166166,0.2802855473383676
4,4,88.7763,13.8847,107,15.7448,0,105,125,39,127,27,0.98407,94.49644,0.0,0.0,4.03571,3.717,11.89576,0.0,0.0,125.0,45.99573,0.00333,1.76,2.998,-1.0,1e-06,0.1764466533030443,327.11615923079836,0.3298842410212784,0.3205206278809719,73868.81396969741,30.179194697627317,81.11604498927717,4.607916745508657,0.28496340969745537,0.24752078837746533,1.3788514496328463,0.6264976470588236,93.92796603805921,67399.5513773051,0.33879930500273814,3.1161747685185186,159.31104526625037,0.3451528474289535,3.1801431684596198,0.2858371358645529,0.4190845122506256,0.27812145130379107
5,5,88.7105,13.9547,107,14.9547,0,105,125,39,127,27,0.98944,94.44589,0.0,0.0,3.32143,3.707,11.94126,0.0,0.0,125.0,45.97546,0.00343,1.78,2.975,-1.0,0.0,0.17381511793411122,325.28023070783456,0.329733287862871,0.3201072129507158,73814.11285912342,30.170257568359375,81.13000380466869,4.514813883144482,0.2834573567176183,0.2461582736256007,1.3756046197611835,0.6266035294117647,94.03688724610795,67116.11530768921,0.34391668634764583,2.990499614197531,159.29778215971254,0.342513393721169,2.3995215521576845,0.28385590913545067,0.42037869294717756,0.2727651248267782
6,6,88.7675,14.0051,107,15.1106,0,105,125,39,127,27,0.98787,94.51647,0.0,0.0,3.42857,3.718,12.00072,0.0,0.0,125.0,45.95175,0.00334,1.79,2.992,-1.0,1e-06,0.17334533906385868,323.511158723025,0.3251396472067483,0.3198086863590464,73861.74293317871,30.144864682798033,81.11945319762458,4.630656159341718,0.28278358077738047,0.24495448263735597,1.3788514496328474,0.6265580392156862,93.8922938348146,67316.52188849241,0.34427500743403894,2.8703703703703702,159.37440360555559,0.3400658999552879,2.6186594900195477,0.282507290496686,0.42202739148457263,0.2710116245137908
7,7,88.7552,14.1933,107,13.786,0,105,125,39,127,27,0.98979,94.50518,0.0,0.0,3.0,3.725,12.04153,0.0,0.0,125.0,45.93423,0.00327,1.79,3.104,-1.0,0.0,0.1732489912755695,321.8314471695142,0.32197102501952296,0.3195177367044872,73862.36522289003,30.15309727044753,81.11107492806087,4.683295010360098,0.28372323607608196,0.24244579038526518,1.375010408653788,0.626833725490196,93.940043697956,67078.79662726646,0.34792133909767625,2.7221257716049383,159.36096741951562,0.33900925383812225,2.689501532537725,0.2817085425048077,0.4219392773802686,0.2697925146180586
8,8,88.7317,13.7913,107,15.4279,0,105,125,39,127,27,0.99204,94.47422,0.0,0.0,4.17857,3.692,12.20676,0.0,0.0,125.0,45.90386,0.0033,1.81,3.274,0.1259,0.0,0.17234619290164122,320.18455247330814,0.3217669319841063,0.31968973424890507,73820.0989202903,30.147061383282697,81.07811168127235,4.812467215029153,0.28325644251953186,0.24164120278553483,1.3788514496328539,0.6268741176470588,93.95492016260489,66783.92929074923,0.3493643793701591,2.6767457561728394,159.46364582590772,0.336966247694169,3.2024735226055507,0.28086356778747684,0.42033638356066444,0.26948376812608876
9,9,88.7571,13.9027,107,15.4125,0,105,125,39,127,27,0.99301,94.51143,0.0,0.0,3.5,3.706,11.86851,0.0,0.0,125.0,45.87671,0.00309,1.81,2.951,-1.0,1e-06,0.1714401889864688,318.64621683101063,0.32385441672531995,0.3198491382419018,73806.07347278969,30.137987678433642,81.0786089889276,4.6221030891042,0.28288839903016033,0.2411228348746222,1.3794456607402479,0.6267513725490197,93.89666640752755,66755.52769560828,0.35169586624658167,2.421875,159.42734253972768,0.33583510774540953,2.365261408972147,0.28083634799876483,0.417353754727725,0.2692133160668171
