,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,contrast,staticness,uhdhdsim,blur,saturation,blockiness,cubcol.0,cubcol.0.6,cubcol.1.0,cubcol.0.3,cubrow.1.0,cubrow.0.5,movement,cubcol.0.5,temporal,cubrow.0.3,tone,cubrow.0.6,color_fulness,fft,noise,cubrow.0
0,100,88.2881,12.6529,106,0.0,0,105,125,38,127,25,0.98431,93.84716,0.0,0.0,3.78571,3.681,0.0,0.0,0.0,125.0,45.47822,0.00356,1.77,3.13,0.0,3e-06,96.44742854748493,299.78609157674293,81.12882949137303,66068.80045601708,29.336052977008585,2.6632169987776497,0.38289507655451743,0.3290052605526317,0.28852740670484245,0.29809289309971077,0.1360389322300493,0.279504539465631,0.0,0.3670436825768962,0.0,0.3696916001091846,0.6197643137254902,0.30653158324810104,159.62450723378504,73401.1268573324,1.3810690756760744,0.3254214239186994
1,101,88.385,12.7513,106,14.2608,0,105,125,38,127,25,0.98679,93.95331,0.0,0.0,4.25,3.698,10.86936,0.0,0.0,125.0,45.49215,0.00378,1.8,2.965,-1.0,3e-06,94.73810249591776,297.42505052362026,81.09537246412555,66368.24782514684,29.314959867500967,3.0066572044916136,0.3600586807033778,0.32256440522162705,0.281936659726176,0.2898466835270207,0.13439656008119735,0.2616292890770818,3.222608024691358,0.35104349703711146,4.383904023457028,0.35553056454392706,0.619861568627451,0.28286436692665173,159.64346256643896,73469.74177932007,1.3804748645686793,0.32434014729822913
2,102,88.4081,12.7559,106,13.649,0,105,125,38,127,25,0.97889,93.96459,0.0,0.0,4.17857,3.686,10.95216,0.0,0.0,125.0,45.50214,0.00375,1.77,3.259,-1.0,0.0,94.90616164331495,295.8060559749338,81.12761573717216,66465.09879616751,29.349866137092494,2.562880184433008,0.3574743096683255,0.31767071211359776,0.27940769297236584,0.28473269674650586,0.133494643635496,0.2552330900491146,3.2044753086419755,0.3423935433816195,4.314595758725723,0.3514752733184294,0.6198317647058823,0.27365019015401704,159.66756176625034,73422.1912845553,1.3788514496328428,0.32453522635144716
3,103,88.4021,12.7137,106,13.8237,0,105,125,38,127,25,0.97958,93.98656,0.0,0.0,4.0,3.697,10.9556,0.0,0.0,125.0,45.51152,0.00377,1.78,3.012,-1.0,0.0,94.254244886592,294.3057833579782,81.12936286507872,66303.50635924922,29.303453233506943,2.639566635366821,0.35876551110310034,0.31607870582510456,0.27760504009462117,0.28521826568545744,0.1336787292551321,0.25152531485281676,3.0769675925925926,0.3400808507162752,4.375747198833213,0.3496041887038327,0.6200541176470589,0.2681185537489116,159.59132340327378,73457.7528573228,1.381069075676077,0.3250383493087612
4,104,88.4253,12.9042,106,13.7961,0,105,125,38,127,25,0.98202,94.01935,0.0,0.0,3.78571,3.695,10.92119,0.0,0.0,125.0,45.51656,0.00371,1.77,2.987,-1.0,1e-06,91.9809960807195,293.0537935311509,81.11436731730277,66334.72693838371,29.30529389558015,2.9725397435936034,0.359464067920473,0.31561893644372874,0.2763838509492512,0.28489325596840476,0.13429834427812382,0.2501379525415731,2.8993537808641974,0.33782146521802364,4.376805403501903,0.3479373138261205,0.6202180392156864,0.26791514678934725,159.69278568928297,73456.86254060676,1.3766338235896214,0.32548957151243907
5,105,88.5097,12.9427,106,14.4279,0,105,125,38,127,25,0.99383,94.10928,0.0,0.0,5.57143,3.697,11.08302,0.0,0.0,125.0,45.52607,0.00341,1.78,3.23,-1.0,2e-06,92.04599370638364,291.85426782138586,81.09850843991197,66656.14515770564,29.286310454945507,3.4513067674488305,0.36128171988752916,0.3169406335373939,0.2753380278809925,0.2843956249851563,0.13475296618123717,0.25125250543713973,2.7973090277777777,0.33522145441054524,4.421723643783709,0.34743632312940087,0.6206196078431373,0.26507119744197083,159.64540580811467,73499.36946299684,1.3772280346970172,0.32595515504369194
6,106,88.5057,12.8632,106,14.1062,0,105,125,38,127,25,0.98763,94.10638,0.0,0.0,4.85714,3.692,11.116,0.0,0.0,125.0,45.5342,0.00354,1.77,3.322,-1.0,2e-06,93.9483516684449,290.66446888191774,81.10269471679305,66587.84366356091,29.289720511730806,3.046781962593394,0.36351748004609896,0.3182476618384187,0.27439361510932236,0.28411651913514585,0.13476781815023187,0.25236967071600663,2.6689332561728394,0.3352470450071891,4.502076424232449,0.34634275199705794,0.6210678431372548,0.2638150527117004,159.6866010574287,73412.07735761472,1.382692490611917,0.32582334900536586
7,107,88.4427,12.9423,106,14.7368,0,105,125,38,127,25,0.98509,94.04997,0.0,0.0,4.46429,3.723,11.04719,0.0,0.0,125.0,45.53748,0.00378,1.79,3.477,-1.0,1e-06,94.01614393754538,289.54508667484686,81.11264191784663,66601.42183441028,29.26340041925878,2.81906331329629,0.36657443045178995,0.3216092470309992,0.2732634120283627,0.2845632243201406,0.1346510049739487,0.25291815090682046,2.531153549382716,0.3329527468875923,4.405105887856778,0.3439376830689787,0.6215558235294099,0.2611391394632788,159.73653884672046,73449.05569078066,1.3794456607402472,0.3259702250752891
8,108,88.3934,13.1109,106,14.5922,0,105,125,38,127,25,0.98147,94.03127,0.0,0.0,4.03571,3.694,11.11892,0.0,0.0,125.0,45.53487,0.00346,1.78,3.509,0.12551,0.0,93.91050539232927,288.49647420679264,81.1138501536786,66336.66996272764,29.266473840784148,3.502245518266246,0.368854112452259,0.3219160611438697,0.2725065031398652,0.28503733764397365,0.13552663430375425,0.2524638583041725,2.510223765432099,0.33016231151631376,4.3456989107200865,0.3422509031604893,0.6221619607843137,0.26251705110685164,159.83626805225927,73397.59215385544,1.3778222458044171,0.32609557076779466
9,109,88.48,13.3754,106,14.9858,0,105,125,38,127,25,0.98049,94.12164,0.0,0.0,5.25,3.703,11.27339,0.0,0.0,125.0,45.54977,0.00387,1.8,3.334,-1.0,2e-06,94.12630824503132,287.41906429695075,81.1212014709528,66678.90347609506,29.24283175998264,3.376830417302429,0.368412720470103,0.32275993021258537,0.2716921389784725,0.2856239417543415,0.13644935952382956,0.2520759977833204,2.4720293209876543,0.3278729751847407,4.4885021327074055,0.3402907016936414,0.6228,0.2628392840843516,159.80256045884295,73305.36522039551,1.379445660740249,0.3259586548592407
