,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0,blockiness,movement,cubrow.0.3,uhdhdsim,cubcol.1.0,cubcol.0.3,cubrow.0,cubrow.0.6,blur,noise,cubcol.0.5,contrast,fft,saturation,temporal,cubcol.0.6,staticness,cubrow.1.0,color_fulness,tone,cubrow.0.5
0,0,90.6746,14.1014,100,0.0,0,104,125,29,127,19,0.99543,91.89814,0.0,0.0,5.64286,3.541,0.0,0.0,0.0,125.0,45.94097,0.00335,0.51,5.319,0.0,0.076779,0.43707736211603293,2.741417554959972,0.0,0.37110949046917907,81.30167458697582,0.23472465746591947,0.2674068360663245,0.3087465624003532,0.3153747766123789,67595.73623214592,0.7881470304953192,0.3312112163934316,96.91150201486082,74144.32745521121,31.582768569757906,0.0,0.3622141141276535,335.60584643748604,0.19812839440762978,162.4932043633291,0.6198160784313725,0.3406527205038874
1,1,90.6879,13.9102,100,15.4722,0,104,125,29,127,20,0.99448,91.90152,0.0,0.0,5.39286,3.551,12.12186,0.0,0.0,125.0,45.92011,0.00321,0.52,4.492,-1.0,0.073819,0.4205767691525459,2.937250284743832,3.71850887345679,0.35171888520565153,81.25297410622278,0.23051850212483918,0.26874408829581903,0.3086524975132967,0.28072276929032314,67769.34197676492,0.7881470304953188,0.32809304983973236,97.0457469725199,74276.94624195456,31.64064214259018,4.2373950885018585,0.3336052159247683,332.6463033272215,0.17946721109615654,162.46794001166262,0.6194729411764706,0.29678179579236647
2,2,90.6954,13.7832,100,15.2814,0,104,125,29,127,20,0.99412,91.92303,0.0,0.0,6.03571,3.546,11.95253,0.0,0.0,125.0,45.90356,0.00326,0.51,4.982,-1.0,0.068315,0.4245581103098466,2.7945395313995642,3.492042824074074,0.34397121774409006,81.28352900248728,0.22827820131122475,0.2746651729164078,0.30933368853623555,0.2754571001190949,67682.27077989727,0.78652361555949,0.32724717413856846,96.94982678268532,74259.97524761717,31.64830827124325,4.209154095796505,0.3244810929975352,330.4302369476586,0.17482960498796118,162.50639762760147,0.6194964705882353,0.284151800737289
3,3,90.6153,13.7201,100,16.0447,0,104,125,29,127,19,0.99001,91.82997,0.0,0.0,5.67857,3.556,11.84969,0.0,0.0,125.0,45.88037,0.00357,0.51,4.581,-1.0,0.071931,0.42062175562134685,2.8774246881484666,3.250096450617284,0.33763345832105196,81.27273097118261,0.22516149318012404,0.27890929177892415,0.30861272865279354,0.26965684949824525,67359.33870828974,0.7865236155594871,0.32612591485091474,94.59237568800609,74278.08348402736,31.672521897304208,4.120813926136128,0.31892935688368906,328.4246827128368,0.17194244955637536,162.56716974815112,0.6195937254901961,0.27983303071860116
4,4,90.6478,13.7755,100,16.3028,0,104,125,29,127,19,0.98085,91.88294,0.0,0.0,5.46429,3.536,11.78385,0.0,0.0,125.0,45.85578,0.00343,0.51,4.439,-1.0,0.078848,0.4189048566205971,2.724161253207006,3.0928819444444446,0.33517182808737467,81.27209478660761,0.22277943214380438,0.2793368363175657,0.30819609528530295,0.26767940831252446,67473.81830725446,0.7865236155594855,0.32963234870737146,97.4961284055585,74252.67569573034,31.6633903597608,4.074696672229605,0.3188383804476836,326.6406839793716,0.1687614642947134,162.5189832334743,0.6195937254901961,0.2805163880511785
5,5,90.5756,13.8419,100,15.5727,0,104,125,29,127,20,0.98732,91.82822,0.0,0.0,4.28571,3.535,11.83274,0.0,0.0,125.0,45.8358,0.0034,0.51,4.65,-1.0,0.067966,0.41980591895927005,2.2603875565816938,2.9651331018518516,0.33259124515605687,81.28213261923341,0.22168536980507092,0.27711722593724397,0.30753903241934183,0.2625500371052425,67191.78155350295,0.788147030495319,0.3350207458090391,97.52017206933694,74148.14319250287,31.6523358380353,3.985289186457033,0.31820048081527363,324.9223381797475,0.16592301275632945,162.54598985178762,0.6198082352941177,0.2789169378890102
6,6,90.641,13.8878,100,15.8044,0,104,125,29,127,19,0.98601,91.89789,0.0,0.0,3.96429,3.534,11.88843,0.0,0.0,125.0,45.81137,0.00346,0.51,4.322,-1.0,0.076527,0.4218058722809314,2.6073720482850806,2.853395061728395,0.33027038684536597,81.27290600534707,0.220748634016278,0.2756173185673353,0.3071801037520874,0.2605749529548206,67396.41880147146,0.7897704454311535,0.33559736330753576,97.52187784141623,74208.8859058868,31.644122465157213,4.099672250839134,0.31353181023490956,323.2837854286534,0.16550678097669014,162.64048581297806,0.6196313725490196,0.27805429496586187
7,7,90.6228,14.0754,100,14.4734,0,104,125,29,127,19,0.98941,91.88294,0.0,0.0,3.96429,3.554,11.92471,0.0,0.0,125.0,45.79439,0.00363,0.52,4.666,-1.0,0.074403,0.42146673650214145,3.515084450367478,2.705439814814815,0.32925893797763517,81.26506563556391,0.218440159917852,0.27495504894060196,0.3069984443301455,0.25944118075133266,67132.38007069203,0.7881470304953173,0.33937683473886116,97.52269802120134,74241.80801808846,31.635278207284433,4.148768154413316,0.31047163461847177,321.69399315581495,0.16548005297238372,162.59985000699913,0.6198082352941177,0.27916388335750736
8,8,90.5872,13.6785,100,16.0728,0,104,125,29,127,19,0.98881,91.85375,0.0,0.0,5.32143,3.516,12.08951,0.0,0.0,125.0,45.76168,0.00335,0.52,4.923,0.13362,0.075152,0.4195870202934438,3.14822838798359,2.6552372685185186,0.3272136294545203,81.23545074899091,0.21752661629576167,0.2742447661396012,0.307231712978897,0.259210277527507,66828.65034470097,0.7887412416027176,0.34107100623216263,97.54773892913802,74189.51050111919,31.636393605926887,4.276374285006279,0.3107289203581302,320.1415366972227,0.16457901440856576,162.663590854848,0.6198082352941177,0.2785474304808086
9,9,90.6242,13.7778,100,16.0092,0,104,125,29,127,19,0.98971,91.8986,0.0,0.0,4.64286,3.505,11.75612,0.0,0.0,125.0,45.73597,0.0035,0.51,4.955,-1.0,0.07614,0.41650633415647187,2.409552941934863,2.4010416666666665,0.3262180778557659,81.23349932137526,0.21695601528758438,0.2743195411735694,0.3072993077010048,0.2588572170800592,66825.69241375793,0.788741241602716,0.3434195157237831,94.50338093462537,74193.43433791064,31.60835831253617,4.092179040767587,0.3127157444483619,318.66620902668893,0.1637029981893476,162.6407862564196,0.6198082352941177,0.2780547105194508
