,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.5,tone,color_fulness,cubcol.0.6,noise,uhdhdsim,saturation,fft,cubrow.1.0,temporal,staticness,cubcol.1.0,cubcol.0.3,cubcol.0,cubrow.0.3,movement,contrast,cubrow.0,blockiness,cubrow.0.6,blur,cubcol.0.5
0,100,90.1199,12.5352,99,0.0,0,104,125,28,127,17,0.98046,91.23308,0.0,0.0,4.42857,3.486,0.0,0.0,0.0,125.0,45.35158,0.00351,0.51,4.711,0.0,0.06962,0.2723411856408692,0.6158639215686273,162.87534449925386,0.31968093187982116,0.782088363473032,81.2842122484945,30.818654001494984,73770.11121412706,0.12644753447715895,0.0,298.27292845514506,0.2636497193570395,0.2906489666901481,0.3773383510300731,0.36157962117832626,0.0,97.43323966702621,0.3128892989389851,2.823701027387865,0.29525592392555244,66052.90817513198,0.3592325477778241
1,101,90.2182,12.6398,99,14.7542,0,104,125,28,127,17,0.98452,91.33709,0.0,0.0,4.75,3.499,10.76089,0.0,0.0,124.0,45.36444,0.00374,0.51,4.578,-1.0,0.071646,0.25416544434730154,0.6159980784313724,162.90472866965212,0.31249906702902214,0.7859294044520859,81.25158024211979,30.790303736557195,73928.6038815959,0.12475136310979552,3.8412745884991053,296.5218384328094,0.25670711544879193,0.2826229624816648,0.35374274975839126,0.3466717160135302,3.1730806327160495,97.36630916743904,0.3115816240471817,2.54381802594876,0.27197607589505346,66378.0039639058,0.34374134948155527
2,102,90.2316,12.6404,99,14.2393,0,104,125,28,127,17,0.97672,91.34687,0.0,0.0,4.85714,3.49,10.84731,0.0,0.0,125.0,45.37479,0.0037,0.51,4.689,-1.0,0.081309,0.24796981117264333,0.6160058823529412,162.96383501482947,0.30712999193876134,0.7865236155594842,81.28861191322513,30.846179915063175,73779.20552525943,0.12379016528393591,3.7640159666602986,295.28893693245146,0.254616396710497,0.27785833108897057,0.3514579785387216,0.3419575991982877,3.171730324074074,97.2993560540992,0.31186839656432586,2.8558723109728357,0.2629244871693632,66419.0344319809,0.33471998725176055
3,103,90.2328,12.5978,99,14.1322,0,104,125,28,127,17,0.97607,91.37059,0.0,0.0,4.78571,3.5,10.8484,0.0,0.0,124.0,45.38428,0.0038,0.51,4.695,-1.0,0.070404,0.24443186242008147,0.6159164705882353,162.932242473747,0.30530543143065,0.7865236155594824,81.2894231759798,30.786034101321373,73825.25091254803,0.12360242826245423,3.833422863621681,293.98297955636144,0.2535516291706714,0.27796201757962785,0.35278751186804463,0.34009644355451785,3.0417631172839505,97.39152489743581,0.31229488894933,2.3443343858681276,0.2574793400805193,66287.67865062594,0.33282306706176584
4,104,90.2643,12.7897,99,14.3441,0,104,125,28,127,17,0.98044,91.40882,0.0,0.0,4.03571,3.51,10.81273,0.0,0.0,124.0,45.38962,0.00384,0.51,5.079,-1.0,0.069697,0.2434223683628037,0.6158866666666667,162.96074325670918,0.30514771383584344,0.786523615559485,81.26733591040784,30.78864504967207,73773.87616104122,0.12455023195483979,3.833734232424863,292.91983895960533,0.2522600418362927,0.27773823589225105,0.35364474755512676,0.3387578147432588,2.873456790123457,97.54256480409958,0.31302727706372857,2.8617817702391144,0.2572286541784473,66315.06054119348,0.3306101017352737
5,105,90.3566,12.8251,100,15.1397,0,104,125,28,127,18,0.99328,91.50285,0.0,0.0,6.42857,3.503,10.97599,0.0,0.0,124.0,45.39882,0.00367,0.51,4.537,-1.0,0.079605,0.24442057331518205,0.6158866666666667,162.946586297334,0.30619835229900716,0.7865236155594828,81.2498470213417,30.76811764564043,73882.29518607652,0.12503561879299224,3.8759736140803804,291.82463694849207,0.25130190859167073,0.27736082942369267,0.35564846359966434,0.3383441625037566,2.775366512345679,97.0779657051212,0.31362771386967436,2.8893623344009556,0.2543706929329248,66669.58348439595,0.32802059376481046
6,106,90.3644,12.7542,99,14.7103,0,104,125,28,127,17,0.98559,91.50822,0.0,0.0,5.28571,3.513,11.00752,0.0,0.0,124.0,45.40824,0.00379,0.51,4.598,-1.0,0.072204,0.24542430958369715,0.6161317647058825,162.91581080283456,0.3076267519747773,0.7865236155594862,81.26154838252583,30.768163987147958,73824.74936159435,0.12513910553073576,3.952737475719167,290.7651024407473,0.25040039362206,0.27688651937773023,0.3583222618818048,0.3372286530011205,2.64867862654321,97.08513897200041,0.3135292133137514,2.1462471646545005,0.2530067174539459,66601.86454633965,0.327848028649772
7,107,90.3001,12.8303,99,15.3196,0,104,125,28,127,17,0.98187,91.4571,0.0,0.0,5.71429,3.535,10.94383,0.0,0.0,124.0,45.41072,0.00377,0.51,4.281,-1.0,0.073225,0.245676143861391,0.6164301960784314,162.94874684017185,0.31102862287277394,0.7865236155594828,81.26800067807629,30.74150273829331,73790.07221783465,0.12506937195434198,3.8627314329296034,289.73383190790156,0.24929446957450394,0.27747731736485737,0.3617602922662201,0.33465383720668673,2.506413966049383,97.08715097787059,0.31367127732115285,2.6184095906387967,0.2502218074615377,66632.18415524284,0.3255842145819852
8,108,90.2477,12.9953,99,15.1748,0,104,125,28,127,18,0.97843,91.43049,0.0,0.0,5.32143,3.52,11.01406,0.0,0.0,124.0,45.40807,0.00361,0.51,4.777,0.13092,0.069003,0.24521303037035946,0.6167662745098039,163.04236865365016,0.3114043952668915,0.7865236155594859,81.27023455855259,30.735704210069443,73833.06091423242,0.12591357516422694,3.806673408913566,288.77400073378834,0.2484164726206897,0.27793137086259073,0.3640960892310507,0.3328613282510623,2.492091049382716,97.50859068129695,0.3136897723562533,2.674923866923061,0.2515138202177475,66369.26820918663,0.32278853674484054
9,109,90.3244,13.259,100,15.4543,0,104,125,28,127,18,0.97584,91.5256,0.0,0.0,6.35714,3.519,11.16519,0.0,0.0,125.0,45.42292,0.00401,0.51,4.728,-1.0,0.064923,0.24486570515380682,0.6167216078431372,163.03099512053882,0.31226785021386066,0.7865236155594872,81.27963696685578,30.724054595570504,73732.19422494704,0.12681571852158882,3.9435480242802328,287.7657871217666,0.24739971548350456,0.2784832229538255,0.36350871005287394,0.3307105943232912,2.4541859567901234,97.46031064882663,0.31358398692270933,2.74300223713827,0.25207458544814504,66706.14164708796,0.32073757497664324
