,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blur,staticness,color_fulness,contrast,blockiness,cubcol.0,cubrow.0.5,cubcol.0.5,cubcol.1.0,movement,noise,cubcol.0.6,cubrow.1.0,cubrow.0.6,cubcol.0.3,cubrow.0,saturation,tone,temporal,uhdhdsim,fft,cubrow.0.3
0,0,88.687,13.843,93,0.0,0,104,125,24,127,16,0.9952,87.86096,0.0,0.0,6.07143,3.551,0.0,0.0,0.0,124.0,45.72179,0.00392,0.47,4.707,0.0,0.084798,66775.84611867831,331.94409306230637,162.62274757615222,97.01932876525399,3.728924110277638,0.43197816629162894,0.3320430923813734,0.3187345636336321,0.20536841921657925,0.0,0.6668144716630713,0.34514109375368907,0.19193852300541728,0.3008131691823259,0.2573460358627668,0.2905805590386561,31.055330629701967,0.6151372549019608,0.0,81.6248013359658,74986.99896876332,0.3523600441262775
1,1,88.7115,13.6603,93,15.8914,0,104,125,24,127,16,0.99626,87.8681,0.0,0.0,5.39286,3.562,11.89695,0.0,0.0,125.0,45.70013,0.00368,0.47,4.337,-1.0,0.079656,66996.80258727496,329.37158697650375,162.59641309169487,97.09683341849608,2.559609343126803,0.41590732959533633,0.28756499360305443,0.31613887546629094,0.2015048357498672,3.623312114197531,0.6668144716630807,0.3157023304580499,0.1729115321832845,0.26589565944200166,0.25803526846018343,0.2904860200895245,31.108045601550444,0.614861568627451,4.002521449210346,81.56825928418057,75126.35449663804,0.3341187877592144
2,2,88.7111,13.5277,93,15.699,0,104,125,24,127,16,0.99322,87.88317,0.0,0.0,6.10714,3.554,11.73254,0.0,0.0,125.0,45.68354,0.00363,0.47,4.427,-1.0,0.076137,66876.58185675561,327.3707118936249,162.65612063194078,95.0823222084605,2.349958460759967,0.41951527257079646,0.2754870775266748,0.3148199600527616,0.19984188391137417,3.404755015432099,0.6668144716630824,0.30684420672435936,0.16853253930147305,0.26050654176667454,0.2642120253692602,0.29149957605053234,31.11312847372926,0.6152843137254902,3.97765807483349,81.60024962847814,75059.02960393735,0.3264342153104988
3,3,88.6085,13.4689,93,16.3119,0,104,125,24,127,16,0.99043,87.77964,0.0,0.0,6.39286,3.563,11.62673,0.0,0.0,125.0,45.66023,0.00358,0.47,4.669,-1.0,0.081034,66572.97148383915,325.5236585820777,162.68243497366413,93.03376043498979,2.232802721369758,0.4152935973472239,0.2718450767805512,0.31406963691530726,0.19724353820513274,3.1807484567901234,0.6668144716630794,0.3010092877401675,0.1656762829177263,0.25490929787111516,0.26846876729422814,0.2908099175918024,31.13573050793306,0.6152607843137256,3.8944767848488118,81.59120842180783,75018.38310050663,0.32036221226395695
4,4,88.6583,13.526,93,16.5255,0,104,125,24,127,16,0.9817,87.8445,0.0,0.0,6.35714,3.535,11.56433,0.0,0.0,125.0,45.63574,0.00352,0.47,4.435,-1.0,0.081352,66693.73111836593,323.8762850563554,162.65005861929703,96.75821677133283,2.3282846462180733,0.41359742428924934,0.2725736354270259,0.31785403790584316,0.1949073720054158,3.0390625,0.6690320977063083,0.3018489057683169,0.16236360640589004,0.25340605349282225,0.26861572246246296,0.2903129322382872,31.122614919403453,0.6150278431372549,3.853874133876634,81.58494465996415,75110.74561104579,0.3180622038992488
5,5,88.5774,13.5874,93,15.7917,0,104,125,24,127,16,0.9883,87.77275,0.0,0.0,5.0,3.535,11.61656,0.0,0.0,125.0,45.61449,0.00353,0.47,4.625,-1.0,0.070969,66369.81617502522,322.2779468135506,162.7158191793194,97.05546899649973,2.8757400707081557,0.41442374787658476,0.2711890285118061,0.32345989081385096,0.19380770093896288,2.911747685185185,0.6662202605556805,0.30136349300535875,0.1591403699325117,0.2485901231363395,0.26667520104456854,0.289756634428145,31.134557841736594,0.615285450980388,3.7801923494469,81.5981659680856,74938.74734540263,0.31546687325153483
6,6,88.6308,13.6289,93,16.0441,0,104,125,24,127,16,0.98547,87.84069,0.0,0.0,4.03571,3.544,11.66571,0.0,0.0,124.0,45.58902,0.00364,0.47,4.434,-1.0,0.084887,66547.29653353369,320.7345521063215,162.78743081911952,96.87203166232217,2.9487985663754275,0.4167670104617618,0.2704659224913185,0.3241821405112431,0.19295771772902834,2.8074845679012346,0.6674086827704792,0.2966693000203782,0.1584211423714612,0.24659214243942207,0.2649151456049163,0.289511257357056,31.104420037917148,0.6150803921568627,3.8835225664896242,81.59353993296251,75061.63203089642,0.3132818008527448
7,7,88.6064,13.8134,94,14.7086,0,104,125,24,127,16,0.99102,87.82473,0.0,0.0,4.5,3.554,11.69901,0.0,0.0,125.0,45.5719,0.00377,0.47,4.222,-1.0,0.081394,66254.8789250448,319.21070319122765,162.75117079489792,94.40356468678385,3.491532392680428,0.4166262959469906,0.2718199831438766,0.32758015801731094,0.19087462752356013,2.6518132716049383,0.6690320977063093,0.29348393460825517,0.15849360060076073,0.24538808581898175,0.2640311635118598,0.2893802283575997,31.10042675630546,0.6154333333333334,3.922973911713612,81.5813350106231,75040.08006935487,0.31226059953120766
8,8,88.5625,13.4261,93,16.5333,0,104,125,24,127,16,0.98845,87.78115,0.0,0.0,5.03571,3.543,11.86062,0.0,0.0,125.0,45.54064,0.00357,0.47,4.519,0.13297,0.078591,65915.28107673085,317.7301728785969,162.80004561825743,91.31092273066557,3.3835552637542827,0.4144646714890552,0.2712199863720019,0.3289572357141436,0.19013364240742875,2.607928240740741,0.6684378865989138,0.29367187094188135,0.15757261239218973,0.24520986234111564,0.26353034566407496,0.28980736510328,31.104723329897283,0.615578431372549,4.034791885195761,81.56100491488851,74941.2386128062,0.3104335038367468
9,9,88.6032,13.5096,93,16.2346,0,104,125,24,127,16,0.98962,87.83282,0.0,0.0,5.42857,3.523,11.5353,0.0,0.0,125.0,45.51377,0.00361,0.47,4.347,-1.0,0.079735,65919.76589343025,316.30441578472573,162.77373586381194,94.08915804940504,3.7190670001842006,0.41080085561345414,0.27060891905202245,0.33113801223120487,0.18976069394783393,2.3596643518518516,0.6668144716630807,0.295738633879504,0.15663737699340222,0.2445657829719291,0.26361486104817106,0.289983874004146,31.07901961715133,0.6153856274509801,3.868814528404725,81.55709970876346,74971.15936512347,0.30941860276420463
10,10,88.4959,13.1789,93,15.8871,0,104,125,24,127,16,0.97367,87.74553,0.0,0.0,7.96429,3.543,11.60317,0.0,0.0,125.0,45.48417,0.00372,0.47,4.352,-1.0,0.080707,65451.17443510867,314.92235403611096,162.80593051864452,96.13656598442158,3.0769726210556327,0.40387684766180676,0.27010668039442276,0.3337430054294394,0.1894515616965403,3.4654224537037037,0.6668144716630825,0.29560641658274744,0.15546534863471287,0.24375323130177654,0.2632515803280339,0.28972049497865204,31.028696130823207,0.6152843137254902,4.133530313468894,81.5998939138234,74879.94037776302,0.30807894972792
