,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,temporal,cubcol.0.5,cubrow.0.5,color_fulness,fft,staticness,uhdhdsim,blockiness,saturation,cubrow.1.0,movement,cubcol.0,cubrow.0.3,cubcol.1.0,cubcol.0.3,cubcol.0.6,noise,tone,cubrow.0,blur,cubrow.0.6,contrast
0,100,84.0191,11.869,85,0.0,0,104,125,21,127,13,0.98227,82.39494,0.0,0.0,4.39286,3.681,0.0,0.0,0.0,125.0,44.85262,0.00386,0.46,4.584,0.0,0.06861,0.0,0.32666813486436697,0.24265140573414837,163.10707400156898,75102.98568462854,292.5017566519532,82.17538225586118,1.8672098028172797,29.94082566249518,0.11226558601298602,0.0,0.3502703086867179,0.3237865085768484,0.20298510338416742,0.2615227707014839,0.2865577507331796,0.6065035757748167,0.6064730392156858,0.2752016715963115,61728.105651747734,0.26326834527768167,97.18514360983839
1,101,84.1323,11.9759,85,14.9257,0,104,125,21,127,13,0.98568,82.50634,0.0,0.0,4.67857,3.699,10.1851,0.0,0.0,124.0,44.86547,0.00342,0.46,4.98,-1.0,0.07472,3.528253103002637,0.31227422116019776,0.22642245032147937,163.13753206130713,75060.64039326059,291.15240914891297,82.127551413893,2.3436363599587207,29.906976205331308,0.1089409416090875,2.967013888888889,0.3264771156022493,0.3086835812318094,0.19781659127723003,0.25350880772920564,0.2772240010267752,0.6050393792253503,0.6064145098039215,0.27433212438174703,62055.98775990282,0.23923458944914192,97.28657218633828
2,102,84.1483,11.9648,85,14.4778,0,104,125,21,127,13,0.9757,82.51973,0.0,0.0,5.35714,3.722,10.27216,0.0,0.0,125.0,44.87645,0.00362,0.46,4.849,-1.0,0.084962,3.470196747195895,0.30398644135955566,0.22010174283200623,163.1767338871556,75024.98375852715,290.28416938374,82.17140736735091,2.2913008850884347,29.960476345486107,0.10797296933945168,2.986255787037037,0.3252170251171299,0.304694159309477,0.19645904500984862,0.24894744320067694,0.2714028846314891,0.6072570052685755,0.6064294117647059,0.2748474367950902,62061.572727514795,0.2299586435009254,97.34540192442218
3,103,84.1616,11.9236,85,14.2552,0,104,125,21,127,13,0.97782,82.54408,0.0,0.0,5.92857,3.721,10.26323,0.0,0.0,124.0,44.88562,0.00352,0.46,4.539,-1.0,0.071714,3.5227172346833315,0.3020073757934714,0.21657715181006215,163.16643628559606,75169.40016317734,289.1865105131464,82.17204163581874,1.7628774584453861,29.904187426154994,0.10768506274157777,2.893084490740741,0.32723861500486373,0.3028842803281181,0.19563922255785518,0.2490595719939024,0.26909735099067705,0.6072570052685767,0.6068905882352941,0.27533153927284293,61983.02681939595,0.22450438294172934,97.23876091499561
4,104,84.1809,12.1039,85,14.534,0,104,125,21,127,13,0.98234,82.57993,0.0,0.0,5.03571,3.706,10.2291,0.0,0.0,124.0,44.89007,0.00379,0.46,4.633,-1.0,0.071738,3.5202520476759425,0.3007479912640053,0.21580078917226492,163.18251040879062,75107.69683098726,288.324979472092,82.14632517583871,2.5692826199211387,29.89667652271412,0.10799508376124715,2.736159336419753,0.328761404534483,0.30170286808906704,0.1950414377752684,0.24896146844088934,0.2693814620276756,0.6072570052685777,0.6070239215686275,0.2760055230299359,62012.149963752774,0.22369700214444663,95.35229790148179
5,105,84.2886,12.1291,85,15.2342,0,104,125,21,127,13,0.99668,82.67667,0.0,0.0,6.85714,3.701,10.38232,0.0,0.0,124.0,44.90013,0.00383,0.46,4.362,-1.0,0.082706,3.556465631503536,0.2990216685512269,0.21684236113757818,163.16888217360946,75129.78407374141,287.3579172196945,82.12882184445228,2.5649502563828976,29.877069732289257,0.1083170955379706,2.658564814814815,0.33109115359113606,0.30109798857561165,0.19447743338519188,0.24828251084622044,0.2710515169916161,0.6072570052685782,0.6072172549019609,0.27652465913553015,62416.88309753268,0.22128742734085502,95.3629521760158
6,106,84.2906,12.0806,85,14.7501,0,104,125,21,127,13,0.98423,82.68691,0.0,0.0,6.14286,3.723,10.40493,0.0,0.0,124.0,44.90949,0.00383,0.46,4.696,-1.0,0.075309,3.6118657509208307,0.29848174246302617,0.21728156280610017,163.14899218471382,75175.17036194226,286.4414027218873,82.14364212011273,2.435253725506425,29.8757086859809,0.10854073209680085,2.5354456018518516,0.33425202321060227,0.3002596780433517,0.19375491814766171,0.2481479653076389,0.27350996508927594,0.6072570052685782,0.607367843137255,0.2763920620444569,62327.97624583303,0.2201595187796429,97.41972542269555
7,107,84.2444,12.1521,85,15.5716,0,104,125,21,127,13,0.97951,82.64027,0.0,0.0,5.82143,3.71,10.36156,0.0,0.0,124.0,44.91177,0.00397,0.46,4.873,-1.0,0.074703,3.5521955423788674,0.2966119336049692,0.2169985788074635,163.20007750059938,75135.14103871236,285.5112612776464,82.15122435838936,2.426562248179349,29.85635036892361,0.10886278931689466,2.410059799382716,0.3378363958326914,0.2980043218149521,0.19280252402381667,0.24892104018742361,0.2773676672460072,0.6072570052685787,0.6075760784313725,0.2762716956175012,62431.38632918773,0.21718425037429248,97.47180267017768
8,108,84.1847,12.309,85,15.4444,0,104,125,21,127,13,0.97391,82.6072,0.0,0.0,5.85714,3.742,10.42947,0.0,0.0,124.0,44.90804,0.00382,0.46,4.436,0.12937,0.073969,3.514108148992989,0.2943711791810086,0.21632404644453995,163.24282197355313,75075.89506813366,284.64886520456554,82.1567256398182,2.711805609398906,29.850802574628666,0.1096074347237953,2.3899980709876543,0.3403945499458841,0.2964845538344888,0.19228469872242587,0.24965268011628708,0.27766531786255555,0.607257005268579,0.6077160784313727,0.27624452895564183,62173.799144839795,0.21854442615745975,96.96450620468343
9,109,84.2612,12.589,86,15.7286,0,104,125,21,127,13,0.96993,82.69393,0.0,0.0,5.85714,3.737,10.57246,0.0,0.0,125.0,44.92226,0.00394,0.46,4.565,-1.0,0.070638,3.618467578018176,0.292814508206641,0.2157771305507625,163.2374577683899,74992.4699156892,283.7284645684641,82.18174259813729,2.0903155980240533,29.8350402455271,0.11063812548570544,2.376639660493827,0.3400794504816448,0.2944871465773618,0.19132483635979405,0.25022783326835896,0.2789913864143899,0.6072570052685785,0.6078133333333334,0.27623338318099944,62509.07253740029,0.21880430235567955,97.14414452143671
10,110,84.2332,12.7858,86,15.1778,0,104,125,21,127,13,0.97443,82.70293,0.0,0.0,5.14286,3.741,10.81039,0.0,0.0,125.0,44.97324,0.00406,0.46,4.977,-1.0,0.070344,3.5722082046050065,0.29171093501932877,0.21366177951618592,163.31742828946983,75253.48778156891,282.85358896430284,82.19733734197527,2.834399241648554,29.853701932930655,0.11113096794897107,3.638406635802469,0.3364785865067125,0.2923747211191763,0.19032477786425195,0.25105607273134045,0.2817740043095521,0.6072570052685816,0.6080435294117648,0.27610442434053434,62489.19540055268,0.21920898432393893,95.46799449660284
11,111,84.2788,12.942,86,15.8368,0,104,125,21,127,13,0.98098,82.7522,0.0,0.0,5.0,3.762,10.97443,0.0,0.0,124.0,45.02183,0.00381,0.46,4.613,-1.0,0.075042,3.6218884536849303,0.2907388270504255,0.21292528315225082,163.37442444321127,75187.96304390761,281.97662036585155,82.14871204443315,2.8436437841591027,29.8667436764564,0.1118741902105009,4.2825038580246915,0.3357924097070058,0.29076198585672036,0.18947292524995987,0.251778879593151,0.2852928947645948,0.607257005268577,0.6085207843137256,0.2760248052325027,62448.87618924392,0.21924753354059934,97.46823305371538
