crf	TP	FP	FN	total	precision	recall
10	11	681	805	692	0.015895953757225433	0.013480392156862746
12	12	690	804	702	0.017094017094017096	0.014705882352941176
14	10	695	806	705	0.014184397163120567	0.012254901960784314
16	9	687	807	696	0.01293103448275862	0.011029411764705883
18	10	682	806	692	0.014450867052023121	0.012254901960784314
20	12	672	804	684	0.017543859649122806	0.014705882352941176
22	10	675	806	685	0.014598540145985401	0.012254901960784314
24	8	669	808	677	0.011816838995568686	0.00980392156862745
26	8	648	808	656	0.012195121951219513	0.00980392156862745
28	7	615	809	622	0.011254019292604502	0.00857843137254902
30	9	606	807	615	0.014634146341463415	0.011029411764705883
32	7	556	809	563	0.012433392539964476	0.00857843137254902
34	8	535	808	543	0.014732965009208104	0.00980392156862745
36	2	455	814	457	0.00437636761487965	0.0024509803921568627
38	4	394	812	398	0.010050251256281407	0.004901960784313725
40	1	279	815	280	0.0035714285714285713	0.0012254901960784314
42	0	123	816	123	0.0	0.0
