crf	TP	FP	FN	total	precision	recall
10	11	581	805	592	0.018581081081081082	0.013480392156862746
12	13	587	803	600	0.021666666666666667	0.015931372549019607
14	12	582	804	594	0.020202020202020204	0.014705882352941176
16	13	581	803	594	0.021885521885521887	0.015931372549019607
18	11	584	805	595	0.018487394957983194	0.013480392156862746
20	9	578	807	587	0.015332197614991482	0.011029411764705883
22	8	579	808	587	0.013628620102214651	0.00980392156862745
24	8	578	808	586	0.013651877133105802	0.00980392156862745
26	5	584	811	589	0.008488964346349746	0.006127450980392157
28	6	576	810	582	0.010309278350515464	0.007352941176470588
30	4	545	812	549	0.007285974499089253	0.004901960784313725
32	6	531	810	537	0.0111731843575419	0.007352941176470588
34	7	476	809	483	0.014492753623188406	0.00857843137254902
36	6	404	810	410	0.014634146341463415	0.007352941176470588
38	2	391	814	393	0.005089058524173028	0.0024509803921568627
40	5	263	811	268	0.018656716417910446	0.006127450980392157
42	1	126	815	127	0.007874015748031496	0.0012254901960784314
