crf	TP	FP	FN	total	precision	recall
10	21	1189	4106	1210	0.017355371900826446	0.005088441967530894
12	20	1186	4107	1206	0.01658374792703151	0.00484613520717228
14	22	1185	4105	1207	0.018227009113504555	0.005330748727889508
16	18	1196	4109	1214	0.014827018121911038	0.004361521686455052
18	20	1198	4107	1218	0.016420361247947456	0.00484613520717228
20	16	1171	4111	1187	0.013479359730412805	0.003876908165737824
22	23	1167	4104	1190	0.019327731092436976	0.005573055488248122
24	17	1123	4110	1140	0.014912280701754385	0.004119214926096438
26	16	1135	4111	1151	0.013900955690703735	0.003876908165737824
28	18	1053	4109	1071	0.01680672268907563	0.004361521686455052
30	21	1007	4106	1028	0.020428015564202335	0.005088441967530894
32	14	879	4113	893	0.015677491601343786	0.003392294645020596
34	7	890	4120	897	0.007803790412486065	0.001696147322510298
36	19	762	4108	781	0.024327784891165175	0.004603828446813666
38	17	553	4110	570	0.02982456140350877	0.004119214926096438
40	18	350	4109	368	0.04891304347826087	0.004361521686455052
42	3	332	4124	335	0.008955223880597015	0.000726920281075842
