crf	TP	FP	FN	total	precision	recall
10	23	1131	4104	1154	0.01993067590987868	0.005573055488248122
12	24	1123	4103	1147	0.020924149956408022	0.005815362248606736
14	21	1117	4106	1138	0.01845342706502636	0.005088441967530894
16	22	1091	4105	1113	0.019766397124887692	0.005330748727889508
18	22	1057	4105	1079	0.020389249304911955	0.005330748727889508
20	18	1060	4109	1078	0.016697588126159554	0.004361521686455052
22	19	1059	4108	1078	0.017625231910946195	0.004603828446813666
24	17	971	4110	988	0.01720647773279352	0.004119214926096438
26	22	969	4105	991	0.022199798183652877	0.005330748727889508
28	18	889	4109	907	0.019845644983461964	0.004361521686455052
30	23	800	4104	823	0.027946537059538274	0.005573055488248122
32	15	727	4112	742	0.02021563342318059	0.00363460140537921
34	19	583	4108	602	0.03156146179401993	0.004603828446813666
36	16	545	4111	561	0.0285204991087344	0.003876908165737824
38	27	271	4100	298	0.09060402684563758	0.006542282529682578
40	9	221	4118	230	0.0391304347826087	0.002180760843227526
42	12	215	4115	227	0.05286343612334802	0.002907681124303368
