crf	TP	FP	FN	total	precision	recall
10	9	531	1024	540	0.016666666666666666	0.008712487899322363
12	10	514	1023	524	0.019083969465648856	0.00968054211035818
14	8	520	1025	528	0.015151515151515152	0.007744433688286544
16	11	526	1022	537	0.020484171322160148	0.010648596321393998
18	9	491	1024	500	0.018	0.008712487899322363
20	9	509	1024	518	0.017374517374517374	0.008712487899322363
22	8	500	1025	508	0.015748031496062992	0.007744433688286544
24	14	492	1019	506	0.02766798418972332	0.013552758954501452
26	10	460	1023	470	0.02127659574468085	0.00968054211035818
28	9	462	1024	471	0.01910828025477707	0.008712487899322363
30	6	429	1027	435	0.013793103448275862	0.005808325266214908
32	6	404	1027	410	0.014634146341463415	0.005808325266214908
34	7	365	1026	372	0.01881720430107527	0.006776379477250726
36	5	341	1028	346	0.014450867052023121	0.00484027105517909
38	6	268	1027	274	0.021897810218978103	0.005808325266214908
40	3	220	1030	223	0.013452914798206279	0.002904162633107454
42	0	109	1033	109	0.0	0.0
