crf	TP	FP	FN	total	precision	recall
10	6	453	1027	459	0.013071895424836602	0.005808325266214908
12	7	446	1026	453	0.01545253863134658	0.006776379477250726
14	7	445	1026	452	0.015486725663716814	0.006776379477250726
16	6	440	1027	446	0.013452914798206279	0.005808325266214908
18	7	425	1026	432	0.016203703703703703	0.006776379477250726
20	7	418	1026	425	0.01647058823529412	0.006776379477250726
22	6	418	1027	424	0.014150943396226415	0.005808325266214908
24	5	411	1028	416	0.01201923076923077	0.00484027105517909
26	8	388	1025	396	0.020202020202020204	0.007744433688286544
28	6	371	1027	377	0.015915119363395226	0.005808325266214908
30	6	343	1027	349	0.017191977077363897	0.005808325266214908
32	9	338	1024	347	0.025936599423631124	0.008712487899322363
34	10	294	1023	304	0.03289473684210526	0.00968054211035818
36	6	262	1027	268	0.022388059701492536	0.005808325266214908
38	6	204	1027	210	0.02857142857142857	0.005808325266214908
40	4	145	1029	149	0.026845637583892617	0.003872216844143272
42	3	60	1030	63	0.047619047619047616	0.002904162633107454
