crf	TP	FP	FN	total	precision	recall
10	14	512	768	526	0.026615969581749048	0.017902813299232736
12	14	507	768	521	0.026871401151631478	0.017902813299232736
14	14	511	768	525	0.02666666666666667	0.017902813299232736
16	13	507	769	520	0.025	0.016624040920716114
18	13	515	769	528	0.02462121212121212	0.016624040920716114
20	15	504	767	519	0.028901734104046242	0.01918158567774936
22	14	505	768	519	0.02697495183044316	0.017902813299232736
24	13	511	769	524	0.02480916030534351	0.016624040920716114
26	13	508	769	521	0.02495201535508637	0.016624040920716114
28	12	520	770	532	0.022556390977443608	0.015345268542199489
30	13	506	769	519	0.025048169556840076	0.016624040920716114
32	13	509	769	522	0.02490421455938697	0.016624040920716114
34	14	517	768	531	0.026365348399246705	0.017902813299232736
36	10	531	772	541	0.018484288354898338	0.01278772378516624
38	14	514	768	528	0.026515151515151516	0.017902813299232736
40	12	491	770	503	0.02385685884691849	0.015345268542199489
42	11	460	771	471	0.02335456475583864	0.014066496163682864
