crf	TP	FP	FN	total	precision	recall
10	11	507	771	518	0.021235521235521235	0.014066496163682864
12	11	514	771	525	0.02095238095238095	0.014066496163682864
14	11	517	771	528	0.020833333333333332	0.014066496163682864
16	11	512	771	523	0.021032504780114723	0.014066496163682864
18	12	514	770	526	0.022813688212927757	0.015345268542199489
20	12	519	770	531	0.022598870056497175	0.015345268542199489
22	11	514	771	525	0.02095238095238095	0.014066496163682864
24	12	511	770	523	0.022944550669216062	0.015345268542199489
26	12	506	770	518	0.023166023166023165	0.015345268542199489
28	13	517	769	530	0.024528301886792454	0.016624040920716114
30	12	499	770	511	0.023483365949119372	0.015345268542199489
32	10	508	772	518	0.019305019305019305	0.01278772378516624
34	12	497	770	509	0.023575638506876228	0.015345268542199489
36	11	498	771	509	0.021611001964636542	0.014066496163682864
38	11	501	771	512	0.021484375	0.014066496163682864
40	9	493	773	502	0.017928286852589643	0.011508951406649617
42	8	474	774	482	0.016597510373443983	0.010230179028132993
