crf	TP	FP	FN	total	precision	recall
10	21	401	564	422	0.04976303317535545	0.035897435897435895
12	20	399	565	419	0.0477326968973747	0.03418803418803419
14	20	403	565	423	0.04728132387706856	0.03418803418803419
16	19	389	566	408	0.04656862745098039	0.03247863247863248
18	19	380	566	399	0.047619047619047616	0.03247863247863248
20	19	370	566	389	0.04884318766066838	0.03247863247863248
22	23	367	562	390	0.05897435897435897	0.039316239316239315
24	21	342	564	363	0.05785123966942149	0.035897435897435895
26	17	331	568	348	0.04885057471264368	0.02905982905982906
28	15	295	570	310	0.04838709677419355	0.02564102564102564
30	13	266	572	279	0.04659498207885305	0.022222222222222223
32	16	245	569	261	0.06130268199233716	0.02735042735042735
34	18	205	567	223	0.08071748878923767	0.03076923076923077
36	18	183	567	201	0.08955223880597014	0.03076923076923077
38	17	122	568	139	0.1223021582733813	0.02905982905982906
40	11	86	574	97	0.1134020618556701	0.018803418803418803
42	6	51	579	57	0.10526315789473684	0.010256410256410256
