crf	TP	FP	FN	total	precision	recall
10	350	65	83	415	0.8433734939759037	0.8083140877598153
12	342	72	91	414	0.8260869565217391	0.789838337182448
14	343	68	90	411	0.8345498783454988	0.792147806004619
16	343	60	90	403	0.8511166253101737	0.792147806004619
18	342	65	91	407	0.8402948402948403	0.789838337182448
20	336	64	97	400	0.84	0.7759815242494227
22	335	60	98	395	0.8481012658227848	0.7736720554272517
24	331	61	102	392	0.8443877551020408	0.7644341801385681
26	334	69	99	403	0.8287841191066998	0.7713625866050808
28	331	60	102	391	0.8465473145780051	0.7644341801385681
30	310	62	123	372	0.8333333333333334	0.7159353348729792
32	288	60	145	348	0.8275862068965517	0.6651270207852193
34	275	45	158	320	0.859375	0.6351039260969977
36	256	31	177	287	0.89198606271777	0.5912240184757506
38	222	31	211	253	0.8774703557312253	0.5127020785219399
40	171	40	262	211	0.8104265402843602	0.394919168591224
42	111	23	322	134	0.8283582089552238	0.25635103926096997
